20.2.1.45. A gazdaságilag aktívak és nem aktívak számának szezonálisan kiigazított idõsorai, negyedévente;;;;;;;;;
Év;Negyedév;Eredeti idõsor, gazdaságilag aktív, ezer fõ;Eredeti idõsor, gazdaságilag aktív, elõzõ negyedév = 100,0%;Eredeti idõsor, gazdaságilag nem aktív, ezer fõ;Eredeti idõsor, gazdaságilag nem aktív, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, gazdaságilag aktív, ezer fõ;Szezonálisan kiigazított idõsor, gazdaságilag aktív, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, gazdaságilag nem aktív, ezer fõ;Szezonálisan kiigazított idõsor, gazdaságilag nem aktív, elõzõ negyedév = 100,0%
;III.;4 601,5;101,0;2 967,1;98,2;4 576,0;100,5;2 992,9;98,9
;IV.;4 577,1;99,5;2 982,0;100,5;4 581,4;100,1;2 972,7;99,3
2015.;I.;4 583,1;100,1;2 964,7;99,4;4 605,6;100,5;2 942,5;99,0
;II.;4 634,3;101,1;2 905,2;98,0;4 634,1;100,6;2 908,7;98,9
;III.;4 682,8;101,0;2 853,6;98,2;4 657,4;100,5;2 878,8;99,0
;IV.;4 670,8;99,7;2 857,2;100,1;4 672,4;100,3;2 853,7;99,1
2016.;I.;4 663,0;99,8;2 852,5;99,8;4 686,3;100,3;2 827,5;99,1
;II.;4 710,5;101,0;2 797,3;98,1;4 711,8;100,5;2 799,5;99,0
;III.;4 747,3;100,8;2 759,8;98,7;4 723,1;100,2;2 782,7;99,4
;IV.;4 745,9;100,0;2 753,8;99,8;4 744,8;100,5;2 755,3;99,0
2017.;I.;4 704,6;99,1;2 779,4;100,9;4 726,7;99,6;2 755,4;100,0
;II.;4 737,2;100,7;2 727,8;98,1;4 740,5;100,3;2 726,3;98,9
;III.;4 763,4;100,6;2 688,7;98,6;4 740,9;100,0;2 708,7;99,4
;IV.;4 754,5;99,8;2 685,7;99,9;4 752,7;100,2;2 688,1;99,2
2018.;I.;4 748,3;99,9;2 688,1;100,1;4 767,7;100,3;2 671,1;99,4
;II.;4 772,0;100,5;2 664,2;99,1;4 777,4;100,2;2 659,6;99,6
;III.;4 805,6;100,7;2 626,1;98,6;4 783,9;100,1;2 643,6;99,4
;IV.;4 786,9;99,6;2 637,4;100,4;4 784,3;100,0;2 638,5;99,8
2019.;I.;4 796,0;100,2;2 624,1;99,5;4 813,4;100,6;2 612,1;99,0
;II.;4 798,3;100,0;2 623,0;100,0;4 806,5;99,9;2 616,2;100,2
;III.;4 816,6;100,4;2 603,2;99,2;4 794,9;99,8;2 621,0;100,2
;IV.;4 803,1;99,7;2 611,9;100,3;4 798,1;100,1;2 614,7;99,8
2020.;I.;4 779,8;99,5;2 631,6;100,8;4 797,2;100,0;2 618,1;100,1
;II.;4 770,5;99,8;2 639,2;100,3;4 781,5;99,7;2 628,0;100,4
;III.;4 835,0;101,4;2 573,2;97,5;4 813,1;100,7;2 592,2;98,6
;IV.;4 817,9;99,6;2 587,6;100,6;4 810,2;99,9;2 596,0;100,1
2021.;I.;4 782,4;99,3;2 599,7;100,5;4 800,0;99,8;2 586,8;99,6
;II.;4 817,2;100,7;2 543,3;97,8;4 829,6;100,6;2 527,0;97,7
;III.;4 853,1;100,7;2 498,1;98,2;4 832,6;100,1;2 514,0;99,5
;IV.;4 868,2;100,3;2 474,5;99,1;4 859,0;100,5;2 486,7;98,9
2022.;I.;4 855,4;99,7;2 481,9;100,3;4 871,9;100,3;2 472,6;99,4
;II.;4 850,2;99,9;2 481,3;100,0;4 863,4;99,8;2 463,1;99,6
;III.;4 890,4;100,8;2 433,0;98,1;4 870,7;100,2;2 446,9;99,3
;IV.;;;;;;;;
