14.1.1.33. A gyermekes, a gyermek nélküli és az egyszemélyes háztartások száma, a háztartásban élõ személyek jellemzõi jövedelemszerzõ tevékenységük szerint ;;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;134 698;503 728;436 965;148 022;463 022;1 686 435;439 618;776 022;101 408;732 409;2 049 457;439 618;274 955;164 663;432 461;7 157
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;8 918;75 731;58 848;18 864;25 726;188 087;48 404;101 584;31 333;84 427;265 748;48 404;29 714;18 690;46 507;1 897
Aktív keresõk összesen;143 616;579 459;495 813;166 886;488 748;1 874 522;488 022;877 606;132 741;816 836;2 315 205;488 022;304 669;183 353;478 968;9 054
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;15 099;303 469;278 751;109 455;271 143;977 917;304 669;431 571;84 397;469 275;1 289 912;304 669;304 669;–;301 643;3 026
nõk;128 517;275 990;217 062;57 431;217 605;896 605;183 353;446 035;48 344;347 561;1 025 293;183 353;–;183 353;177 325;6 028
Nyugdíjasok összesen;7 675;23 458;10 095;2 771;108 238;152 237;754 841;187 009;825 078;225 447;1 992 375;754 841;188 761;566 080;122 673;632 168
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;1 928;11 689;4 516;1 661;37 328;57 122;188 761;78 696;368 553;85 492;721 502;188 761;188 761;–;29 635;159 126
nõk;5 747;11 769;5 579;1 110;70 910;95 115;566 080;108 313;456 525;139 955;1 270 873;566 080;–;566 080;93 038;473 042
Munkanélküliek összesen;21 340;49 450;27 474;21 885;83 085;203 234;49 374;93 927;18 997;89 906;252 204;49 374;33 827;15 547;48 672;702
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;7 210;21 796;12 745;13 701;45 550;101 002;33 827;55 091;15 607;56 586;161 111;33 827;33 827;–;33 125;702
nõk;14 130;27 654;14 729;8 184;37 535;102 232;15 547;38 836;3 390;33 320;91 093;15 547;–;15 547;15 547;–
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;7 148;21 778;7 820;3 936;38 766;79 448;61 273;91 050;21 137;58 265;231 725;61 273;36 912;24 361;61 273;–
Tanuló felnõttek;–;1 449;–;–;10 484;11 933;3 122;13 038;849;15 182;32 191;3 122;3 122;–;3 122;–
Egyéb Inaktív felnõttek;20 402;61 375;87 006;73 068;97 602;339 453;6 888;17 275;7 661;35 540;67 364;6 888;4 009;2 879;6 213;675
Nem tanuló gyermekek;47 344;120 839;226 010;160 848;117 323;672 364;–;–;–;–;–;–;–;–;–;–
Tanulók összesen;231 059;237 219;387 134;277 729;259 068;1 392 209;18 028;20 687;2 023;10 625;51 363;18 028;9 398;8 630;18 028;–
Összesen;478 584;1 095 027;1 241 352;707 123;1 203 314;4 725 400;1 381 548;1 300 592;1 008 486;1 251 801;4 942 427;1 381 548;580 698;800 850;738 949;642 599
2016;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;155 523;348 922;329 974;132 057;249 633;1 216 109;1 383 104;672 982;524 618;338 107;2 918 811;1 383 104;558 867;824 237;705 562;677 542
Adatszolgáltató háztartások száma;245;518;474;234;420;1 891;2 508;1 078;1 369;639;5 594;2 508;696;1 812;985;1 523
Háztartások átlagos taglétszáma;2,6;3,0;4,0;5,4;5,0;3,9;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;117 099;491 563;470 289;155 562;530 314;1 764 827;428 316;860 655;130 568;684 398;2 103 937;428 316;242 782;185 534;423 452;4 864
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;10 814;74 091;68 038;15 532;33 663;202 138;52 983;115 572;37 159;56 769;262 483;52 983;33 964;19 019;49 249;3 734
Aktív keresõk összesen;127 913;565 654;538 327;171 094;563 977;1 966 965;481 299;976 227;167 727;741 167;2 366 420;481 299;276 746;204 553;472 701;8 598
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;14 884;290 518;300 336;111 944;313 052;1 030 734;276 746;491 456;102 227;422 936;1 293 365;276 746;276 746;–;274 057;2 689
nõk;113 029;275 136;237 991;59 150;250 925;936 231;204 553;484 771;65 500;318 231;1 073 055;204 553;–;204 553;198 644;5 909
Nyugdíjasok összesen;3 257;30 051;11 969;5 656;108 726;159 659;771 142;176 274;834 085;225 928;2 007 429;771 142;207 031;564 111;106 911;664 231
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;840;11 847;3 697;3 361;34 178;53 923;207 031;75 075;373 503;97 864;753 473;207 031;207 031;–;31 812;175 219
nõk;2 417;18 204;8 272;2 295;74 548;105 736;564 111;101 199;460 582;128 064;1 253 956;564 111;–;564 111;75 099;489 012
Munkanélküliek összesen;18 119;26 726;29 265;19 935;54 983;149 028;52 622;83 907;16 242;66 048;218 819;52 622;33 301;19 321;50 980;1 642
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;5 351;11 372;13 156;15 752;37 199;82 830;33 301;46 062;15 417;39 656;134 436;33 301;33 301;–;33 301;–
nõk;12 768;15 354;16 109;4 183;17 784;66 198;19 321;37 845;825;26 392;84 383;19 321;–;19 321;17 679;1 642
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;4 842;16 870;7 121;4 818;26 683;60 334;53 148;72 530;18 453;45 637;189 768;53 148;30 197;22 951;51 351;1 797
Tanuló felnõttek;–;1 650;712;–;8 387;10 749;2 250;5 805;909;6 774;15 738;2 250;2 250;–;2 250;–
Egyéb Inaktív felnõttek;11 122;64 260;88 092;74 205;103 710;341 389;6 382;17 823;10 142;27 654;62 001;6 382;2 910;3 472;5 108;1 274
Nem tanuló gyermekek;36 328;105 449;229 861;155 597;122 798;650 033;–;–;–;–;–;–;–;–;–;–
Tanulók összesen;203 403;236 106;414 549;286 861;260 376;1 401 295;16 261;13 398;1 678;6 535;37 872;16 261;6 432;9 829;16 261;–
Összesen;404 984;1 046 766;1 319 896;718 166;1 249 640;4 739 452;1 383 104;1 345 964;1 049 236;1 119 743;4 898 047;1 383 104;558 867;824 237;705 562;677 542
2017;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;157 009;374 803;308 391;132 342;232 625;1 205 170;1 359 821;638 644;574 859;358 347;2 931 671;1 359 821;534 121;825 700;682 354;677 467
Adatszolgáltató háztartások száma;215;463;377;216;352;1 623;2 376;957;1 383;621;5 337;2 376;633;1 743;904;1 472
Háztartások átlagos taglétszáma;2,5;3,0;4,0;5,5;4,9;3,8;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;116 785;544 504;433 254;170 450;505 437;1 770 430;438 842;845 266;161 527;736 048;2 181 683;438 842;234 117;204 725;426 913;11 929
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;13 004;61 628;66 075;19 489;27 490;187 686;48 529;111 859;47 092;62 270;269 750;48 529;27 108;21 421;44 645;3 884
Aktív keresõk összesen;129 789;606 132;499 329;189 939;532 927;1 958 116;487 371;957 125;208 619;798 318;2 451 433;487 371;261 225;226 146;471 558;15 813
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;19 950;317 668;287 243;115 886;301 078;1 041 825;261 225;492 068;122 529;439 322;1 315 144;261 225;261 225;–;256 331;4 894
nõk;109 839;288 464;212 086;74 053;231 849;916 291;226 146;465 057;86 090;358 996;1 136 289;226 146;–;226 146;215 227;10 919
Nyugdíjasok összesen;2 827;34 674;7 869;3 872;104 058;153 300;755 569;144 106;881 131;235 722;2 016 528;755 569;209 613;545 956;96 525;659 044
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;375;11 989;4 812;2 464;29 851;49 491;209 613;59 247;407 328;91 511;767 699;209 613;209 613;–;26 618;182 995
nõk;2 452;22 685;3 057;1 408;74 207;103 809;545 956;84 859;473 803;144 211;1 248 829;545 956;–;545 956;69 907;476 049
Munkanélküliek összesen;23 833;26 705;16 478;15 790;44 216;127 022;32 187;64 952;24 843;68 104;190 086;32 187;16 593;15 594;30 802;1 385
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;6 276;8 367;8 000;12 952;29 401;64 996;16 593;27 126;18 744;41 104;103 567;16 593;16 593;–;16 593;–
nõk;17 557;18 338;8 478;2 838;14 815;62 026;15 594;37 826;6 099;27 000;86 519;15 594;–;15 594;14 209;1 385
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;3 976;15 111;4 069;4 232;20 597;47 985;56 381;75 997;24 509;43 511;200 398;56 381;34 975;21 406;55 719;662
Tanuló felnõttek;1 171;2 077;258;–;9 720;13 226;3 365;6 798;841;15 374;26 378;3 365;3 365;–;3 365;–
Egyéb Inaktív felnõttek;14 470;71 126;96 614;65 937;84 605;332 752;8 213;19 426;9 322;25 482;62 443;8 213;5 238;2 975;7 650;563
Nem tanuló gyermekek;28 520;130 148;227 481;156 694;103 295;646 138;–;–;–;–;–;–;–;–;–;–
Tanulók összesen;192 459;238 436;381 466;291 050;250 334;1 353 745;16 735;8 884;453;4 163;30 235;16 735;3 112;13 623;16 735;–
Összesen;397 045;1 124 409;1 233 564;727 514;1 149 752;4 632 284;1 359 821;1 277 288;1 149 718;1 190 674;4 977 501;1 359 821;534 121;825 700;682 354;677 467
2018;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;157 288;364 434;317 390;130 135;240 915;1 210 162;1 341 913;621 272;588 280;357 994;2 909 459;1 341 913;566 147;775 766;682 903;659 010
Adatszolgáltató háztartások száma;185;393;326;191;298;1 393;2 209;866;1 273;552;4 900;2 209;582;1 627;810;1 399
Háztartások átlagos taglétszáma;2,5;3,0;4,0;5,5;5,0;3,9;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;127 180;540 501;460 109;155 289;524 351;1 807 430;446 140;858 495;155 268;722 493;2 182 396;446 140;270 075;176 065;422 139;24 001
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;6 837;43 469;64 031;27 659;42 077;184 073;62 460;98 107;51 762;67 846;280 175;62 460;38 539;23 921;57 369;5 091
Aktív keresõk összesen;134 017;583 970;524 140;182 948;566 428;1 991 503;508 600;956 602;207 030;790 339;2 462 571;508 600;308 614;199 986;479 508;29 092
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;10 373;306 236;295 177;120 131;321 256;1 053 173;308 614;486 873;125 279;451 649;1 372 415;308 614;308 614;–;294 367;14 247
nõk;123 644;277 734;228 963;62 817;245 172;938 330;199 986;469 729;81 751;338 690;1 090 156;199 986;–;199 986;185 141;14 845
Nyugdíjasok összesen;1 359;36 418;9 376;3 599;88 290;139 042;705 992;129 785;909 679;242 886;1 988 342;705 992;187 758;518 234;85 366;620 626
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;–;11 883;4 596;1 268;22 597;40 344;187 758;41 621;416 321;95 156;740 856;187 758;187 758;–;26 681;161 077
nõk;1 359;24 535;4 780;2 331;65 693;98 698;518 234;88 164;493 358;147 730;1 247 486;518 234;–;518 234;58 685;459 549
Munkanélküliek összesen;11 519;37 692;20 242;14 066;47 933;131 452;40 981;55 319;12 474;46 051;154 825;40 981;23 961;17 020;35 073;5 908
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;1 661;16 181;11 233;5 980;18 426;53 481;23 961;29 015;5 348;31 714;90 038;23 961;23 961;–;23 961;–
nõk;9 858;21 511;9 009;8 086;29 507;77 971;17 020;26 304;7 126;14 337;64 787;17 020;–;17 020;11 112;5 908
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;8 093;9 596;6 670;1 859;25 117;51 335;59 513;60 207;35 327;39 704;194 751;59 513;37 171;22 342;57 507;2 006
Tanuló felnõttek;–;–;–;1 119;5 933;7 052;200;6 609;780;14 311;21 900;200;–;200;200;–
Egyéb Inaktív felnõttek;13 325;67 588;84 887;75 147;93 473;334 420;9 346;26 586;10 141;29 622;75 695;9 346;5 684;3 662;7 968;1 378
Nem tanuló gyermekek;25 092;114 276;208 509;151 949;114 532;614 358;–;–;–;–;–;–;–;–;–;–
Tanulók összesen;198 484;243 762;415 736;280 624;255 689;1 394 295;17 281;7 436;1 129;2 529;28 375;17 281;2 959;14 322;17 281;–
Összesen;391 889;1 093 302;1 269 560;711 311;1 197 395;4 663 457;1 341 913;1 242 544;1 176 560;1 165 442;4 926 459;1 341 913;566 147;775 766;682 903;659 010
2019;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;145 284;398 798;321 456;117 131;228 811;1 211 480;1 307 386;643 261;599 676;349 437;2 899 760;1 307 386;528 038;779 348;657 177;650 209
Adatszolgáltató háztartások száma;177;410;308;185;269;1 349;2 038;786;1 187;494;4 505;2 038;520;1 518;744;1 294
Háztartások átlagos taglétszáma;2,5;3,0;4,0;5,4;5,0;3,8;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;113 132;588 080;473 803;145 524;487 811;1 808 350;432 325;898 166;160 684;704 775;2 195 950;432 325;253 795;178 530;421 653;10 672
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;10 296;59 964;62 080;21 811;29 033;183 184;64 087;112 035;57 227;69 300;302 649;64 087;37 672;26 415;51 147;12 940
Aktív keresõk összesen;123 428;648 044;535 883;167 335;516 844;1 991 534;496 412;1 010 201;217 911;774 075;2 498 599;496 412;291 467;204 945;472 800;23 612
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;9 159;346 699;297 542;105 473;287 224;1 046 097;291 467;509 213;133 063;451 075;1 384 818;291 467;291 467;–;277 418;14 049
nõk;114 269;301 345;238 341;61 862;229 620;945 437;204 945;500 988;84 848;323 000;1 113 781;204 945;–;204 945;195 382;9 563
Nyugdíjasok összesen;2 695;22 372;7 321;1 461;90 721;124 570;707 260;101 133;920 459;244 530;1 973 382;707 260;175 989;531 271;82 799;624 461
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;899;10 780;1 927;915;26 749;41 270;175 989;33 041;418 731;99 699;727 460;175 989;175 989;–;18 523;157 466
nõk;1 796;11 592;5 394;546;63 972;83 300;531 271;68 092;501 728;144 831;1 245 922;531 271;–;531 271;64 276;466 995
Munkanélküliek összesen;10 435;32 718;24 477;9 700;49 996;127 326;33 469;60 696;16 409;50 962;161 536;33 469;23 992;9 477;33 469;–
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;2 084;11 883;9 384;6 212;22 670;52 233;23 992;32 999;12 635;29 331;98 957;23 992;23 992;–;23 992;–
nõk;8 351;20 835;15 093;3 488;27 326;75 093;9 477;27 697;3 774;21 631;62 579;9 477;–;9 477;9 477;–
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;4 487;17 333;8 876;2 705;28 837;62 238;43 950;63 733;32 363;40 254;180 300;43 950;26 779;17 171;42 524;1 426
Tanuló felnõttek;–;–;–;–;11 235;11 235;1 281;14 326;850;20 616;37 073;1 281;–;1 281;1 281;–
Egyéb Inaktív felnõttek;14 066;91 550;79 682;60 011;76 201;321 510;10 221;23 676;8 460;25 627;67 984;10 221;5 494;4 727;9 511;710
Nem tanuló gyermekek;24 463;147 473;222 032;122 135;97 687;613 790;–;–;–;–;–;–;–;–;–;–
Tanulók összesen;180 446;236 904;407 553;271 626;279 685;1 376 214;14 793;12 757;2 900;2 791;33 241;14 793;4 317;10 476;14 793;–
Összesen;360 020;1 196 394;1 285 824;634 973;1 151 206;4 628 417;1 307 386;1 286 522;1 199 352;1 158 855;4 952 115;1 307 386;528 038;779 348;657 177;650 209
2020;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;177 340;395 742;331 361;144 165;200 904;1 249 512;1 306 258;627 264;589 210;337 248;2 859 980;1 306 258;540 864;765 394;678 745;627 513
Adatszolgáltató háztartások száma;191;387;318;173;219;1 288;1 944;716;1 065;426;4 151;1 944;527;1 417;751;1 193
Háztartások átlagos taglétszáma;2,4;3,0;4,0;5,4;5,0;3,8;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;134 030;566 804;468 034;193 944;431 099;1 793 911;468 968;859 324;155 294;657 389;2 140 975;468 968;282 633;186 335;450 845;18 123
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;14 525;81 713;79 823;17 065;30 256;223 382;70 204;129 905;33 469;82 409;315 987;70 204;32 573;37 631;60 514;9 690
Aktív keresõk összesen;148 555;648 517;547 857;211 009;461 355;2 017 293;539 172;989 229;188 763;739 798;2 456 962;539 172;315 206;223 966;511 359;27 813
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;23 023;337 266;311 002;125 851;267 221;1 064 363;315 206;525 988;106 685;421 831;1 369 710;315 206;315 206;–;306 528;8 678
nõk;125 532;311 251;236 855;85 158;194 134;952 930;223 966;463 241;82 078;317 967;1 087 252;223 966;–;223 966;204 831;19 135
Nyugdíjasok összesen;5 456;28 405;4 508;4 135;86 464;128 968;674 096;102 071;935 243;237 146;1 948 556;674 096;168 723;505 373;76 779;597 317
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;1 974;14 303;2 097;1 497;30 855;50 726;169 138;31 782;418 582;92 914;712 416;169 138;168 723;415;12 448;156 690
nõk;3 482;14 102;2 411;2 638;55 609;78 242;504 958;70 289;516 661;144 232;1 236 140;504 958;–;504 958;64 331;440 627
Munkanélküliek összesen;25 778;50 212;32 184;17 439;69 611;195 224;39 499;55 302;16 224;38 789;149 814;39 499;26 948;12 551;39 499;–
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;10 307;21 442;19 672;11 064;29 895;92 380;26 948;22 233;11 721;24 945;85 847;26 948;26 948;–;26 948;–
nõk;15 471;28 770;12 512;6 375;39 716;102 844;12 551;33 069;4 503;13 844;63 967;12 551;–;12 551;12 551;–
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;3 324;16 220;4 035;3 597;23 770;50 946;40 544;59 124;29 840;51 157;180 665;40 544;25 988;14 556;39 323;1 221
Tanuló felnõttek;1 071;1 490;291;770;8 651;12 273;1 197;11 250;1 233;9 386;23 066;1 197;–;1 197;873;324
Egyéb Inaktív felnõttek;12 669;72 290;85 715;64 901;63 477;299 052;5 956;24 986;7 117;18 654;56 713;5 956;1 740;4 216;4 703;1 253
Nem tanuló gyermekek;29 325;134 647;263 567;150 773;89 439;667 751;–;–;–;–;–;–;–;–;–;–
Tanulók összesen;194 881;235 445;387 287;324 673;197 549;1 339 835;6 209;12 566;–;6 255;25 030;6 209;2 259;3 950;6 209;–
Összesen;421 059;1 187 226;1 325 444;777 297;1 000 316;4 711 342;1 306 673;1 254 528;1 178 420;1 101 185;4 840 806;1 306 673;540 864;765 809;678 745;627 928
