21.1.1.26. Nemzeti adólista – az adók és társadalombiztosítási hozzájárulások nemzeti osztályozásának teljes részletezése – Kormányzat [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Adónév a nemzeti besorolás szerint;Gazdasági funkció;Alkohol- és dohány-, valamint környezetvédelmi és ingatlanadók;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.214E_03;Reklámadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;4 082;5 675;13 010;4 730;13 903;6 451;0;0
D.214F;Lottójátékra, szerencsejátékra és fogadásra kivetett adók;;;6 761;9 248;12 202;14 627;17 789;29 089;34 573;39 892;49 140;61 298;67 426;71 449;71 811;73 294;65 050;62 718;64 088;61 452;41 316;45 830;44 972;33 126;38 065;39 265;39 656;48 956;39 237
D.214F_01;Játékadó;C ;;6 761;9 248;12 202;14 627;17 789;29 089;34 573;39 892;49 140;61 298;67 426;71 449;71 811;73 294;65 050;62 718;64 088;61 452;41 316;45 830;44 972;33 126;38 065;39 265;39 656;48 956;39 237
D.214G;Biztosítási díjakra kivetett adók;;;–;–;–;–;–;1 640;2 017;2 426;2 970;2 821;3 227;3 403;4 596;5 018;4 841;4 018;3 416;25 927;51 401;52 649;57 802;65 746;73 633;83 811;92 909;97 210;105 121
D.214G_01;Baleseti adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;25 927;23 313;23 902;27 694;32 876;37 904;43 801;5 125;-10;–
D.214G_02;Biztosítási adó ;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;27 078;28 713;30 088;32 851;35 691;40 019;87 804;97 220;105 121
D.214G_03;Tûzvédelmi hozzájárulás;C ;;–;–;–;–;–;1 640;2 017;2 426;2 970;2 821;3 227;3 403;4 596;5 018;4 841;4 018;3 416;0;1 010;34;20;19;38;-9;-20;–;–
D.214H;Egyéb, meghatározott szolgáltatásokra kivetett adók;;;1 684;2 410;2 096;3 625;4 493;4 571;5 083;1 668;24;–;–;–;–;–;–;–;–;18 322;346 136;340 172;271 255;263 504;281 982;323 832;342 448;295 606;309 456
D.214H_01;Turisztikai hozzájárulás;C ;;1 684;2 410;2 096;3 625;4 493;4 571;5 083;1 668;24;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_02;Távközlési adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;18 322;50 176;55 841;54 516;53 162;53 609;53 732;53 412;58 709;57 793
D.214H_03;Hulladéklerakási járulék;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;6 639;9 796;11 123;8 742;12 036;14 648;16 177;15 473;16 078
D.214H_04;Turizmusfejlesztési hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;21 088;27 311;7 445;339
D.214H_05;Pénzügyi tranzakciós adó ;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;289 321;274 535;205 616;201 600;216 337;234 364;245 548;213 979;235 246
D.214I;Általános forgalmi adók;;;42 777;72 105;101 258;132 205;190 805;206 556;246 220;271 983;331 975;419 120;467 897;553 398;648 196;709 369;721 942;904 581;945 302;967 448;772 315;780 558;840 425;854 813;886 156;965 438;1 055 558;1 020 107;1 095 915
D.214I_01;Helyi iparûzési adó;KIC ;;38 190;66 130;92 357;123 304;171 072;186 823;226 460;252 603;271 995;310 535;334 077;380 158;427 134;465 075;472 155;443 093;457 308;471 031;500 868;523 125;584 380;608 982;638 731;711 276;788 308;729 000;754 982
D.214I_02;Egyszerûsített vállalkozási adó (EVA);KS ;;–;–;–;–;–;–;–;–;42 950;74 550;96 211;118 794;152 812;166 537;169 704;181 880;172 273;146 531;110 021;96 829;89 406;81 138;63 641;54 117;43 364;1 690;–
D.214I_03;Innovációs járulék;KIC ;;–;–;–;–;–;–;–;–;–;19 514;20 240;23 483;28 810;25 388;23 411;22 405;25 495;53 796;61 971;68 903;65 780;65 597;67 642;73 858;78 303;88 797;94 748
D.214I_04;Közfinanszírozott gyógyszerek forgalma után fizetett adó;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;20 258;30 322;31 663;28 104;40 055;41 441;40 496;42 263;45 529;43 581;45 940;48 676;51 318;53 064;53 447
D.214I_05;Ágazati különadók;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;151 693;171 943;165 645;9 815;–;–;–;1 112;669;94;–;–
D.214I_06;Pénzügyi szervezetek különadója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;39 611;34 630;33 964;1 217;1 293;1 390;1 088;1 125;243;334;391;–
D.214I_07;Népegészségügyi termékadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;4 643;19 208;19 090;20 390;29 882;28 983;34 171;40 727;54 912;57 685;66 346
D.214I_08;Szénhidrogén készletezési díj;C ;E ;4 587;5 975;8 901;8 901;19 733;19 733;19 760;19 380;17 030;14 521;17 369;30 963;19 182;22 047;25 009;37 795;38 955;35 832;28 837;27 755;20 753;22 736;30 962;32 846;35 831;38 721;43 965
D.214I_09;Forgalmazók és befektetési alapok különadója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2 765;2 708;2 832;3 026;3 094;3 122;3 833
D.214I_10;Dohányipari vállalkozások egészségügyi hozzájárulása;C ;AT;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;540;–;–;–;–;–;–
D.214I_11;Kiskereskedelmi adó;KS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;47 637;78 594
D.214J;Fiskális monopóliumok nyeresége;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214K;Exportvámok és az exportra kivetett monetáris kompenzációs összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L;Egyéb, máshová nem sorolt termékadók;;;4 094;5 362;6 529;6 461;8 114;8 630;8 208;9 209;11 048;10 376;6 503;12 067;10 165;8 700;8 380;3 305;26 976;51 815;53 020;51 849;68 736;56 764;61 532;36 110;32 756;30 691;35 819
D.214L_01;Bérfõzetési szeszadó;C ;AT;1 490;2 543;2 631;2 244;3 306;3 848;3 143;3 504;5 723;5 285;3 401;7 255;5 621;5 785;8 272;3 021;180;183;196;444;8 007;2 249;6 803;8 078;7 640;6 535;3 043
D.214L_02;Erdõfenntartási járulék;C ;RS;2 060;2 195;3 183;3 368;3 200;2 989;3 660;4 341;3 859;3 797;2 052;3 708;3 353;2 915;108;284;36;319;0;331;–;–;–;–;–;–;–
D.214L_03;Tenyésztési hozzájárulás;C ;;536;624;715;849;833;931;1 215;1 118;1 144;921;722;787;912;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_04;Halászatfejlesztési hozzájárulás;C ;RS;8;0;0;0;177;209;9;15;31;104;107;91;103;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_05;Vadvédelmi hozzájárulás;C ;RS;–;–;–;–;598;653;181;231;291;269;221;226;176;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_06;Cukorilleték;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_07;Energiaipari befizetések (MAVIR);C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;26 760;51 313;52 824;51 074;60 729;54 515;54 729;28 032;25 116;24 156;32 776
D.29;Egyéb termelési adók;;;18 350;31 451;42 897;53 506;65 034;76 219;88 257;102 278;111 383;141 583;157 172;173 919;207 649;222 086;248 082;434 675;469 696;525 040;627 788;665 344;716 415;690 676;768 085;838 415;977 871;1 049 752;1 124 082
D.29A;Földekre, épületekre vagy egyéb építményekre kivetett adók;;;5 320;10 070;12 993;15 504;19 715;22 090;30 671;34 212;39 821;44 774;50 881;54 878;62 868;71 735;77 247;82 401;91 355;113 871;177 074;178 179;186 997;194 673;202 198;203 696;206 198;209 199;220 217
D.29A_01;Építményadó;KS ;RP;4 144;8 313;10 752;13 056;16 629;19 215;26 259;29 178;34 098;38 240;44 440;47 895;54 556;61 916;66 683;71 025;80 987;96 318;102 719;105 022;111 963;117 521;123 130;126 277;127 594;130 529;137 766
D.29A_02;Telekadó;KS ;RP;813;1 296;1 717;1 811;2 262;1 983;3 242;3 943;4 476;5 346;5 184;5 705;6 900;8 328;9 114;9 861;10 310;17 523;19 395;17 938;19 102;22 112;24 018;23 165;24 095;26 168;28 324
D.29A_03;Épületek utáni idegenforgalmi adó;KS ;RP;363;461;524;637;824;892;1 170;1 091;1 247;1 188;1 257;1 278;1 412;1 491;1 450;1 515;58;30;21;198;26;8;8;–;–;–;–
D.29A_04;Közmûvezetékek utáni adó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;54 939;55 021;55 906;55 032;55 042;54 254;54 509;52 502;54 127
D.29B;Állóeszközök használatára kivetett adók;;;3 494;8 798;9 750;11 005;14 519;19 581;15 849;16 272;20 091;30 261;32 489;33 780;42 945;43 575;64 204;71 064;71 852;80 781;72 490;71 889;73 264;73 710;76 865;81 168;87 810;88 341;97 166
D.29B_01;Gépjármûadó (központi);KS ;T;1 997;4 353;4 716;5 289;7 334;7 340;6 849;6 938;885;858;853;846;1 288;1 324;676;79;37;0;23 551;24 177;25 034;25 005;26 125;27 300;28 710;48 646;54 172
D.29B_02;Gépjármûadó (helyi);KS ;T;1 497;4 445;5 034;5 716;7 185;12 241;9 000;9 334;19 206;29 403;31 636;32 934;41 657;42 251;40 468;45 118;46 576;46 488;16 004;16 173;16 660;16 620;17 401;18 192;19 224;125;–
D.29B_03;Cégautóadó;KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;23 060;25 867;25 239;34 293;32 935;31 539;31 570;32 085;33 339;35 676;36 928;37 511;39 689
D.29B_04;Cukortermelés szerkezeti átalakítása miatti illeték;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_05;Gépjármûadó (túlsúlydíj);KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2 948;2 059;3 305
D.29C;Az összbértömeg után kivetett adók és létszámadók;;;3 264;4 451;10 666;9 739;14 434;16 721;19 594;22 544;24 206;32 325;40 612;44 912;61 641;63 403;67 977;113 688;128 408;156 381;206 403;221 277;241 721;270 323;340 146;410 183;494 882;501 272;598 580
D.29C_01;Rehabilitációs hozzájárulás;LEYRS;;310;513;691;1 022;1 859;2 199;2 502;2 836;3 315;8 487;11 540;12 447;13 559;14 778;14 951;56 004;66 427;63 409;64 400;66 166;67 460;70 496;80 661;92 654;102 990;107 943;113 893
D.29C_02;Szakképzési hozzájárulás;LEYRS;;2 437;3 182;9 080;7 623;11 221;13 330;15 900;18 552;19 743;22 674;27 919;31 197;36 612;42 760;43 516;47 083;49 647;80 157;89 348;89 804;96 427;106 109;121 479;133 618;145 280;140 481;162 361
D.29C_03;Kommunális adó;LEYRS;;517;756;895;1 094;1 354;1 192;1 192;1 156;1 148;1 164;1 153;1 268;1 261;1 325;1 291;1 170;102;16;2;–;–;–;–;–;–;–;–
D.29C_04;Gyógyszerismertetõk után fizetett adó;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;10 209;4 540;8 219;9 431;12 232;12 799;9 547;9 749;10 283;8 631;12 757;11 113;10 179;9 543;8 574
D.29C_05;Kisadózók tételes adója (KATA);KISE;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;31 241;43 107;55 409;71 330;100 972;127 779;161 207;158 736;197 020
D.29C_06;Kisvállalati adó (KIVA);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;11 865;12 451;12 142;13 757;24 277;45 019;75 226;84 569;116 732
D.29D;Nemzetközi tranzakciókra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E;Üzleti vagy szakmai engedélyekért fizetett összegek;;;6 272;8 132;9 488;13 698;12 969;16 870;16 068;18 016;20 705;21 650;25 732;25 579;25 093;24 801;24 346;157 935;163 843;164 290;154 392;171 961;181 845;113 681;115 638;103 654;102 727;170 903;123 007
D.29E_01;Koncessziós díj;KS ;;–;700;184;535;845;650;1 098;1 464;1 804;1 511;1 613;1 672;1 635;1 492;1 583;1 341;1 731;1 007;1 065;1 197;4 290;4 262;4 394;4 633;4 812;5 025;5 646
D.29E_02;Eljárási illeték;KS ;;4 236;4 522;5 692;7 404;7 811;11 126;11 151;12 397;16 430;17 263;20 861;20 194;19 837;19 714;18 117;16 426;14 760;15 943;16 463;16 126;15 694;15 785;17 292;16 294;16 175;15 271;9 411
D.29E_03;Rendkívüli tõkeadók;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;135 652;139 222;138 581;128 560;138 141;135 661;59 938;51 594;42 591;44 894;53 571;52 176
D.29E_04;Tagdíjbevétel (BEVA);KS ;O;–;–;38;653;671;671;673;673;659;784;820;1 002;1 195;1 051;1 098;1 036;1 138;986;1 000;1 071;2 600;9 343;10 221;7 545;7 328;7 624;7 714
D.29E_05;Tagdíjbevétel (OBA);KS ;O;2 036;2 910;3 574;4 993;3 405;4 091;2 747;3 072;1 239;1 342;1 578;1 734;1 676;1 010;2 280;2 435;6 975;7 773;7 299;12 134;14 391;14 750;15 613;15 347;10 041;10 027;13 536
D.29E_06;Tagdíjbevétel (Szanálási Alap);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1 987;7 290;7 397;8 712;10 553;12 114;16 576;23 634
D.29E_07;Tagdíjbevétel (SZHTKA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;5;249;923;1 133;1 023;1 159;1 166;1 226;3 129
D.29E_08;Tagdíjbevétel (Kárrendezési Alap);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;5 573;4 285;4 765;4 744;4 814
D.29E_09;Koncessziós díj (dohányboltok);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1 056;996;1 073;1 216;1 247;1 432;2 306;2 815
D.29E_10;Tagdíjbevétel (Pénztárak Garancia Alapja);KS ;;–;–;–;113;237;332;399;410;573;750;860;977;750;1 534;1 268;1 045;17;–;–;–;–;–;–;–;–;–;–
D.29E_11;Hitelintézetek járványügyi különadója;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;54 533;132
D.29F;Környezetszennyezésre kivetett adók;;;–;–;–;–;–;–;–;–;–;6 513;3 218;5 708;8 302;10 691;11 073;6 939;6 606;7 603;17 318;20 477;23 432;30 895;24 912;32 273;78 111;80 037;85 112
D.29F_01;Környezetterhelési díj;C ;P ;–;–;–;–;–;–;–;–;–;6 513;3 218;5 708;8 302;10 691;11 073;6 939;6 606;7 603;6 757;5 915;5 953;5 141;5 082;5 862;5 889;5 860;5 527
D.29F_02;Széndioxid kvóta értékesítés bevétele;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;10 561;14 562;17 479;25 754;19 830;26 411;72 222;74 177;79 585
D.29G;Héa-alulkompenzáció (átalányrendszer);;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H;Egyéb, máshová nem sorolt termelési adók;;;–;–;–;3 560;3 397;957;6 075;11 234;6 560;6 060;4 240;9 062;6 800;7 881;3 235;2 648;7 632;2 114;111;1 561;9 156;7 394;8 326;7 441;8 143;0;0
D.29H_01;Gyógyszertári szolidaritási díj;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;89;127;245;163;188;537;111;–;–;–;–;–;–;–;–
D.29H_02;Nukleáris hozzájárulás;KS ;E ;–;–;–;3 560;3 397;957;6 075;11 234;6 560;6 060;4 240;9 062;6 711;7 754;2 990;2 485;7 444;1 577;0;1 561;9 156;7 394;8 326;7 441;8 143;0;0
D.5;Folyó jövedelem-, vagyon-, stb. adók;;;491 533;639 873;767 415;904 213;1 070 581;1 282 079;1 524 088;1 722 545;1 780 328;1 850 618;1 973 356;2 210 875;2 577 587;2 792 991;2 539 015;2 127 905;1 769 071;1 946 962;1 978 897;2 191 687;2 376 176;2 616 913;2 804 826;2 856 929;3 121 146;3 239 287;3 095 779
D.51;Jövedelemadók;;;482 584;627 011;750 681;885 028;1 049 136;1 254 204;1 494 748;1 690 969;1 738 935;1 801 321;1 915 350;2 153 953;2 517 042;2 728 474;2 476 360;2 064 319;1 706 179;1 880 924;1 905 475;2 120 234;2 299 758;2 538 148;2 725 628;2 773 471;3 033 907;3 165 590;3 011 689
D.51M;Egyének vagy háztartások jövedelmére kivetett adók, beleértve az eszköztartási nyereséget;;;376 308;500 097;586 525;667 734;786 681;961 482;1 142 892;1 294 413;1 325 273;1 363 283;1 449 725;1 599 001;1 816 574;2 033 568;1 897 169;1 734 663;1 367 832;1 513 186;1 501 244;1 598 030;1 698 455;1 720 725;1 951 872;2 201 574;2 445 576;2 543 302;2 254 828
D.51M_01;Személyi jövedelemadó (szja);SPLIT1 ;;376 308;500 097;586 525;667 734;786 681;961 482;1 142 892;1 294 413;1 325 273;1 363 283;1 449 725;1 599 001;1 816 574;2 033 568;1 897 169;1 734 663;1 367 832;1 513 186;1 501 244;1 598 030;1 698 455;1 720 725;1 951 872;2 201 574;2 445 576;2 543 302;2 254 828
D.51A;Egyének vagy háztartások jövedelmére kivetett adók, kivéve az eszköztartási nyereséget;;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C1;Az egyéneknél vagy háztartásokban jelentkezõ eszköztartási nyereségre kivetett adók;;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51O;Vállalatok jövedelmére vagy nyereségére kivetett adók, beleértve az eszköztartási nyereséget;;;106 276;126 914;164 156;217 294;262 455;292 722;351 856;396 556;413 662;438 038;465 625;554 952;700 268;694 865;555 021;312 598;321 441;362 088;350 153;487 241;559 679;771 188;720 626;512 240;542 771;558 664;679 582
D.51O_01;Társasági nyereségadó;KIC ;;106 276;126 914;164 156;217 294;262 455;292 722;351 856;396 556;413 662;438 038;465 625;468 679;510 781;482 524;385 543;323 370;316 620;342 305;322 467;457 538;539 777;756 652;710 069;506 674;534 518;549 822;674 002
D.51O_02;Különadó;KIC ;;–;–;–;–;–;–;–;–;–;–;–;50 947;178 598;200 493;156 859;-32 390;-16 100;–;–;–;–;–;–;–;–;–;–
D.51O_03;Pénzintézetek különadója;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;11 584;11 532;10 040;10 178;9 121;9 780;9 464;8 663;7 439;8 362;8 881;5 578
D.51O_04;Hitelintézeti járadék;KIC ;;–;–;–;–;–;–;–;–;–;–;–;35 326;10 889;11 848;12 619;10 034;9 389;9 743;17 508;20 582;10 122;5 072;1 894;-1 873;-109;-39;2
D.51B;Vállalatok jövedelmére vagy nyereségére kivetett adók, kivéve az eszköztartási nyereséget;;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C2;Vállalatok eszköztartási nyereségére kivetett adók;;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C3;Egyéb, eszköztartási nyereségre kivetett adók;;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C;Eszköztartási nyereségre kivetett adók;;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51D;Lottójáték vagy szerencsejáték nyereményeire kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
