14.1.1.28. A háztartások száma, a háztartásban élõ személyek jellemzõi a jövedelemszerzõ tevékenységük, a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint;;;;;;;;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
Háztartások átlagos taglétszáma;2,3;2,7;2,9;1,9;1,5;2,2;2,4;2,2;2,5;2,0;1,4;1,4;3,6;2,9;2,4;4,4
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;3 735 892;111 012;2 858 290;688 971;77 619;463 211;1 401 438;818 641;1 052 602;155 153;837 825;96 491;2 049 676;55 131;281 028;260 588
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;453 835;6 399;299 263;122 295;25 878;17 234;138 704;126 222;171 675;14 727;95 422;43 932;218 006;2 551;57 610;21 587
Aktív keresõk összesen;4 189 727;117 411;3 157 553;811 266;103 497;480 445;1 540 142;944 863;1 224 277;169 880;933 247;140 423;2 267 682;57 682;338 638;282 175
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;2 267 829;63 185;1 718 485;427 459;58 700;266 377;869 349;492 250;639 853;94 171;527 107;76 483;1 193 044;30 186;202 181;144 657
nõk;1 921 898;54 226;1 439 068;383 807;44 797;214 068;670 793;452 613;584 424;75 709;406 140;63 940;1 074 638;27 496;136 457;137 518
Nyugdíjasok összesen;2 144 612;9 080;277 379;443 942;1 414 211;549 052;768 132;437 204;390 224;–;37 831;1 542 824;29 301;56 072;324 224;154 360
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;778 624;1 897;93 316;161 416;521 995;160 838;310 670;143 168;163 948;–;10 393;576 158;14 225;19 584;110 102;48 162
nõk;1 365 988;7 183;184 063;282 526;892 216;388 214;457 462;294 036;226 276;–;27 438;966 666;15 076;36 488;214 122;106 198
Munkanélküliek összesen;455 438;18 757;290 112;120 916;25 653;179 964;172 046;62 669;40 759;6 299;87 061;27 543;236 482;9 736;47 947;40 370
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;262 113;10 879;157 929;74 174;19 131;113 455;94 986;30 790;22 882;2 853;57 231;16 006;123 119;7 592;36 344;18 968
nõk;193 325;7 878;132 183;46 742;6 522;66 509;77 060;31 879;17 877;3 446;29 830;11 537;113 363;2 144;11 603;21 402
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;311 173;7 836;140 084;138 009;25 244;86 835;142 952;51 367;30 019;–;88 712;42 019;93 457;5 421;56 770;24 794
Tanuló felnõttek;44 124;–;32 639;9 554;1 931;–;13 331;16 283;14 510;8 272;1 522;–;26 487;2 945;937;3 961
Egyéb Inaktív felnõttek;406 817;11 562;329 064;45 729;20 462;118 857;129 788;71 119;87 053;20 958;15 113;9 264;301 879;7 532;11 423;40 648
Nem tanuló gyermekek;672 364;17 266;618 236;27 200;9 662;153 789;183 553;123 856;211 166;47 120;–;–;567 174;7 911;–;50 159
Tanulók, hallgatók;1 443 572;70 682;1 247 782;95 651;29 457;239 480;543 419;274 191;386 482;62 202;–;–;1 215 224;24 273;–;141 873
Összesen;9 667 827;252 594;6 092 849;1 692 267;1 630 117;1 808 422;3 493 363;1 981 552;2 384 490;314 731;1 163 486;1 762 073;4 737 686;171 572;779 939;738 340
2016;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 134 920;98 050;2 073 749;827 327;1 135 794;804 263;1 112 442;1 299 810;918 405;155 744;800 973;1 313 281;1 281 654;54 876;353 747;174 645
Adatszolgáltató háztartások száma;7 485;127;2 998;1 578;2 782;1 799;2 175;2 216;1 295;125;1 087;3 159;1 861;107;795;351
Háztartások átlagos taglétszáma;2,3;2,7;2,9;2,0;1,5;2,2;2,4;2,3;2,4;2,0;1,5;1,4;3,6;2,9;2,3;4,3
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;3 868 764;140 043;2 942 803;703 288;82 630;484 779;1 093 891;1 313 781;976 313;165 077;864 576;105 297;2 098 775;50 811;309 311;274 917
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;464 621;7 436;297 346;123 308;36 531;25 234;96 344;166 058;176 985;5 250;104 759;52 972;209 763;3 536;60 640;27 701
Aktív keresõk összesen;4 333 385;147 479;3 240 149;826 596;119 161;510 013;1 190 235;1 479 839;1 153 298;170 327;969 335;158 269;2 308 538;54 347;369 951;302 618
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;2 324 099;78 752;1 744 861;432 816;67 670;280 312;687 363;783 438;572 986;97 001;531 314;75 315;1 206 163;35 961;227 473;150 872
nõk;2 009 286;68 727;1 495 288;393 780;51 491;229 701;502 872;696 401;580 312;73 326;438 021;82 954;1 102 375;18 386;142 478;151 746
Nyugdíjasok összesen;2 167 088;11 912;305 003;398 404;1 451 769;540 488;604 809;635 901;385 890;–;38 139;1 539 678;32 640;56 956;338 055;161 620
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;807 396;1 968;97 210;159 389;548 829;164 206;260 822;212 531;169 837;–;15 777;590 572;15 118;22 246;116 055;47 628
nõk;1 359 692;9 944;207 793;239 015;902 940;376 282;343 987;423 370;216 053;–;22 362;949 106;17 522;34 710;222 000;113 992
Munkanélküliek összesen;367 847;14 162;235 478;91 977;26 230;153 841;114 262;76 619;23 125;8 842;84 369;23 018;172 611;4 036;47 291;27 680
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;217 266;11 632;127 037;58 715;19 882;94 629;70 800;39 707;12 130;3 291;49 152;12 640;96 632;1 864;37 848;15 839
nõk;150 581;2 530;108 441;33 262;6 348;59 212;43 462;36 912;10 995;5 551;35 217;10 378;75 979;2 172;9 443;11 841
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;250 102;8 950;109 426;107 225;24 501;72 610;101 402;51 964;24 126;–;68 029;45 686;68 648;5 565;43 648;18 526
Tanuló felnõttek;26 487;–;14 457;10 476;1 554;2 507;1 452;9 989;12 539;3 111;600;–;15 486;2 608;213;4 469
Egyéb Inaktív felnõttek;403 390;12 613;318 580;52 141;20 056;111 630;111 687;94 604;85 469;24 890;10 758;10 642;289 437;6 534;18 654;42 475
Nem tanuló gyermekek;650 033;12 890;592 037;36 176;8 930;160 503;164 311;161 237;163 982;52 350;–;–;547 481;6 444;–;43 758
Tanulók, hallgatók;1 439 167;57 436;1 256 412;92 332;32 987;253 619;400 585;429 126;355 837;45 014;–;–;1 228 034;20 752;–;145 367
Összesen;9 637 499;265 442;6 071 542;1 615 327;1 685 188;1 805 211;2 688 743;2 939 279;2 204 266;304 534;1 171 230;1 777 293;4 662 875;157 242;817 812;746 513
2017;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 136 841;97 951;2 062 605;813 516;1 162 769;765 935;1 106 507;1 297 898;966 501;149 168;775 941;1 340 772;1 279 604;54 584;368 543;168 229
Adatszolgáltató háztartások száma;6 960;127;2 684;1 456;2 693;1 660;2 036;2 069;1 195;108;978;3 078;1 633;103;766;294
Háztartások átlagos taglétszáma;2,3;3,0;2,9;1,9;1,5;2,2;2,4;2,3;2,4;2,0;1,4;1,4;3,6;2,7;2,3;4,3
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;3 952 113;153 511;2 961 667;739 705;97 230;484 457;1 103 131;1 321 357;1 043 168;155 236;834 922;134 943;2 134 738;51 582;365 748;274 944
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;457 436;6 863;290 747;104 051;55 775;25 708;93 535;163 075;175 118;11 420;99 327;61 252;199 136;6 867;57 376;22 058
Aktív keresõk összesen;4 409 549;160 374;3 252 414;843 756;153 005;510 165;1 196 666;1 484 432;1 218 286;166 656;934 249;196 195;2 333 874;58 449;423 124;297 002
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;2 356 969;88 003;1 747 391;439 367;82 208;292 366;703 462;771 819;589 322;87 319;505 670;99 656;1 215 503;32 957;259 254;156 610
nõk;2 052 580;72 371;1 505 023;404 389;70 797;217 799;493 204;712 613;628 964;79 337;428 579;96 539;1 118 371;25 492;163 870;140 392
Nyugdíjasok összesen;2 169 828;18 548;309 083;367 652;1 474 545;517 378;625 639;625 906;400 905;–;36 263;1 562 342;27 351;53 502;331 843;158 527
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;817 190;4 199;98 688;138 165;576 138;158 120;276 953;204 954;177 163;–;17 392;610 766;11 508;16 409;113 620;47 495
nõk;1 352 638;14 349;210 395;229 487;898 407;359 258;348 686;420 952;223 742;–;18 871;951 576;15 843;37 093;218 223;111 032
Munkanélküliek összesen;317 108;13 635;209 986;64 612;28 875;122 947;92 826;80 886;20 449;2 940;54 933;26 308;151 765;3 860;45 798;31 504
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;168 563;8 140;106 039;34 629;19 755;65 729;50 652;43 868;8 314;1 791;24 049;11 217;75 477;1 776;33 805;20 448
nõk;148 545;5 495;103 947;29 983;9 120;57 218;42 174;37 018;12 135;1 149;30 884;15 091;76 288;2 084;11 993;11 056
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;248 383;5 454;105 168;110 237;27 524;72 007;96 333;53 972;26 071;1 422;77 822;47 182;47 317;4 266;51 578;18 796
Tanuló felnõttek;39 604;1 710;23 526;11 800;2 568;1 671;1 045;13 387;23 501;4 846;339;180;24 422;5 291;321;4 205
Egyéb Inaktív felnõttek;395 195;15 831;321 094;39 697;18 573;100 030;107 871;114 372;72 922;28 050;18 336;11 830;282 715;5 058;11 218;37 988
Nem tanuló gyermekek;646 138;20 254;600 606;14 679;10 599;141 398;153 263;193 488;157 989;54 237;–;–;539 231;6 890;–;45 780
Tanulók, hallgatók;1 383 980;57 662;1 213 394;94 747;18 177;222 290;389 287;406 251;366 152;38 397;–;–;1 199 644;12 146;–;133 793
Összesen;9 609 785;293 468;6 035 271;1 547 180;1 733 866;1 687 886;2 662 930;2 972 694;2 286 275;296 548;1 121 942;1 844 037;4 606 319;149 462;863 882;727 595
2018;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 119 621;110 751;1 980 457;852 571;1 175 842;732 504;1 124 302;1 310 809;952 006;133 286;777 251;1 351 843;1 270 801;57 095;350 201;179 144
Adatszolgáltató háztartások száma;6 293;121;2 273;1 353;2 546;1 523;1 843;1 912;1 015;95;860;2 903;1 409;88;681;257
Háztartások átlagos taglétszáma;2,3;3,1;2,9;1,9;1,5;2,2;2,4;2,3;2,4;2,0;1,5;1,4;3,6;2,8;2,4;4,1
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;3 989 826;188 215;2 845 923;832 163;123 525;480 465;1 182 605;1 307 422;1 019 334;150 056;850 649;175 587;2 116 248;51 889;348 769;296 628
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;464 248;8 204;268 257;134 443;53 344;25 507;86 872;188 792;163 077;3 057;105 278;68 751;207 916;6 788;52 053;20 405
Aktív keresõk összesen;4 454 074;196 419;3 114 180;966 606;176 869;505 972;1 269 477;1 496 214;1 182 411;153 113;955 927;244 338;2 324 164;58 677;400 822;317 033
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;2 425 588;109 573;1 695 346;528 433;92 236;297 282;754 723;785 647;587 936;89 293;548 468;135 367;1 201 692;31 080;255 553;164 135
nõk;2 028 486;86 846;1 418 834;438 173;84 633;208 690;514 754;710 567;594 475;63 820;407 459;108 971;1 122 472;27 597;145 269;152 898
Nyugdíjasok összesen;2 127 384;13 947;291 594;342 573;1 479 270;482 424;580 454;659 546;404 960;–;37 719;1 539 285;20 555;54 744;333 496;141 585
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;781 200;3 693;92 625;118 301;566 581;138 561;255 142;218 176;169 321;–;13 040;589 037;11 182;22 538;111 410;33 993
nõk;1 346 184;10 254;198 969;224 272;912 689;343 863;325 312;441 370;235 639;–;24 679;950 248;9 373;32 206;222 086;107 592
Munkanélküliek összesen;286 277;7 530;172 405;73 533;32 809;104 860;82 778;58 888;39 751;6 010;58 527;21 604;133 679;13 118;24 519;28 820
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;143 519;3 451;85 357;40 406;14 305;57 070;33 185;31 236;22 028;2 202;37 969;8 022;61 965;8 371;13 196;11 794
nõk;142 758;4 079;87 048;33 127;18 504;47 790;49 593;27 652;17 723;3 808;20 558;13 582;71 714;4 747;11 323;17 026
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;246 086;6 427;93 894;102 621;43 144;76 073;97 914;50 672;21 427;–;60 449;59 475;47 220;8 025;51 048;19 869
Tanuló felnõttek;28 952;–;16 036;6 968;5 948;2 827;4 002;7 432;14 691;1 824;200;275;15 300;4 726;984;5 643
Egyéb Inaktív felnõttek;410 115;22 119;327 451;45 762;14 783;109 169;130 015;95 064;75 867;22 761;17 376;15 047;294 101;6 211;17 894;36 725
Nem tanuló gyermekek;614 358;32 933;559 515;18 173;3 737;127 892;163 213;175 546;147 707;44 139;–;–;524 316;5 605;–;40 298
Tanulók, hallgatók;1 422 670;63 226;1 225 115;103 610;30 719;196 636;409 348;464 883;351 803;34 269;–;–;1 228 032;10 633;–;149 736
Összesen;9 589 916;342 601;5 800 190;1 659 846;1 787 279;1 605 853;2 737 201;3 008 245;2 238 617;262 116;1 130 198;1 880 024;4 587 367;161 739;828 763;739 709
2019;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 111 240;99 970;2 001 594;855 257;1 154 419;691 908;1 060 700;1 352 867;1 005 765;131 221;779 245;1 338 889;1 277 459;61 151;352 004;171 271
Adatszolgáltató háztartások száma;5 854;94;2 148;1 295;2 317;1 315;1 652;1 866;1 021;84;808;2 672;1 346;84;629;231
Háztartások átlagos taglétszáma;2,3;2,8;2,9;2,0;1,5;2,3;2,4;2,3;2,4;2,0;1,5;1,4;3,6;2,9;2,3;4,3
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;4 004 300;143 932;2 900 497;840 391;119 480;476 723;1 084 396;1 355 001;1 088 180;140 808;874 681;171 210;2 102 000;55 431;356 374;303 796
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;485 833;12 885;281 389;127 526;64 033;19 118;95 174;182 065;189 476;4 360;113 232;77 103;215 681;4 736;52 286;18 435
Aktív keresõk összesen;4 490 133;156 817;3 181 886;967 917;183 513;495 841;1 179 570;1 537 066;1 277 656;145 168;987 913;248 313;2 317 681;60 167;408 660;322 231
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;2 430 915;90 996;1 731 871;501 589;106 459;288 049;684 731;803 868;654 267;86 651;542 325;125 918;1 223 745;36 365;256 361;159 550
nõk;2 059 218;65 821;1 450 015;466 328;77 054;207 792;494 839;733 198;623 389;58 517;445 588;122 395;1 093 936;23 802;152 299;162 681
Nyugdíjasok összesen;2 097 952;11 322;284 207;347 185;1 455 238;440 514;562 391;695 450;399 597;–;22 620;1 534 093;16 510;53 129;313 661;157 939
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;768 730;4 274;99 671;126 099;538 686;126 946;242 155;241 933;157 696;–;7 484;576 074;13 207;17 644;104 877;49 444
nõk;1 329 222;7 048;184 536;221 086;916 552;313 568;320 236;453 517;241 901;–;15 136;958 019;3 303;35 485;208 784;108 495
Munkanélküliek összesen;288 862;12 602;174 236;75 785;26 239;121 577;78 999;64 968;23 318;4 998;54 792;20 887;142 442;8 576;37 203;19 964
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;151 190;5 934;86 016;43 897;15 343;56 124;40 112;42 533;12 421;3178;38216;11890;60881;3935;24185;8905
nõk;137 672;6 668;88 220;31 888;10 896;65 453;38 887;22 435;10 897;1 820;16 576;8 997;81 561;4 641;13 018;11 059
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;242 538;3 708;100 849;111 900;26 081;69 138;99 943;57 037;16 420;–;52 928;50 711;61 247;6 942;51 193;19 517
Tanuló felnõttek;48 308;2 880;22 218;15 065;8 145;3 838;8 012;23 226;13 232;4 168;4 291;–;22 311;8 205;1 882;7 451
Egyéb Inaktív felnõttek;389 494;17 571;307 792;46 291;17 840;102 284;110 173;90 937;86 100;28 984;18 886;12 804;270 863;15 680;12 144;30 133
Nem tanuló gyermekek;613 790;19 848;569 164;18 874;5 904;129 586;146 708;153 454;184 042;48 287;–;–;520 148;10 501;–;34 854
Tanulók, hallgatók;1 409 455;52 763;1 227 167;109 059;20 466;224 659;361 557;425 164;398 075;31 819;–;–;1 217 930;16 006;–;143 700
Összesen;9 580 532;277 511;5 867 519;1 692 076;1 743 426;1 587 437;2 547 353;3 047 302;2 398 440;263 424;1 141 430;1 866 808;4 569 132;179 206;824 743;735 789
2020;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 121 936;93 260;2 092 891;806 080;1 129 705;625 694;1 101 656;1 301 592;1 092 994;176 064;800 187;1 304 305;1 264 999;53 054;353 206;170 121
Adatszolgáltató háztartások száma;5 450;84;2 110;1 129;2 127;1 042;1 537;1 762;1 109;111;814;2 430;1 227;71;580;217
Háztartások átlagos taglétszáma;2,3;3,1;2,9;2,0;1,5;2,3;2,4;2,3;2,3;2,0;1,4;1,4;3,6;3,0;2,4;4,3
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;3 955 754;150 766;2 918 800;781 541;104 647;432 280;1 129 854;1 241 235;1 152 385;200 740;866 114;180 467;1 992 264;51 122;373 615;291 432
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;542 969;11 400;379 768;110 463;41 338;21 194;122 882;191 747;207 146;17 156;136 804;44 590;264 353;7 223;50 609;22 234
Aktív keresõk összesen;4 498 723;162 166;3 298 568;892 004;145 985;453 474;1 252 736;1 432 982;1 359 531;217 896;1 002 918;225 057;2 256 617;58 345;424 224;313 666
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;2 446 833;98 436;1 804 027;475 244;69 126;263 505;738 245;754 928;690 155;133 473;560 097;111 822;1 184 319;34 376;264 362;158 384
nõk;2 051 890;63 730;1 494 541;416 760;76 859;189 969;514 491;678 054;669 376;84 423;442 821;113 235;1 072 298;23 969;159 862;155 282
Nyugdíjasok összesen;2 078 190;12 762;285 838;327 406;1 452 184;391 180;568 346;672 795;445 869;–;28 585;1 527 635;10 751;45 265;321 992;143 962
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;763 142;3 405;90 643;107 647;561 447;113 735;235 842;223 761;189 804;–;10 373;584 023;7 023;12 859;100 538;48 326
nõk;1 315 048;9 357;195 195;219 759;890 737;277 445;332 504;449 034;256 065;–;18 212;943 612;3 728;32 406;221 454;95 636
Munkanélküliek összesen;345 038;19 413;216 187;79 176;30 262;115 024;93 873;94 388;41 753;11 782;62 086;19 060;183 370;13 237;33 187;22 316
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;178 227;11 854;108 039;42 925;15 409;63 634;47 501;45 814;21 278;6 713;35 414;11 640;84 919;4 270;24 037;11 234
nõk;166 811;7 559;108 148;36 251;14 853;51 390;46 372;48 574;20 475;5 069;26 672;7 420;98 451;8 967;9 150;11 082
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;232 842;8 004;80 231;109 664;34 943;67 286;87 180;65 618;12 758;–;46 815;50 699;52 476;5 838;51 157;25 857
Tanuló felnõttek;35 339;1 864;21 691;8 060;3 724;1 665;6 016;13 123;14 535;5 614;824;324;22 389;4 049;766;1 373
Egyéb Inaktív felnõttek;358 067;18 138;285 067;38 055;16 807;103 330;106 226;85 584;62 927;31 509;16 611;12 275;246 521;7 131;14 773;29 247
Nem tanuló gyermekek;667 751;26 423;601 980;23 033;16 315;142 684;164 632;169 028;191 407;62 683;1 094;–;545 560;11 695;–;46 719
Tanulók, hallgatók;1 384 092;43 698;1 216 576;102 854;20 964;194 792;373 824;395 591;419 885;28 777;–;–;1 198 974;15 645;–;140 696
Összesen;9 600 042;292 468;6 006 138;1 580 252;1 721 184;1 469 435;2 652 833;2 929 109;2 548 665;358 261;1 158 933;1 835 050;4 516 658;161 205;846 099;723 836
