22.1.1.10. Halálozások a gyakoribb halálokok és nem szerint;;;;;;;;;;
Év;Halálozások száma;Ebbõl: rosszindulatú daganatok;Ebbõl: heveny szívizom-elhalás;Ebbõl: egyéb ischaemiás szívbetegség;Ebbõl: agyér-betegség;Ebbõl: hörghurut, tüdõtágulat és asztma;Ebbõl: máj-betegségek;"Ebbõl: 
Covid19";Ebbõl: motorosjármû-balesetek;Ebbõl: szándékos önártalom
1996;68 303;14 576;5 942;9 515;11 234;1 683;1 870;–;378;916
1997;66 156;14 472;5 547;9 670;10 419;1 539;1 878;–;380;826
1998;66 570;14 534;5 425;10 158;10 535;1 489;2 040;–;361;778
1999;68 569;14 791;5 136;10 593;10 717;1 722;2 031;–;353;778
2000;65 126;14 548;4 782;10 361;10 380;1 469;1 901;–;329;806
2001;63 794;14 511;4 708;10 684;10 461;1 226;1 892;–;352;697
2002;63 996;14 345;4 452;10 878;10 170;1 236;1 661;–;401;648
2003;65 807;14 703;4 373;11 846;10 304;1 565;1 865;–;347;640
2004;64 111;14 660;4 124;12 538;9 696;1 506;1 769;–;348;655
2005;65 951;13 481;4 352;14 982;8 720;2 006;1 613;–;311;593
2006;63 752;13 669;3 848;14 597;8 120;1 940;1 615;–;311;600
2007;64 697;13 926;3 627;14 031;8 032;2 150;1 630;–;329;571
2008;63 758;14 212;3 437;14 078;7 820;1 852;1 516;–;263;566
2009;64 090;14 359;3 306;14 292;7 899;1 999;1 450;–;234;559
2010;65 319;14 428;3 223;15 229;7 918;1 881;1 320;–;203;547
2011;64 912;14 680;3 072;14 926;7 565;2 060;1 213;–;194;575
2012;65 936;14 945;3 089;15 005;7 531;2 203;1 042;–;187;547
2013;64 884;14 933;2 883;14 586;7 401;2 378;933;–;185;505
2014;64 316;14 985;2 621;14 929;7 121;2 299;972;–;192;447
2015;68 152;15 137;2 669;15 738;7 052;2 853;935;–;194;479
2016;64 395;14 967;2 379;14 451;5 988;2 462;893;–;163;446
2017;67 649;15 128;2 508;15 306;6 424;2 818;947;–;191;393
2018;67 029;14 969;2 583;14 852;6 416;2 833;931;–;205;380
2019;66 760;14 771;2 398;14 685;6 507;2 941;941;–;205;392
2020;72 341;14 819;2 436;14 923;6 560;2 480;910;4 365;139;395
2021;78 522;14 412;2 612;14 491;5 847;2 177;981;11 999;156;358
Összesen;;;;;;;;;;
1990;145 660;30 871;14 452;13 739;21 218;4 853;5 570;–;2 623;4 133
1991;144 813;31 407;14 569;14 300;20 898;4 498;5 992;–;2 330;3 993
1992;148 781;32 311;14 413;15 161;20 680;4 802;7 411;–;2 362;4 000
1993;150 244;32 201;14 991;15 953;20 396;4 893;8 525;–;1 806;3 694
1994;146 889;32 703;14 126;15 855;19 514;4 777;8 712;–;1 719;3 625
1995;145 431;32 941;14 630;16 112;19 814;4 629;8 589;–;1 750;3 369
1996;143 130;33 475;14 087;17 259;20 158;4 380;6 834;–;1 427;3 438
1997;139 434;33 458;13 238;17 660;18 884;3 994;6 810;–;1 456;3 214
1998;140 870;33 547;13 051;18 391;19 205;3 780;7 333;–;1 463;3 247
1999;143 210;33 821;12 416;19 073;19 286;4 356;7 279;–;1 407;3 328
2000;135 601;33 280;11 312;18 487;18 939;3 732;6 883;–;1 292;3 269
2001;132 183;33 318;10 948;19 014;18 821;3 166;6 457;–;1 352;2 979
2002;132 833;33 013;10 215;19 459;18 510;3 243;6 137;–;1 547;2 843
2003;135 823;33 530;10 160;21 287;18 626;3 929;6 255;–;1 457;2 801
2004;132 492;33 502;9 733;22 291;17 467;3 640;6 071;–;1 426;2 742
2005;135 732;30 615;10 247;26 646;15 557;4 849;5 525;–;1 269;2 621
2006;131 603;31 283;8 777;26 133;14 536;4 827;5 482;–;1 380;2 461
2007;132 938;31 686;8 376;25 138;14 524;5 127;5 603;–;1 328;2 450
2008;130 027;32 111;7 778;25 050;13 996;4 626;5 272;–;1 081;2 477
2009;130 414;32 536;7 709;25 477;14 145;4 734;5 080;–;924;2 461
2010;130 456;32 460;7 481;26 361;14 001;4 589;4 622;–;793;2 492
2011;128 795;32 670;7 085;26 145;13 369;4 843;4 176;–;742;2 422
2012;129 440;33 224;7 018;25 933;13 081;5 088;3 697;–;699;2 350
2013;126 778;32 748;6 519;25 585;12 828;5 291;3 324;–;661;2 093
2014;126 308;32 748;5 972;26 167;12 390;5 212;3 440;–;670;1 927
2015;131 697;32 792;6 028;26 979;12 500;6 266;3 306;–;734;1 870
2016;127 053;32 987;5 744;25 540;10 701;5 490;3 177;–;692;1 763
2017;131 674;32 844;5 758;26 887;11 384;6 110;3 243;–;728;1 634
2018;131 045;32 586;5 833;26 269;11 267;6 093;3 343;–;735;1 656
2019;129 603;32 012;5 699;25 971;11 488;6 262;3 303;–;720;1 550
2020;141 002;31 623;5 655;26 280;11 722;5 352;3 361;8 981;554;1 706
2021;155 621;30 593;6 059;25 917;10 734;4 783;3 575;24 838;645;1 561
