20.2.1.38. A gazdaságilag nem aktívak száma munkavállalási szándékuk szerint, nemenként, negyedévente [ezer fõ];;;;
Év;Negyedév;Nem kíván dolgozni;Szeretne dolgozni;Összesen
;IV.;1 480,6;146,1;1 626,7
2017.;I.;1 491,4;152,0;1 643,4
;II.;1 483,8;147,5;1 631,3
;III.;1 471,8;136,1;1 607,9
;IV.;1 473,5;127,9;1 601,5
2018.;I.;1 462,2;137,2;1 599,4
;II.;1 452,1;137,4;1 589,4
;III.;1 435,8;128,5;1 564,3
;IV.;1 436,1;144,9;1 580,9
2019.;I.;1 441,5;142,4;1 583,9
;II.;1 432,0;144,9;1 576,9
;III.;1 425,8;141,6;1 567,4
;IV.;1 439,0;134,0;1 573,0
2020.;I.;1 420,7;153,0;1 573,7
;II.;1 385,5;190,5;1 576,1
;III.;1 394,3;157,7;1 552,1
;IV.;1 398,2;163,0;1 561,2
2021.;I.;1 417,1;147,9;1 565,1
;II.;1 420,2;106,5;1 526,6
;III.;1 407,2;89,9;1 497,1
;IV.;1 395,8;82,7;1 478,5
2022.;I.;1 405,7;85,2;1 490,9
;II.;1 410,4;79,7;1 490,1
;III.;1 387,1;79,4;1 466,6
;IV.;;;
