21.1.1.21. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek – Központi kormányzat [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.5 Folyó jövedelem-, vagyon-, stb. adók;35=36+47;394 759;532 496;624 417;716 485;867 592;1 025 569;1 221 851;1 372 936;1 352 996;1 367 266;1 502 546;1 718 230;2 048 632;2 753 409;2 497 845;2 083 652;1 723 469;1 900 734;1 944 022;2 156 462;2 338 540;2 577 039;2 762 427;2 812 693;3 074 802;3 219 478;3 072 739
D.51 Jövedelemadók;36=38+41+44+..+46;388 955;525 737;615 029;705 938;856 018;1 009 748;1 205 947;1 355 424;1 332 041;1 345 296;1 475 245;1 693 836;2 024 539;2 728 319;2 476 266;2 064 155;1 706 077;1 880 816;1 905 389;2 120 188;2 299 697;2 538 085;2 725 587;2 773 438;3 033 875;3 165 553;3 011 651
D.51M Egyének vagy háztartások jövedelmére kivetett adók, beleértve az eszköztartási nyereséget;37=38+39;282 679;398 823;450 873;488 644;593 563;717 026;854 091;958 868;918 379;907 258;1 009 620;1 138 884;1 324 271;2 033 454;1 897 075;1 734 570;1 367 750;1 513 118;1 501 176;1 597 988;1 698 410;1 720 679;1 951 837;2 201 541;2 445 549;2 543 266;2 254 793
D.51A Egyének vagy háztartások jövedelmére kivetett adók, kivéve az eszköztartási nyereséget;38;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C1 Az egyéneknél vagy háztartásokban jelentkezõ eszköztartási nyereségre kivetett adók;39;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51O Vállalatok jövedelmére vagy nyereségére kivetett adók, beleértve az eszköztartási nyereséget;40=41+42;106 276;126 914;164 156;217 294;262 455;292 722;351 856;396 556;413 662;438 038;465 625;554 952;700 268;694 865;555 021;312 598;321 441;362 088;350 153;487 241;559 679;771 188;720 626;512 240;542 771;558 664;679 582
D.51B Vállalatok jövedelmére vagy nyereségére kivetett adók, kivéve az eszköztartási nyereséget;41;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C2 Vállalatok eszköztartási nyereségére kivetett adók;42;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C3 Egyéb, eszköztartási nyereségre kivetett adók;43;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C Eszköztartási nyereségre kivetett adók;44=39+42+43;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51D Lottójáték vagy szerencsejáték nyereményeire kivetett adók;45;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E Egyéb, máshová nem sorolt jövedelemadók;46;–;–;–;–;–;–;–;–;–;–;–;–;–;–;24 170;16 987;16 886;5 610;54 060;34 959;41 608;46 218;53 124;59 657;45 555;63 623;77 276
D.59 Egyéb folyó adók;47=48+..+53;5 804;6 759;9 388;10 547;11 574;15 821;15 904;17 512;20 955;21 970;27 301;24 394;24 093;25 090;21 579;19 497;17 392;19 918;38 633;36 274;38 843;38 954;36 840;39 255;40 927;53 925;61 088
D.59A Tõkére kivetett folyó adók;48;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59B Fejadók;49;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59C Költségadók;50;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D. Háztartások által engedélyekért fizetett adók;51;5 804;6 759;9 388;10 547;11 574;15 821;15 904;17 512;20 955;21 970;27 301;24 394;24 093;25 090;21 579;19 497;17 392;19 918;38 633;36 274;38 843;38 954;36 840;39 255;40 927;53 925;61 088
D.59E Nemzetközi tranzakciókra kivetett adók;52;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F Egyéb, máshová nem sorolt folyó adók;53;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91 Tõkeadók;54=55+..+57;1 847;2 185;2 912;3 826;3 946;4 380;5 528;6 471;8 233;12 132;12 962;13 287;11 257;11 466;9 627;6 009;4 657;6 751;7 188;9 536;10 982;13 728;18 163;16 074;19 760;15 268;16 499
D.91A Tõketranszferekre kivetett adók;55;1 273;1 400;1 826;2 208;2 500;2 730;3 334;4 428;4 273;6 214;7 678;7 677;7 480;6 387;5 219;3 521;3 695;4 895;5 307;6 179;7 373;8 278;9 393;8 519;11 429;9 492;9 131
D.91B Tõkeilleték;56;574;785;1 086;1 618;1 446;1 650;2 194;2 043;3 960;5 918;5 284;5 610;3 777;5 079;4 408;2 488;962;1 856;1 881;3 357;3 609;5 450;8 770;7 555;8 331;5 776;7 368
D.91C Egyéb, máshová nem sorolt tõkeadók;57;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODA Összes adóbevétel;58=1+35+54;1 352 150;1 632 153;1 849 490;2 168 476;2 537 237;2 981 718;3 295 269;3 642 465;3 952 569;4 298 572;4 496 273;4 822 753;5 473 499;6 303 220;6 137 938;6 170 624;5 952 561;6 531 476;6 848 405;7 454 818;8 010 282;8 237 874;8 855 802;9 632 678;10 540 343;10 952 196;11 731 191
D.61 Nettó társadalombiztosítási hozzájárulások;59=60–63+66+69+77;74 303;90 390;123 189;134 345;127 085;145 049;169 766;201 476;201 314;219 852;248 764;282 861;322 435;341 968;288 887;201 995;206 377;206 392;146 399;178 208;174 533;255 866;367 931;217 704;305 441;251 111;277 167
D.611 Munkaadók tényleges társadalombiztosítási hozzájárulásai;60=61+62=64+65;54 367;67 947;91 746;98 869;84 002;95 355;112 595;134 320;147 416;157 914;174 317;188 531;200 746;213 271;163 847;73 705;75 100;60 571;–;19 988;3 176;89 118;176 221;1 352;65 997;1 392;1 496
D.611C Munkaadók tényleges kötelezõ társadalombiztosítási hozzájárulásai;61;54 367;67 947;91 746;98 869;84 002;95 355;112 595;134 320;147 416;157 914;174 317;188 531;200 746;213 271;163 847;73 705;75 100;60 571;–;19 988;3 176;89 118;176 221;1 352;65 997;1 392;1 496
D.611V Munkaadók tényleges önkéntes társadalombiztosítási hozzájárulásai;62;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.61SC Társadalombiztosítási rendszerek szolgáltatási díjai;63;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6111 Munkaadók tényleges nyugdíjjárulékai;64;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;19 123;2 204;43;8;31;16;–;–
D.6112 Munkaadók tényleges nem nyugdíjcélú járulékai;65;54 367;67 947;91 746;98 869;84 002;95 355;112 595;134 320;147 416;157 914;174 317;188 531;200 746;213 271;163 847;73 705;75 100;60 571;–;865;972;89 075;176 213;1 321;65 981;1 392;1 496
D.612 Munkaadók imputált társadalombiztosítási hozzájárulásai;66=67+68;1 468;1 770;2 472;2 972;5 749;6 120;5 600;6 284;8 320;14 360;14 312;15 793;15 307;17 049;17 993;19 990;18 628;17 686;19 999;22 599;26 489;11 426;14 737;18 041;18 013;22 475;23 536
D.6121 Munkaadók imputált nyugdíjjárulékai;67;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6122 Munkaadók imputált nem nyugdíjcélú járulékai;68;1 468;1 770;2 472;2 972;5 749;6 120;5 600;6 284;8 320;14 360;14 312;15 793;15 307;17 049;17 993;19 990;18 628;17 686;19 999;22 599;26 489;11 426;14 737;18 041;18 013;22 475;23 536
D.613 Háztartások tényleges társadalombiztosítási hozzájárulásai;69=70+71=72+76;18 468;20 673;28 971;32 504;37 334;43 574;51 571;60 872;45 578;47 578;60 135;78 537;106 382;111 648;107 047;108 300;112 649;128 135;126 400;135 621;144 868;155 322;176 973;198 311;221 431;227 244;252 135
D.6131 Háztartások tényleges nyugdíjjárulékai;70;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6132 Háztartások tényleges nem nyugdíjcélú járulékai;71;18 468;20 673;28 971;32 504;37 334;43 574;51 571;60 872;45 578;47 578;60 135;78 537;106 382;111 648;107 047;108 300;112 649;128 135;126 400;135 621;144 868;155 322;176 973;198 311;221 431;227 244;252 135
D.613C Háztartások tényleges kötelezõ társadalombiztosítási hozzájárulásai;72=73+74+75;18 468;20 673;28 971;32 504;37 334;43 574;51 571;60 872;45 578;47 578;60 135;78 537;106 382;111 648;107 047;108 300;112 649;128 135;126 400;135 621;144 868;155 322;176 973;198 311;221 431;227 244;252 135
D.613CE Munkavállalók tényleges kötelezõ társadalombiztosítási hozzájárulásai;73;18 468;20 673;28 971;32 504;37 334;43 574;51 571;60 872;45 578;47 578;53 611;67 351;91 194;97 985;96 138;107 819;112 649;128 135;126 400;133 498;142 585;153 067;174 723;196 071;218 931;224 678;249 288
D.613CS Önálló vállalkozók tényleges kötelezõ társadalombiztosítási hozzájárulásai;74;–;–;–;–;–;–;–;–;–;–;6 524;11 186;15 188;13 663;10 909;481;–;–;–;2 123;2 283;2 255;2 250;2 240;2 500;2 566;2 847
D.613CN Alkalmazásban nem állók tényleges kötelezõ társadalombiztosítási hozzájárulásai;75;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613V Háztartások tényleges önkéntes társadalombiztosítási hozzájárulásai;76;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.614 Háztartások kiegészítõ társadalombiztosítási hozzájárulásai;77=78+79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6141 Háztartások kiegészítõ nyugdíjjárulékai;78;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6142 Háztartások kiegészítõ nem nyugdíjcélú járulékai;79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995 Államháztartási tõketranszferek a megfelelõ szektorok részére;80=81+..+86+90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995A Megállapított, de valószínûleg be nem hajtható termékadók;81;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995B Megállapított, de valószínûleg be nem hajtható egyéb termelési adók;82;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995C Megállapított, de valószínûleg be nem hajtható jövedelemadók;83;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995D Megállapított, de valószínûleg be nem hajtható egyéb folyó adók;84;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995E Munkaadók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;85;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995F Háztartások megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;86=87+..+89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FE Munkavállalók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;87;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FS Önálló vállalkozók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;88;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FN Alkalmazásban nem állók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995G Megállapított, de valószínûleg be nem hajtható tõkeadók;90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODB adókból és társadalombiztosítási hozzájárulásokból származó összes bevétel;"91=1+35+54+59–
66–77–80";1 424 985;1 720 773;1 970 207;2 299 849;2 658 573;3 120 647;3 459 435;3 837 657;4 145 563;4 504 064;4 730 725;5 089 821;5 780 627;6 628 139;6 408 832;6 352 629;6 140 310;6 720 182;6 974 805;7 610 427;8 158 326;8 482 314;9 208 996;9 832 341;10 827 771;11 180 832;11 984 822
ODC adókból és a nettó társadalombiztosítási hozzájárulásokból származó összes bevétel (az imputált TB hozzájárulásokat is beleértve);92=1+35+54+59–80;1 426 453;1 722 543;1 972 679;2 302 821;2 664 322;3 126 767;3 465 035;3 843 941;4 153 883;4 518 424;4 745 037;5 105 614;5 795 934;6 645 188;6 426 825;6 372 619;6 158 938;6 737 868;6 994 804;7 633 026;8 184 815;8 493 740;9 223 733;9 850 382;10 845 784;11 203 307;12 008 358
ODD adóteher – az adókból és a kötelezõ társadalombiztosítási hozzájárulásokból származó összes bevétel;"93=1+35+54+59–66–
77–62–76–80";1 424 985;1 720 773;1 970 207;2 299 849;2 658 573;3 120 647;3 459 435;3 837 657;4 145 563;4 504 064;4 730 725;5 089 821;5 780 627;6 628 139;6 408 832;6 352 629;6 140 310;6 720 182;6 974 805;7 610 427;8 158 326;8 482 314;9 208 996;9 832 341;10 827 771;11 180 832;11 984 822
