23.1.1.20. Felsõoktatás;;;;;;;;;;;;;;;;;;;;
Tanév;Intézmény;Oktató, tanár;Hallgató felsõoktatási szakképzésben összesen;Hallgató felsõoktatási szakképzésben, ebbõl: nappali képzésben;Hallgató fõiskolai szintû oktatásban összesen;Hallgató fõiskolai szintû oktatásban, ebbõl: nappali képzésben;Hallgató egyetemi szintû oktatásban összesen;Hallgató egyetemi szintû oktatásban, ebbõl: nappali képzésben;Hallgató felsõfokú alapképzésben összesen;Hallgató felsõfokú alapképzésben, ebbõl: nappali képzésben;Hallgató mesterképzésben összesen;Hallgató mesterképzésben, ebbõl: nappali képzésben;Hallgató osztatlan képzésben összesen;Hallgató osztatlan képzésben, ebbõl: nappali képzésben;Hallgató szakirányú továbbképzésben összesen;Hallgató szakirányú továbbképzésben, ebbõl: nappali képzésben;Hallgató doktori (PhD-, DLA-) képzésben összesen;Hallgató doktori (PhD-, DLA-) képzésben, ebbõl: nappali képzésben;Hallgató összesen;Hallgató, ebbõl: nappali képzésben
2000/2001;62;22 873;3 464;2 835;181 527;84 224;113 513;91 822;–;–;–;–;–;–;22 033;447;6 752;4 548;327 289;183 876
2001/2002;65;22 863;4 475;3 810;195 291;88 631;117 947;95 440;–;–;–;–;–;–;24 558;280;7 030;4 813;349 301;192 974
2002/2003;66;23 151;6 128;5 132;216 581;93 392;124 606;99 763;–;–;–;–;–;–;26 815;326;7 430;4 766;381 560;203 379
2003/2004;68;23 288;7 219;5 917;233 673;98 983;133 274;105 927;–;–;–;–;–;–;27 074;460;7 835;5 009;409 075;216 296
2004/2005;69;23 787;9 122;7 452;240 297;102 380;138 169;109 912;–;–;–;–;–;–;25 991;450;7 941;5 318;421 520;225 512
2005/2006;71;23 188;10 498;8 331;226 528;96 732;138 994;109 935;15 110;10 578;..;..;..;..;25 066;792;7 965;5 114;424 161;231 482
2006/2007;71;22 076;10 842;8 471;163 323;70 087;113 438;89 828;91 365;59 058;110;–;7 583;5 643;21 903;531;7 784;5 056;416 348;238 674
2007/2008;71;22 376;12 398;10 219;109 363;47 048;87 703;69 979;146 750;98 770;984;188;14 591;11 133;18 762;633;7 153;4 923;397 704;242 893
2008/2009;70;22 475;15 677;12 759;59 366;25 567;62 897;52 180;191 561;130 215;6 997;1 263;20 030;15 669;17 594;488;6 911;4 787;381 033;242 928
2009/2010;69;21 934;18 511;14 875;24 936;9 140;38 258;33 279;220 489;152 729;19 322;7 563;25 070;19 853;16 928;452;6 817;4 810;370 331;242 701
2010/2011;69;21 495;20 441;17 129;13 350;3 455;18 637;16 432;224 076;157 315;31 567;16 402;30 389;24 453;15 720;483;7 167;5 058;361 347;240 727
2011/2012;68;21 357;21 115;17 811;8 632;1 361;8 107;6 867;226 841;160 151;39 039;22 428;33 766;27 497;15 070;299;7 254;5 200;359 824;241 614
2012/2013;66;20 555;16 445;13 637;6 139;571;3 349;2 718;216 454;158 757;39 147;23 762;34 547;28 512;15 054;381;7 332;5 340;338 467;233 678
2013/2014;66;21 137;10 769;8 666;4 472;260;1 649;1 250;204 351;154 853;36 540;23 163;35 284;29 682;19 712;252;7 347;5 478;320 124;223 604
2014/2015;67;21 080;10 450;7 948;3 390;156;911;630;193 977;148 301;36 643;23 375;36 559;31 114;17 370;260;7 224;5 464;306 524;217 248
2015/2016;66;21 668;11 977;8 829;2 186;99;399;246;181 283;138 780;37 182;23 302;38 479;32 992;16 487;279;7 323;5 576;295 316;210 103
2016/2017;65;22 436;13 317;9 482;5;3;51;22;174 158;132 549;36 620;22 999;39 873;34 525;15 636;271;7 358;5 709;287 018;205 560
2017/2018;64;23 110;12 236;8 614;–;–;–;–;170 320;129 200;34 854;21 549;41 834;36 335;16 430;247;7 676;6 333;283 350;202 278
2018/2019;64;22 519;11 182;7 929;–;–;–;–;168 799;127 100;34 043;20 669;42 922;37 509;16 950;509;7 565;6 414;281 461;200 130
2019/2020;64;23 383;11 197;7 804;–;–;–;–;172 104;128 738;33 081;19 933;43 519;38 126;15 795;792;9 414;8 232;285 110;203 625
2020/2021;62;23 511;11 834;8 035;–;–;–;–;169 699;127 597;34 933;20 932;44 536;38 708;16 344;438;10 147;9 001;287 493;204 711
2021/2022;63;24 903;11 956;7 477;–;–;–;–;171 446;129 493;37 526;21 717;44 955;38 884;17 164;268;10 519;9 423;293 566;207 262
