21.1.1.15. A nem pénzügyi vállalatok szektor jövedelem- és tõkeszámlái [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Gazdasági mûveletek és egyenlegezõ tételek;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.44;Egyéb befektetésbõl származó jövedelem, nettó;16 784;19 897;18 078;14 864;14 871;12 100;10 652;11 743;14 240;16 257;18 336;18 538;21 666;27 391;21 374;17 881;19 588;21 380;18 930;17 085;16 617;10 370;11 335;8 923;14 635;18 742;19 649
D.45;Bérleti díj;-30 356;-36 367;-42 306;-37 110;-39 190;-47 985;-56 458;-58 834;-72 152;-126 469;-128 474;-193 245;-174 137;-191 709;-159 333;-193 691;-192 722;-190 472;-150 474;-166 810;-147 938;-142 832;-143 209;-162 870;-165 603;-158 904;-193 136
B.4 n;Vállalkozói jövedelem, nettó;-230;24 885;388 769;656 606;752 646;777 342;1 122 329;1 918 282;1 872 912;2 426 332;2 564 955;3 238 858;3 139 139;3 148 542;2 711 549;3 002 803;3 179 625;3 060 332;4 724 498;4 869 512;5 775 907;7 552 253;6 386 783;6 888 129;7 492 420;6 965 806;8 575 020
B.5 n;Elsõdleges jövedelmek egyenlege, nettó;-66 344;-129 477;-20 586;76 493;40 456;25 182;273 604;895 433;787 678;922 801;982 649;1 231 841;893 534;1 281 675;1 241 815;1 283 299;1 367 031;887 415;1 705 589;1 878 654;2 187 934;2 437 211;1 965 514;1 939 319;2 409 301;2 331 585;2 728 590
Jövedelmek másodlagos elosztása;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.5;Folyó jövedelem-  és vagyonadók;93 523;110 876;144 716;199 233;248 763;275 282;322 047;367 382;355 201;367 953;345 240;426 046;582 968;603 553;500 275;269 897;266 640;262 515;289 770;436 347;506 377;708 068;722 065;519 594;507 363;534 658;645 178
D.612;Imputált társadalombiztosítási hozzájárulások;20 113;20 257;24 454;28 711;29 933;33 486;34 313;35 416;24 233;31 673;29 191;27 644;28 556;48 911;34 816;38 606;36 708;37 399;24 455;23 184;27 006;35 594;36 636;41 984;47 833;55 145;53 676
D.622;Egyéb társadalombiztosítási juttatások;20 113;20 257;24 454;28 711;29 933;33 486;34 313;35 416;24 233;31 673;29 191;27 644;28 556;48 911;34 816;38 606;36 708;37 399;24 455;23 184;27 006;35 594;36 636;41 984;47 833;55 145;53 676
D.623;Társadalombiztosítási jellegû pénzbeni társadalmi juttatások;201;166;532;690;813;1 089;1 187;1 412;1 314;869;743;838;1 528;2 239;2 885;699;756;442;613;230;628;503;155;99;241;276;276
D.7;Egyéb folyó transzferek, nettó;-3 582;-32 019;15 430;41 080;91 490;111 454;75 563;118 360;113 450;-56 751;-46 216;-19 949;-60 372;-13 513;60 304;-3 732;26 298;-22 678;150 094;55 492;-39 642;61 548;44 326;101 034;99 552;98 077;244 649
;Egyéb folyó transzferek, kapott;123 031;121 245;184 820;213 949;286 143;344 689;365 871;477 438;503 653;407 731;361 127;469 567;456 342;405 192;465 445;436 889;435 332;408 834;585 339;539 370;485 958;539 186;508 340;623 212;655 378;648 063;862 650
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.72;nem-életbiztosítási kártérítések;29 553;19 172;21 773;30 219;36 344;44 477;21 082;29 195;33 333;31 951;36 052;35 664;58 755;70 463;68 870;77 547;57 836;49 425;50 504;47 569;45 205;47 170;46 253;73 560;62 658;61 706;92 053
;Egyéb folyó transzferek, fizetett;126 613;153 264;169 390;172 869;194 653;233 235;290 308;359 078;390 203;464 482;407 343;489 516;516 714;418 705;405 141;440 621;409 034;431 512;435 245;483 878;525 600;477 638;464 014;522 178;555 826;549 986;618 001
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.71;nettó nem-életbiztosítási díjak;25 409;22 686;29 598;36 229;42 760;50 971;56 549;68 866;75 822;69 960;74 305;80 769;80 682;83 275;65 652;74 637;68 543;67 097;79 879;71 736;79 738;83 790;84 453;83 420;87 328;103 151;98 289
D.75;Máshová nem sorolt folyó transzferek, nettó;-7 726;-28 505;23 255;47 090;97 906;117 948;111 030;158 031;155 939;-18 742;-7 963;25 156;-38 445;-701;57 086;-6 642;37 005;-5 006;179 469;79 659;-5 109;98 168;82 526;110 894;124 222;139 522;250 885
B.6 n;Rendelkezésre álló jövedelem, nettó;-163 650;-272 538;-150 404;-82 350;-117 630;-139 735;25 933;644 999;544 613;497 228;590 450;785 008;248 666;662 370;798 959;1 008 971;1 125 933;601 780;1 565 300;1 497 569;1 641 287;1 790 188;1 287 620;1 520 660;2 001 249;1 894 728;2 327 785
Rendelkezésre álló jövedelem felhasználása;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.6 n;Rendelkezésre álló jövedelem, nettó;-163 650;-272 538;-150 404;-82 350;-117 630;-139 735;25 933;644 999;544 613;497 228;590 450;785 008;248 666;662 370;798 959;1 008 971;1 125 933;601 780;1 565 300;1 497 569;1 641 287;1 790 188;1 287 620;1 520 660;2 001 249;1 894 728;2 327 785
D.8;Nyugdíjjogosultságok változása miatti korrekció;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
B.8 n;Megtakarítás, nettó;-163 650;-272 538;-150 404;-82 350;-117 630;-139 735;25 933;644 999;544 613;497 228;590 450;785 008;248 666;662 370;798 959;1 008 971;1 125 933;601 780;1 565 300;1 497 569;1 641 287;1 790 188;1 287 620;1 520 660;2 001 249;1 894 728;2 327 785
Megtakaritás és tõketranszferek miatti nettó vagyon-változás;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.9;Tõketranszferek egyenlege ;170 621;120 292;196 695;234 659;234 046;271 585;310 590;481 843;208 595;177 071;217 714;258 278;334 855;326 151;334 849;290 119;600 950;397 780;632 801;576 104;782 897;486 557;524 142;403 296;427 180;983 528;1 247 011
 ;Tõketranszferek, kapott;178 637;155 005;227 284;281 863;338 040;313 034;363 355;532 073;250 449;220 795;274 337;335 297;376 353;355 544;384 925;357 505;679 551;465 416;669 400;615 200;806 420;521 517;576 725;441 879;498 919;1 061 023;1 368 359
D.91;Tõkeadók;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.92;Beruházási támogatások;35 263;91 557;138 182;161 765;183 114;168 514;184 301;220 724;188 719;172 366;196 101;262 125;227 562;230 478;318 858;271 461;353 552;408 023;646 385;563 388;586 665;322 812;417 892;329 825;380 068;763 035;801 730
D 99;Egyéb tõketranszferek;143 374;63 448;89 102;120 098;154 926;144 520;179 054;311 349;61 730;48 429;78 236;73 172;148 791;125 066;66 067;86 044;325 999;57 393;23 015;51 812;219 755;198 705;158 833;112 054;118 851;297 988;566 629
 ;Tõketranszferek, fizetett;8 016;34 713;30 589;47 204;103 994;41 449;52 765;50 230;41 854;43 724;56 623;77 019;41 498;29 393;50 076;67 386;78 601;67 636;36 599;39 096;23 523;34 960;52 583;38 583;71 739;77 495;121 348
D.91;Tõkeadók;574;785;1 086;1 618;1 446;1 650;2 194;2 043;3 960;5 918;5 284;5 610;3 777;5 201;4 410;2 488;962;1 856;1 881;3 367;3 609;5 450;8 770;7 762;8 529;6 015;7 725
D.92;Beruházási támogatások;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.99;Egyéb tõketranszferek;7 442;33 928;29 503;45 586;102 548;39 799;50 571;48 187;37 894;37 806;51 339;71 409;37 721;24 192;45 666;64 898;77 639;65 780;34 718;35 729;19 914;29 510;43 813;30 821;63 210;71 480;113 623
B.10.1;A nettó vagyon változása megtakarítás és tõketranszferek miatt ;6 971;-152 246;46 291;152 309;116 416;131 850;336 523;1 126 842;753 208;674 299;808 164;1 043 286;583 521;988 521;1 133 808;1 299 090;1 726 883;999 560;2 198 101;2 073 673;2 424 184;2 276 745;1 811 762;1 923 956;2 428 429;2 878 256;3 574 796
Nem pénzügyi eszközök beszerzése;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.51g;Bruttó állóeszköz-felhalmozás ;756 880;958 617;1 214 647;1 577 946;1 911 259;2 155 443;2 264 690;2 288 580;2 544 274;2 834 665;3 122 343;3 260 166;3 602 851;3 961 141;3 637 148;3 327 655;3 632 637;3 551 837;4 004 971;4 432 999;4 275 430;4 599 941;5 337 009;6 251 424;7 628 429;7 012 531;8 667 465
P.52;Készletváltozás;76 293;126 212;251 627;440 655;194 882;314 345;189 123;123 914;147 956;668 837;453 846;614 448;244 604;413 096;-508 748;271 204;346 150;252 313;231 190;581 756;418 362;665 721;254 155;779 109;545 668;-131 842;1 590 584
P.53;Értéktárgyak beszerzésének és eladásának egyenlege;3 797;4 501;3 175;6 816;5 757;9 270;10 661;13 121;13 956;16 581;14 077;12 899;14 499;17 836;16 937;16 574;18 725;14 080;15 585;17 107;21 419;20 738;25 745;36 272;34 966;-13 764;42 383
P.51c;Állóeszköz-felhasználás;610 403;781 313;944 106;1 110 801;1 269 518;1 420 376;1 572 363;1 661 654;1 766 174;1 889 686;2 018 318;2 221 862;2 351 134;2 506 714;2 739 581;2 870 535;2 991 277;3 137 080;3 225 241;3 318 490;3 449 732;3 553 308;3 775 098;4 002 740;4 322 192;4 861 444;5 575 011
NP;Nem termelt eszközök beszerzésének és eladásának egyenlege;0;130;4 230;4 060;78 432;-1 284;-4 816;-4 836;17 518;30 859;-3 592;-4 205;19 534;-42 758;3 323;60 526;12 110;-7 692;-5 449;7 288;30 392;96 527;18 608;-334 195;-46 455;-4 889;-5 545
B.9;Nettó hitelnyújtás (+) / Nettó hitelfelvétel (–);-219 596;-460 393;-483 282;-766 367;-804 396;-925 548;-550 772;367 717;-204 322;-986 957;-760 192;-618 160;-946 833;-854 080;724 729;493 666;708 538;326 102;1 177 045;353 013;1 128 313;447 126;-48 657;-805 914;-1 411 987;877 664;-1 145 080
