21.1.1.23. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek  – Társadalombiztosítási alapok [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.214G Biztosítási díjakra kivetett adók;20;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;25 927;23 313;23 902;27 694;32 876;37 904;43 801;5 125;-10;–
D.214H Egyéb, meghatározott szolgáltatásokra kivetett adók;21;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I Általános forgalmi adók;22;–;–;–;–;–;–;–;–;–;–;–;–;20 258;30 322;31 663;28 104;40 055;60 649;59 586;62 653;75 951;72 564;80 111;89 403;106 230;110 749;119 793
D.214J Fiskális monopóliumok nyeresége;23;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214K Exportvámok és az exportra kivetett monetáris kompenzációs összegek;24;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L Egyéb, máshová nem sorolt termékadók;25;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29 Egyéb termelési adók;26=27+..+34;–;–;–;–;–;–;–;–;–;–;–;–;10 209;4 540;8 219;9 431;12 232;12 799;9 547;9 749;10 283;8 631;12 757;11 113;10 179;9 543;8 574
D.29A Földekre, épületekre vagy egyéb építményekre kivetett adók;27;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B Állóeszközök használatára kivetett adók;28;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C Az összbértömeg után kivetett adók és létszámadók;29;–;–;–;–;–;–;–;–;–;–;–;–;10 209;4 540;8 219;9 431;12 232;12 799;9 547;9 749;10 283;8 631;12 757;11 113;10 179;9 543;8 574
D.29D Nemzetközi tranzakciókra kivetett adók;30;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E Üzleti vagy szakmai engedélyekért fizetett összegek;31;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29F Környezetszennyezésre kivetett adók;32;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29G Héa-alulkompenzáció (átalányrendszer);33;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H Egyéb, máshová nem sorolt termelési adók;34;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.5 Folyó jövedelem-, vagyon-, stb. adók;35=36+47;–;–;–;–;–;–;–;–;–;–;–;–;200;41;0;71;20;40;18;4;2;12;0;0;5;1;0
D.51 Jövedelemadók;36=38+41+44+..+46;–;–;–;–;–;–;–;–;–;–;–;–;200;41;0;71;20;40;18;4;2;12;0;0;5;1;0
D.51M Egyének vagy háztartások jövedelmére kivetett adók, beleértve az eszköztartási nyereséget;37=38+39;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51A Egyének vagy háztartások jövedelmére kivetett adók, kivéve az eszköztartási nyereséget;38;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C1 Az egyéneknél vagy háztartásokban jelentkezõ eszköztartási nyereségre kivetett adók;39;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O Vállalatok jövedelmére vagy nyereségére kivetett adók, beleértve az eszköztartási nyereséget;40=41+42;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51B Vállalatok jövedelmére vagy nyereségére kivetett adók, kivéve az eszköztartási nyereséget;41;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C2 Vállalatok eszköztartási nyereségére kivetett adók;42;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C3 Egyéb, eszköztartási nyereségre kivetett adók;43;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C Eszköztartási nyereségre kivetett adók;44=39+42+43;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51D Lottójáték vagy szerencsejáték nyereményeire kivetett adók;45;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E Egyéb, máshová nem sorolt jövedelemadók;46;–;–;–;–;–;–;–;–;–;–;–;–;200;41;0;71;20;40;18;4;2;12;0;0;5;1;0
D.59 Egyéb folyó adók;47=48+..+53;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59A Tõkére kivetett folyó adók;48;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59B Fejadók;49;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59C Költségadók;50;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D. Háztartások által engedélyekért fizetett adók;51;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59E Nemzetközi tranzakciókra kivetett adók;52;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F Egyéb, máshová nem sorolt folyó adók;53;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91 Tõkeadók;54=55+..+57;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91A Tõketranszferekre kivetett adók;55;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91B Tõkeilleték;56;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91C Egyéb, máshová nem sorolt tõkeadók;57;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODA Összes adóbevétel;58=1+35+54;–;–;–;–;–;–;–;–;–;–;–;–;30 667;34 903;39 882;37 606;52 307;99 415;92 464;96 308;113 930;114 083;130 772;144 317;121 539;120 283;128 367
D.61 Nettó társadalombiztosítási hozzájárulások;59=60–63+66+69+77;774 655;880 773;1 098 204;1 288 861;1 388 553;1 600 093;1 797 317;2 007 340;2 175 806;2 333 384;2 525 791;2 707 983;3 137 295;3 320 032;3 117 313;3 040 351;3 475 312;3 752 104;3 913 807;4 159 802;4 453 088;4 714 491;4 646 455;5 029 003;5 274 443;5 137 116;5 529 322
D.611 Munkaadók tényleges társadalombiztosítási hozzájárulásai;60=61+62=64+65;625 625;716 477;899 252;1 060 180;1 116 522;1 302 174;1 435 949;1 593 673;1 697 639;1 794 878;1 964 996;2 059 999;2 242 524;2 381 961;2 211 486;1 999 485;2 111 020;2 289 791;2 383 945;2 570 561;2 759 831;2 898 306;2 588 221;2 727 662;2 756 522;2 520 227;2 584 713
D.611C Munkaadók tényleges kötelezõ társadalombiztosítási hozzájárulásai;61;625 625;716 477;899 252;1 060 180;1 116 522;1 302 174;1 435 949;1 593 673;1 697 639;1 794 878;1 964 996;2 059 999;2 242 524;2 381 961;2 211 486;1 999 485;2 111 020;2 289 791;2 383 945;2 570 561;2 759 831;2 898 306;2 588 221;2 727 662;2 756 522;2 520 227;2 584 713
D.611V Munkaadók tényleges önkéntes társadalombiztosítási hozzájárulásai;62;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.61SC Társadalombiztosítási rendszerek szolgáltatási díjai;63;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6111 Munkaadók tényleges nyugdíjjárulékai;64;348 590;407 606;466 438;588 509;619 232;747 370;809 104;865 546;949 606;1 008 653;1 111 416;1 210 016;1 515 796;1 843 856;1 777 818;1 800 864;1 899 770;2 023 388;2 263 105;2 320 512;2 219 708;2 152 412;1 893 801;2 016 648;1 961 423;1 781 017;1 825 198
D.6112 Munkaadók tényleges nem nyugdíjcélú járulékai;65;277 035;308 871;432 814;471 671;497 290;554 804;626 845;728 127;748 033;786 225;853 580;849 983;726 728;538 105;433 668;198 621;211 250;266 403;120 840;250 049;540 123;745 894;694 420;711 014;795 098;739 210;759 515
D.612 Munkaadók imputált társadalombiztosítási hozzájárulásai;66=67+68;86;120;161;153;175;93;166;82;204;193;197;177;138;149;147;132;54;42;40;45;77;72;67;21;35;25;26
D.6121 Munkaadók imputált nyugdíjjárulékai;67;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6122 Munkaadók imputált nem nyugdíjcélú járulékai;68;86;120;161;153;175;93;166;82;204;193;197;177;138;149;147;132;54;42;40;45;77;72;67;21;35;25;26
D.613 Háztartások tényleges társadalombiztosítási hozzájárulásai;69=70+71=72+76;148 944;164 176;198 791;228 528;271 856;297 826;361 202;413 585;477 963;538 313;560 598;647 807;894 633;937 922;905 680;1 040 734;1 364 238;1 462 271;1 529 822;1 589 196;1 693 180;1 816 113;2 058 167;2 301 320;2 517 886;2 616 864;2 944 583
D.6131 Háztartások tényleges nyugdíjjárulékai;70;87 796;98 307;121 216;151 566;175 801;189 532;220 261;251 019;296 656;299 485;306 727;328 309;372 093;455 717;449 301;538 912;869 865;853 410;876 580;909 892;970 219;1 042 993;1 190 567;1 336 665;1 482 560;1 540 205;1 732 380
D.6132 Háztartások tényleges nem nyugdíjcélú járulékai;71;61 148;65 869;77 575;76 962;96 055;108 294;140 941;162 566;181 307;238 828;253 871;319 498;522 540;482 205;456 379;501 822;494 373;608 861;653 242;679 304;722 961;773 120;867 600;964 655;1 035 326;1 076 659;1 212 203
D.613C Háztartások tényleges kötelezõ társadalombiztosítási hozzájárulásai;72=73+74+75;148 944;164 176;198 791;227 735;270 769;296 553;359 441;411 502;475 751;536 067;558 267;645 765;892 871;936 130;904 054;1 039 149;1 362 562;1 460 681;1 528 319;1 587 812;1 691 999;1 814 878;2 057 004;2 300 230;2 516 903;2 615 911;2 943 620
D.613CE Munkavállalók tényleges kötelezõ társadalombiztosítási hozzájárulásai;73;111 965;123 486;156 784;184 452;221 879;240 017;283 257;334 330;391 046;447 616;468 709;533 001;778 389;808 265;773 190;917 556;1 233 783;1 330 969;1 457 275;1 525 930;1 624 682;1 746 200;1 989 134;2 231 349;2 453 387;2 550 586;2 873 118
D.613CS Önálló vállalkozók tényleges kötelezõ társadalombiztosítási hozzájárulásai;74;19 773;23 651;26 959;28 096;29 547;39 138;60 244;57 876;64 331;65 923;61 729;89 494;81 736;83 343;76 410;61 910;66 089;63 670;37 027;34 306;38 218;39 098;37 568;37 371;30 550;30 760;34 273
D.613CN Alkalmazásban nem állók tényleges kötelezõ társadalombiztosítási hozzájárulásai;75;17 206;17 039;15 048;15 187;19 343;17 398;15 940;19 296;20 374;22 528;27 829;23 270;32 746;44 522;54 454;59 683;62 690;66 042;34 017;27 576;29 099;29 580;30 302;31 510;32 966;34 565;36 229
D.613V Háztartások tényleges önkéntes társadalombiztosítási hozzájárulásai;76;–;–;–;793;1 087;1 273;1 761;2 083;2 212;2 246;2 331;2 042;1 762;1 792;1 626;1 585;1 676;1 590;1 503;1 384;1 181;1 235;1 163;1 090;983;953;963
D.614 Háztartások kiegészítõ társadalombiztosítási hozzájárulásai;77=78+79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6141 Háztartások kiegészítõ nyugdíjjárulékai;78;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6142 Háztartások kiegészítõ nem nyugdíjcélú járulékai;79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995 Államháztartási tõketranszferek a megfelelõ szektorok részére;80=81+..+86+90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995A Megállapított, de valószínûleg be nem hajtható termékadók;81;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995B Megállapított, de valószínûleg be nem hajtható egyéb termelési adók;82;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995C Megállapított, de valószínûleg be nem hajtható jövedelemadók;83;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995D Megállapított, de valószínûleg be nem hajtható egyéb folyó adók;84;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995E Munkaadók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;85;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995F Háztartások megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;86=87+..+89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FE Munkavállalók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;87;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FS Önálló vállalkozók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;88;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FN Alkalmazásban nem állók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995G Megállapított, de valószínûleg be nem hajtható tõkeadók;90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODB adókból és társadalombiztosítási hozzájárulásokból származó összes bevétel;"91=1+35+54+59–
66–77–80";774 569;880 653;1 098 043;1 288 708;1 388 378;1 600 000;1 797 151;2 007 258;2 175 602;2 333 191;2 525 594;2 707 806;3 167 824;3 354 786;3 157 048;3 077 825;3 527 565;3 851 477;4 006 231;4 256 065;4 566 941;4 828 502;4 777 160;5 173 299;5 395 947;5 257 374;5 657 663
ODC adókból és a nettó társadalombiztosítási hozzájárulásokból származó összes bevétel (az imputált TB hozzájárulásokat is beleértve);92=1+35+54+59–80;774 655;880 773;1 098 204;1 288 861;1 388 553;1 600 093;1 797 317;2 007 340;2 175 806;2 333 384;2 525 791;2 707 983;3 167 962;3 354 935;3 157 195;3 077 957;3 527 619;3 851 519;4 006 271;4 256 110;4 567 018;4 828 574;4 777 227;5 173 320;5 395 982;5 257 399;5 657 689
ODD adóteher – az adókból és a kötelezõ társadalombiztosítási hozzájárulásokból származó összes bevétel;"93=1+35+54+59–
66–77–62–76–80";774 569;880 653;1 098 043;1 287 915;1 387 291;1 598 727;1 795 390;2 005 175;2 173 390;2 330 945;2 523 263;2 705 764;3 166 062;3 352 994;3 155 422;3 076 240;3 525 889;3 849 887;4 004 728;4 254 681;4 565 760;4 827 267;4 775 997;5 172 209;5 394 964;5 256 421;5 656 700
