22.2.2.7. Természetes szaporodás, fogyás (–) megye és régió szerint, negyedéves gördülõ idõszak;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019.II–2020.I. negyedév;2019.III–2020.II. negyedév;2019.IV–2020.III. negyedév;2020 I–IV. negyedév;2020.II–2021.I. negyedév;2020.III–2021.II. negyedév;2020.IV–2021.III. negyedév;2021 I–IV. negyedév;2021.II–2022.I. negyedév;2021.III–2022.II. negyedév;2021.IV–2022.III. negyedév;2022 I–IV. negyedév
Ország összesen;ország;-35 869;-34 755;-34 047;-48 664;-57 581;-65 023;-65 682;-62 582;-59 726;-53 315;-55 274;
Az egy évvel korábbi negyedéves gördülõ idõszak = 100,0%;;;;;;;;;;;;;
Budapest;fõváros, régió;86,4;88,5;92,2;129,5;169,9;172,7;165,0;114,0;92,2;84,7;96,8;
Pest ;megye, régió;62,6;52,0;49,6;127,3;231,0;329,4;401,2;164,6;104,9;69,1;67,5;
Közép-Magyarország;nagyrégió;79,7;78,2;80,8;129,0;183,5;202,2;203,7;126,8;95,8;79,9;87,3;
Fejér;megye;85,6;83,4;77,4;101,6;123,2;151,6;161,0;135,3;117,4;84,2;89,3;
Komárom-Esztergom;megye;90,6;87,3;90,6;131,4;166,6;187,0;182,0;124,0;85,9;70,5;71,5;
Veszprém;megye;87,3;97,2;101,3;133,8;151,3;152,5;161,9;112,0;101,6;83,9;84,2;
Közép-Dunántúl;régió;87,5;89,1;88,8;120,7;144,8;161,4;167,3;123,1;101,7;79,8;82,0;
Gyõr-Moson-Sopron;megye;63,3;70,5;73,4;141,0;233,9;257,8;267,6;122,9;92,3;70,4;73,0;
Vas;megye;86,3;83,6;81,8;118,3;145,4;173,3;183,4;122,5;108,1;84,6;80,3;
Zala;megye;89,3;87,3;93,3;123,1;140,7;147,7;142,4;98,7;97,3;87,7;93,2;
Nyugat-Dunántúl;régió;80,9;81,7;84,6;126,2;163,2;181,2;182,9;112,4;98,7;81,1;82,7;
Baranya;megye;85,2;81,4;81,2;108,2;142,7;168,3;165,8;133,9;116,4;91,4;90,2;
Somogy;megye;77,6;75,6;77,8;104,4;154,5;175,3;179,7;139,3;102,8;84,1;82,2;
Tolna ;megye;89,3;92,3;89,6;105,5;143,5;146,6;167,3;132,1;100,6;92,5;86,8;
Dél-Dunántúl;régió;83,3;81,8;81,9;106,2;147,1;164,9;171,1;135,4;107,3;89,0;86,4;
Dunántúl;nagyrégió;84,0;84,2;85,0;116,9;151,0;168,4;173,2;123,8;102,7;83,4;83,7;
Borsod-Abaúj-Zemplén;megye;83,6;68,4;75,4;129,0;185,5;247,1;235,5;136,6;108,5;76,3;75,4;
Heves;megye;88,8;78,2;71,1;113,4;149,1;183,3;197,7;128,3;100,2;83,7;82,3;
Nógrád ;megye;82,2;69,7;67,8;101,2;149,2;205,4;214,7;146,6;106,2;78,9;73,2;
Észak-Magyarország;régió;84,9;71,8;72,1;117,2;164,5;215,5;218,7;136,2;105,5;79,0;76,9;
Hajdú-Bihar;megye;74,8;65,6;52,4;101,3;168,5;238,4;312,5;169,7;124,3;79,5;79,2;
Jász-Nagykun-Szolnok;megye;96,9;87,4;81,0;112,9;130,5;158,3;169,9;124,3;116,5;92,5;92,0;
Szabolcs-Szatmár-Bereg;megye;49,9;46,4;36,6;180,1;309,7;450,3;601,4;153,3;95,1;56,9;56,9;
Észak-Alföld;régió;77,6;70,4;61,6;121,8;172,6;229,6;268,6;144,0;112,0;77,0;76,8;
Bács-Kiskun ;megye;93,5;94,2;87,5;112,8;148,7;180,8;191,5;145,6;115,0;84,2;88,5;
Békés;megye;92,7;84,1;89,3;117,1;137,9;156,2;151,1;108,3;101,8;89,6;94,1;
Csongrád-Csanád;megye;87,4;83,4;83,1;115,7;130,1;151,4;157,9;124,2;115,7;90,7;95,3;
Dél-Alföld;régió;91,4;87,0;86,9;115,3;139,2;163,0;166,0;124,9;110,2;87,9;92,3;
Alföld és Észak;nagyrégió;85,5;77,5;75,1;117,6;155,5;195,3;205,5;133,6;109,1;81,8;82,6;
Ország összesen;ország;83,5;80,1;80,2;120,4;160,5;187,1;192,9;128,6;103,7;82,0;84,2;
