22.1.2.9. Ezer megfelelõ korú nõre jutó élveszületés, teljes termékenységi arányszám megye és régió szerint;;;;;;;;
Területi egység neve;Területi egység szintje;Ezer megfelelõ korú nõre jutó élveszületés, 15–19;Ezer megfelelõ korú nõre jutó élveszületés, 20–24;Ezer megfelelõ korú nõre jutó élveszületés, 25–29;Ezer megfelelõ korú nõre jutó élveszületés, 30–39;Ezer megfelelõ korú nõre jutó élveszületés, 40–49;Ezer megfelelõ korú nõre jutó élveszületés, 15–49;Teljes termékenységi arányszám
Dél-Alföld;régió;14,2;40,4;80,4;54,7;3,3;35,7;1,27
Alföld és Észak;nagyrégió;26,3;53,6;81,4;52,4;3,3;38,6;1,38
Ország összesen;ország;19,2;41,9;77,9;59,1;4,1;38,7;1,34
2019;;;;;;;;
Budapest;fõváros, régió;6,8;20,6;50,9;67,0;8,3;34,4;1,14
Pest ;megye, régió;13,1;44,2;85,4;76,9;7,0;41,3;1,57
Közép-Magyarország;nagyrégió;9,9;30,4;63,6;70,8;7,8;37,3;1,31
Fejér;megye;13,2;49,7;80,7;67,8;5,9;39,4;1,47
Komárom-Esztergom;megye;16,6;49,7;83,2;67,2;6,7;40,5;1,50
Veszprém;megye;13,6;43,1;83,6;70,0;5,4;38,7;1,49
Közép-Dunántúl;régió;14,3;47,5;82,3;68,3;6,0;39,5;1,48
Gyõr-Moson-Sopron;megye;7,3;31,0;81,8;68,9;5,0;37,7;1,35
Vas;megye;9,1;37,7;83,0;65,1;4,1;36,1;1,36
Zala;megye;14,3;41,8;73,5;62,1;5,2;34,1;1,35
Nyugat-Dunántúl;régió;9,6;35,4;80,2;66,3;4,8;36,4;1,35
Baranya;megye;18,3;41,6;75,2;63,0;5,4;36,8;1,37
Somogy;megye;29,4;60,1;79,7;59,1;5,0;38,9;1,50
Tolna ;megye;18,3;55,2;92,3;63,2;4,7;39,9;1,52
Dél-Dunántúl;régió;22,1;50,7;80,7;61,7;5,1;38,2;1,45
Dunántúl;nagyrégió;15,2;44,6;81,1;65,8;5,3;38,0;1,43
Borsod-Abaúj-Zemplén;megye;52,9;82,2;93,5;64,6;4,8;50,1;1,84
Heves;megye;31,4;61,2;92,5;61,0;4,6;41,4;1,60
Nógrád ;megye;44,0;72,3;79,6;61,7;3,9;43,1;1,64
Észak-Magyarország;régió;45,9;75,4;91,0;63,2;4,6;46,7;1,75
Hajdú-Bihar;megye;27,7;53,3;86,2;72,6;5,5;44,3;1,62
Jász-Nagykun-Szolnok;megye;34,0;70,0;91,1;61,1;5,0;43,8;1,65
Szabolcs-Szatmár-Bereg;megye;42,6;74,8;96,6;61,2;3,8;46,3;1,73
Észak-Alföld;régió;35,1;65,7;91,3;65,4;4,7;45,0;1,67
Bács-Kiskun ;megye;18,1;50,4;96,4;68,6;6,1;42,1;1,58
Békés;megye;16,7;50,5;85,4;63,0;5,1;37,9;1,46
Csongrád-Csanád;megye;11,0;28,3;73,7;73,1;6,6;37,7;1,37
Dél-Alföld;régió;15,4;42,6;85,5;68,7;6,0;39,5;1,48
Alföld és Észak;nagyrégió;32,4;61,4;89,4;65,8;5,1;43,7;1,63
Ország összesen;ország;21,0;47,6;79,1;68,1;6,1;40,2;1,49
2020;;;;;;;;
Budapest;fõváros, régió;7,7;20,8;51,6;67,7;8,1;34,5;1,15
Pest ;megye, régió;12,6;44,0;92,7;82,3;6,7;43,3;1,65
Közép-Magyarország;nagyrégió;10,1;30,5;67,1;73,5;7,5;38,2;1,35
Fejér;megye;14,1;50,4;92,3;73,9;6,5;42,7;1,60
Komárom-Esztergom;megye;14,2;51,4;91,2;67,0;5,6;40,8;1,52
Veszprém;megye;14,1;40,8;88,4;71,9;5,4;39,2;1,51
Közép-Dunántúl;régió;14,1;47,6;90,8;71,2;5,9;41,1;1,55
Gyõr-Moson-Sopron;megye;6,6;37,9;82,9;75,3;5,9;40,5;1,45
Vas;megye;10,0;36,9;87,7;71,9;5,3;38,7;1,46
Zala;megye;15,3;36,6;73,8;68,4;5,1;35,0;1,39
Nyugat-Dunántúl;régió;9,7;37,3;82,1;72,9;5,6;38,7;1,44
Baranya;megye;17,2;44,2;76,1;72,2;4,8;39,2;1,47
Somogy;megye;31,3;64,5;86,1;63,0;5,3;41,2;1,61
Tolna ;megye;20,8;63,8;93,9;75,9;4,6;44,6;1,70
Dél-Dunántúl;régió;22,9;55,1;83,5;70,0;4,9;41,2;1,57
Dunántúl;nagyrégió;15,3;46,6;85,7;71,5;5,5;40,3;1,52
Borsod-Abaúj-Zemplén;megye;56,2;86,6;96,9;67,3;4,7;52,2;1,92
Heves;megye;30,4;70,2;93,9;67,9;5,2;44,5;1,72
Nógrád ;megye;49,0;74,5;90,1;67,7;4,3;47,2;1,79
Észak-Magyarország;régió;48,3;80,6;95,1;67,5;4,8;49,4;1,85
Hajdú-Bihar;megye;26,1;55,1;96,5;76,8;6,2;47,1;1,72
Jász-Nagykun-Szolnok;megye;34,3;70,8;90,9;67,8;5,5;45,6;1,72
Szabolcs-Szatmár-Bereg;megye;46,9;77,4;101,9;70,2;4,3;50,3;1,88
Észak-Alföld;régió;36,3;67,5;97,2;72,1;5,3;48,0;1,78
Bács-Kiskun ;megye;18,9;55,7;99,7;77,9;6,2;45,6;1,72
Békés;megye;18,0;51,7;89,9;68,8;5,5;40,3;1,56
Csongrád-Csanád;megye;8,1;30,5;74,4;74,4;5,9;37,8;1,37
Dél-Alföld;régió;15,2;45,7;88,2;74,5;5,9;41,6;1,56
Alföld és Észak;nagyrégió;33,4;64,6;93,7;71,5;5,3;46,3;1,73
Ország összesen;ország;21,4;49,3;82,9;72,5;6,1;42,0;1,56
2021;;;;;;;;
Budapest;fõváros, régió;5,8;20,6;56,3;72,5;8,0;36,2;1,21
Pest ;megye, régió;11,6;39,6;95,5;82,4;6,4;42,8;1,64
Közép-Magyarország;nagyrégió;8,7;28,6;71,4;76,5;7,3;39,0;1,38
Fejér;megye;14,5;46,0;100,3;78,6;6,6;44,3;1,66
Komárom-Esztergom;megye;12,9;50,4;92,9;70,9;5,5;41,6;1,55
Veszprém;megye;11,9;43,5;90,8;78,5;5,4;40,9;1,59
Közép-Dunántúl;régió;13,2;46,5;95,3;76,3;5,9;42,5;1,61
Gyõr-Moson-Sopron;megye;6,8;34,0;92,0;77,5;5,8;41,6;1,49
Vas;megye;8,3;34,8;89,9;71,8;5,0;38,2;1,44
Zala;megye;14,3;46,8;89,0;71,8;5,3;38,5;1,55
Nyugat-Dunántúl;régió;9,1;37,3;90,8;74,8;5,5;40,0;1,50
Baranya;megye;16,5;41,8;80,1;71,8;4,7;39,1;1,46
Somogy;megye;23,8;68,5;88,6;63,4;5,1;41,0;1,60
Tolna ;megye;19,7;60,4;97,8;75,1;6,2;44,8;1,71
Dél-Dunántúl;régió;19,7;54,6;86,9;69,8;5,2;41,1;1,56
Dunántúl;nagyrégió;13,8;46,1;91,3;73,9;5,6;41,2;1,56
Borsod-Abaúj-Zemplén;megye;48,5;85,2;96,5;68,5;4,4;51,2;1,88
Heves;megye;32,9;68,2;88,8;70,7;5,4;44,5;1,72
Nógrád ;megye;39,9;77,9;97,9;62,9;5,9;46,7;1,77
Észak-Magyarország;régió;43,1;79,8;94,8;68,2;4,9;48,7;1,82
Hajdú-Bihar;megye;24,7;56,2;98,8;81,8;5,5;48,5;1,77
Jász-Nagykun-Szolnok;megye;30,5;71,4;88,6;67,0;4,5;44,1;1,67
Szabolcs-Szatmár-Bereg;megye;39,7;84,7;101,6;70,7;4,0;50,2;1,88
Észak-Alföld;régió;32,0;70,8;97,4;74,0;4,7;48,1;1,79
Bács-Kiskun ;megye;16,3;54,6;97,2;77,8;5,6;44,5;1,68
Békés;megye;16,6;56,6;94,1;73,2;5,5;42,4;1,64
Csongrád-Csanád;megye;7,7;30,5;82,3;82,4;6,7;41,4;1,49
Dél-Alföld;régió;13,6;46,6;91,2;78,2;5,9;42,9;1,60
Alföld és Észak;nagyrégió;29,6;66,1;94,6;73,7;5,2;46,6;1,74
Ország összesen;ország;18,9;49,2;86,5;75,1;6,0;42,7;1,59
