21.1.1.30. Nemzeti adólista – az adók és társadalombiztosítási hozzájárulások nemzeti osztályozásának teljes részletezése – Európai Unió Intézményei folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Adónév a nemzeti besorolás szerint;Gazdasági funkció;Alkohol- és dohány-, valamint környezetvédelmi és ingatlanadók;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.214I_09;Forgalmazók és befektetési alapok különadója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_10;Dohányipari vállalkozások egészségügyi hozzájárulása;C ;AT;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_11;Kiskereskedelmi adó;KS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214J;Fiskális monopóliumok nyeresége;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214K;Exportvámok és az exportra kivetett monetáris kompenzációs összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L;Egyéb, máshová nem sorolt termékadók;;;–;–;–;–;–;–;–;–;–;–;2 062;800;–;2 184;628;650;1 044;804;881;825;765;868;854;–;–;–;–
D.214L_01;Bérfõzetési szeszadó;C ;AT;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_02;Erdõfenntartási járulék;C ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_03;Tenyésztési hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_04;Halászatfejlesztési hozzájárulás;C ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_05;Vadvédelmi hozzájárulás;C ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_06;Cukorilleték;C ;;–;–;–;–;–;–;–;–;–;–;2 062;800;–;2 184;628;650;1 044;804;881;825;765;868;854;–;–;–;–
D.214L_07;Energiaipari befizetések (MAVIR);C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29;Egyéb termelési adók;;;–;–;–;–;–;–;–;–;–;–;–;–;15 659;16 552;7 017;–;–;–;–;–;–;–;–;–;–;–;–
D.29A;Földekre, épületekre vagy egyéb építményekre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29A_01;Építményadó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29A_02;Telekadó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29A_03;Épületek utáni idegenforgalmi adó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29A_04;Közmûvezetékek utáni adó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B;Állóeszközök használatára kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;15 659;16 552;7 017;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_01;Gépjármûadó (központi);KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_02;Gépjármûadó (helyi);KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_03;Cégautóadó;KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_04;Cukortermelés szerkezeti átalakítása miatti illeték;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;15 659;16 552;7 017;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_05;Gépjármûadó (túlsúlydíj);KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C;Az összbértömeg után kivetett adók és létszámadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_01;Rehabilitációs hozzájárulás;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_02;Szakképzési hozzájárulás;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_03;Kommunális adó;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_04;Gyógyszerismertetõk után fizetett adó;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_05;Kisadózók tételes adója (KATA);KISE;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_06;Kisvállalati adó (KIVA);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29D;Nemzetközi tranzakciókra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E;Üzleti vagy szakmai engedélyekért fizetett összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_01;Koncessziós díj;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_02;Eljárási illeték;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_03;Rendkívüli tõkeadók;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_04;Tagdíjbevétel (BEVA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_05;Tagdíjbevétel (OBA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_06;Tagdíjbevétel (Szanálási Alap);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_07;Tagdíjbevétel (SZHTKA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_08;Tagdíjbevétel (Kárrendezési Alap);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_09;Koncessziós díj (dohányboltok);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_10;Tagdíjbevétel (Pénztárak Garancia Alapja);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_11;Hitelintézetek járványügyi különadója;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29F;Környezetszennyezésre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29F_01;Környezetterhelési díj;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29F_02;Széndioxid kvóta értékesítés bevétele;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29G;Héa-alulkompenzáció (átalányrendszer);;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H;Egyéb, máshová nem sorolt termelési adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H_01;Gyógyszertári szolidaritási díj;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H_02;Nukleáris hozzájárulás;KS ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.5;Folyó jövedelem-, vagyon-, stb. adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51;Jövedelemadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51M;Egyének vagy háztartások jövedelmére kivetett adók, beleértve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51M_01;Személyi jövedelemadó (szja);SPLIT1 ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51A;Egyének vagy háztartások jövedelmére kivetett adók, kivéve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C1;Az egyéneknél vagy háztartásokban jelentkezõ eszköztartási nyereségre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O;Vállalatok jövedelmére vagy nyereségére kivetett adók, beleértve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_01;Társasági nyereségadó;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_02;Különadó;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_03;Pénzintézetek különadója;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_04;Hitelintézeti járadék;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51B;Vállalatok jövedelmére vagy nyereségére kivetett adók, kivéve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C2;Vállalatok eszköztartási nyereségére kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C3;Egyéb, eszköztartási nyereségre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C;Eszköztartási nyereségre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51D;Lottójáték vagy szerencsejáték nyereményeire kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E;Egyéb, máshová nem sorolt jövedelemadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E_01;Sávos kockázatviselés tb alap;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E_02;Energiaellátók különadója;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E_03;Települési adó (jövedelmi típusú);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59;Egyéb folyó adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59A;Tõkére kivetett folyó adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59A_01;Települési adó (egyéb típusú);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59B;Fejadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59C;Költségadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D;Háztartások által engedélyekért fizetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D_01;Gépjármûadó;C ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D_02;Eljárási illeték;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D_03;Egyéb átengedett központi adók;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59E;Nemzetközi tranzakciókra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F;Egyéb, máshová nem sorolt folyó adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F_01;Háztartások kommunális adója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F_02;Idegenforgalmi adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F_03;Környezetterhelési díj;KS ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91;Tõkeadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91A;Tõketranszferekre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91A_01;Örökösödési és ajándékozási illeték;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91A_02;Luxusadó;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91B;Tõkeilleték;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91B_01;Földvédelmi járulék;KS ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91B_02;Települési adó (vagyoni típusú);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91C;Egyéb, máshová nem sorolt tõkeadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODA;Összes adóbevétel;;;–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;52 431;55 580;41 297;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
D.61;Nettó társadalombiztosítási hozzájárulások;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611;Munkaadók tényleges társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C;Munkaadók tényleges kötelezõ társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C_01;Szociális hozzájárulási adó;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C_02;Egészségügyi hozzájárulás (munkaadók);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C_03;Egészségügyi szolgáltatási járulék (munkaadók);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C_04;Felszolgálási díj utáni nyugdíjjárulék;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C_05;Egyszerûsített foglalkoztatás utáni közterhek;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C_06;Munkáltatói táppénz hozzájárulás;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C_07;Korkedvezmény biztosítási járulék;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C_08;Munkáltatói nyugdíjbiztosítási járulék;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C_09;Munkáltatói egészségbiztosítási- és munkaerõpiai járulék;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611V;Munkaadók tényleges önkéntes társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.61SC;Társadalombiztosítási rendszerek szolgáltatási díjai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6111;Munkaadók tényleges nyugdíjjárulékai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6111_01;Szociális hozzájárulási adó (nyugdíjcélú);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
