22.1.2.14. Ideiglenes belföldi vándorlás megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Jász-Nagykun-Szolnok;megye;7 829;7 696;7 878;8 330;8 526;9 600;9 751;5 768;6 129;6 755;10 303;10 921;10 460;10 428;10 402;11 583;11 894;11 764;11 285;11 398;11 367
Szabolcs-Szatmár-Bereg;megye;9 396;9 523;9 762;9 791;10 332;11 314;12 989;7 105;7 287;8 055;12 668;14 828;13 941;14 649;14 956;16 170;17 021;16 079;16 114;16 131;16 551
Észak-Alföld;régió;27 154;26 796;27 320;28 085;29 387;32 722;35 753;20 722;22 293;23 762;35 437;39 148;37 434;38 886;39 371;42 717;43 941;42 568;42 195;42 394;42 951
Bács-Kiskun ;megye;8 221;8 729;8 741;9 516;9 751;11 158;11 939;7 218;7 781;8 235;12 827;14 465;13 193;13 380;13 715;14 859;15 316;14 734;14 797;15 228;15 149
Békés;megye;6 653;7 199;6 708;7 022;7 419;8 341;8 526;5 084;5 369;5 932;9 069;9 562;8 932;9 293;8 923;9 834;9 706;9 200;9 495;9 190;9 563
Csongrád-Csanád;megye;6 222;6 299;6 805;7 400;7 639;9 312;10 563;6 661;6 851;6 838;9 806;10 964;10 309;10 470;10 440;11 477;11 658;11 308;11 380;11 442;11 119
Dél-Alföld;régió;21 096;22 227;22 254;23 938;24 809;28 811;31 028;18 963;20 001;21 005;31 702;34 991;32 434;33 143;33 078;36 170;36 680;35 242;35 672;35 860;35 831
Alföld és Észak;nagyrégió;72 716;74 183;75 642;78 075;83 571;91 801;99 616;57 734;61 669;65 233;99 850;110 226;101 905;105 762;106 233;116 242;118 663;113 886;114 246;114 387;114 263
Ország összesen;ország;183 024;187 002;192 834;200 897;210 878;235 633;258 953;154 953;165 456;177 433;260 161;286 645;262 567;275 147;275 898;297 019;307 025;297 123;297 780;301 613;302 104
Ideiglenes belföldi elvándorlások száma;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;26 891;27 380;27 212;28 100;28 969;32 858;33 868;16 244;17 541;18 558;33 400;37 925;33 362;35 774;37 612;41 055;43 634;40 380;41 020;48 201;45 057
Pest ;megye, régió;20 414;20 867;22 232;23 976;24 611;27 622;30 656;17 728;19 997;22 366;33 469;37 171;34 136;35 044;34 642;37 937;39 720;38 686;38 256;38 798;40 549
Közép-Magyarország;nagyrégió;47 305;48 247;49 444;52 076;53 580;60 480;64 524;33 972;37 538;40 924;66 869;75 096;67 498;70 818;72 254;78 992;83 354;79 066;79 276;86 999;85 606
Fejér;megye;8 577;9 405;9 184;9 344;9 752;10 962;11 709;7 401;8 137;9 022;12 398;13 104;12 253;13 182;13 129;14 347;14 682;14 306;14 399;14 190;14 812
Komárom-Esztergom;megye;5 422;5 662;5 806;6 112;6 387;7 276;8 143;4 851;5 473;5 787;8 601;9 355;8 559;8 756;8 455;9 404;9 552;9 426;9 479;9 631;9 787
Veszprém;megye;8 675;8 995;9 371;9 791;10 468;11 314;12 361;7 327;7 714;8 431;12 184;13 181;11 979;12 240;12 683;13 473;13 873;13 474;13 385;13 101;14 002
Közép-Dunántúl;régió;22 674;24 062;24 361;25 247;26 607;29 552;32 213;19 579;21 324;23 240;33 183;35 640;32 791;34 178;34 267;37 224;38 107;37 206;37 263;36 922;38 601
Gyõr-Moson-Sopron;megye;8 915;8 673;9 211;9 463;9 387;10 624;11 463;6 741;7 147;7 608;11 847;13 315;12 025;13 330;13 653;14 776;15 461;14 820;14 985;15 864;16 363
Vas;megye;5 193;5 530;5 636;5 588;5 932;6 214;6 717;3 852;4 046;4 576;6 255;6 980;6 211;6 842;7 569;7 116;7 894;7 741;7 766;8 335;8 260
Zala;megye;4 979;5 326;5 477;5 939;6 270;7 116;8 052;4 527;4 933;5 473;7 887;8 405;7 749;8 842;10 191;8 782;9 016;8 440;8 111;8 417;8 273
Nyugat-Dunántúl;régió;19 087;19 529;20 324;20 990;21 589;23 954;26 232;15 120;16 126;17 657;25 989;28 700;25 985;29 014;31 413;30 674;32 371;31 001;30 862;32 616;32 896
Baranya;megye;7 925;7 538;8 097;8 473;8 917;9 927;11 208;7 220;7 186;7 645;11 322;12 436;11 488;11 844;11 071;11 772;11 737;11 867;11 864;11 518;11 771
Somogy;megye;6 802;7 178;7 991;8 093;8 674;9 469;10 761;6 502;6 863;7 546;10 252;11 122;10 662;11 263;10 510;11 881;11 429;11 380;11 341;11 229;11 405
Tolna ;megye;4 797;4 985;5 116;5 338;5 762;6 458;7 013;4 562;4 754;4 653;6 764;7 255;6 563;6 933;6 759;7 193;7 237;7 087;7 093;6 719;6 616
Dél-Dunántúl;régió;19 524;19 701;21 204;21 904;23 353;25 854;28 982;18 284;18 803;19 844;28 338;30 813;28 713;30 040;28 340;30 846;30 403;30 334;30 298;29 466;29 792
Dunántúl;nagyrégió;61 285;63 292;65 889;68 141;71 549;79 360;87 427;52 983;56 253;60 741;87 510;95 153;87 489;93 232;94 020;98 744;100 881;98 541;98 423;99 004;101 289
Borsod-Abaúj-Zemplén;megye;14 837;14 692;15 296;15 361;16 883;18 100;20 808;12 807;13 614;13 766;19 144;20 884;19 135;20 125;19 337;20 842;21 854;20 343;21 101;20 045;19 472
Heves;megye;6 732;7 147;7 291;7 365;8 173;9 019;10 088;5 876;6 135;6 807;9 691;10 836;9 834;9 887;9 690;10 717;10 949;11 140;10 810;10 345;10 661
Nógrád ;megye;3 680;4 046;4 278;4 398;4 647;5 126;5 808;3 478;3 901;4 524;6 368;6 668;5 751;5 686;5 697;6 252;6 132;6 308;6 224;6 010;6 078
Észak-Magyarország;régió;25 249;25 885;26 865;27 124;29 703;32 245;36 704;22 161;23 650;25 097;35 203;38 388;34 720;35 698;34 724;37 811;38 935;37 791;38 135;36 400;36 211
Hajdú-Bihar;megye;9 679;9 413;9 948;9 973;10 730;11 944;12 999;8 460;9 241;9 412;13 222;14 521;13 548;14 476;14 685;15 622;15 616;15 738;15 379;14 868;15 090
Jász-Nagykun-Szolnok;megye;7 798;7 801;8 175;8 522;8 985;10 233;10 686;7 041;7 385;7 686;10 823;11 581;10 807;11 073;10 636;11 817;11 931;11 725;11 672;11 425;11 210
Szabolcs-Szatmár-Bereg;megye;9 678;9 964;10 077;10 569;11 064;11 994;14 479;9 762;9 728;10 640;14 185;16 210;15 171;15 765;16 092;17 041;18 545;17 887;18 096;17 026;16 796
Észak-Alföld;régió;27 155;27 178;28 200;29 064;30 779;34 171;38 164;25 263;26 354;27 738;38 230;42 312;39 526;41 314;41 413;44 480;46 092;45 350;45 147;43 319;43 096
Bács-Kiskun ;megye;8 510;8 609;9 017;9 803;9 914;11 393;12 738;7 907;8 516;9 076;12 749;14 218;13 437;13 784;13 646;15 016;15 440;15 150;14 967;14 835;15 003
Békés;megye;6 929;7 427;6 874;7 553;7 757;8 971;9 733;6 462;6 815;7 221;9 784;10 087;9 669;9 863;9 619;10 378;10 310;9 831;10 241;9 574;9 416
Csongrád-Csanád;megye;6 591;6 364;6 545;7 136;7 596;9 013;9 663;6 205;6 330;6 636;9 816;11 391;10 228;10 438;10 222;11 598;12 013;11 394;11 591;11 482;11 483
Dél-Alföld;régió;22 030;22 400;22 436;24 492;25 267;29 377;32 134;20 574;21 661;22 933;32 349;35 696;33 334;34 085;33 487;36 992;37 763;36 375;36 799;35 891;35 902
Alföld és Észak;nagyrégió;74 434;75 463;77 501;80 680;85 749;95 793;107 002;67 998;71 665;75 768;105 782;116 396;107 580;111 097;109 624;119 283;122 790;119 516;120 081;115 610;115 209
Ország összesen;ország;183 024;187 002;192 834;200 897;210 878;235 633;258 953;154 953;165 456;177 433;260 161;286 645;262 567;275 147;275 898;297 019;307 025;297 123;297 780;301 613;302 104
Ideiglenes belföldi vándorlási különbözet;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;-213;10;1 459;3 446;1 814;2 373;7 507;9 414;10 641;12 617;5 303;5 953;6 432;4 735;840;-161;495;2 803;2 021;-7 761;-1 991
Pest ;megye, régió;1 108;1 174;966;180;362;1 683;1 348;1 955;1 350;246;182;-107;-262;1 052;1 591;2 124;2 151;1 831;2 043;2 019;1 591
Közép-Magyarország;nagyrégió;895;1 184;2 425;3 626;2 176;4 056;8 855;11 369;11 991;12 863;5 485;5 846;6 170;5 787;2 431;1 963;2 646;4 634;4 064;-5 742;-400
Fejér;megye;306;-779;-294;-254;-148;331;197;-185;-105;-122;414;-73;-132;-192;215;323;420;-98;-217;902;120
Komárom-Esztergom;megye;328;75;224;354;387;709;35;267;-69;-26;-204;-310;-206;-244;274;-171;360;185;313;400;325
Veszprém;megye;107;106;95;-221;-57;-158;-647;-95;-388;-568;-337;-165;-378;-204;-280;64;262;229;222;2 286;-140
Közép-Dunántúl;régió;741;-598;25;-121;182;882;-415;-13;-562;-716;-127;-548;-716;-640;209;216;1 042;316;318;3 588;305
Gyõr-Moson-Sopron;megye;251;764;-85;180;431;252;1 035;1 573;997;1 201;1 490;2 032;1 784;1 434;1 296;1 153;1 002;1 986;2 098;1 299;570
Vas;megye;94;-109;-36;-9;-29;-163;-134;-324;-346;-579;382;284;404;388;689;531;389;171;345;151;-73
Zala;megye;-47;111;208;34;-28;-323;-550;-434;-484;-71;58;-65;-391;-331;-358;-420;-393;-322;-121;-24;233
Nyugat-Dunántúl;régió;298;766;87;205;374;-234;351;815;167;551;1 930;2 251;1 797;1 491;1 627;1 264;998;1 835;2 322;1 426;730
Baranya;megye;-292;-23;-188;-208;133;159;-76;-88;-417;-562;-805;-1 030;-529;-428;-166;-70;-86;-281;-221;76;66
Somogy;megye;122;-20;-314;-535;-392;-585;-813;-970;-416;-1 012;-249;-324;-793;-922;-328;-329;-275;-616;-259;2 068;13
Tolna ;megye;-46;-29;-176;-362;-295;-286;-516;-849;-767;-589;-302;-25;-254;47;-382;-3;-198;-258;-389;-193;232
Dél-Dunántúl;régió;-216;-72;-678;-1 105;-554;-712;-1 405;-1 907;-1 600;-2 163;-1 356;-1 379;-1 576;-1 303;-876;-402;-559;-1 155;-869;1 951;311
Dunántúl;nagyrégió;823;96;-566;-1 021;2;-64;-1 469;-1 105;-1 995;-2 328;447;324;-495;-452;960;1 078;1 481;996;1 771;6 965;1 346
Borsod-Abaúj-Zemplén;megye;-867;-311;-913;-949;-250;-1 619;-2 552;-3 015;-2 803;-2 627;-1 107;-1 143;-1 611;-1 436;-1 020;-479;-882;-1 100;-1 329;-722;-501
Heves;megye;29;-328;245;180;-25;-38;-676;-398;-610;-899;-449;-626;-549;-172;-15;-266;-74;-556;-306;-7;-230
Nógrád ;megye;55;-86;-129;-303;-53;-320;-641;-699;-862;-1 105;-936;-532;-523;-357;95;289;63;-59;-121;462;1
Észak-Magyarország;régió;-783;-725;-797;-1 072;-328;-1 977;-3 869;-4 112;-4 275;-4 631;-2 492;-2 301;-2 683;-1 965;-940;-456;-893;-1 715;-1 756;-267;-730
Hajdú-Bihar;megye;250;164;-268;-9;-201;-136;14;-611;-364;-460;-756;-1 122;-515;-667;-672;-658;-590;-1 013;-583;-3;-57
Jász-Nagykun-Szolnok;megye;31;-105;-297;-192;-459;-633;-935;-1 273;-1 256;-931;-520;-660;-347;-645;-234;-234;-37;39;-387;-27;157
Szabolcs-Szatmár-Bereg;megye;-282;-441;-315;-778;-732;-680;-1 490;-2 657;-2 441;-2 585;-1 517;-1 382;-1 230;-1 116;-1 136;-871;-1 524;-1 808;-1 982;-895;-245
Észak-Alföld;régió;-1;-382;-880;-979;-1 392;-1 449;-2 411;-4 541;-4 061;-3 976;-2 793;-3 164;-2 092;-2 428;-2 042;-1 763;-2 151;-2 782;-2 952;-925;-145
Bács-Kiskun ;megye;-289;120;-276;-287;-163;-235;-799;-689;-735;-841;78;247;-244;-404;69;-157;-124;-416;-170;393;146
Békés;megye;-276;-228;-166;-531;-338;-630;-1 207;-1 378;-1 446;-1 289;-715;-525;-737;-570;-696;-544;-604;-631;-746;-384;147
Csongrád-Csanád;megye;-369;-65;260;264;43;299;900;456;521;202;-10;-427;81;32;218;-121;-355;-86;-211;-40;-364
Dél-Alföld;régió;-934;-173;-182;-554;-458;-566;-1 106;-1 611;-1 660;-1 928;-647;-705;-900;-942;-409;-822;-1 083;-1 133;-1 127;-31;-71
Alföld és Észak;nagyrégió;-1 718;-1 280;-1 859;-2 605;-2 178;-3 992;-7 386;-10 264;-9 996;-10 535;-5 932;-6 170;-5 675;-5 335;-3 391;-3 041;-4 127;-5 630;-5 835;-1 223;-946
Ország összesen;ország;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Megyén belüli ideiglenes belföldi vándorlások száma;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Pest ;megye, régió;6 529;6 596;7 330;7 675;7 898;9 270;10 011;6 158;6 976;7 631;11 634;12 591;11 966;12 655;12 497;13 507;14 191;13 605;13 334;13 240;13 848
Közép-Magyarország;nagyrégió;6 529;6 596;7 330;7 675;7 898;9 270;10 011;6 158;6 976;7 631;11 634;12 591;11 966;12 655;12 497;13 507;14 191;13 605;13 334;13 240;13 848
Fejér;megye;3 792;4 001;3 962;4 095;4 490;5 086;5 122;3 285;3 763;4 293;5 724;5 904;5 729;6 279;6 393;6 907;7 030;6 708;6 828;6 826;7 047
Komárom-Esztergom;megye;2 683;2 705;2 837;3 009;3 143;3 564;3 922;2 264;2 555;2 856;4 265;4 710;4 229;4 448;4 260;4 600;4 852;4 771;4 883;4 860;5 045
Veszprém;megye;4 366;4 362;4 718;4 735;5 407;5 755;6 183;3 818;3 984;4 264;6 294;6 856;6 163;6 330;6 382;7 020;7 002;6 893;6 880;6 685;6 885
Közép-Dunántúl;régió;10 841;11 068;11 517;11 839;13 040;14 405;15 227;9 367;10 302;11 413;16 283;17 470;16 121;17 057;17 035;18 527;18 884;18 372;18 591;18 371;18 977
Gyõr-Moson-Sopron;megye;4 639;4 622;4 696;4 849;5 063;5 659;6 377;3 932;4 004;4 214;6 589;7 511;6 603;7 104;6 985;7 934;8 122;7 889;8 060;8 685;8 781
Vas;megye;3 025;3 141;3 299;3 164;3 476;3 493;3 788;2 051;2 057;2 206;3 524;3 912;3 503;3 634;3 796;3 955;4 497;4 284;4 369;4 702;4 680
Zala;megye;2 476;2 649;2 820;2 963;3 212;3 610;4 118;2 260;2 418;2 732;4 211;4 426;4 087;4 237;4 216;4 564;4 656;4 330;4 128;4 268;4 305
Nyugat-Dunántúl;régió;10 140;10 412;10 815;10 976;11 751;12 762;14 283;8 243;8 479;9 152;14 324;15 849;14 193;14 975;14 997;16 453;17 275;16 503;16 557;17 655;17 766
Baranya;megye;4 751;4 604;4 946;5 128;5 572;6 212;6 897;4 512;4 239;4 528;6 741;7 346;6 958;7 241;6 745;7 197;7 026;7 018;7 000;6 913;6 995
Somogy;megye;3 633;3 850;4 319;4 063;4 518;4 774;5 409;3 037;3 390;3 617;5 290;5 756;5 374;5 666;5 322;6 047;5 635;5 515;5 500;5 558;5 287
Tolna ;megye;2 387;2 571;2 509;2 568;2 858;3 176;3 358;2 084;2 194;2 155;3 414;3 735;3 259;3 619;3 260;3 662;3 617;3 530;3 540;3 246;3 224
Dél-Dunántúl;régió;10 771;11 025;11 774;11 759;12 948;14 162;15 664;9 633;9 823;10 300;15 445;16 837;15 591;16 526;15 327;16 906;16 278;16 063;16 040;15 717;15 506
Dunántúl;nagyrégió;31 752;32 505;34 106;34 574;37 739;41 329;45 174;27 243;28 604;30 865;46 052;50 156;45 905;48 558;47 359;51 886;52 437;50 938;51 188;51 743;52 249
Borsod-Abaúj-Zemplén;megye;8 518;8 617;8 858;8 782;10 140;10 371;11 775;6 722;7 375;7 428;11 338;12 441;11 086;11 829;11 530;12 659;12 839;11 751;12 291;11 833;11 514
Heves;megye;3 275;3 437;3 702;3 654;4 059;4 527;4 815;2 808;2 768;3 074;4 799;5 419;4 872;5 046;4 832;5 338;5 439;5 348;5 252;4 893;5 084
Nógrád ;megye;1 620;1 859;1 955;1 948;2 256;2 323;2 569;1 501;1 688;1 901;2 740;3 107;2 627;2 619;2 735;3 047;2 969;2 982;2 942;2 923;2 917
Észak-Magyarország;régió;13 413;13 913;14 515;14 384;16 455;17 221;19 159;11 031;11 831;12 403;18 877;20 967;18 585;19 494;19 097;21 044;21 247;20 081;20 485;19 649;19 515
Hajdú-Bihar;megye;5 573;5 217;5 461;5 401;5 853;6 594;7 014;4 496;5 023;5 190;7 171;7 751;7 238;7 796;7 936;8 252;7 995;8 004;8 061;7 993;8 008
Jász-Nagykun-Szolnok;megye;3 823;3 517;3 915;3 876;4 132;4 771;4 578;2 971;3 042;3 266;4 900;5 129;5 031;4 919;4 721;5 368;5 460;5 318;5 098;5 028;4 841
Szabolcs-Szatmár-Bereg;megye;5 274;5 356;5 501;5 506;5 961;6 255;7 655;4 648;4 614;5 188;7 421;8 821;8 427;8 946;9 025;9 411;10 188;9 638;9 717;9 651;9 587
Észak-Alföld;régió;14 670;14 090;14 877;14 783;15 946;17 620;19 247;12 115;12 679;13 644;19 492;21 701;20 696;21 661;21 682;23 031;23 643;22 960;22 876;22 672;22 436
Bács-Kiskun ;megye;4 009;4 243;4 458;4 678;4 853;5 508;6 048;3 787;4 117;4 314;6 282;7 228;6 810;6 838;6 873;7 728;7 803;7 581;7 330;7 458;7 360
Békés;megye;3 717;4 123;3 577;3 810;4 008;4 489;4 770;2 955;3 149;3 429;5 062;5 058;4 950;5 005;4 758;5 219;4 985;4 778;4 954;4 704;4 660
Csongrád-Csanád;megye;3 202;3 133;3 516;3 707;4 011;4 766;5 188;3 305;3 427;3 449;5 168;5 636;5 359;5 363;5 268;6 110;6 026;5 762;5 804;5 781;5 598
Dél-Alföld;régió;10 928;11 499;11 551;12 195;12 872;14 763;16 006;10 047;10 693;11 192;16 512;17 922;17 119;17 206;16 899;19 057;18 814;18 121;18 088;17 943;17 618
Alföld és Észak;nagyrégió;39 011;39 502;40 943;41 362;45 273;49 604;54 412;33 193;35 203;37 239;54 881;60 590;56 400;58 361;57 678;63 132;63 704;61 162;61 449;60 264;59 569
Ország összesen;ország;77 292;78 603;82 379;83 611;90 910;100 203;109 597;66 594;70 783;75 735;112 567;123 337;114 271;119 574;117 534;128 525;130 332;125 705;125 971;125 247;125 666
