21.2.1.1. A makrogazdaság fõbb negyedéves adatai;;;;;;;;
Év;Hónap;A bruttó hazai termék folyó áron, milliárd Ft;A háztartások tényleges fogyasztása folyó áron, milliárd Ft;A bruttó felhalmozás folyó áron, milliárd Ft;A bruttó hazai termék volumenindexe, elõzõ év azonos idõszaka = 100,0%;A háztartások tényleges fogyasztásának volumenindexe, elõzõ év azonos idõszaka = 100,0%;A bruttó felhalmozás volumenindexe, elõzõ év azonos idõszaka = 100,0%;A kormányzati szektor egyenlege a GDP %-ában
;IV.;7 638;4 437;2 078;101,9;98,7;103,8;-3,6
2011.;I.;6 289;4 206;960;102,8;100,4;105,8;-4,4
;II.;6 993;4 416;1 396;101,5;101,5;97,1;-4,5
;III.;7 297;4 570;1 533;101,3;101,0;90,7;-5,0
;IV.;7 959;4 754;2 045;102,0;100,6;95,9;-7,0
2012.;I.;6 482;4 365;1 061;99,9;98,7;100,6;-2,7
;II.;7 125;4 538;1 292;98,8;97,5;89,2;-2,0
;III.;7 442;4 597;1 532;98,9;94,9;100,7;-1,2
;IV.;7 947;4 902;1 961;97,6;99,9;94,6;-3,4
2013.;I.;6 668;4 426;1 002;99,1;99,3;86,6;-4,1
;II.;7 527;4 679;1 551;101,3;100,7;110,8;-1,8
;III.;7 840;4 623;1 774;102,8;99,4;105,9;-2,4
;IV.;8 317;4 926;2 235;103,6;100,4;111,3;-2,1
2014.;I.;7 220;4 604;1 271;104,4;101,3;117,0;-2,4
;II.;8 106;4 928;1 935;104,7;102,7;118,4;-3,4
;III.;8 502;4 793;2 249;104,0;101,8;117,4;-1,7
;IV.;8 977;5 182;2 437;103,9;102,9;102,3;-3,6
2015.;I.;7 657;4 854;1 205;104,6;103,7;99,6;-3,9
;II.;8 554;5 131;1 955;103,4;103,2;98,4;-1,2
;III.;8 966;5 015;2 364;103,1;103,4;99,1;-1,5
;IV.;9 787;5 474;2 697;103,8;104,2;97,2;-1,5
2016.;I.;7 923;5 117;1 222;101,2;104,2;99,7;1,1
;II.;9 038;5 410;1 805;103,1;104,3;89,7;-0,3
;III.;9 293;5 290;2 233;102,5;103,6;98,0;0,8
;IV.;9 952;5 814;2 543;101,9;104,3;99,0;-8,6
2017.;I.;8 532;5 454;1 650;104,7;103,2;124,3;2,8
;II.;9 697;5 850;1 977;103,6;104,0;105,0;-1,0
;III.;10 080;5 777;2 614;104,2;105,1;112,5;-3,9
;IV.;10 966;6 411;2 833;104,6;105,4;103,8;-7,4
2018.;I.;9 364;5 930;1 887;105,0;104,6;105,8;-0,5
;II.;10 676;6 330;2 581;105,4;104,4;117,7;-1,2
;III.;11 205;6 277;3 571;105,5;104,0;121,6;-0,6
;IV.;12 141;6 871;3 592;105,5;103,6;115,5;-5,9
2019.;I.;10 383;6 419;2 454;105,3;104,3;118,6;1,3
;II.;11 786;6 937;3 088;104,7;104,6;115,0;0,2
;III.;12 267;6 850;3 913;105,0;104,1;108,0;-3,2
;IV.;13 229;7 558;4 082;104,4;104,9;110,1;-6,2
2020.;I.;11 126;7 081;2 502;102,1;104,9;106,7;-0,8
;II.;10 980;6 863;2 841;87,1;92,7;90,0;-8,8
;III.;12 445;7 052;3 625;95,8;98,5;88,4;-4,0
;IV.;13 861;7 684;4 226;97,2;96,8;92,2;-16,4
2021.;I.;11 503;7 126;2 347;97,8;95,9;84,7;-6,7
;II.;13 749;7 903;4 060;117,8;109,1;125,1;-4,8
;III.;14 065;7 992;4 964;106,2;105,5;119,8;-4,8
;IV.;15 809;8 940;5 440;107,4;106,7;113,2;-11,9
2022.;I.;13 823;8 825;3 698;108,2;110,6;120,3;-3,4
;II.;16 399;9 645;5 442;106,5;109,2;102,1;-2,3
;III.;17 579;9 828;6 996;104,0;104,2;96,6;..
;IV.;;;;;;;
2022.;I–III.;47 802;28 297;16 135;106,1;107,9;103,9;..
