5.8.1.2. A szegénység vagy társadalmi kirekesztõdés kockázatának kitettek aránya nem, korcsoport, iskolai végzettség, jövedelmi ötöd, gazdasági aktivitás, háztartástípus szerint (EU2020 stratégia) [%];;;;;;;;;;;;;;;;;
Megnevezés;2004 referencia év;2005 referencia év;2006 referencia év;2007 referencia év;2008 referencia év;2009 referencia év;2010 referencia év;2011 referencia év;2012 referencia év;2013 referencia év;2014 referencia év;2015 referencia év;2016 referencia év;2017 referencia év;2018 referencia év;2019 referencia év;2020 referencia év
Férfi;24,7;20,1;18,8;17,6;19,8;19,0;19,4;21,0;23,2;20,2;18,8;18,3;18,7;12,8;12,3;11,3;..
Nõ ;21,0;17,3;17,1;15,8;18,5;18,3;19,6;20,8;24,1;20,3;18,6;18,6;19,3;13,0;12,4;10,5;..
Munkanélküli;64,5;71,5;70,1;70,3;72,7;70,8;71,3;78,3;77,8;77,4;77,5;70,4;73,1;70,0;69,4;62,3;60,9
Férfi;69,2;75,5;73,8;72,2;76,3;74,5;75,0;79,4;82,3;78,3;81,9;71,6;78,1;74,3;76,0;67,5;..
Nõ ;60,5;66,6;66,0;68,1;68,5;66,1;66,8;77,0;72,6;76,2;71,7;68,7;65,8;64,8;62,9;57,3;..
Nyugdíjas;35,6;33,9;32,7;29,8;20,4;20,5;21,3;23,8;24,8;22,5;20,3;18,0;19,0;14,9;15,5;19,1;18,8
Férfi;32,3;31,8;30,8;28,5;16,1;15,8;17,1;19,3;20,3;19,1;16,9;14,3;16,2;11,2;12,2;18,7;..
Nõ ;37,8;35,3;33,9;30,6;23,0;23,3;23,9;26,6;27,7;24,5;22,2;20,2;20,7;17,0;17,4;19,4;..
Egyéb inaktív;38,3;41,3;40,3;40,3;44,8;44,5;47,4;48,1;50,0;45,1;42,9;41,7;38,2;32,8;35,0;32,2;30,0
Férfi;30,8;40,3;38,0;39,3;46,1;44,4;47,4;50,1;51,6;44,9;43,2;44,2;38,8;33,5;37,1;33,8;..
Nõ ;41,1;41,8;41,3;40,8;44,0;44,5;47,3;46,9;49,0;45,3;42,7;40,3;37,9;32,3;33,6;31,3;..
Háztartástípusok szerint;;;;;;;;;;;;;;;;;
Gyermektelen háztartások összesen;29,5;28,7;26,7;25,9;24,8;24,9;27,4;29,5;30,5;27,3;25,2;23,0;23,1;17,6;17,3;19,1;18,6
Ebbõl:;;;;;;;;;;;;;;;;;
egyszemélyes háztartás;39,0;39,3;37,6;36,7;33,6;33,6;38,9;40,2;38,0;34,7;32,0;30,0;29,1;26,6;27,5;25,7;28,4
férfi;39,8;44,9;40,8;43,2;36,5;36,9;43,2;43,8;42,6;39,1;36,2;34,3;29,6;28,1;27,7;30,5;29,7
nõ ;38,6;36,9;36,2;33,7;32,3;32,1;36,6;38,3;35,3;32,0;29,3;26,9;28,7;25,6;27,4;22,6;27,5
65 évesnél fiatalabb;46,9;48,8;47,7;47,8;42,3;42,9;48,1;48,9;48,9;44,3;41,9;39,6;37,6;34,1;33,3;31,0;27,8
65 éves vagy annál idõsebb;30,1;30,4;28,2;26,1;24,9;23,6;28,3;30,3;25,6;23,4;20,0;18,5;19,4;18,5;20,9;20,1;29,0
2 felnõtt (mindkettõ 65 évesnél fiatalabb), gyermek nélkül;30,5;30,3;28,1;28,7;28,4;29,1;30,1;30,9;33,6;30,1;26,6;24,8;25,2;17,4;16,7;18,6;15,3
Gyermekes háztartások összesen;34,3;33,5;31,5;30,1;33,4;33,9;35,3;37,1;39,1;36,3;31,1;29,6;27,9;20,6;20,0;16,0;17,6
Ebbõl:;;;;;;;;;;;;;;;;;
egy szülõ gyermek(ek)kel;53,9;59,2;51,7;54,7;54,1;55,1;57,4;57,7;61,3;63,2;56,0;62,3;52,8;40,0;31,5;38,7;37,3
2 felnõtt 1 gyermekkel;28,1;26,6;26,5;23,2;26,6;26,8;28,2;31,2;32,2;27,8;24,1;22,6;25,0;16,4;16,5;13,6;14,0
2 felnõtt 2 gyermekkel;28,4;26,8;24,9;25,3;27,4;27,7;27,1;26,8;27,6;24,3;20,1;20,3;19,6;12,6;11,4;10,8;10,3
2 felnõtt 3 vagy több gyermekkel;46,1;47,9;45,6;44,0;47,4;45,9;50,0;52,3;53,8;49,1;42,0;38,4;36,1;25,5;28,6;20,3;23,7
Roma és a nem roma népesség körében;;;;;;;;;;;;;;;;;
Roma ;..;..;..;..;..;..;..;..;..;89,9;83,7;82,8;75,6;67,8;63,2;52,9;66,6
Nem roma;..;..;..;..;..;..;..;..;..;29,8;26,8;24,5;24,7;18,5;17,3;17,0;17,1
