21.1.1.33. A háztartási szektor bruttó jövedelme és a jövedelmek felhasználása [folyó áron, milliárd Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Fizetett folyó transzferek összesen;1 362,0;1 651,6;2 031,5;2 379,7;2 669,6;3 138,8;3 618,0;4 099,2;4 380,5;4 773,4;5 227,0;5 750,1;6 494,5;6 994,9;6 572,5;6 255,7;6 025,8;6 513,1;6 662,2;7 095,6;7 578,7;8 013,0;8 318,5;8 863,3;9 561,2;9 404,1;9 561,7
Rendelkezésre álló jövedelem;3 769,8;4 491,3;5 330,8;6 218,0;6 907,5;7 747,2;8 924,6;9 924,8;11 035,8;12 313,0;13 320,8;14 015,1;14 447,6;14 992,7;14 972,4;15 426,2;16 474,9;16 806,2;17 381,4;18 084,3;18 789,7;19 710,6;21 562,1;24 086,6;26 410,3;26 920,2;30 937,2
Természetbeni társadalmi juttatás;763,2;892,4;1 073,4;1 279,8;1 430,3;1 642,5;1 877,0;2 245,5;2 618,5;2 821,5;3 069,1;3 254,7;3 146,6;3 274,2;3 267,9;3 273,5;3 294,8;3 283,1;3 327,3;3 605,9;3 918,0;4 119,7;4 553,4;4 900,9;5 216,8;5 733,0;6 405,0
Összes (korrigált, rendelkezésre álló) jövedelem;4 533,0;5 383,7;6 404,2;7 497,9;8 337,8;9 389,7;10 801,6;12 170,3;13 654,3;15 134,4;16 389,9;17 269,8;17 594,2;18 266,9;18 240,4;18 699,7;19 769,8;20 089,3;20 708,7;21 690,3;22 707,7;23 830,4;26 115,5;28 987,5;31 627,0;32 653,1;37 342,3
Nyugdíjpénztárak nettó vagyonváltozása miatti korrekció;7,6;23,2;33,7;72,5;131,6;153,8;177,9;215,5;257,0;325,2;367,7;464,0;472,2;570,4;529,8;497,7;148,2;66,7;84,4;91,0;84,3;95,0;109,8;113,3;67,0;127,1;123,2
Jövedelem összesen;4 540,6;5 407,0;6 437,9;7 570,3;8 469,5;9 543,5;10 979,5;12 385,8;13 911,3;15 459,6;16 757,6;17 733,7;18 066,4;18 837,3;18 770,2;19 197,4;19 917,9;20 156,0;20 793,1;21 781,3;22 792,0;23 925,4;26 225,3;29 100,8;31 694,0;32 780,2;37 465,5
Ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
hazai tényleges fogyasztás összesen;4 085,4;4 957,7;6 006,9;7 087,1;8 122,9;9 349,3;10 704,2;11 981,5;13 472,5;14 426,8;15 480,9;16 416,5;17 195,7;18 053,3;17 740,4;18 049,1;18 681,0;19 150,0;19 435,2;20 415,7;21 457,5;22 637,1;24 535,7;26 575,5;29 095,1;29 303,9;32 750,1
az idegenforgalmi kiadások egyenlege;-233,7;-364,3;-478,4;-514,6;-523,1;-646,0;-733,6;-470,3;-364,3;-336,2;-414,1;-563,0;-466,5;-584,6;-695,5;-712,5;-734,5;-748,7;-781,3;-907,9;-983,3;-1 006,7;-1 043,4;-1 168,1;-1 331,1;-624,4;-789,6
a rezidens háztartások tényleges fogyasztása összesen;3 851,7;4 593,3;5 528,5;6 572,5;7 599,8;8 703,3;9 970,6;11 511,1;13 108,3;14 090,6;15 066,8;15 853,6;16 729,2;17 468,7;17 044,9;17 336,6;17 946,5;18 401,3;18 653,9;19 507,8;20 474,2;21 630,4;23 492,3;25 407,4;27 764,0;28 679,6;31 960,5
Felhalmozás összesen;442,5;478,9;524,5;515,1;542,6;701,6;910,5;1 048,1;1 183,4;1 329,6;1 202,3;1 105,6;1 266,6;1 369,9;1 312,2;1 074,5;846,5;803,5;846,8;912,6;1 022,1;1 150,7;1 396,0;1 668,1;1 909,8;2 374,4;2 537,2
Ebbõl: ;;;;;;;;;;;;;;;;;;;;;;;;;;;
lakásberuházás;370,3;387,1;411,7;376,1;380,1;468,6;667,8;803,4;936,9;1 106,0;1 014,4;914,4;1 036,8;1 131,4;1 114,0;855,4;630,2;580,5;556,7;668,0;756,5;854,8;1 063,6;1 297,4;1 510,6;1 972,0;2 155,7
A tõketranszferek egyenlege;153,4;89,3;66,4;48,3;41,4;75,9;100,7;121,5;112,5;79,9;96,1;100,1;104,1;86,3;73,8;47,5;232,2;279,8;72,4;182,2;774,3;119,1;130,0;198,4;286,3;383,7;475,9
Nem termelt nem pénzügyi eszközök beszerzésének és értékesítésének egyenlege;6,0;7,0;11,5;9,9;10,9;18,2;16,2;16,0;35,3;17,9;24,7;27,4;-7,0;4,4;-1,5;0,2;0,5;-4,8;-10,7;-21,2;-8,1;105,5;128,5;-6,1;-17,7;-4,7;3,9
Nettó hitelnyújtás/nettó hitelfelvét;393,8;416,9;439,8;521,1;357,5;196,2;182,9;-68,1;-303,2;101,3;559,9;847,2;181,8;80,7;488,4;833,6;1 356,7;1 235,7;1 375,4;1 564,2;2 078,3;1 157,9;1 338,4;2 229,7;2 324,3;2 114,6;3 439,8
