22.2.2.11. Házasságkötések megye és régió szerint, negyedéves gördülõ idõszak;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019.II–2020.I. negyedév;2019.III–2020.II. negyedév;2019.IV–2020.III. negyedév;2020 I–IV. negyedév;2020.II–2021.I. negyedév;2020.III–2021.II. negyedév;2020.IV–2021.III. negyedév;2021 I–IV. negyedév;2021.II–2022.I. negyedév;2021.III–2022.II. negyedév;2021.IV–2022.III. negyedév;2022 I–IV. negyedév
Gyõr-Moson-Sopron;megye;140,0;125,2;114,7;106,2;95,6;113,0;112,9;113,5;110,2;98,5;89,3;
Vas;megye;151,5;142,1;116,0;105,2;94,1;106,8;109,1;109,6;111,2;101,7;100,6;
Zala;megye;140,0;125,2;105,6;95,8;90,4;109,3;111,0;114,0;110,6;98,9;95,7;
Nyugat-Dunántúl;régió;142,8;129,3;112,8;103,3;93,9;110,5;111,5;112,6;110,6;99,4;93,7;
Baranya;megye;137,4;125,4;115,0;102,3;91,1;103,4;104,4;104,7;105,8;99,8;94,3;
Somogy;megye;134,8;124,8;108,8;107,6;96,4;109,9;106,6;100,4;101,2;96,9;101,6;
Tolna ;megye;149,0;133,8;100,8;93,1;87,6;100,1;107,0;105,7;100,2;95,8;93,9;
Dél-Dunántúl;régió;139,5;127,4;109,1;101,4;91,8;104,5;105,7;103,6;102,9;97,8;96,5;
Dunántúl;nagyrégió;144,4;131,1;113,2;103,7;93,5;108,0;108,7;108,6;106,6;96,6;92,8;
Borsod-Abaúj-Zemplén;megye;132,3;122,7;107,7;99,1;93,4;103,3;103,1;105,0;101,8;98,8;98,7;
Heves;megye;137,6;127,1;108,5;99,0;92,3;102,2;107,2;113,2;111,9;105,8;100,6;
Nógrád ;megye;127,9;122,7;113,2;101,3;94,4;103,5;103,7;107,9;104,5;97,7;96,6;
Észak-Magyarország;régió;132,8;123,8;108,8;99,4;93,3;103,1;104,2;107,6;104,8;100,4;98,8;
Hajdú-Bihar;megye;138,0;130,5;118,9;109,0;98,8;107,1;104,1;101,8;99,7;96,3;95,1;
Jász-Nagykun-Szolnok;megye;139,4;135,0;112,6;104,7;95,8;104,3;107,6;104,8;99,9;94,9;95,5;
Szabolcs-Szatmár-Bereg;megye;149,6;137,2;115,9;102,6;95,6;103,9;101,9;103,0;98,6;93,5;95,4;
Észak-Alföld;régió;142,7;134,2;116,1;105,4;96,8;105,2;104,1;103,0;99,3;94,9;95,3;
Bács-Kiskun ;megye;150,0;142,5;124,9;110,4;97,2;106,6;106,8;103,1;100,9;94,2;90,3;
Békés;megye;143,8;141,2;116,3;108,7;100,4;107,7;104,9;96,3;91,2;86,8;91,5;
Csongrád-Csanád;megye;142,7;136,0;118,8;109,4;100,3;108,5;105,2;102,1;98,9;92,5;91,5;
Dél-Alföld;régió;145,9;140,0;120,5;109,6;99,0;107,5;105,8;100,9;97,6;91,6;91,0;
Alföld és Észak;nagyrégió;140,7;132,8;115,3;105,0;96,5;105,3;104,7;103,6;100,3;95,3;94,9;
Ország összesen;ország;140,6;129,1;111,9;102,8;93,6;106,1;107,9;107,4;105,3;97,1;92,8;
