14.1.1.38. Az aktív, a nyugdíjas és az egyéb inaktív  háztartások száma, a háztartásban élõ személyek jellemzõi jövedelemszerzõ tevékenységük, jövedelmi ötödök (kvintilisek) szerint;;;;;;;;;;;;;;;;;;
Megnevezés;Aktív háztartások: 1. jövedelmi ötöd;Aktív háztartások: 2. jövedelmi ötöd;Aktív háztartások: 3. jövedelmi ötöd;Aktív háztartások: 4. jövedelmi ötöd;Aktív háztartások: 5. jövedelmi ötöd;Aktív háztartások összesen;Nyugdíjas háztartások: 1. jövedelmi ötöd;Nyugdíjas háztartások: 2. jövedelmi ötöd;Nyugdíjas háztartások: 3. jövedelmi ötöd;Nyugdíjas háztartások: 4. jövedelmi ötöd;Nyugdíjas háztartások: 5. jövedelmi ötöd;Nyugdíjas háztartások összesen;Egyéb inaktív háztartás: 1. jövedelmi ötöd;Egyéb inaktív háztartás: 2. jövedelmi ötöd;Egyéb inaktív háztartás: 3. jövedelmi ötöd;Egyéb inaktív háztartás: 4. jövedelmi ötöd;Egyéb inaktív háztartás: 5. jövedelmi ötöd;Egyéb inaktív háztartás összesen
Háztartások átlagos taglétszáma;3,7;3,2;2,8;2,7;2,0;2,8;2,3;1,7;1,5;1,3;1,3;1,5;2,5;1,4;1,5;1,7;1,4;2,0
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;;;
Alkalmazásban állók;517 981;719 254;762 265;826 422;909 970;3 735 892;–;–;–;–;–;–;–;–;–;–;–;–
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;50 312;73 428;66 624;70 832;192 639;453 835;–;–;–;–;–;–;–;–;–;–;–;–
Aktív keresõk összesen;568 293;792 682;828 889;897 254;1 102 609;4 189 727;–;–;–;–;–;–;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;304 307;417 696;444 232;479 713;621 881;2 267 829;–;–;–;–;–;–;–;–;–;–;–;–
nõk;263 986;374 986;384 657;417 541;480 728;1 921 898;–;–;–;–;–;–;–;–;–;–;–;–
Nyugdíjasok összesen;29 749;97 125;116 497;119 320;124 360;487 051;79 948;194 932;437 401;497 653;447 627;1 657 561;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;8 627;29 736;40 671;40 318;44 526;163 878;29 265;72 959;163 176;173 067;176 279;614 746;–;–;–;–;–;–
nõk;21 122;67 389;75 826;79 002;79 834;323 173;50 683;121 973;274 225;324 586;271 348;1 042 815;–;–;–;–;–;–
Munkanélküliek összesen;96 766;68 293;40 745;27 914;17 256;250 974;13 324;18 387;12 053;1 351;2 635;47 750;114 168;27 442;7 106;5 988;2 010;156 714
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;55 703;38 391;19 657;18 307;6 995;139 053;11 023;13 185;6 794;601;2 635;34 238;67 527;13 861;3 154;3 243;1 037;88 822
nõk;41 063;29 902;21 088;9 607;10 261;111 921;2 301;5 202;5 259;750;–;13 512;46 641;13 581;3 952;2 745;973;67 892
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;28 896;55 173;28 118;14 544;18 111;144 842;4 179;18 238;11 685;9 866;4 114;48 082;53 373;26 846;27 710;8 257;2 063;118 249
Tanuló felnõttek;2 087;8 899;4 873;6 342;9 129;31 330;–;494;1 863;1 277;–;3 634;3 044;1 522;–;2 994;1 600;9 160
Egyéb Inaktív felnõttek;126 602;76 693;53 797;45 073;21 849;324 014;12 899;5 513;3 853;1 382;–;23 647;48 481;3 278;3 817;1 775;1 805;59 156
Nem tanuló gyermekek;189 669;141 497;103 449;98 267;64 479;597 361;10 774;633;1 384;–;–;12 791;51 673;2 284;1 600;5 546;1 109;62 212
Tanulók, hallgatók;410 974;369 846;228 359;174 513;105 912;1 289 604;19 292;6 811;6 513;559;–;33 175;70 838;15 791;9 994;18 275;5 895;120 793
Összesen;1 453 036;1 610 208;1 404 727;1 383 227;1 463 705;7 314 903;140 416;245 008;474 752;512 088;454 376;1 826 640;341 577;77 163;50 227;42 835;14 482;526 284
2016;;;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;417 536;469 264;500 225;536 088;750 435;2 673 548;68 251;150 511;306 471;384 154;329 815;1 239 202;102 624;59 121;28 135;22 984;9 306;222 170
Adatszolgáltató háztartások száma;646;797;819;816;917;3 995;180;426;839;951;727;3 123;170;98;51;36;12;367
Háztartások átlagos taglétszáma;3,6;3,3;2,9;2,6;2,0;2,8;2,1;1,8;1,4;1,3;1,3;1,4;2,6;1,4;1,4;1,3;1,4;1,9
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;;;
Alkalmazásban állók;549 096;702 240;790 675;831 982;994 771;3 868 764;–;–;–;–;–;–;–;–;–;–;–;–
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;102 100;72 139;64 311;78 264;147 807;464 621;–;–;–;–;–;–;–;–;–;–;–;–
Aktív keresõk összesen;651 196;774 379;854 986;910 246;1 142 578;4 333 385;–;–;–;–;–;–;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;356 422;417 825;466 923;467 206;615 723;2 324 099;–;–;–;–;–;–;–;–;–;–;–;–
nõk;294 774;356 554;388 063;443 040;526 855;2 009 286;–;–;–;–;–;–;–;–;–;–;–;–
Nyugdíjasok összesen;48 887;95 776;137 194;134 918;131 708;548 483;88 787;208 160;403 582;494 773;423 303;1 618 605;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;16 942;29 864;47 125;45 127;56 566;195 624;39 688;81 792;147 206;168 182;174 904;611 772;–;–;–;–;–;–
nõk;31 945;65 912;90 069;89 791;75 142;352 859;49 099;126 368;256 376;326 591;248 399;1 006 833;–;–;–;–;–;–
Munkanélküliek összesen;69 810;52 012;27 210;11 380;11 408;171 820;12 351;22 255;6 109;6 078;1 742;48 535;98 470;26 101;11 473;7 039;4 409;147 492
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;43 735;30 254;12 689;7 096;4 347;98 121;8 591;16 610;3 238;5 113;472;34 024;57 795;12 572;6 563;5 389;2 802;85 121
nõk;26 075;21 758;14 521;4 284;7 061;73 699;3 760;5 645;2 871;965;1 270;14 511;40 675;13 529;4 910;1 650;1 607;62 371
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;22 107;43 425;27 434;18 446;12 254;123 666;5 083;13 678;11 843;5 443;3 259;39 306;24 547;28 885;15 448;15 313;2 937;87 130
Tanuló felnõttek;2 473;4 418;5 492;3 940;5 552;21 875;–;1 554;320;–;488;2 362;–;600;–;–;1 650;2 250
Egyéb Inaktív felnõttek;120 433;93 362;48 682;39 228;29 009;330 714;13 214;12 524;2 263;892;690;29 583;32 789;4 977;4 520;636;171;43 093
Nem tanuló gyermekek;196 509;156 498;108 062;73 564;49 805;584 438;11 364;4 703;–;–;–;16 067;43 213;2 126;4 189;–;–;49 528
Tanulók, hallgatók;407 255;352 076;249 976;198 355;103 000;1 310 662;14 515;9 463;4 108;1 224;–;29 310;65 211;21 084;3 607;5 890;3 403;99 195
Összesen;1 518 670;1 571 946;1 459 036;1 390 077;1 485 314;7 425 043;145 314;272 337;428 225;508 410;429 482;1 783 768;264 230;83 773;39 237;28 878;12 570;428 688
2017;;;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;418 719;479 299;511 030;580 743;733 529;2 723 320;77 552;196 238;324 513;306 404;314 741;1 219 448;109 546;36 195;22 098;21 575;4 659;194 073
Adatszolgáltató háztartások száma;641;688;738;798;799;3 664;201;546;837;745;660;2 989;172;62;34;30;9;307
Háztartások átlagos taglétszáma;3,6;3,3;2,8;2,6;2,1;2,8;2,0;1,6;1,4;1,3;1,3;1,4;2,3;1,4;1,2;1,3;1,0;1,8
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;;;
Alkalmazásban állók;578 481;707 719;795 400;902 398;968 115;3 952 113;–;–;–;–;–;–;–;–;–;–;–;–
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;53 839;67 073;80 939;94 854;160 731;457 436;–;–;–;–;–;–;–;–;–;–;–;–
Aktív keresõk összesen;632 320;774 792;876 339;997 252;1 128 846;4 409 549;–;–;–;–;–;–;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;341 959;424 729;477 627;518 582;594 072;2 356 969;–;–;–;–;–;–;–;–;–;–;–;–
nõk;290 361;350 063;398 712;478 670;534 774;2 052 580;–;–;–;–;–;–;–;–;–;–;–;–
Nyugdíjasok összesen;53 249;113 281;108 302;156 442;137 428;568 702;96 205;270 493;428 946;399 754;405 728;1 601 126;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;19 723;30 704;38 000;58 611;54 573;201 611;37 765;101 268;158 958;140 647;176 941;615 579;–;–;–;–;–;–
nõk;33 526;82 577;70 302;97 831;82 855;367 091;58 440;169 225;269 988;259 107;228 787;985 547;–;–;–;–;–;–
Munkanélküliek összesen;85 277;35 484;25 785;19 632;14 627;180 805;18 450;10 142;6 942;3 681;463;39 678;76 825;8 053;5 341;6 406;–;96 625
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;52 864;21 143;10 597;10 578;4 726;99 908;13 540;4 949;3 388;2 256;463;24 596;39 019;1 059;2 300;1 681;–;44 059
nõk;32 413;14 341;15 188;9 054;9 901;80 897;4 910;5 193;3 554;1 425;–;15 082;37 806;6 994;3 041;4 725;–;52 566
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;17 797;36 237;22 190;19 538;17 123;112 885;6 928;17 061;12 221;5 383;2 386;43 979;40 276;20 574;18 796;9 714;2 159;91 519
Tanuló felnõttek;1 372;6 256;8 422;10 724;5 069;31 843;760;265;1 116;745;–;2 886;1 510;–;–;1 610;1 755;4 875
Egyéb Inaktív felnõttek;132 968;100 838;49 629;27 194;20 292;330 921;13 606;3 728;1 258;1 104;160;19 856;34 442;5 292;469;3 470;745;44 418
Nem tanuló gyermekek;220 425;174 769;101 411;56 162;49 857;602 624;9 220;255;–;–;–;9 475;29 912;2 990;–;1 137;–;34 039
Tanulók, hallgatók;371 750;324 505;253 292;194 966;134 569;1 279 082;12 994;3 445;781;960;386;18 566;65 794;13 113;2 390;5 035;–;86 332
Összesen;1 515 158;1 566 162;1 445 370;1 481 910;1 507 811;7 516 411;158 163;305 389;451 264;411 627;409 123;1 735 566;248 759;50 022;26 996;27 372;4 659;357 808
2018;;;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;454 329;454 796;471 202;589 579;774 603;2 744 509;65 718;222 775;372 414;309 731;207 156;1 177 794;108 686;41 687;23 068;12 559;11 318;197 318
Adatszolgáltató háztartások száma;568;593;636;709;784;3 290;158;566;920;662;393;2 699;178;61;39;13;13;304
Háztartások átlagos taglétszáma;3,4;3,3;2,9;2,5;2,1;2,8;1,9;1,6;1,4;1,4;1,3;1,4;2,1;1,3;1,2;1,1;1,2;1,7
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;;;
Alkalmazásban állók;621 616;647 891;724 601;906 071;1 089 647;3 989 826;–;–;–;–;–;–;–;–;–;–;–;–
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;71 494;84 434;62 600;80 486;165 234;464 248;–;–;–;–;–;–;–;–;–;–;–;–
Aktív keresõk összesen;693 110;732 325;787 201;986 557;1 254 881;4 454 074;–;–;–;–;–;–;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;379 474;408 269;427 249;517 016;693 580;2 425 588;–;–;–;–;–;–;–;–;–;–;–;–
nõk;313 636;324 056;359 952;469 541;561 301;2 028 486;–;–;–;–;–;–;–;–;–;–;–;–
Nyugdíjasok összesen;50 283;108 614;137 118;126 979;130 276;553 270;80 275;313 273;502 606;411 106;266 854;1 574 114;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;13 160;29 939;44 683;39 005;48 994;175 781;32 046;121 499;187 092;159 458;105 324;605 419;–;–;–;–;–;–
nõk;37 123;78 675;92 435;87 974;81 282;377 489;48 229;191 774;315 514;251 648;161 530;968 695;–;–;–;–;–;–
Munkanélküliek összesen;58 665;34 426;25 357;13 235;14 671;146 354;15 529;9 043;6 696;2 844;3 442;37 554;73 057;12 385;4 663;7 948;4 316;102 369
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;27 613;13 270;11 075;8 157;5 955;66 070;5 762;3 737;4 804;2 105;330;16 738;45 306;5 393;2 854;4 255;2 903;60 711
nõk;31 052;21 156;14 282;5 078;8 716;80 284;9 767;5 306;1 892;739;3 112;20 816;27 751;6 992;1 809;3 693;1 413;41 658
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;22 076;32 053;25 313;20 061;10 398;109 901;15 431;18 110;10 973;4 724;664;49 902;38 563;24 744;17 562;3 063;2 351;86 283
Tanuló felnõttek;2 500;4 301;7 803;6 090;5 637;26 331;–;2 146;–;–;275;2 421;–;–;–;–;200;200
Egyéb Inaktív felnõttek;135 894;90 471;42 481;44 313;31 886;345 045;6 502;3 204;2 466;740;400;13 312;43 719;4 904;2 378;–;757;51 758
Nem tanuló gyermekek;207 546;161 133;69 701;97 668;45 400;581 448;1 262;–;–;–;–;1 262;29 264;388;1 996;–;–;31 648
Tanulók, hallgatók;385 449;353 001;271 737;188 851;138 767;1 337 805;7 808;5 317;–;647;280;14 052;48 886;10 731;1 854;2 958;6 384;70 813
Összesen;1 555 523;1 516 324;1 366 711;1 483 754;1 631 916;7 554 228;126 807;351 093;522 741;420 061;271 915;1 692 617;233 489;53 152;28 453;13 969;14 008;343 071
2019;;;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;388 847;523 233;459 535;603 912;795 750;2 771 277;191 648;102 678;428 266;242 470;205 721;1 170 783;97 261;29 228;25 453;10 265;6 973;169 180
Adatszolgáltató háztartások száma;502;626;525;677;766;3 096;445;237;937;485;395;2 499;165;42;37;8;7;259
Háztartások átlagos taglétszáma;3,6;3,2;2,9;2,6;2,1;2,7;1,7;2,1;1,3;1,4;1,3;1,4;2,1;1,6;1,5;1,0;1,1;1,8
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;;;
Alkalmazásban állók;525 022;737 744;681 716;965 532;1 094 286;4 004 300;–;–;–;–;–;–;–;–;–;–;–;–
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;71 047;82 035;86 506;87 032;159 213;485 833;–;–;–;–;–;–;–;–;–;–;–;–
Aktív keresõk összesen;596 069;819 779;768 222;1 052 564;1 253 499;4 490 133;–;–;–;–;–;–;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;340 827;445 796;406 167;565 088;673 037;2 430 915;–;–;–;–;–;–;–;–;–;–;–;–
nõk;255 242;373 983;362 055;487 476;580 462;2 059 218;–;–;–;–;–;–;–;–;–;–;–;–
Nyugdíjasok összesen;41 491;95 800;124 981;142 828;135 794;540 894;259 407;177 716;530 707;324 909;264 319;1 557 058;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;13 717;32 154;36 852;52 476;51 993;187 192;103 137;80 381;179 727;116 526;101 767;581 538;–;–;–;–;–;–
nõk;27 774;63 646;88 129;90 352;83 801;353 702;156 270;97 335;350 980;208 383;162 552;975 520;–;–;–;–;–;–
Munkanélküliek összesen;65 815;55 422;18 091;15 112;14 177;168 617;12 909;12 583;4 540;2 637;674;33 343;52 105;16 221;7 820;6 705;4 051;86 902
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;32 634;19 303;9 244;4 885;8 967;75 033;8 006;7 861;2 934;2 334;674;21 809;31 412;9 408;4 208;6 705;2 615;54 348
nõk;33 181;36 119;8 847;10 227;5 210;93 584;4 903;4 722;1 606;303;–;11 534;20 693;6 813;3 612;–;1 436;32 554
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;26 114;41 841;25 054;17 596;11 946;122 551;16 202;13 113;9 442;5 617;2 658;47 032;48 497;8 430;12 738;1 649;1 641;72 955
Tanuló felnõttek;5 375;8 099;8 522;15 256;6 876;44 128;1 928;–;–;–;–;1 928;971;–;–;–;1 281;2 252
Egyéb Inaktív felnõttek;116 645;98 663;38 926;37 035;28 476;319 745;13 811;3 954;770;257;721;19 513;39 043;6 359;4 834;–;–;50 236
Nem tanuló gyermekek;193 934;165 498;76 974;76 834;56 768;570 008;6 048;2 068;–;–;–;8 116;28 950;3 944;2 772;–;–;35 666
Tanulók, hallgatók;343 838;368 938;273 535;211 243;131 554;1 329 108;8 739;2 571;–;4 841;–;16 151;38 396;12 731;10 487;1 911;671;64 196
Összesen;1 389 281;1 654 040;1 334 305;1 568 468;1 639 090;7 585 184;319 044;212 005;545 459;338 261;268 372;1 683 141;207 962;47 685;38 651;10 265;7 644;312 207
2020;;;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;434 752;445 795;489 480;556 210;860 257;2 786 494;88 560;225 828;278 959;376 264;188 677;1 158 288;117 739;23 776;18 929;7 769;8 941;177 154
Adatszolgáltató háztartások száma;512;503;544;586;840;2 985;170;479;578;694;326;2 247;146;29;27;11;5;218
Háztartások átlagos taglétszáma;3,4;3,4;3,0;2,5;2,0;2,7;2,1;1,5;1,4;1,4;1,4;1,5;2,3;1,6;1,3;1,1;1,1;2,0
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;;;
Alkalmazásban állók;582 891;646 585;742 049;835 484;1 136 734;3 943 743;5 167;1 101;599;–;–;6 867;4 139;–;1 005;–;–;5 144
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;47 456;87 064;83 948;100 015;224 486;542 969;–;–;–;–;–;–;–;–;–;–;–;–
Aktív keresõk összesen;630 347;733 649;825 997;935 499;1 361 220;4 486 712;5 167;1 101;599;–;–;6 867;4 139;–;1 005;–;–;5 144
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;366 736;397 607;438 298;492 564;743 312;2 438 517;2 148;1 101;599;–;–;3 848;3 463;–;1 005;–;–;4 468
nõk;263 611;336 042;387 699;442 935;617 908;2 048 195;3 019;–;–;–;–;3 019;676;–;–;–;–;676
Nyugdíjasok összesen;47 584;97 996;108 056;137 993;123 786;515 415;114 086;307 244;377 942;510 924;252 579;1 562 775;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;11 107;36 554;40 897;41 166;43 506;173 230;52 659;110 821;131 248;184 924;110 260;589 912;–;–;–;–;–;–
nõk;36 477;61 442;67 159;96 827;80 280;342 185;61 427;196 423;246 694;326 000;142 319;972 863;–;–;–;–;–;–
Munkanélküliek összesen;88 723;48 115;21 448;21 291;18 848;198 425;20 818;13 034;3 003;2 243;–;39 098;73 511;11 199;7 618;6 172;9 015;107 515
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;41 927;22 657;10 042;11 494;4 440;90 560;7 496;10 104;3 003;1 467;–;22 070;44 130;7 856;3 121;4 012;6 478;65 597
nõk;46 796;25 458;11 406;9 797;14 408;107 865;13 322;2 930;–;776;–;17 028;29 381;3 343;4 497;2 160;2 537;41 918
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;27 363;34 402;16 467;13 031;8 031;99 294;16 649;22 118;8 439;4 565;1 094;52 865;53 421;14 547;10 794;1 921;–;80 683
Tanuló felnõttek;4 273;7 098;3 472;6 126;8 324;29 293;426;–;–;–;338;764;4 085;324;873;–;–;5 282
Egyéb Inaktív felnõttek;109 850;78 421;60 647;31 143;18 238;298 299;7 419;2 921;1 086;661;2 120;14 207;40 651;2 704;1 597;;609;45 561
Nem tanuló gyermekek;211 727;169 173;121 650;68 542;43 864;614 956;8 842;314;–;–;–;9 156;43 134;505;–;–;–;43 639
Tanulók, hallgatók;347 965;341 398;295 779;200 872;124 682;1 310 696;9 213;1 853;1 807;290;–;13 163;47 795;9 045;2 669;724;–;60 233
Összesen;1 467 832;1 510 252;1 453 516;1 414 497;1 706 993;7 553 090;182 620;348 585;392 876;518 683;256 131;1 698 895;266 736;38 324;24 556;8 817;9 624;348 057
