14.1.1.14. A gyermekes, a gyermek nélküli, valamint az egyszemélyes háztartások egy fõre jutó társadalmi és egyéb jövedelme [forint/fõ/év];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
2017;;;;;;;;;;;;;;;;
Társadalmi jövedelem összesen;217 941;177 345;178 755;219 484;209 314;196 018;913 111;242 685;1 140 933;333 725;662 546;913 111;716 496;1 048 083;329 720;1 548 769
Ebbõl:;;;;;;;;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;128 402;96 201;148 109;192 765;84 706;125 636;1 302;2 323;1 372;4 979;2 446;1 302;422;1 906;2 496;– 
munkanélküli-ellátások;9 052;7 056;6 687;2 830;4 004;5 725;14 340;14 548;4 104;6 108;10 023;14 340;19 675;10 678;26 847;713
öregségi ellátások;69 924;64 317;16 671;12 719;110 618;55 193;883 506;217 387;1 127 949;318 364;641 314;883 506;679 539;1 023 526;278 675;1 542 526
egyéb szociális ellátások;10 563;9 771;7 288;11 171;9 987;9 465;13 963;8 426;7 507;4 274;8 763;13 963;16 860;11 973;21 702;5 530
Egyéb jövedelem összesen;88 472;20 734;20 117;13 851;12 349;23 735;42 590;49 157;13 969;5 590;28 685;42 590;35 759;47 280;53 335;30 882
2018;;;;;;;;;;;;;;;;
Társadalmi jövedelem összesen;222 318;172 841;172 342;241 893;217 258;199 509;956 451;226 590;1 198 792;353 245;688 632;956 451;668 034;1 166 428;359 143;1 628 755
Ebbõl:;;;;;;;;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;129 906;87 914;146 103;211 615;80 089;125 447;1 904;4 459;2 213;7 157;3 842;1 904;2 107;1 756;2 449;1 291
munkanélküli-ellátások;7 759;5 194;3 524;4 959;7 131;5 431;16 372;13 767;3 915;8 268;10 876;16 372;12 293;19 343;30 419;563
öregségi ellátások;71 359;70 664;14 645;13 619;117 990;58 270;919 082;198 306;1 181 726;330 616;661 808;919 082;632 486;1 127 734;303 574;1 611 872
egyéb szociális ellátások;13 294;9 070;8 070;11 700;12 049;10 362;19 092;10 058;10 938;7 205;12 105;19 092;21 148;17 596;22 702;15 030
Egyéb jövedelem összesen;115 848;48 969;19 454;23 603;14 121;34 733;38 428;28 342;19 805;13 785;25 738;38 428;22 934;49 708;47 459;28 263
2019;;;;;;;;;;;;;;;;
Társadalmi jövedelem összesen;231 654;192 774;228 228;182 994;244 112;216 396;966 085;245 123;1 270 091;409 533;722 960;966 085;650 424;1 171 481;357 090;1 606 862
Ebbõl:;;;;;;;;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;127 054;128 159;189 034;155 721;81 664;137 643;1 273;6 189;2 388;6 516;4 047;1 273;1 897;868;2 484;–
munkanélküli-ellátások;7 730;5 401;5 813;3 680;12 426;7 125;12 035;15 302;5 580;8 408;10 458;12 035;16 757;8 964;22 798;712
öregségi ellátások;77 073;48 406;20 303;11 497;141 245;59 800;937 565;212 434;1 251 391;383 128;696 247;937 565;617 520;1 145 813;316 781;1 590 744
egyéb szociális ellátások;19 797;10 807;13 078;12 097;8 776;11 828;15 212;11 198;10 733;11 481;12 208;15 212;14 251;15 837;15 028;15 406
Egyéb jövedelem összesen;134 167;31 409;36 859;16 731;16 652;35 305;86 356;21 703;58 571;4 456;43 648;86 356;43 455;114 272;135 014;35 159
2020;;;;;;;;;;;;;;;;
Társadalmi jövedelem összesen;219 283;212 735;237 684;333 935;319 184;262 755;1 095 804;263 320;1 496 146;460 952;827 157;1 095 804;767 765;1 320 192;375 635;1 875 385
Ebbõl:;;;;;;;;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;147 411;125 122;196 784;299 440;120 513;176 254;2 464;6 599;3 331;9 733;5 398;2 464;3 271;1 911;4 689;55
munkanélküli-ellátások;8 615;8 083;7 037;3 314;15 120;8 466;15 440;13 999;3 258;10 263;10 977;15 440;24 356;9 341;29 438;286
öregségi ellátások;35 938;52 122;17 898;16 635;164 873;57 921;1 051 772;207 071;1 479 949;419 901;787 189;1 051 772;709 529;1 285 876;301 229;1 864 233
egyéb szociális ellátások;27 320;27 408;15 965;14 546;18 678;20 114;26 129;35 651;9 609;21 055;23 594;26 129;30 609;23 064;40 279;10 811
Egyéb jövedelem összesen;247 498;20 600;28 903;57 002;11 844;46 756;77 643;32 515;14 491;29 340;39 614;77 643;67 727;84 425;82 345;72 553
2021;;;;;;;;;;;;;;;;
Társadalmi jövedelem összesen;254 652;263 639;241 263;314 763;295 774;272 742;1 213 665;319 897;1 577 858;448 275;854 156;1 213 665;853 837;1 445 606;487 577;2 092 153
Ebbõl:;;;;;;;;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;187 561;181 825;199 529;280 292;121 834;187 494;11 478;15 595;6 569;21 265;14 067;11 478;8 037;13 696;20 615;423
munkanélküli-ellátások;7 498;6 947;6 656;3 466;7 254;6 441;18 684;19 514;5 036;7 967;13 143;18 684;20 634;17 427;33 732;477
öregségi ellátások;31 619;46 277;15 821;14 947;145 710;56 708;1 155 551;252 439;1 553 679;390 700;801 058;1 155 551;791 651;1 390 118;393 902;2 077 066
egyéb szociális ellátások;27 974;28 590;19 258;16 058;20 976;22 100;27 951;32 349;12 574;28 342;25 888;27 951;33 516;24 364;39 328;14 186
Egyéb jövedelem összesen;208 451;46 772;33 452;41 725;14 476;45 690;100 004;41 217;41 780;21 535;51 163;100 004;137 110;76 086;131 859;61 463
