5.8.1.5. Súlyos anyagi deprivációban élõk aránya nem, korcsoport, iskolai végzettség, gazdasági aktivitás, háztartástípus szerint (EU2020 stratégia) [%];;;;;;;;;;;;;;;;;
Megnevezés;2004 referencia év;2005 referencia év;2006 referencia év;2007 referencia év;2008 referencia év;2009 referencia év;2010 referencia év;2011 referencia év;2012 referencia év;2013 referencia év;2014 referencia év;2015 referencia év;2016 referencia év;2017 referencia év;2018 referencia év;2019 referencia év;2020 referencia év
Felsõfokú;4,9;5,8;5,1;5,7;6,3;6,4;7,0;8,9;9,9;6,4;5,4;3,3;3,4;1,1;1,2;1,7;1,7
Jövedelmi ötödök szerint;;;;;;;;;;;;;;;;;
1. ötöd;46,4;46,6;44,7;40,7;44,7;49,1;56,2;61,3;64,9;58,7;51,7;41,9;31,1;36,2;26,6;23,4;27,6
2. ötöd;32,6;28,4;25,8;22,2;25,7;27,6;28,6;32,9;36,1;30,4;24,1;22,7;23,1;11,2;11,5;11,0;9,4
3. ötöd;18,1;17,2;16,2;14,6;15,9;17,3;17,8;20,2;21,5;19,1;13,1;10,1;11,8;3,1;4,7;4,1;2,9
4. ötöd;11,8;8,4;9,6;8,8;11,3;9,9;10,5;12,4;11,5;8,8;6,3;5,3;5,3;1,2;1,7;0,9;1,3
5. ötöd;5,4;4,1;3,1;3,1;4,0;4,0;4,0;4,8;4,9;3,1;1,4;1,2;1,6;0,1;0,1;0,3;0,4
Legjellemzõbb gazdasági aktívitás és nemek szerint;;;;;;;;;;;;;;;;;
Foglalkoztatott;17,9;14,2;14,0;12,8;15,4;15,4;16,4;18,3;20,9;16,9;13,4;12,3;11,2;7,2;5,6;4,8;5,1
Férfi;18,5;14,7;14,3;13,0;15,7;15,5;16,0;18,1;20,5;16,4;13,7;12,2;11,0;7,2;5,9;5,0;..
Nõ ;17,3;13,5;13,8;12,6;15,1;15,3;16,8;18,5;21,4;17,5;13,1;12,4;11,4;7,2;5,4;4,6;..
Munkanélküli;42,4;48,9;45,3;42,7;47,4;48,1;53,2;60,7;59,9;57,9;54,8;46,9;43,3;41,5;44,7;37,5;35,9
Férfi;46,9;52,4;49,2;42,2;49,6;51,5;54,3;62,0;63,4;60,0;55,6;50,0;48,2;46,9;47,3;40,8;..
Nõ ;38,4;44,7;41,1;43,4;44,8;43,8;51,8;59,1;55,9;55,3;53,8;42,4;36,1;35,1;42,2;34,2;..
Nyugdíjas;24,4;21,5;20,1;17,2;14,5;15,1;16,0;18,6;19,0;17,3;14,4;11,3;10,2;6,0;6,2;6,5;6,3
Férfi;22,4;19,6;18,7;15,9;11,7;11,5;11,9;13,9;15,2;14,6;12,0;8,8;8,2;4,8;5,8;5,2;..
Nõ ;25,6;22,8;21,0;18,1;16,1;17,2;18,5;21,4;21,3;19,0;15,7;12,7;11,3;6,8;6,5;7,2;..
Egyéb inaktív;24,3;23,9;23,1;21,0;25,7;27,1;30,2;32,9;35,3;28,8;26,2;21,7;19,9;15,3;14,2;13,1;13,3
Férfi;22,0;22,8;21,3;21,1;27,2;27,0;30,3;34,1;37,1;28,4;24,7;23,1;19,2;14,3;14,1;11,9;..
Nõ ;25,2;24,4;23,8;21,0;24,9;27,1;30,1;32,2;34,2;29,1;27,2;20,8;20,3;15,9;14,3;13,8;..
Háztartástípusok szerint;;;;;;;;;;;;;;;;;
Gyermektelen háztartások összesen;20,9;19,3;17,0;15,8;17,0;17,5;20,2;22,8;23,4;20,4;17,0;14,2;12,9;8,2;7,3;7,0;6,9
Ebbõl:;;;;;;;;;;;;;;;;;
egyszemélyes háztartás;25,9;27,1;24,0;23,4;23,1;23,7;29,4;31,2;30,1;26,2;22,7;19,5;18,1;12,5;11,4;10,6;10,7
férfi;24,9;30,2;24,8;25,8;24,4;25,5;30,1;32,3;33,5;28,7;27,1;24,5;19,5;15,3;13,7;12,3;11,0
nõ ;26,5;25,8;23,6;22,3;22,6;22,8;29,1;30,6;28,2;24,7;19,9;15,9;17,2;10,6;9,6;9,4;10,6
65 évesnél fiatalabb;28,5;31,4;26,9;26,1;26,5;28,4;34,4;36,3;36,9;31,7;27,9;25,7;23,7;17,8;15,0;11,9;11,7
65 éves vagy annál idõsebb;23,0;23,1;21,3;20,8;19,8;18,6;23,7;25,2;22,4;19,8;16,4;12,1;11,7;6,7;7,2;9,1;9,7
2 felnõtt (mindkettõ 65 évesnél fiatalabb), gyermek nélkül;20,1;19,1;15,2;16,4;18,0;18,9;20,8;23,5;24,8;21,8;16,1;13,2;13,2;7,2;7,6;6,9;5,7
Gyermekes háztartások összesen;24,6;22,2;22,1;19,6;23,0;24,9;26,3;29,6;32,0;27,6;21,6;18,4;16,3;12,2;10,3;8,9;9,6
Ebbõl:;;;;;;;;;;;;;;;;;
egy szülõ gyermek(ek)kel;37,9;37,3;36,7;34,8;37,0;41,3;38,9;42,1;44,3;47,1;41,2;42,3;29,9;21,2;16,1;20,3;16,8
2 felnõtt 1 gyermekkel;18,1;17,9;18,0;16,1;17,7;19,2;20,3;24,2;26,9;20,1;17,1;14,2;12,3;7,4;6,8;6,0;6,3
2 felnõtt 2 gyermekkel;17,6;15,4;16,0;14,4;16,4;17,4;18,5;19,6;22,4;17,4;11,9;9,6;8,3;4,3;3,6;5,4;5,2
2 felnõtt 3 vagy több gyermekkel;35,8;33,2;33,4;28,8;32,4;35,2;38,3;47,1;43,2;38,3;28,9;22,9;25,1;22,0;19,2;13,3;14,4
Roma és a nem roma népesség körében;;;;;;;;;;;;;;;;;
Roma ;..;..;..;..;..;..;..;..;..;78,1;67,8;63,9;55,5;53,7;43,4;30,9;46,3
Nem roma;..;..;..;..;..;..;..;..;..;22,1;18,1;14,7;13,8;9,1;7,5;7,5;7,0
