21.1.1.31. Támogatások összefoglaló adatai [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tranzakció;Kód;Kormányzat + Európai Unió Intézményei S2+S13 1995;Kormányzat S.13 1995;Központi kormányzat S.1311 1995;Helyi önkormányzat S.1313 1995;Társadalom- biztosítási alapok S.1314 1995;Európai Unió Intézményei S2 1995;Kormányzat + Európai Unió Intézményei S2+S13 1996;Kormányzat S.13 1996;Központi kormányzat S.1311 1996;Helyi önkormányzat S.1313 1996;Társadalom- biztosítási alapok S.1314 1996;Európai Unió Intézményei S2 1996;Kormányzat + Európai Unió Intézményei S2+S13 1997;Kormányzat S.13 1997;Központi kormányzat S.1311 1997;Helyi önkormányzat S.1313 1997;Társadalom- biztosítási alapok S.1314 1997;Európai Unió Intézményei S2 1997;Kormányzat + Európai Unió Intézményei S2+S13 1998;Kormányzat S.13 1998;Központi kormányzat S.1311 1998;Helyi önkormányzat S.1313 1998;Társadalom- biztosítási alapok S.1314 1998;Európai Unió Intézményei S2 1998;Kormányzat + Európai Unió Intézményei S2+S13 1999;Kormányzat S.13 1999;Központi kormányzat S.1311 1999;Helyi önkormányzat S.1313 1999;Társadalom- biztosítási alapok S.1314 1999;Európai Unió Intézményei S2 1999;Kormányzat + Európai Unió Intézményei S2+S13 2000;Kormányzat S.13 2000;Központi kormányzat S.1311 2000;Helyi önkormányzat S.1313 2000;Társadalom- biztosítási alapok S.1314 2000;Európai Unió Intézményei S2 2000;Kormányzat + Európai Unió Intézményei S2+S13 2001;Kormányzat S.13 2001;Központi kormányzat S.1311 2001;Helyi önkormányzat S.1313 2001;Társadalom- biztosítási alapok S.1314 2001;Európai Unió Intézményei S2 2001;Kormányzat + Európai Unió Intézményei S2+S13 2002;Kormányzat S.13 2002;Központi kormányzat S.1311 2002;Helyi önkormányzat S.1313 2002;Társadalom- biztosítási alapok S.1314 2002;Európai Unió Intézményei S2 2002;Kormányzat + Európai Unió Intézményei S2+S13 2003;Kormányzat S.13 2003;Központi kormányzat S.1311 2003;Helyi önkormányzat S.1313 2003;Társadalom- biztosítási alapok S.1314 2003;Európai Unió Intézményei S2 2003;Kormányzat + Európai Unió Intézményei S2+S13 2004;Kormányzat S.13 2004;Központi kormányzat S.1311 2004;Helyi önkormányzat S.1313 2004;Társadalom- biztosítási alapok S.1314 2004;Európai Unió Intézményei S2 2004;Kormányzat + Európai Unió Intézményei S2+S13 2005;Kormányzat S.13 2005;Központi kormányzat S.1311 2005;Helyi önkormányzat S.1313 2005;Társadalom- biztosítási alapok S.1314 2005;Európai Unió Intézményei S2 2005;Kormányzat + Európai Unió Intézményei S2+S13 2006;Kormányzat S.13 2006;Központi kormányzat S.1311 2006;Helyi önkormányzat S.1313 2006;Társadalom- biztosítási alapok S.1314 2006;Európai Unió Intézményei S2 2006;Kormányzat + Európai Unió Intézményei S2+S13 2007;Kormányzat S.13 2007;Központi kormányzat S.1311 2007;Helyi önkormányzat S.1313 2007;Társadalom- biztosítási alapok S.1314 2007;Európai Unió Intézményei S2 2007;Kormányzat + Európai Unió Intézményei S2+S13 2008;Kormányzat S.13 2008;Központi kormányzat S.1311 2008;Helyi önkormányzat S.1313 2008;Társadalom- biztosítási alapok S.1314 2008;Európai Unió Intézményei S2 2008;Kormányzat + Európai Unió Intézményei S2+S13 2009;Kormányzat S.13 2009;Központi kormányzat S.1311 2009;Helyi önkormányzat S.1313 2009;Társadalom- biztosítási alapok S.1314 2009;Európai Unió Intézményei S2 2009;Kormányzat + Európai Unió Intézményei S2+S13 2010;Kormányzat S.13 2010;Központi kormányzat S.1311 2010;Helyi önkormányzat S.1313 2010;Társadalom- biztosítási alapok S.1314 2010;Európai Unió Intézményei S2 2010;Kormányzat + Európai Unió Intézményei S2+S13 2011;Kormányzat S.13 2011;Központi kormányzat S.1311 2011;Helyi önkormányzat S.1313 2011;Társadalom- biztosítási alapok S.1314 2011;Európai Unió Intézményei S2 2011;Kormányzat + Európai Unió Intézményei S2+S13 2012;Kormányzat S.13 2012;Központi kormányzat S.1311 2012;Helyi önkormányzat S.1313 2012;Társadalom- biztosítási alapok S.1314 2012;Európai Unió Intézményei S2 2012;Kormányzat + Európai Unió Intézményei S2+S13 2013;Kormányzat S.13 2013;Központi kormányzat S.1311 2013;Helyi önkormányzat S.1313 2013;Társadalom- biztosítási alapok S.1314 2013;Európai Unió Intézményei S2 2013;Kormányzat + Európai Unió Intézményei S2+S13 2014;Kormányzat S.13 2014;Központi kormányzat S.1311 2014;Helyi önkormányzat S.1313 2014;Társadalom- biztosítási alapok S.1314 2014;Európai Unió Intézményei S2 2014;Kormányzat + Európai Unió Intézményei S2+S13 2015;Kormányzat S.13 2015;Központi kormányzat S.1311 2015;Helyi önkormányzat S.1313 2015;Társadalom- biztosítási alapok S.1314 2015;Európai Unió Intézményei S2 2015;Kormányzat + Európai Unió Intézményei S2+S13 2016;Kormányzat S.13 2016;Központi kormányzat S.1311 2016;Helyi önkormányzat S.1313 2016;Társadalom- biztosítási alapok S.1314 2016;Európai Unió Intézményei S2 2016;Kormányzat + Európai Unió Intézményei S2+S13 2017;Kormányzat S.13 2017;Központi kormányzat S.1311 2017;Helyi önkormányzat S.1313 2017;Társadalom- biztosítási alapok S.1314 2017;Európai Unió Intézményei S2 2017;Kormányzat + Európai Unió Intézményei S2+S13 2018;Kormányzat S.13 2018;Központi kormányzat S.1311 2018;Helyi önkormányzat S.1313 2018;Társadalom- biztosítási alapok S.1314 2018;Európai Unió Intézményei S2 2018;Kormányzat + Európai Unió Intézményei S2+S13 2019;Kormányzat S.13 2019;Központi kormányzat S.1311 2019;Helyi önkormányzat S.1313 2019;Társadalom- biztosítási alapok S.1314 2019;Európai Unió Intézményei S2 2019;Kormányzat + Európai Unió Intézményei S2+S13 2020;Kormányzat S.13 2020;Központi kormányzat S.1311 2020;Helyi önkormányzat S.1313 2020;Társadalom- biztosítási alapok S.1314 2020;Európai Unió Intézményei S2 2020;Kormányzat + Európai Unió Intézményei S2+S13 2021;Kormányzat S.13 2021;Központi kormányzat S.1311 2021;Helyi önkormányzat S.1313 2021;Társadalom- biztosítási alapok S.1314 2021;Európai Unió Intézményei S2 2021
Erdõkárok elhárításához nyújtott támogatás;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;261;261;261;–;–;–;236;236;236;–;–;–;231;231;231;–;–;–;289;289;289;–;–;–;309;309;309;–;–;–;299;299;299;–;–;–;71;71;71;–;–;–;2;2;2;–;–;–;1;1;1;–;–;–;7;7;7;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Agrártermelés költségeit csökkentõ támogatás;;6 542;6 542;6 542;–;–;–;8 358;8 358;8 358;–;–;–;1 747;1 747;1 747;–;–;–;15 284;15 284;15 284;–;–;–;20 796;20 796;20 796;–;–;–;13 886;13 886;13 886;–;–;–;52 150;52 150;52 150;–;–;–;31 710;31 710;31 710;–;–;–;24 530;24 530;24 530;–;–;–;15 219;15 219;15 219;–;–;–;862;862;862;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Online adatkapcsolatra képes pénztárgép beszerzésének támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;5 513;5 513;5 513;–;–;–;29;29;29;–;–;–;150;150;150;–;–;–;384;384;384;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Piacfejlesztési támogatás;;9 928;9 928;9 928;–;–;–;12 975;12 975;12 975;–;–;–;6 600;6 600;6 600;–;–;–;8 706;8 706;8 706;–;–;–;17 034;17 034;17 034;–;–;–;11 540;11 540;11 540;–;–;–;7 920;7 920;7 920;–;–;–;25 270;25 270;25 270;–;–;–;27 834;27 834;27 834;–;–;–;17 210;17 210;17 210;–;–;–;36;36;36;–;–;–;1 552;1 552;1 552;–;–;–;2 031;2 031;2 031;–;–;–;505;505;505;–;–;–;1 075;1 075;1 075;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Belpiaci támogatások;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;85;–;–;–;–;85;6 807;–;–;–;–;6 807;13 768;–;–;–;–;13 768;8 297;–;–;–;–;8 297;8 037;–;–;–;–;8 037;12 821;–;–;–;–;12 821;14 648;–;–;–;–;14 648;14 393;–;–;–;–;14 393;13 568;–;–;–;–;13 568;16 435;337;337;–;–;16 098;13 914;–;–;–;–;13 914;14 558;–;–;–;–;14 558;12 819;619;619;–;–;12 200;15 412;3 359;3 359;–;–;12 053;6 891;622;622;–;–;6 269;9 219;629;629;–;–;8 590;10 989;747;747;–;–;10 242;7 972;18;18;–;–;7 954
EU egyéb közvetlen mezõgazdasági terméktámogatások;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;273;–;–;–;–;273;–;–;–;–;–;–;507;–;–;–;–;507;7 562;–;–;–;–;7 562;11 419;–;–;–;–;11 419;10 728;–;–;–;–;10 728;14 698;–;–;–;–;14 698;22 420;–;–;–;–;22 420;21 984;–;–;–;–;21 984;24 939;–;–;–;–;24 939;24 640;–;–;–;–;24 640;33 582;–;–;–;–;33 582;57 870;–;–;–;–;57 870;50 621;–;–;–;–;50 621;70 701;–;–;–;–;70 701;64 571;–;–;–;–;64 571;63 807;–;–;–;–;63 807;71 002;–;–;–;–;71 002
Vidékfejlesztési Program;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3 539;-30;-30;–;–;3 569;4 454;–;–;–;–;4 454;3 468;–;–;–;–;3 468;2 912;–;–;–;–;2 912;2 051;–;–;–;–;2 051
Támogatások a Nemzeti Kulturális Alapból;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;971;971;971;–;–;–;560;560;560;–;–;–;848;848;848;–;–;–;882;882;882;–;–;–;969;969;969;–;–;–;1 305;1 305;1 305;–;–;–;942;942;942;–;–;–;1 764;1 764;1 764;–;–;–;1 642;1 642;1 642;–;–;–;1 853;1 853;1 853;–;–;–;2 021;2 021;2 021;–;–;–;1 814;1 814;1 814;–;–;–;1 734;1 734;1 734;–;–;–;1 700;1 700;1 700;–;–;–;2 044;2 044;2 044;–;–;–;1 992;1 992;1 992;–;–;–;2 677;2 677;2 677;–;–;–;2 599;2 599;2 599;–;–;–;2 691;2 691;2 691;–;–;–;3 126;3 126;3 126;–;–;–;3 137;3 137;3 137;–;–;–;4 368;4 368;4 368;–;–;–;3 992;3 992;3 992;–;–;–
Támogatások Turisztikai Célelõirányzatból;;–;–;–;–;–;–;1 029;1 029;1 029;–;–;–;992;992;992;–;–;–;1 790;1 790;1 790;–;–;–;1 559;1 559;1 559;–;–;–;2 295;2 295;2 295;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Távhõszolgáltatás támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1 795;1 795;1 795;–;–;–;36 626;36 626;36 626;–;–;–;47 039;47 039;47 039;–;–;–;46 633;46 633;46 633;–;–;–;48 607;48 607;48 607;–;–;–;38 261;38 261;38 261;–;–;–;23 936;23 936;23 936;–;–;–;21 999;21 999;21 999;–;–;–;41 878;41 878;41 878;–;–;–;41 907;41 907;41 907;–;–;–;41 474;41 474;41 474;–;–;–
Mezõgazdasági intervenció árfolyam különbsége;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;17 983;4 535;4 535;–;–;13 448;42 097;10 145;10 145;–;–;31 952;25 777;7 744;7 744;–;–;18 033;5 070;–;–;–;–;5 070;4 650;–;–;–;–;4 650;4 617;–;–;–;–;4 617;1 552;–;–;–;–;1 552;3 268;–;–;–;–;3 268;5 349;–;–;–;–;5 349;-73;–;–;–;–;-73;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Személyszállításhoz önkormányzati támogatás;;9 504;9 504;–;9 504;–;–;10 821;10 821;–;10 821;–;–;11 552;11 552;–;11 552;–;–;12 995;12 995;–;12 995;–;–;14 229;14 229;–;14 229;–;–;14 296;14 296;–;14 296;–;–;14 361;14 361;–;14 361;–;–;16 483;16 483;–;16 483;–;–;3 247;3 247;–;3 247;–;–;11 843;11 843;–;11 843;–;–;18 198;18 198;–;18 198;–;–;35 070;35 070;–;35 070;–;–;35 135;35 135;–;35 135;–;–;45 251;45 251;–;45 251;–;–;35 244;35 244;–;35 244;–;–;57 879;57 879;–;57 879;–;–;59 240;59 240;–;59 240;–;–;72 177;72 177;–;72 177;–;–;76 750;76 750;–;76 750;–;–;87 863;87 863;–;87 863;–;–;90 433;90 433;–;90 433;–;–;89 687;89 687;–;89 687;–;–;78 210;78 210;–;78 210;–;–;16 434;16 434;–;16 434;–;–;17 329;17 329;–;17 329;–;–;33 507;33 507;–;33 507;–;–;19 337;19 337;–;19 337;–;–
Egyéb termelési támogatások;D.39;25 919;25 919;25 919;–;–;–;31 202;31 202;31 202;–;–;–;42 216;42 216;42 216;–;–;–;45 025;45 025;45 025;–;–;–;49 919;49 919;49 919;–;–;–;59 702;59 702;59 702;–;–;–;71 990;71 990;71 990;–;–;–;102 985;102 985;102 985;–;–;–;101 464;101 464;101 464;–;–;–;206 779;127 092;127 092;–;–;79 687;233 921;109 825;109 825;–;–;124 096;273 458;108 086;108 086;–;–;165 372;309 878;138 789;138 789;–;–;171 089;401 370;195 186;195 186;–;–;206 184;450 812;147 257;147 257;–;–;303 555;427 120;151 409;151 409;–;–;275 711;527 064;167 789;167 789;–;–;359 275;772 938;404 252;176 800;–;227 452;368 686;770 480;363 749;209 382;–;154 367;406 731;751 144;338 984;203 226;–;135 758;412 160;779 911;377 779;237 505;–;140 274;402 132;765 606;409 315;255 206;–;154 109;356 291;817 363;446 513;328 307;–;118 206;370 850;756 405;377 622;273 404;–;104 218;378 783;774 193;397 452;293 095;–;104 357;376 741;935 518;513 555;402 080;–;111 475;421 963;980 914;577 898;440 283;–;132 215;403 016
Bér- és létszámtámogatások;D.391;7 674;7 674;7 674;–;–;–;11 591;11 591;11 591;–;–;–;15 403;15 403;15 403;–;–;–;17 780;17 780;17 780;–;–;–;20 066;20 066;20 066;–;–;–;26 090;26 090;26 090;–;–;–;36 827;36 827;36 827;–;–;–;65 917;65 917;65 917;–;–;–;60 593;60 593;60 593;–;–;–;80 807;80 807;80 807;–;–;–;74 659;74 659;74 659;–;–;–;60 430;60 430;60 430;–;–;–;65 118;65 118;65 118;–;–;–;82 527;82 527;82 527;–;–;–;85 505;85 505;85 505;–;–;–;86 726;86 726;86 726;–;–;–;90 642;90 642;90 642;–;–;–;326 890;326 890;99 438;–;227 452;–;265 898;265 898;111 531;–;154 367;–;230 851;230 851;95 093;–;135 758;–;247 310;247 310;107 036;–;140 274;–;309 477;309 477;155 368;–;154 109;–;273 412;273 412;155 206;–;118 206;–;258 169;258 169;153 951;–;104 218;–;259 631;259 631;155 274;–;104 357;–;291 873;291 873;180 398;–;111 475;–;393 162;393 162;255 547;–;132 215;–
Szakképzési támogatás;;1 245;1 245;1 245;–;–;–;3 003;3 003;3 003;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1 413;1 413;1 413;–;–;–;1 747;1 747;1 747;–;–;–;2 378;2 378;2 378;–;–;–;3 083;3 083;3 083;–;–;–;3 930;3 930;3 930;–;–;–;4 914;4 914;4 914;–;–;–;6 249;6 249;6 249;–;–;–;8 502;8 502;8 502;–;–;–;10 699;10 699;10 699;–;–;–;13 186;13 186;13 186;–;–;–;14 846;14 846;14 846;–;–;–;16 884;16 884;16 884;–;–;–;8 770;8 770;8 770;–;–;–;239;239;239;–;–;–;662;662;662;–;–;–;3 889;3 889;3 889;–;–;–;6 767;6 767;6 767;–;–;–;11 129;11 129;11 129;–;–;–;7 629;7 629;7 629;–;–;–;9 824;9 824;9 824;–;–;–;8 342;8 342;8 342;–;–;–;11 242;11 242;11 242;–;–;–
Foglalkoztatást elõsegítõ támogatás;;6 429;6 429;6 429;–;–;–;2 061;2 061;2 061;–;–;–;7 493;7 493;7 493;–;–;–;6 853;6 853;6 853;–;–;–;6 346;6 346;6 346;–;–;–;6 949;6 949;6 949;–;–;–;10 476;10 476;10 476;–;–;–;24 022;24 022;24 022;–;–;–;13 077;13 077;13 077;–;–;–;11 604;11 604;11 604;–;–;–;13 500;13 500;13 500;–;–;–;11 944;11 944;11 944;–;–;–;9 750;9 750;9 750;–;–;–;12 060;12 060;12 060;–;–;–;13 056;13 056;13 056;–;–;–;18 751;18 751;18 751;–;–;–;14 863;14 863;14 863;–;–;–;8 240;8 240;8 240;–;–;–;8 709;8 709;8 709;–;–;–;5 915;5 915;5 915;–;–;–;5 675;5 675;5 675;–;–;–;21 433;21 433;21 433;–;–;–;6 406;6 406;6 406;–;–;–;6 797;6 797;6 797;–;–;–;8 198;8 198;8 198;–;–;–;7 951;7 951;7 951;–;–;–;10 713;10 713;10 713;–;–;–
Munkahelyteremtõ támogatás;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;263;263;263;–;–;–;29;29;29;–;–;–;–;–;–;–;–;–;1 472;1 472;1 472;–;–;–;5 338;5 338;5 338;–;–;–;8 028;8 028;8 028;–;–;–;19 819;19 819;19 819;–;–;–;12 628;12 628;12 628;–;–;–;13 282;13 282;13 282;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Járulékkedvezmény visszatérítése;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;5 798;5 798;5 798;–;–;–;8 324;8 324;8 324;–;–;–;10 457;10 457;10 457;–;–;–;6 292;6 292;6 292;–;–;–;5 148;5 148;5 148;–;–;–;4 784;4 784;4 784;–;–;–;3 278;3 278;3 278;–;–;–;552;552;552;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Startmunka program támogatásai államháztartáson kívülre;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;13 517;13 517;13 517;–;–;–;15 234;15 234;15 234;–;–;–;17 059;17 059;17 059;–;–;–;21 901;21 901;21 901;–;–;–;30 358;30 358;30 358;–;–;–;23 121;23 121;23 121;–;–;–;15 667;15 667;15 667;–;–;–;11 414;11 414;11 414;–;–;–;10 777;10 777;10 777;–;–;–;10 397;10 397;10 397;–;–;–
Kötelezõ legkisebb munkabér emelés támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;;–;–;–;1 911;1 911;1 911;–;–;–;9;9;9;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Kiegészítõ munkáltatói támogatás;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;4 453;4 453;4 453;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
TÁMOP 1.2 Foglalkoztatást ösztönzõ támogatás;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;16 100;16 100;16 100;–;–;–;14 381;14 381;14 381;–;–;–;11 000;11 000;11 000;–;–;–;5 376;5 376;5 376;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Szakképzési hozzájárulást csökkentõ tételek;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;25 812;25 812;25 812;–;–;–;28 388;28 388;28 388;–;–;–;30 274;30 274;30 274;–;–;–;35 814;35 814;35 814;–;–;–;40 255;40 255;40 255;–;–;–;40 378;40 378;40 378;–;–;–;39 393;39 393;39 393;–;–;–;33 894;33 894;33 894;–;–;–;47 417;47 417;47 417;–;–;–
EU-s elõ- és társfinanszírozás;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;5 049;5 049;5 049;–;–;–;26 646;26 646;26 646;–;–;–;37 399;37 399;37 399;–;–;–;43 046;43 046;43 046;–;–;–;44 093;44 093;44 093;–;–;–;55 485;55 485;55 485;–;–;–;31 013;31 013;31 013;–;–;–
Munkahely megtartási program (COVID);;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;16 554;16 554;16 554;–;–;–;98 700;98 700;98 700;–;–;–
