21.1.1.24. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek – Európai Unió Intézményei [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2122F Importmonopóliumok nyeresége;12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214 Termékadók a hozzáadottérték-adók és az importadók kivételével;13=14+..+25;–;–;–;–;–;–;–;–;–;–;2 062;800;–;2 184;628;650;1 044;804;881;825;765;868;854;–;–;–;–
D.214A Jövedéki adók és fogyasztási adók;14;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214B Bélyegilletékek;15;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C Pénzügyi és tõkemûveletekre kivetett adók;16;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214D Gépjármû-nyilvántartási adók;17;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E Szórakoztatóipari tevékenységekre kivetett adók;18;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214F Lottójátékra, szerencsejátékra és fogadásra kivetett adók;19;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G Biztosítási díjakra kivetett adók;20;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H Egyéb, meghatározott szolgáltatásokra kivetett adók;21;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I Általános forgalmi adók;22;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214J Fiskális monopóliumok nyeresége;23;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214K Exportvámok és az exportra kivetett monetáris kompenzációs összegek;24;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L Egyéb, máshová nem sorolt termékadók;25;–;–;–;–;–;–;–;–;–;–;2 062;800;–;2 184;628;650;1 044;804;881;825;765;868;854;–;–;–;–
D.29 Egyéb termelési adók;26=27+..+34;–;–;–;–;–;–;–;–;–;–;–;–;15 659;16 552;7 017;–;–;–;–;–;–;–;–;–;–;–;–
D.29A Földekre, épületekre vagy egyéb építményekre kivetett adók;27;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B Állóeszközök használatára kivetett adók;28;–;–;–;–;–;–;–;–;–;–;–;–;15 659;16 552;7 017;–;–;–;–;–;–;–;–;–;–;–;–
D.29C Az összbértömeg után kivetett adók és létszámadók;29;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29D Nemzetközi tranzakciókra kivetett adók;30;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E Üzleti vagy szakmai engedélyekért fizetett összegek;31;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29F Környezetszennyezésre kivetett adók;32;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29G Héa-alulkompenzáció (átalányrendszer);33;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H Egyéb, máshová nem sorolt termelési adók;34;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.5 Folyó jövedelem-, vagyon-, stb. adók;35=36+47;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51 Jövedelemadók;36=38+41+44+..+46;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51M Egyének vagy háztartások jövedelmére kivetett adók, beleértve az eszköztartási nyereséget;37=38+39;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51A Egyének vagy háztartások jövedelmére kivetett adók, kivéve az eszköztartási nyereséget;38;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C1 Az egyéneknél vagy háztartásokban jelentkezõ eszköztartási nyereségre kivetett adók;39;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O Vállalatok jövedelmére vagy nyereségére kivetett adók, beleértve az eszköztartási nyereséget;40=41+42;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51B Vállalatok jövedelmére vagy nyereségére kivetett adók, kivéve az eszköztartási nyereséget;41;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C2 Vállalatok eszköztartási nyereségére kivetett adók;42;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C3 Egyéb, eszköztartási nyereségre kivetett adók;43;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C Eszköztartási nyereségre kivetett adók;44=39+42+43;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51D Lottójáték vagy szerencsejáték nyereményeire kivetett adók;45;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E Egyéb, máshová nem sorolt jövedelemadók;46;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59 Egyéb folyó adók;47=48+..+53;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59A Tõkére kivetett folyó adók;48;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59B Fejadók;49;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59C Költségadók;50;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D. Háztartások által engedélyekért fizetett adók;51;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59E Nemzetközi tranzakciókra kivetett adók;52;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F Egyéb, máshová nem sorolt folyó adók;53;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91 Tõkeadók;54=55+..+57;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91A Tõketranszferekre kivetett adók;55;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91B Tõkeilleték;56;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91C Egyéb, máshová nem sorolt tõkeadók;57;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODA Összes adóbevétel;58=1+35+54;–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;52 431;55 580;41 297;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
D.61 Nettó társadalombiztosítási hozzájárulások;59=60–63+66+69+77;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611 Munkaadók tényleges társadalombiztosítási hozzájárulásai;60=61+62=64+65;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C Munkaadók tényleges kötelezõ társadalombiztosítási hozzájárulásai;61;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611V Munkaadók tényleges önkéntes társadalombiztosítási hozzájárulásai;62;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.61SC Társadalombiztosítási rendszerek szolgáltatási díjai;63;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6111 Munkaadók tényleges nyugdíjjárulékai;64;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6112 Munkaadók tényleges nem nyugdíjcélú járulékai;65;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.612 Munkaadók imputált társadalombiztosítási hozzájárulásai;66=67+68;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6121 Munkaadók imputált nyugdíjjárulékai;67;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6122 Munkaadók imputált nem nyugdíjcélú járulékai;68;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613 Háztartások tényleges társadalombiztosítási hozzájárulásai;69=70+71=72+76;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6131 Háztartások tényleges nyugdíjjárulékai;70;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6132 Háztartások tényleges nem nyugdíjcélú járulékai;71;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613C Háztartások tényleges kötelezõ társadalombiztosítási hozzájárulásai;72=73+74+75;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613CE Munkavállalók tényleges kötelezõ társadalombiztosítási hozzájárulásai;73;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613CS Önálló vállalkozók tényleges kötelezõ társadalombiztosítási hozzájárulásai;74;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613CN Alkalmazásban nem állók tényleges kötelezõ társadalombiztosítási hozzájárulásai;75;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613V Háztartások tényleges önkéntes társadalombiztosítási hozzájárulásai;76;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.614 Háztartások kiegészítõ társadalombiztosítási hozzájárulásai;77=78+79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6141 Háztartások kiegészítõ nyugdíjjárulékai;78;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6142 Háztartások kiegészítõ nem nyugdíjcélú járulékai;79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995 Államháztartási tõketranszferek a megfelelõ szektorok részére;80=81+..+86+90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995A Megállapított, de valószínûleg be nem hajtható termékadók;81;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995B Megállapított, de valószínûleg be nem hajtható egyéb termelési adók;82;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995C Megállapított, de valószínûleg be nem hajtható jövedelemadók;83;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995D Megállapított, de valószínûleg be nem hajtható egyéb folyó adók;84;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995E Munkaadók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;85;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995F Háztartások megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;86=87+..+89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FE Munkavállalók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;87;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FS Önálló vállalkozók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;88;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FN Alkalmazásban nem állók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995G Megállapított, de valószínûleg be nem hajtható tõkeadók;90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODB adókból és társadalombiztosítási hozzájárulásokból származó összes bevétel;"91=1+35+54+59–
66–77–80";–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;52 431;55 580;41 297;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
ODC adókból és a nettó társadalombiztosítási hozzájárulásokból származó összes bevétel (az imputált TB hozzájárulásokat is beleértve);92=1+35+54+59–80;–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;52 431;55 580;41 297;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
ODD adóteher – az adókból és a kötelezõ társadalombiztosítási hozzájárulásokból származó összes bevétel;"93=1+35+54+59–
66–77–62–76–80";–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;52 431;55 580;41 297;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
