21.1.1.16. A pénzügyi vállalatok szektor jövedelem- és tõkeszámlái [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Gazdasági mûveletek és egyenlegezõ tételek;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.42;Vállalatok felosztott jövedelme, nettó;-7 447;-10 238;-16 912;-21 211;-41 362;-53 731;-36 367;-73 048;-62 412;-36 535;-116 142;-25 961;-210 392;-411 468;-723 388;-453 164;-610 770;-184 415;-326 265;133 276;-710 244;-121 637;-16 395;-231 093;-520 792;354 723;-100 315
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott osztalék, részesedés;4 749;7 317;3 305;6 487;6 692;14 759;15 526;16 027;17 521;42 433;41 097;531 618;605 530;350 874;426 319;645 588;715 022;535 555;268 764;430 119;197 322;498 178;440 971;289 825;365 834;1 041 750;1 411 914
;fizetett osztalék, részesedés;12 196;17 555;20 217;27 698;48 054;68 490;51 893;89 075;79 933;78 968;157 239;557 579;815 922;762 342;1 149 707;1 098 752;1 325 792;719 970;595 029;296 843;907 566;619 815;457 366;520 918;886 626;687 027;1 512 229
D.43;Külföldi közvetlen tõkebefektetés újrabefektetett jövedelme, nettó;-19 442;-32 575;-20 207;-8 926;12 670;-33 029;-45 028;-64 000;-62 776;-187 345;-161 931;-239 120;-142 485;86 521;664 960;400 827;247 336;41 925;83 125;-384 545;278 024;-243 916;-343 414;-21 638;67 682;-1 037 298;-846 154
D.44;Egyéb befektetésbõl származó jövedelem, nettó;-55 152;-79 817;-100 084;-104 733;-135 824;-141 394;-152 641;-204 167;-183 085;-239 371;-282 617;-365 766;-381 291;-404 490;-415 930;-387 108;-349 336;-283 981;-253 108;-234 645;-161 862;-140 064;-149 022;-135 656;-163 924;-169 306;-156 455
B.4 n;Vállalkozói jövedelem, nettó;153 705;185 888;235 405;204 979;155 951;161 891;169 956;199 904;364 572;399 817;469 157;1 217 233;1 770 606;1 981 710;2 538 015;2 878 395;2 091 950;2 130 161;2 082 611;1 708 586;1 362 741;2 230 854;2 526 959;1 984 121;3 191 527;2 072 516;4 368 348
B.5 n;Elsõdleges jövedelmek egyenlege, nettó;122 067;135 758;194 981;168 193;120 545;58 222;73 139;51 229;214 994;112 630;121 062;268 831;245 512;224 024;248 180;332 014;252 443;364 598;356 996;364 104;202 153;409 254;503 064;422 325;624 919;620 856;862 780
Jövedelmek másodlagos elosztása;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.5;Folyó jövedelem-  és vagyonadók;12 703;15 988;19 390;18 011;13 642;17 245;29 735;29 071;58 447;69 963;120 265;129 141;117 896;95 160;81 767;65 640;81 961;119 034;140 956;110 124;119 601;121 402;78 883;54 632;91 550;105 814;127 367
D.61;Nettó társadalombiztosítási hozzájárulások;10 161;25 203;38 254;75 262;134 992;168 385;196 640;239 613;288 617;378 948;456 758;563 007;590 278;711 739;678 391;629 747;309 950;222 885;205 794;209 312;208 036;222 624;231 881;250 799;237 880;265 760;281 973
D.62;Pénzbeni társadalmi juttatások;2 541;1 987;4 532;2 793;3 383;14 575;18 755;24 131;31 620;53 755;89 081;99 053;118 045;141 306;148 610;132 097;161 773;156 173;121 412;118 320;123 744;127 580;122 125;137 511;170 877;138 689;158 738
D.7;Egyéb folyó transzferek, nettó;402;-6 274;-1 607;-3 526;-2 339;-2 743;-2 709;-4 097;-3 331;-12 797;-2 303;-2 779;8 015;-2 197;-11 585;-10 645;-12 196;-10 441;-13 149;-7 375;-3 511;-896;-17 703;-8 879;-12 976;-14 147;-10 143
;Egyéb folyó transzferek, kapott;93 354;90 244;103 544;130 657;132 319;140 994;171 495;187 449;208 697;232 148;246 122;254 227;281 874;269 586;246 349;264 851;216 373;199 470;233 701;247 552;253 085;284 427;304 944;312 712;350 867;350 024;369 046
;Egyéb folyó transzferek, fizetett;92 952;96 518;105 151;134 183;134 658;143 737;174 204;191 546;212 028;244 945;248 425;257 006;273 859;271 783;257 934;275 496;228 569;209 911;246 850;254 927;256 596;285 323;322 647;321 591;363 843;364 171;379 189
B.6 n;Rendelkezésre álló jövedelem, nettó ;117 386;136 712;207 706;219 125;236 173;192 044;218 580;233 543;410 213;355 063;366 171;600 865;607 864;697 100;684 609;753 379;306 463;301 835;287 273;337 597;163 333;382 000;516 234;472 102;587 396;627 966;848 505
Rendelkezésre álló jövedelem felhasználása ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.8;Nyugdíjjogosultságok változása miatti korrekció;7 620;23 216;33 722;72 469;131 609;153 810;177 885;215 482;256 997;325 193;367 677;463 954;472 233;570 433;529 781;497 650;148 177;66 712;84 382;90 992;84 292;95 044;109 756;113 288;67 003;127 071;123 235
B.8 n;Megtakarítás, nettó ;109 766;113 496;173 984;146 656;104 564;38 234;40 695;18 061;153 216;29 870;-1 506;136 911;135 631;126 667;154 828;255 729;158 286;235 123;202 891;246 605;79 041;286 956;406 478;358 814;520 393;500 895;725 270
Megtakaritás és tõketranszferek miatti nettóvagyon-változás;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.9;Tõketranszferek egyenlege ;22 339;738;386;194 798;4 977;31 823;14 394;45 379;8 399;2 369;1 173;684;3 924;4 195;-3 336;6 509;-45 100;-164 157;26 260;23 693;-440 539;3 184;-52 681;5 646;1 824;-7 745;8 095
;Tõketranszferek, kapott;22 432;738;386;194 798;8 142;34 978;15 468;46 494;10 233;6 049;5 648;6 687;10 063;13 105;18 276;41 988;91 247;15 614;28 998;24 679;108 991;17 501;22 744;24 642;15 535;131;16 648
D.91;Tõkeadók;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
D.92;Beruházási támogatások;0;0;0;0;2 074;637;1 154;1 682;6 335;3 790;943;0;903;1 251;764;789;894;790;1 427;11 744;37 731;1 299;2 455;39;813;131;744
D 99;Egyéb tõketranszferek;22 432;738;386;194 798;6 068;34 341;14 314;44 812;3 898;2 259;4 705;6 687;9 160;11 854;17 512;41 199;90 353;14 824;27 571;12 935;71 260;16 202;20 289;24 603;14 722;0;15 904
;Tõketranszferek, fizetett;93;0;0;0;3 165;3 155;1 074;1 115;1 834;3 680;4 475;6 003;6 139;8 910;21 612;35 479;136 347;179 771;2 738;986;549 530;14 317;75 425;18 996;13 711;7 876;8 553
D.91;Tõkeadók;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D.92;Beruházási támogatások;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
D.99;Egyéb tõketranszferek;93;0;0;0;3 165;3 155;1 074;1 115;1 834;3 680;4 475;6 003;6 139;8 910;21 612;35 479;136 347;179 771;2 738;986;549 530;14 317;75 425;18 996;13 711;7 876;8 553
B.10.1;A nettó vagyon változása megtakarítás és tõketranszferek miatt ;132 105;114 234;174 370;341 454;109 541;70 057;55 089;63 440;161 615;32 239;-333;137 595;139 555;130 862;151 492;262 238;113 186;70 966;229 151;270 298;-361 498;290 140;353 797;364 460;522 217;493 150;733 365
Nem pénzügyi eszközök beszerzése;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.51g;Bruttó állóeszköz-felhalmozás ;34 015;50 641;52 092;79 212;79 718;62 498;51 042;72 301;65 492;93 739;97 223;96 796;119 657;120 666;105 872;102 933;123 282;95 577;101 827;70 329;88 878;111 020;110 707;152 743;199 173;196 355;191 661
P.52;Készletváltozás;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P.53;Értéktárgyak beszerzésének és eladásának egyenlege;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P.51c;Állóeszköz-felhasználás;25 483;34 276;41 577;48 888;59 952;69 959;76 333;74 210;73 216;69 042;70 684;73 291;73 913;83 677;101 837;108 767;109 929;117 236;113 179;113 236;111 291;108 823;108 334;114 748;131 015;158 180;181 256
NP;Nem termelt eszközök beszerzésének és eladásának egyenlege;..;0;0;0;0;0;11;0;29;1 037;519;1 485;1 255;-121;168;184;1;5;0;0;2 886;243;471;252;332;786;-10 741
B.9;Nettó hitelnyújtás(+) / Nettó hitelfelvét(–);123 573;97 869;163 855;311 130;89 775;77 518;80 369;65 349;169 310;6 505;-27 391;112 605;92 556;93 994;147 289;267 888;99 832;92 620;240 503;313 205;-341 971;287 700;350 953;326 213;453 727;454 189;733 701
