20.2.1.37. A gazdaságilag nem aktívak száma legmagasabb iskolai végzettség szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
;III.;76,7;954,0;551,9;441,6;379,2;184,0;101,3;2 688,7
;IV.;81,7;940,1;552,6;440,7;381,3;185,0;104,4;2 685,7
2018.;I.;88,1;939,7;553,4;441,1;382,1;184,1;99,6;2 688,1
;II.;90,8;929,5;543,6;432,2;372,2;191,2;104,7;2 664,2
;III.;74,1;893,3;542,3;434,4;388,4;187,8;105,9;2 626,1
;IV.;77,9;893,8;542,7;430,0;391,5;192,0;109,7;2 637,4
2019.;I.;82,1;917,4;527,0;422,3;374,3;185,6;115,3;2 624,1
;II.;87,4;909,1;521,1;433,2;381,2;180,7;110,4;2 623,0
;III.;73,5;894,8;502,6;455,3;370,0;183,6;123,3;2 603,2
;IV.;72,4;889,9;516,6;451,4;370,6;187,6;123,4;2 611,9
2020.;I.;77,0;917,9;521,9;429,2;368,4;188,6;128,6;2 631,6
;II.;71,7;871,0;532,0;421,5;403,7;203,2;136,3;2 639,2
;III.;71,0;873,4;516,5;416,1;363,9;198,9;133,3;2 573,2
;IV.;74,0;868,4;521,1;422,0;364,7;200,1;137,2;2 587,6
2021.;I.;76,3;847,6;547,0;417,5;372,9;201,9;136,3;2 599,7
;II.;73,9;839,2;527,2;408,2;357,3;203,3;134,0;2 543,3
;III.;63,0;814,8;520,6;405,0;360,9;197,6;136,3;2 498,1
;IV.;64,1;821,2;511,4;384,2;373,7;194,8;125,2;2 474,5
2022.;I.;72,6;825,2;511,6;387,9;375,5;193,7;115,4;2 481,9
;II.;71,9;820,4;509,4;401,2;371,7;194,4;112,3;2 481,3
;III.;55,6;788,3;508,3;406,9;371,4;188,4;114,2;2 433,0
;IV.;;;;;;;;
Ebbõl:;;;;;;;;;
férfi;;;;;;;;;
2009.;I.;62,9;633,0;270,3;172,2;180,6;63,2;55,7;1 438,0
;II.;65,5;617,5;270,2;165,3;175,7;63,7;54,9;1 412,7
;III.;60,7;604,4;269,8;166,1;184,9;63,4;59,3;1 408,5
;IV.;56,5;602,4;281,5;174,8;181,7;64,3;55,2;1 416,3
2010.;I.;56,2;607,3;300,5;168,0;186,9;61,8;57,6;1 438,3
;II.;56,4;596,2;294,1;163,4;186,1;60,5;60,0;1 416,7
;III.;50,3;578,0;289,3;170,6;193,4;62,2;60,1;1 404,0
;IV.;49,1;581,0;292,6;172,4;196,0;64,7;58,1;1 414,0
2011.;I.;52,4;592,7;301,0;167,2;192,6;64,0;57,1;1 427,1
;II.;54,8;579,3;297,2;161,0;195,4;60,5;54,2;1 402,5
;III.;50,4;559,6;296,1;157,0;190,7;63,0;57,4;1 374,1
;IV.;46,5;564,1;295,9;163,8;188,3;68,0;60,7;1 387,3
2012.;I.;45,6;563,0;310,9;165,3;190,5;67,3;56,0;1 398,5
;II.;47,2;549,6;302,9;158,7;187,8;61,7;59,3;1 367,3
;III.;38,1;528,6;304,8;159,4;185,5;72,2;58,0;1 346,7
;IV.;40,4;537,8;312,1;156,2;175,7;67,3;57,2;1 346,7
2013.;I.;45,5;542,8;328,7;156,2;174,3;70,6;58,2;1 376,4
;II.;44,6;514,6;309,9;159,9;166,1;70,7;60,4;1 326,1
;III.;38,9;494,5;303,7;162,6;162,4;71,7;59,1;1 292,8
;IV.;42,4;495,4;313,3;160,4;159,3;71,2;57,9;1 299,9
2014.;I.;44,2;490,5;313,7;152,6;154,0;68,9;58,5;1 282,4
;II.;44,5;464,2;309,2;154,1;152,3;73,6;58,1;1 256,0
;III.;39,5;446,2;294,2;158,6;154,1;73,7;60,7;1 227,0
;IV.;41,0;456,4;298,7;156,9;152,5;78,5;55,4;1 239,4
2015.;I.;42,3;451,4;301,0;164,0;152,1;72,2;53,7;1 236,8
;II.;41,2;431,6;299,8;159,9;144,6;68,4;54,3;1 199,8
;III.;34,4;410,7;292,0;164,6;146,7;67,3;54,7;1 170,2
;IV.;37,3;408,4;295,4;161,9;149,0;65,6;56,7;1 174,4
2016.;I.;41,7;419,3;302,4;151,1;145,8;62,9;49,3;1 172,6
;II.;38,7;401,5;295,7;149,8;143,8;60,7;50,7;1 140,8
;III.;33,8;387,6;292,2;152,8;142,3;64,3;53,7;1 126,7
;IV.;34,0;384,9;290,2;155,9;143,6;65,3;53,2;1 127,0
2017.;I.;41,7;379,1;303,0;154,4;140,3;66,2;51,2;1 136,0
;II.;43,4;363,0;298,7;142,2;137,1;62,2;49,8;1 096,5
;III.;33,4;350,8;286,7;154,5;140,7;61,0;53,6;1 080,8
;IV.;35,2;351,6;292,1;154,3;138,4;62,4;50,4;1 084,3
2018.;I.;35,7;356,0;295,6;148,8;143,5;61,9;47,1;1 088,6
;II.;40,6;342,7;291,0;142,8;136,8;68,1;52,7;1 074,8
;III.;32,4;330,6;290,0;147,7;143,3;63,7;54,2;1 061,8
;IV.;34,1;336,9;278,9;143,6;142,7;64,8;55,5;1 056,5
2019.;I.;39,1;349,3;275,8;136,6;132,3;52,7;54,3;1 040,1
;II.;38,3;347,7;274,4;146,6;136,2;47,7;55,1;1 046,1
;III.;30,7;336,7;267,5;158,6;130,8;54,3;57,3;1 035,8
;IV.;31,7;342,5;273,2;158,4;132,5;51,6;49,1;1 039,0
2020.;I.;32,4;359,8;274,8;152,0;126,9;57,1;54,9;1 057,9
;II.;30,7;338,7;280,7;148,4;142,7;58,2;63,8;1 063,1
;III.;29,2;335,9;271,4;145,7;122,9;54,5;61,4;1 021,1
;IV.;30,1;334,7;275,0;145,7;122,6;57,6;60,6;1 026,4
2021.;I. ;33,2;326,5;288,0;138,7;131,9;53,7;62,7;1 034,6
;II.;33,1;322,8;276,2;142,4;128,6;52,9;60,7;1 016,6
;III.;29,0;308,1;273,3;144,6;131,4;55,4;59,1;1 000,9
;IV.;27,1;321,0;271,5;134,3;135,7;50,6;55,9;996,0
2022.;I. ;31,1;321,8;266,6;130,8;138,0;51,2;51,6;991,0
;II.;32,1;326,5;264,0;130,6;133,3;50,9;53,8;991,2
;III.;24,9;315,8;258,6;132,3;133,2;51,2;50,4;966,4
;IV.;;;;;;;;
nõ;;;;;;;;;
2009.;I.;115,5;909,2;232,7;304,0;261,6;90,7;48,9;1 962,8
;II.;113,4;905,3;233,2;297,0;261,1;95,4;49,3;1 954,5
;III.;108,0;880,6;234,0;294,3;270,3;97,4;50,9;1 935,4
;IV.;98,5;887,0;231,9;297,6;269,7;94,2;50,2;1 929,1
2010.;I.;95,6;883,8;226,9;299,7;265,7;92,1;50,2;1 914,0
;II.;94,9;875,1;227,5;297,4;268,4;94,7;48,2;1 906,2
;III.;87,1;862,0;225,5;297,1;270,7;100,3;48,6;1 891,3
;IV.;84,4;857,3;228,5;305,3;265,6;107,1;46,6;1 894,8
2011.;I.;82,6;865,2;232,8;301,0;270,6;103,6;47,3;1 903,0
;II.;80,8;864,4;234,0;293,4;265,9;103,0;47,6;1 889,1
;III.;79,3;841,6;236,5;294,9;266,7;102,5;53,3;1 874,7
;IV.;76,1;834,6;233,3;296,1;266,5;105,1;54,2;1 865,8
2012.;I.;75,9;826,3;234,0;291,7;271,9;111,6;57,2;1 868,6
;II.;76,6;818,7;236,9;274,3;273,2;110,7;57,6;1 848,0
;III.;72,7;798,7;225,7;280,7;274,9;108,6;51,8;1 813,1
;IV.;73,7;807,5;238,8;274,8;274,4;108,9;50,3;1 828,4
2013.;I.;73,3;812,4;242,4;272,5;277,0;117,0;50,6;1 845,2
;II.;70,6;789,3;240,8;278,1;278,3;116,4;45,7;1 819,2
;III.;67,1;756,7;249,4;296,7;266,2;121,0;44,9;1 801,9
;IV.;67,6;737,8;256,2;298,8;264,3;123,6;51,2;1 799,5
2014.;I.;62,7;723,9;255,1;287,9;267,4;123,1;57,1;1 777,2
;II.;61,1;717,1;249,9;287,8;270,7;123,5;56,2;1 766,3
;III.;54,9;691,2;242,9;304,8;261,7;127,6;57,0;1 740,1
;IV.;60,0;691,9;250,4;302,9;254,9;127,8;54,7;1 742,6
2015.;I.;63,0;693,8;249,1;290,6;252,5;126,2;52,7;1 727,9
;II.;64,0;676,5;241,0;292,3;247,4;131,0;53,2;1 705,4
;III.;55,5;652,9;243,9;310,7;238,8;127,8;53,8;1 683,4
;IV.;59,7;651,7;244,8;304,7;241,3;127,9;52,8;1 682,8
2016.;I.;61,1;662,1;250,9;298,6;239,0;121,8;46,3;1 679,9
;II.;54,4;654,1;250,6;292,5;238,0;119,1;47,7;1 656,4
;III.;47,5;629,7;252,9;292,9;241,7;116,9;51,5;1 633,2
;IV.;46,0;623,1;258,2;287,5;242,0;118,1;51,9;1 626,7
2017.;I.;46,8;620,1;264,7;289,8;245,4;125,6;50,9;1 643,4
;II.;50,9;612,4;263,2;279,6;243,8;130,2;51,2;1 631,3
;III.;43,3;603,2;265,1;287,1;238,5;123,0;47,7;1 607,9
;IV.;46,6;588,5;260,5;286,4;242,9;122,6;53,9;1 601,5
2018.;I.;52,4;583,6;257,9;292,3;238,6;122,1;52,5;1 599,4
;II.;50,2;586,8;252,6;289,3;235,4;123,1;52,0;1 589,4
;III.;41,7;562,7;252,3;286,8;245,1;124,1;51,7;1 564,3
;IV.;43,7;556,9;263,7;286,4;248,7;127,2;54,2;1 580,9
2019.;I.;43,0;568,2;251,2;285,7;242,1;132,9;60,9;1 583,9
;II.;49,1;561,3;246,6;286,6;245,0;133,0;55,3;1 576,9
;III.;42,8;558,1;235,1;296,8;239,3;129,3;66,1;1 567,4
;IV.;40,7;547,5;243,4;292,9;238,1;136,0;74,3;1 573,0
2020.;I.;44,6;558,0;247,1;277,2;241,6;131,5;73,7;1 573,7
;II.;41,0;532,3;251,3;273,1;261,0;145,0;72,5;1 576,1
;III.;41,8;537,5;245,1;270,3;241,1;144,4;71,9;1 552,1
;IV.;43,9;533,7;246,1;276,3;242,1;142,5;76,6;1 561,2
2021.;I. ;43,1;521,1;259,1;278,9;241,0;148,2;73,7;1 565,1
;II.;40,8;516,4;251,0;265,9;228,7;150,4;73,3;1 526,6
;III.;34,0;506,8;247,2;260,4;229,5;142,2;77,1;1 497,1
;IV.;37,0;500,1;239,9;249,9;238,0;144,2;69,3;1 478,5
2022.;I. ;41,5;503,4;245,0;257,1;237,6;142,5;63,9;1 490,9
;II.;39,8;494,0;245,4;270,6;238,4;143,4;58,5;1 490,1
;III.;30,6;472,5;249,7;274,6;238,2;137,1;63,8;1 466,6
;IV.;;;;;;;;
