14.1.2.7. A háztartások száma, a háztartásban élõ személyek jellemzõi jövedelemszerzõ tevékenységük, régió és településtípus szerint;;;;;;;;;;;;;;
Megnevezés;Ország összesen;Régiók szerint: Közép-Magyarország;Régiók szerint: Budapest;Régiók szerint: Pest;Régiók szerint: Közép-Dunántúl;Régiók szerint: Nyugat-Dunántúl;Régiók szerint: Dél-Dunántúl;Régiók szerint: Észak-Magyarország;Régiók szerint: Észak-Alföld;Régiók szerint: Dél-Alföld;Települések típusa szerint: fõváros;Települések típusa szerint: megyeszékhely, megyei jogú város;Települések típusa szerint: többi város;Települések típusa szerint: község
nõk;1 921 898;601 179;367 281;…;209 357;197 046;173 660;207 470;277 551;255 635;367 281;385 942;612 390;556 285
Nyugdíjasok összesen;2 144 612;645 313;391 786;…;240 796;226 953;213 697;257 308;283 703;276 842;391 786;478 070;670 228;604 528
Ebbõl: ;;;;;;;;;;;;;;
férfiak;778 624;226 791;140 424;…;93 989;83 555;78 790;90 584;100 740;104 175;140 424;177 106;236 136;224 958
nõk;1 365 988;418 522;251 362;…;146 807;143 398;134 907;166 724;182 963;172 667;251 362;300 964;434 092;379 570
Munkanélküliek összesen;455 438;114 391;66 697;…;38 693;16 371;48 954;84 057;101 712;51 260;66 697;68 880;143 981;175 880
Ebbõl:  ;;;;;;;;;;;;;;
férfiak;262 113;60 010;36 107;…;20 704;10 808;31 129;51 525;57 430;30 507;36 107;35 518;81 191;109 297
nõk;193 325;54 381;30 590;…;17 989;5 563;17 825;32 532;44 282;20 753;30 590;33 362;62 790;66 583
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;311 173;60 917;29 016;…;26 555;34 036;35 777;45 821;57 335;50 732;29 016;56 204;115 971;109 982
Tanuló felnõttek;44 124;18 763;18 763;…;2 121;2 639;6 806;2 598;6 077;5 120;18 763;9 075;11 357;4 929
Egyéb Inaktív felnõttek;406 817;128 136;65 616;…;42 823;48 727;31 767;47 421;61 157;46 786;65 616;62 374;136 124;142 703
Nem tanuló gyermekek;672 364;217 221;122 314;…;75 215;71 582;54 232;77 059;98 454;78 601;122 314;117 682;211 863;220 505
Tanulók, hallgatók;1 443 572;427 281;213 433;…;148 307;128 509;133 831;184 319;236 945;184 380;213 433;262 636;511 706;455 797
Összesen;9 667 827;2 923 491;1 709 746;…;1 049 184;970 391;888 533;1 141 586;1 449 786;1 244 856;1 709 746;1 861 244;3 108 613;2 988 224
2016;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 134 920;1 279 755;806 648;…;443 245;394 504;396 033;480 334;583 131;557 918;806 648;887 369;1 278 168;1 162 735
Adatszolgáltató háztartások száma;7 485;1 451;942;…;839;649;762;1 333;1 161;1 290;942;1 614;2 310;2 619
Háztartások átlagos taglétszáma;2,3;2,3;2,1;…;2,4;2,5;2,2;2,4;2,5;2,2;2,1;2,1;2,4;2,5
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;
Alkalmazásban állók;3 868 764;1 242 292;733 035;…;442 777;411 419;341 354;411 682;555 808;463 432;733 035;730 142;1 261 682;1 143 905
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;464 621;146 654;106 973;…;57 357;37 233;35 884;34 885;59 421;93 187;106 973;85 101;123 147;149 400
Aktív keresõk összesen;4 333 385;1 388 946;840 008;…;500 134;448 652;377 238;446 567;615 229;556 619;840 008;815 243;1 384 829;1 293 305
Ebbõl:;;;;;;;;;;;;;;
férfiak;2 324 099;737 782;445 486;…;268 679;246 255;201 283;241 121;335 589;293 390;445 486;413 831;728 753;736 029
nõk;2 009 286;651 164;394 522;…;231 455;202 397;175 955;205 446;279 640;263 229;394 522;401 412;656 076;557 276
Nyugdíjasok összesen;2 167 088;650 712;383 126;…;247 059;231 277;212 617;256 237;292 259;276 927;383 126;502 260;681 496;600 206
Ebbõl: ;;;;;;;;;;;;;;
férfiak;807 396;238 007;142 136;…;97 169;86 060;78 083;92 577;106 827;108 673;142 136;187 234;242 249;235 777
nõk;1 359 692;412 705;240 990;…;149 890;145 217;134 534;163 660;185 432;168 254;240 990;315 026;439 247;364 429
Munkanélküliek összesen;367 847;85 586;51 972;…;22 716;19 200;37 530;73 560;83 095;46 160;51 972;56 129;114 652;145 094
Ebbõl:  ;;;;;;;;;;;;;;
férfiak;217 266;45 502;27 736;…;16 290;9 952;21 553;43 895;50 384;29 690;27 736;32 748;70 295;86 487
nõk;150 581;40 084;24 236;…;6 426;9 248;15 977;29 665;32 711;16 470;24 236;23 381;44 357;58 607
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;250 102;38 314;19 358;…;18 867;30 954;27 691;44 174;49 234;40 868;19 358;50 984;88 799;90 961
Tanuló felnõttek;26 487;10 075;7 458;…;773;1 845;2 603;4 372;4 376;2 443;7 458;7 626;6 972;4 431
Egyéb Inaktív felnõttek;403 390;125 165;62 375;…;46 375;41 966;28 038;52 803;62 703;46 340;62 375;55 395;139 215;146 405
Nem tanuló gyermekek;650 033;203 661;121 223;…;72 362;73 395;46 823;86 209;93 003;74 580;121 223;105 753;202 812;220 245
Tanulók, hallgatók;1 439 167;429 352;217 759;…;137 848;123 424;148 452;167 869;244 604;187 618;217 759;260 194;504 973;456 241
Összesen;9 637 499;2 931 811;1 703 279;…;1 046 134;970 713;880 992;1 131 791;1 444 503;1 231 555;1 703 279;1 853 584;3 123 748;2 956 888
2017;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 136 841;1 283 266;806 014;477 252;446 455;394 220;397 197;471 245;593 017;551 441;806 014;897 922;1 265 772;1 167 133
Adatszolgáltató háztartások száma;6 960;1 342;817;525;787;627;773;1 190;1 137;1 104;817;1 531;2 113;2 499
Háztartások átlagos taglétszáma;2,3;2,3;2,1;2,6;2,3;2,5;2,2;2,4;2,4;2,2;2,1;2,1;2,5;2,5
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;
Alkalmazásban állók;3 952 113;1 273 211;739 728;533 483;441 149;410 969;350 160;422 301;577 439;476 884;739 728;728 299;1 296 029;1 188 057
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;457 436;139 823;107 802;32 021;62 508;58 216;23 075;34 892;54 618;84 304;107 802;87 998;124 243;137 393
Aktív keresõk összesen;4 409 549;1 413 034;847 530;565 504;503 657;469 185;373 235;457 193;632 057;561 188;847 530;816 297;1 420 272;1 325 450
Ebbõl:;;;;;;;;;;;;;;
férfiak;2 356 969;746 613;426 332;320 281;272 754;250 647;193 159;247 639;346 583;299 574;426 332;415 005;761 011;754 621
nõk;2 052 580;666 421;421 198;245 223;230 903;218 538;180 076;209 554;285 474;261 614;421 198;401 292;659 261;570 829
Nyugdíjasok összesen;2 169 828;646 114;384 720;261 394;243 440;227 491;216 280;253 552;305 974;276 977;384 720;521 177;667 863;596 068
Ebbõl: ;;;;;;;;;;;;;;
férfiak;817 190;238 593;139 819;98 774;94 242;87 665;80 998;92 061;113 658;109 973;139 819;199 109;246 760;231 502
nõk;1 352 638;407 521;244 901;162 620;149 198;139 826;135 282;161 491;192 316;167 004;244 901;322 068;421 103;364 566
Munkanélküliek összesen;317 108;71 363;41 921;29 442;18 552;16 731;39 767;70 571;64 426;35 698;41 921;48 694;109 073;117 420
Ebbõl:  ;;;;;;;;;;;;;;
férfiak;168 563;36 125;24 269;11 856;8 283;5 799;25 816;39 122;34 826;18 592;24 269;25 823;59 097;59 374
nõk;148 545;35 238;17 652;17 586;10 269;10 932;13 951;31 449;29 600;17 106;17 652;22 871;49 976;58 046
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;248 383;47 314;26 202;21 112;20 108;21 778;32 544;41 262;45 245;40 132;26 202;48 663;82 513;91 005
Tanuló felnõttek;39 604;20 895;18 164;2 731;3 998;3 558;3 091;2 556;4 001;1 505;18 164;10 755;7 432;3 253
Egyéb Inaktív felnõttek;395 195;121 697;57 400;64 297;38 050;37 863;30 270;56 273;61 886;49 156;57 400;52 922;139 459;145 414
Nem tanuló gyermekek;646 138;198 347;115 608;82 739;65 895;62 844;52 899;82 511;105 078;78 564;115 608;96 460;212 099;221 971
Tanulók, hallgatók;1 383 980;420 357;204 472;215 885;148 338;130 408;126 652;156 767;219 834;181 624;204 472;250 506;490 740;438 262
Összesen;9 609 785;2 939 121;1 696 017;1 243 104;1 042 038;969 858;874 738;1 120 685;1 438 501;1 224 844;1 696 017;1 845 474;3 129 451;2 938 843
2018;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 119 621;1 290 107;803 111;486 996;448 978;392 702;375 478;471 540;585 412;555 404;803 111;882 669;1 283 998;1 149 843
Adatszolgáltató háztartások száma;6 293;1 256;649;607;653;577;644;1 020;1 134;1 009;649;1 376;1 974;2 294
Háztartások átlagos taglétszáma;2,3;2,3;2,1;2,6;2,3;2,5;2,3;2,4;2,4;2,2;2,1;2,1;2,5;2,5
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;
Alkalmazásban állók;3 989 826;1 282 168;707 636;574 532;456 790;411 919;341 107;429 510;573 544;494 788;707 636;752 973;1 351 362;1 177 855
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;464 248;176 014;119 377;56 637;53 590;47 982;29 275;35 031;48 402;73 954;119 377;82 946;148 981;112 944
Aktív keresõk összesen;4 454 074;1 458 182;827 013;631 169;510 380;459 901;370 382;464 541;621 946;568 742;827 013;835 919;1 500 343;1 290 799
Ebbõl:;;;;;;;;;;;;;;
férfiak;2 425 588;765 797;414 050;351 747;287 269;247 555;202 902;257 920;349 677;314 468;414 050;445 519;814 889;751 130
nõk;2 028 486;692 385;412 963;279 422;223 111;212 346;167 480;206 621;272 269;254 274;412 963;390 400;685 454;539 669
Nyugdíjasok összesen;2 127 384;620 695;388 071;232 624;229 575;237 330;202 012;253 595;300 676;283 501;388 071;497 154;658 970;583 189
Ebbõl: ;;;;;;;;;;;;;;
férfiak;781 200;221 790;142 234;79 556;83 776;91 042;74 114;90 736;110 296;109 446;142 234;177 014;240 043;221 909
nõk;1 346 184;398 905;245 837;153 068;145 799;146 288;127 898;162 859;190 380;174 055;245 837;320 140;418 927;361 280
Munkanélküliek összesen;286 277;68 511;43 127;25 384;12 894;15 557;43 267;51 408;62 088;32 552;43 127;42 983;97 767;102 400
Ebbõl:  ;;;;;;;;;;;;;;
férfiak;143 519;29 804;18 860;10 944;4 819;10 986;21 531;26 664;35 373;14 342;18 860;25 004;48 220;51 435
nõk;142 758;38 707;24 267;14 440;8 075;4 571;21 736;24 744;26 715;18 210;24 267;17 979;49 547;50 965
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;246 086;45 548;21 001;24 547;23 944;18 554;32 544;41 612;43 618;40 266;21 001;45 880;90 715;88 490
Tanuló felnõttek;28 952;8 422;6 364;2 058;3 211;200;3 864;7 067;2 855;3 333;6 364;5 731;4 425;12 432
Egyéb Inaktív felnõttek;410 115;112 196;60 628;51 568;49 551;35 316;35 420;56 745;77 646;43 241;60 628;63 337;131 836;154 314
Nem tanuló gyermekek;614 358;183 105;105 752;77 353;64 459;56 815;46 517;83 544;104 593;75 325;105 752;97 384;202 213;209 009
Tanulók, hallgatók;1 422 670;451 644;232 413;219 231;147 529;150 315;133 213;153 647;215 795;170 527;232 413;248 110;506 040;436 107
Összesen;9 589 916;2 948 303;1 684 369;1 263 934;1 041 543;973 988;867 219;1 112 159;1 429 217;1 217 487;1 684 369;1 836 498;3 192 309;2 876 740
2019;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 111 240;1 297 077;805 421;491 656;445 124;394 154;393 691;457 025;580 323;543 846;805 421;871 285;1 309 068;1 125 466
Adatszolgáltató háztartások száma;5 854;1 237;607;630;714;554;690;897;977;785;607;1 204;1 883;2 160
Háztartások átlagos taglétszáma;2,3;2,3;2,1;2,6;2,3;2,5;2,2;2,4;2,4;2,2;2,1;2,1;2,5;2,5
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;
Alkalmazásban állók;4 004 300;1 268 944;717 631;551 313;445 680;421 371;347 694;445 147;584 102;491 362;717 631;756 280;1 384 395;1 145 994
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;485 833;194 380;127 985;66 395;45 627;58 706;29 757;30 854;52 406;74 103;127 985;80 101;152 921;124 826
Aktív keresõk összesen;4 490 133;1 463 324;845 616;617 708;491 307;480 077;377 451;476 001;636 508;565 465;845 616;836 381;1 537 316;1 270 820
Ebbõl:;;;;;;;;;;;;;;
férfiak;2 430 915;774 434;433 407;341 027;273 307;265 196;205 365;256 589;355 937;300 087;433 407;445 696;833 121;718 691
nõk;2 059 218;688 890;412 209;276 681;218 000;214 881;172 086;219 412;280 571;265 378;412 209;390 685;704 195;552 129
Nyugdíjasok összesen;2 097 952;621 517;377 500;244 017;237 334;223 899;201 884;246 217;287 405;279 696;377 500;487 314;655 432;577 706
Ebbõl: ;;;;;;;;;;;;;;
férfiak;768 730;219 973;124 286;95 687;87 240;81 875;73 885;89 988;106 670;109 099;124 286;171 512;245 108;227 824
nõk;1 329 222;401 544;253 214;148 330;150 094;142 024;127 999;156 229;180 735;170 597;253 214;315 802;410 324;349 882
Munkanélküliek összesen;288 862;65 137;39 032;26 105;21 079;16 714;42 970;60 238;52 321;30 403;39 032;40 813;84 535;124 482
Ebbõl:  ;;;;;;;;;;;;;;
férfiak;151 190;29 274;19 609;9 665;11 370;10 909;21 020;33 829;29 060;15 728;19 609;26 598;46 734;58 249
nõk;137 672;35 863;19 423;16 440;9 709;5 805;21 950;26 409;23 261;14 675;19 423;14 215;37 801;66 233
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;242 538;54 161;32 954;21 207;19 564;17 593;33 909;35 989;47 832;33 490;32 954;33 932;77 717;97 935
Tanuló felnõttek;48 308;23 248;17 367;5 881;2 793;5 649;3 485;4 289;5 156;3 688;17 367;8 243;12 515;10 183
Egyéb Inaktív felnõttek;389 494;106 497;57 894;48 603;48 167;38 483;30 780;50 773;73 320;41 474;57 894;55 301;143 898;132 401
Nem tanuló gyermekek;613 790;182 775;102 756;80 019;61 997;56 539;59 332;81 815;111 165;60 167;102 756;97 165;217 232;196 637
Tanulók, hallgatók;1 409 455;454 674;222 548;232 126;163 223;140 349;110 338;148 783;206 729;185 359;222 548;246 740;503 542;436 625
Összesen;9 580 532;2 971 333;1 695 667;1 275 666;1 045 464;979 303;860 149;1 104 105;1 420 436;1 199 742;1 695 667;1 805 889;3 232 187;2 846 789
2020;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 121 936;1 301 450;801 687;499 763;450 567;404 237;393 669;450 144;577 817;544 052;801 687;883 001;1 338 982;1 098 266
Adatszolgáltató háztartások száma;5 450;1 309;742;567;604;524;590;757;993;673;742;1 181;1 691;1 836
Háztartások átlagos taglétszáma;2,3;2,3;2,1;2,6;2,3;2,4;2,2;2,4;2,4;2,2;2,1;2,1;2,4;2,6
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;
Alkalmazásban állók;3 955 754;1 265 582;732 753;532 829;439 853;431 964;336 695;429 874;582 407;469 379;732 753;722 479;1 387 810;1 112 712
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;542 969;217 418;133 457;83 961;57 508;69 781;30 482;28 014;51 987;87 779;133 457;90 740;174 834;143 938
Aktív keresõk összesen;4 498 723;1 483 000;866 210;616 790;497 361;501 745;367 177;457 888;634 394;557 158;866 210;813 219;1 562 644;1 256 650
Ebbõl:;;;;;;;;;;;;;;
férfiak;2 446 833;791 556;456 951;334 605;279 197;277 149;199 322;255 992;351 364;292 253;456 951;455 563;824 893;709 426
nõk;2 051 890;691 444;409 259;282 185;218 164;224 596;167 855;201 896;283 030;264 905;409 259;357 656;737 751;547 224
Nyugdíjasok összesen;2 078 190;598 020;361 142;236 878;245 532;216 958;200 773;250 133;289 791;276 983;361 142;531 110;629 261;556 677
Ebbõl: ;;;;;;;;;;;;;;
férfiak;763 142;216 916;129 477;87 439;91 361;77 290;72 094;87 103;107 205;111 173;129 477;187 313;230 133;216 219
nõk;1 315 048;381 104;231 665;149 439;154 171;139 668;128 679;163 030;182 586;165 810;231 665;343 797;399 128;340 458
Munkanélküliek összesen;345 038;88 726;47 960;40 766;20 809;25 206;49 146;67 373;67 387;26 391;47 960;48 473;126 165;122 440
Ebbõl:  ;;;;;;;;;;;;;;
férfiak;178 227;44 612;25 233;19 379;7 491;8 815;26 444;42 373;34 567;13 925;25 233;23 722;66 451;62 821
nõk;166 811;44 114;22 727;21 387;13 318;16 391;22 702;25 000;32 820;12 466;22 727;24 751;59 714;59 619
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;232 842;43 250;24 221;19 029;11 892;17 665;35 970;37 558;45 037;41 470;24 221;33 733;80 435;94 453
Tanuló felnõttek;35 339;20 131;16 371;3 760;4 245;706;4 384;2 094;1 191;2 588;16 371;9 467;4 943;4 558
Egyéb Inaktív felnõttek;358 067;110 719;55 438;55 281;34 672;26 331;32 241;50 566;63 803;39 735;55 438;53 479;129 725;119 425
Nem tanuló gyermekek;667 751;201 077;105 646;95 431;69 219;56 157;59 746;84 300;119 792;77 460;105 646;94 902;248 162;219 041
Tanulók, hallgatók;1 384 092;440 881;221 322;219 559;168 498;138 454;108 791;148 632;193 156;185 680;221 322;227 417;496 929;438 424
Összesen;9 600 042;2 985 804;1 698 310;1 287 494;1 052 228;983 222;858 228;1 098 544;1 414 551;1 207 465;1 698 310;1 811 800;3 278 264;2 811 668
