20.2.1.10. A 15–74 éves népesség gazdasági aktivitása nemenként, negyedévente;;;;;;;;;;
Év;Negyedév;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
;II.;4 476,4;234,1;4 710,5;2 797,3;7 507,8;416,2;62,7;5,0;59,6
;III.;4 521,1;226,2;4 747,3;2 759,8;7 507,1;397,6;63,2;4,8;60,2
;IV.;4 540,9;205,0;4 745,9;2 753,8;7 499,6;373,0;63,3;4,3;60,5
2017.;I.;4 498,0;206,6;4 704,6;2 779,4;7 484,0;394,7;62,9;4,4;60,1
;II.;4 541,0;196,2;4 737,2;2 727,8;7 465,0;368,3;63,5;4,1;60,8
;III.;4 575,2;188,2;4 763,4;2 688,7;7 452,1;346,1;63,9;4,0;61,4
;IV.;4 579,3;175,2;4 754,5;2 685,7;7 440,3;320,3;63,9;3,7;61,5
2018.;I.;4 570,6;177,8;4 748,3;2 688,1;7 436,4;324,8;63,9;3,7;61,5
;II.;4 606,9;165,0;4 772,0;2 664,2;7 436,2;313,8;64,2;3,5;62,0
;III.;4 627,4;178,2;4 805,6;2 626,1;7 431,8;314,9;64,7;3,7;62,3
;IV.;4 620,6;166,3;4 786,9;2 637,4;7 424,3;308,3;64,5;3,5;62,2
2019.;I.;4 631,0;165,0;4 796,0;2 624,1;7 420,0;302,3;64,6;3,4;62,4
;II.;4 643,1;155,2;4 798,3;2 623,0;7 421,3;297,4;64,7;3,2;62,6
;III.;4 654,2;162,4;4 816,6;2 603,2;7 419,8;303,9;64,9;3,4;62,7
;IV.;4 649,9;153,1;4 803,1;2 611,9;7 415,0;291,8;64,8;3,2;62,7
2020.;I.;4 606,8;173,0;4 779,8;2 631,6;7 411,4;336,7;64,5;3,6;62,2
;II.;4 556,4;214,2;4 770,5;2 639,2;7 409,7;435,7;64,4;4,5;61,5
;III.;4 627,2;207,8;4 835,0;2 573,2;7 408,2;380,3;65,3;4,3;62,5
;IV.;4 622,6;195,4;4 817,9;2 587,6;7 405,5;366,5;65,1;4,1;62,4
2021.;I.;4 567,6;214,8;4 782,4;2 599,7;7 382,0;435,4;64,8;4,5;61,9
;II.;4 619,2;198,0;4 817,2;2 543,3;7 360,5;365,8;65,4;4,1;62,8
;III.;4 663,4;189,7;4 853,1;2 498,1;7 351,2;322,2;66,0;3,9;63,4
;IV.;4 687,9;180,3;4 868,2;2 474,5;7 342,7;301,6;66,3;3,7;63,8
2022.;I.;4 674,3;181,1;4 855,4;2 481,9;7 337,3;298,5;66,2;3,7;63,7
;II.;4 693,2;156,9;4 850,2;2 481,3;7 331,5;261,8;66,2;3,2;64,0
;III.;4 712,2;178,3;4 890,4;2 433,0;7 323,4;279,7;66,8;3,6;64,3
;IV.;;;;;;;;;
Ebbõl:;;;;;;;;;;
férfi;;;;;;;;;;
2009.;I.;2 014,5;225,4;2 239,8;1 438,0;3 677,8;354,8;60,9;10,1;54,8
;II.;2 040,4;224,0;2 264,3;1 412,7;3 677,1;340,8;61,6;9,9;55,5
;III.;2 029,0;238,9;2 267,8;1 408,5;3 676,3;366,2;61,7;10,5;55,2
;IV.;2 020,2;239,1;2 259,4;1 416,3;3 675,6;374,2;61,5;10,6;55,0
2010.;I.;1 953,8;282,9;2 236,7;1 438,3;3 674,9;422,3;60,9;12,6;53,2
;II.;1 990,6;266,9;2 257,6;1 416,7;3 674,2;395,3;61,4;11,8;54,2
;III.;2 020,6;248,9;2 269,5;1 404,0;3 673,5;374,8;61,8;11,0;55,0
;IV.;2 010,7;248,2;2 258,8;1 414,0;3 672,8;379,4;61,5;11,0;54,7
2011.;I.;1 970,1;274,9;2 245,0;1 427,1;3 672,1;426,7;61,1;12,2;53,7
;II.;2 023,8;245,1;2 269,0;1 402,5;3 671,4;391,1;61,8;10,8;55,1
;III.;2 053,3;243,3;2 296,6;1 374,1;3 670,7;389,7;62,6;10,6;55,9
;IV.;2 043,4;242,6;2 286,0;1 387,3;3 673,2;390,7;62,2;10,6;55,6
2012.;I.;1 999,6;280,5;2 280,1;1 398,5;3 678,7;431,1;62,0;12,3;54,4
;II.;2 043,0;266,3;2 309,3;1 367,3;3 676,6;412,8;62,8;11,5;55,6
;III.;2 078,2;250,5;2 328,7;1 346,7;3 675,4;397,8;63,4;10,8;56,5
;IV.;2 076,9;251,0;2 327,9;1 346,7;3 674,6;405,5;63,4;10,8;56,5
2013.;I.;2 013,8;282,4;2 296,2;1 376,4;3 672,6;467,3;62,5;12,3;54,8
;II.;2 107,0;235,7;2 342,8;1 326,1;3 668,9;393,3;63,9;10,1;57,4
;III.;2 144,6;228,6;2 373,2;1 292,8;3 666,0;371,9;64,7;9,6;58,5
;IV.;2 153,0;210,3;2 363,3;1 299,9;3 663,2;349,3;64,5;8,9;58,8
2014.;I.;2 185,2;192,0;2 377,1;1 282,4;3 659,6;352,7;65,0;8,1;59,7
;II.;2 207,8;191,5;2 399,3;1 256,0;3 655,3;328,0;65,6;8,0;60,4
;III.;2 252,6;172,5;2 425,1;1 227,0;3 652,0;297,6;66,4;7,1;61,7
;IV.;2 238,1;171,0;2 409,0;1 239,4;3 648,4;289,7;66,0;7,1;61,3
2015.;I.;2 220,9;186,3;2 407,2;1 236,8;3 644,0;309,7;66,1;7,7;60,9
;II.;2 278,0;163,5;2 441,5;1 199,8;3 641,3;274,5;67,1;6,7;62,6
;III.;2 319,3;151,8;2 471,1;1 170,2;3 641,3;257,0;67,9;6,1;63,7
;IV.;2 318,0;146,1;2 464,1;1 174,4;3 638,5;249,5;67,7;5,9;63,7
2016.;I.;2 314,2;147,0;2 461,2;1 172,6;3 633,8;253,9;67,7;6,0;63,7
;II.;2 359,1;131,4;2 490,5;1 140,8;3 631,4;215,9;68,6;5,3;65,0
;III.;2 384,2;121,6;2 505,9;1 126,7;3 632,6;204,6;69,0;4,9;65,6
;IV.;2 393,1;109,9;2 503,0;1 127,0;3 630,1;186,2;69,0;4,4;65,9
2017.;I.;2 378,0;108,9;2 486,9;1 136,0;3 622,9;195,8;68,6;4,4;65,6
;II.;2 417,6;100,1;2 517,7;1 096,5;3 614,1;179,7;69,7;4,0;66,9
;III.;2 437,2;90,9;2 528,1;1 080,8;3 608,9;163,7;70,1;3,6;67,5
;IV.;2 437,0;83,0;2 520,0;1 084,3;3 604,3;149,3;69,9;3,3;67,6
2018.;I.;2 427,2;88,3;2 515,5;1 088,6;3 604,2;156,4;69,8;3,5;67,3
;II.;2 443,1;88,2;2 531,3;1 074,8;3 606,1;150,2;70,2;3,5;67,7
;III.;2 458,1;85,7;2 543,8;1 061,8;3 605,6;150,3;70,6;3,4;68,2
;IV.;2 456,6;90,2;2 546,8;1 056,5;3 603,3;158,4;70,7;3,5;68,2
2019.;I.;2 472,8;89,9;2 562,6;1 040,1;3 602,8;155,2;71,1;3,5;68,6
;II.;2 472,4;87,9;2 560,3;1 046,1;3 606,4;154,8;71,0;3,4;68,6
;III.;2 487,4;85,1;2 572,5;1 035,8;3 608,3;149,1;71,3;3,3;68,9
;IV.;2 487,7;81,5;2 569,2;1 039,0;3 608,1;143,9;71,2;3,2;68,9
2020.;I.;2 457,6;92,0;2 549,6;1 057,9;3 607,5;168,9;70,7;3,6;68,1
;II.;2 432,9;111,9;2 544,9;1 063,1;3 608,0;207,5;70,5;4,4;67,4
;III.;2 477,6;110,2;2 587,9;1 021,1;3 609,0;187,8;71,7;4,3;68,7
;IV.;2 480,1;102,7;2 582,7;1 026,4;3 609,1;179,4;71,6;4,0;68,7
2021.;I.;2 456,1;106,2;2 562,3;1 034,6;3 596,9;198,3;71,2;4,1;68,3
;II.;2 463,8;104,4;2 568,2;1 016,6;3 584,8;184,1;71,6;4,1;68,7
;III.;2 479,1;98,5;2 577,6;1 000,9;3 578,5;161,7;72,0;3,8;69,3
;IV.;2 488,2;90,4;2 578,5;996,0;3 574,6;148,8;72,1;3,5;69,6
2022.;I.;2 481,9;99,2;2 581,1;991,0;3 572,1;154,1;72,3;3,8;69,5
;II.;2 491,6;87,3;2 578,9;991,2;3 570,1;136,6;72,2;3,4;69,8
;III.;2 503,2;97,3;2 600,5;966,4;3 566,9;144,9;72,9;3,7;70,2
;IV.;;;;;;;;;
nõ;;;;;;;;;;
2009.;I.;1 862,6;178,2;2 040,8;1 962,8;4 003,6;302,4;51,0;8,7;46,5
;II.;1 870,0;176,4;2 046,4;1 954,5;4 000,9;302,5;51,1;8,6;46,7
;III.;1 870,5;192,3;2 062,8;1 935,4;3 998,2;326,2;51,6;9,3;46,8
;IV.;1 870,8;195,6;2 066,4;1 929,1;3 995,5;330,4;51,7;9,5;46,8
2010.;I.;1 867,9;210,9;2 078,8;1 914,0;3 992,8;347,2;52,1;10,1;46,8
;II.;1 880,2;203,6;2 083,9;1 906,2;3 990,1;339,5;52,2;9,8;47,1
;III.;1 887,2;209,0;2 096,2;1 891,3;3 987,4;346,7;52,6;10,0;47,3
;IV.;1 884,1;205,9;2 090,0;1 894,8;3 984,7;347,7;52,4;9,9;47,3
2011.;I.;1 861,8;217,2;2 079,1;1 903,0;3 982,1;365,3;52,2;10,4;46,8
;II.;1 877,0;213,2;2 090,2;1 889,1;3 979,4;357,5;52,5;10,2;47,2
;III.;1 888,9;213,0;2 101,9;1 874,7;3 976,6;366,2;52,9;10,1;47,5
;IV.;1 893,5;212,4;2 105,9;1 865,8;3 971,7;366,4;53,0;10,1;47,7
2012.;I.;1 870,7;225,5;2 096,2;1 868,6;3 964,8;380,1;52,9;10,8;47,2
;II.;1 907,2;205,7;2 112,9;1 848,0;3 960,9;370,3;53,3;9,7;48,2
;III.;1 941,4;203,2;2 144,6;1 813,1;3 957,6;375,5;54,2;9,5;49,1
;IV.;1 917,8;208,4;2 126,2;1 828,4;3 954,6;388,1;53,8;9,8;48,5
2013.;I.;1 892,8;212,3;2 105,1;1 845,2;3 950,3;392,0;53,3;10,1;47,9
;II.;1 921,3;204,1;2 125,3;1 819,2;3 944,5;379,2;53,9;9,6;48,7
;III.;1 937,1;200,3;2 137,4;1 801,9;3 939,3;362,8;54,3;9,4;49,2
;IV.;1 947,5;187,2;2 134,6;1 799,5;3 934,1;345,1;54,3;8,8;49,5
2014.;I.;1 980,0;171,1;2 151,0;1 777,2;3 928,3;329,2;54,8;8,0;50,4
;II.;1 988,6;167,3;2 155,8;1 766,3;3 922,1;309,1;55,0;7,8;50,7
;III.;2 017,6;158,9;2 176,5;1 740,1;3 916,6;294,5;55,6;7,3;51,5
;IV.;2 020,7;147,3;2 168,0;1 742,6;3 910,7;284,0;55,4;6,8;51,7
2015.;I.;2 014,9;161,0;2 175,9;1 727,9;3 903,9;297,7;55,7;7,4;51,6
;II.;2 046,0;146,8;2 192,8;1 705,4;3 898,2;261,4;56,3;6,7;52,5
;III.;2 071,1;140,7;2 211,7;1 683,4;3 895,1;244,7;56,8;6,4;53,2
;IV.;2 072,2;134,4;2 206,6;1 682,8;3 889,4;240,5;56,7;6,1;53,3
2016.;I.;2 076,3;125,6;2 201,8;1 679,9;3 881,7;235,1;56,7;5,7;53,5
;II.;2 117,3;102,6;2 219,9;1 656,4;3 876,4;200,3;57,3;4,6;54,6
;III.;2 136,8;104,6;2 241,4;1 633,2;3 874,6;193,1;57,8;4,7;55,2
;IV.;2 147,8;95,0;2 242,8;1 626,7;3 869,6;186,8;58,0;4,2;55,5
2017.;I.;2 120,0;97,8;2 217,7;1 643,4;3 861,2;198,8;57,4;4,4;54,9
;II.;2 123,4;96,2;2 219,6;1 631,3;3 850,9;188,6;57,6;4,3;55,1
;III.;2 138,0;97,3;2 235,3;1 607,9;3 843,2;182,4;58,2;4,4;55,6
;IV.;2 142,4;92,2;2 234,6;1 601,5;3 836,0;171,0;58,3;4,1;55,8
2018.;I.;2 143,4;89,4;2 232,8;1 599,4;3 832,2;168,4;58,3;4,0;55,9
;II.;2 163,8;76,9;2 240,7;1 589,4;3 830,1;163,5;58,5;3,4;56,5
;III.;2 169,4;92,4;2 261,8;1 564,3;3 826,1;164,7;59,1;4,1;56,7
;IV.;2 164,0;76,1;2 240,1;1 580,9;3 821,0;149,8;58,6;3,4;56,6
2019.;I.;2 158,2;75,1;2 233,3;1 583,9;3 817,3;147,1;58,5;3,4;56,5
;II.;2 170,7;67,3;2 238,0;1 576,9;3 814,9;142,6;58,7;3,0;56,9
;III.;2 166,8;77,3;2 244,0;1 567,4;3 811,4;154,8;58,9;3,4;56,8
;IV.;2 162,3;71,6;2 233,9;1 573,0;3 806,9;147,9;58,7;3,2;56,8
2020.;I.;2 149,2;81,0;2 230,1;1 573,7;3 803,9;167,8;58,6;3,6;56,5
;II.;2 123,4;102,2;2 225,7;1 576,1;3 801,7;228,2;58,5;4,6;55,9
;III.;2 149,6;97,6;2 247,2;1 552,1;3 799,2;192,4;59,1;4,3;56,6
;IV.;2 142,5;92,7;2 235,2;1 561,2;3 796,4;187,1;58,9;4,1;56,4
2021.;I.;2 111,5;108,5;2 220,0;1 565,1;3 785,1;237,1;58,7;4,9;55,8
;II.;2 155,5;93,6;2 249,0;1 526,6;3 775,7;181,7;59,6;4,2;57,1
;III.;2 184,3;91,2;2 275,6;1 497,1;3 772,7;160,5;60,3;4,0;57,9
;IV.;2 199,7;89,9;2 289,7;1 478,5;3 768,1;152,8;60,8;3,9;58,4
2022.;I.;2 192,4;81,9;2 274,3;1 490,9;3 765,2;144,4;60,4;3,6;58,2
;II.;2 201,6;69,6;2 271,2;1 490,1;3 761,4;125,2;60,4;3,1;58,5
;III.;2 209,0;81,0;2 289,9;1 466,6;3 756,5;134,8;61,0;3,5;58,8
;IV.;;;;;;;;;
