20.2.1.11. A 15–64 éves népesség gazdasági aktivitása nemenként, negyedévente;;;;;;;;;;
Év;Negyedév;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
2013.;I.;3 876,1;493,6;4 369,6;2 298,6;6 668,2;852,8;65,5;11,3;58,1
;II.;3 995,2;438,8;4 434,0;2 219,7;6 653,7;762,2;66,6;9,9;60,0
;III.;4 048,9;428,3;4 477,2;2 162,4;6 639,6;727,0;67,4;9,6;61,0
;IV.;4 065,9;397,0;4 462,9;2 162,9;6 625,7;687,7;67,4;8,9;61,4
2014.;I.;4 135,1;362,8;4 497,9;2 112,9;6 610,8;676,6;68,0;8,1;62,6
;II.;4 165,5;358,0;4 523,5;2 071,6;6 595,1;631,6;68,6;7,9;63,2
;III.;4 238,9;330,6;4 569,4;2 010,8;6 580,2;586,2;69,4;7,2;64,4
;IV.;4 227,3;317,5;4 544,8;2 020,1;6 564,9;566,3;69,2;7,0;64,4
2015.;I.;4 205,1;346,8;4 551,9;1 996,5;6 548,4;598,4;69,5;7,6;64,2
;II.;4 290,5;309,1;4 599,6;1 935,5;6 535,2;528,7;70,4;6,7;65,7
;III.;4 353,7;291,6;4 645,3;1 880,9;6 526,2;496,5;71,2;6,3;66,7
;IV.;4 352,2;279,6;4 631,8;1 880,1;6 511,8;483,7;71,1;6,0;66,8
2016.;I.;4 352,9;272,0;4 624,9;1 869,2;6 494,1;483,9;71,2;5,9;67,0
;II.;4 438,2;233,3;4 671,5;1 809,6;6 481,1;411,5;72,1;5,0;68,5
;III.;4 476,1;225,3;4 701,4;1 773,3;6 474,7;393,3;72,6;4,8;69,1
;IV.;4 492,6;204,3;4 696,9;1 764,8;6 461,7;368,0;72,7;4,3;69,5
2017.;I.;4 452,6;206,2;4 658,8;1 783,6;6 442,5;389,8;72,3;4,4;69,1
;II.;4 492,3;196,1;4 688,4;1 733,5;6 422,0;360,1;73,0;4,2;70,0
;III.;4 526,9;187,9;4 714,9;1 690,8;6 405,7;341,1;73,6;4,0;70,7
;IV.;4 529,7;175,2;4 704,9;1 685,7;6 390,6;315,3;73,6;3,7;70,9
2018.;I.;4 517,8;177,5;4 695,2;1 688,2;6 383,4;317,6;73,6;3,8;70,8
;II.;4 550,6;164,8;4 715,4;1 662,3;6 377,7;305,4;73,9;3,5;71,4
;III.;4 566,2;177,7;4 743,9;1 621,7;6 365,6;307,5;74,5;3,7;71,7
;IV.;4 555,7;165,9;4 721,5;1 629,7;6 351,2;303,6;74,3;3,5;71,7
2019.;I.;4 564,0;164,1;4 728,1;1 612,3;6 340,4;296,6;74,6;3,5;72,0
;II.;4 566,1;154,5;4 720,6;1 613,5;6 334,0;290,7;74,5;3,3;72,1
;III.;4 575,8;160,5;4 736,3;1 587,4;6 323,7;295,4;74,9;3,4;72,4
;IV.;4 567,9;152,3;4 720,2;1 590,1;6 310,3;285,8;74,8;3,2;72,4
2020.;I.;4 527,4;171,0;4 698,4;1 599,0;6 297,4;330,7;74,6;3,6;71,9
;II.;4 464,2;213,8;4 678,0;1 608,0;6 286,1;428,7;74,4;4,6;71,0
;III.;4 544,7;206,0;4 750,7;1 523,9;6 274,6;368,5;75,7;4,3;72,4
;IV.;4 537,9;193,5;4 731,5;1 531,5;6 263,0;357,8;75,5;4,1;72,5
2021.;I.;4 476,3;210,4;4 686,7;1 548,5;6 235,2;421,2;75,2;4,5;71,8
;II.;4 524,4;195,1;4 719,5;1 492,4;6 211,8;356,9;76,0;4,1;72,8
;III.;4 560,8;187,3;4 748,0;1 448,9;6 196,9;315,1;76,6;3,9;73,6
;IV.;4 580,0;177,6;4 757,6;1 425,4;6 183,0;293,3;76,9;3,7;74,1
2022.;I.;4 568,6;179,0;4 747,6;1 429,2;6 176,8;291,3;76,9;3,8;74,0
;II.;4 586,4;153,9;4 740,3;1 432,4;6 172,8;255,1;76,8;3,2;74,3
;III.;4 601,2;175,8;4 777,0;1 388,3;6 165,3;274,0;77,5;3,7;74,6
;IV.;;;;;;;;;
Ebbõl:;;;;;;;;;;
férfi;;;;;;;;;;
2009.;I.;1 998,0;225,4;2 223,3;1 082,9;3 306,2;352,9;67,2;10,1;60,4
;II.;2 022,1;223,9;2 246,0;1 058,9;3 304,9;338,7;68,0;10,0;61,2
;III.;2 009,4;238,8;2 248,1;1 055,4;3 303,6;363,8;68,1;10,6;60,8
;IV.;2 000,3;239,1;2 239,4;1 062,8;3 302,2;371,6;67,8;10,7;60,6
2010.;I.;1 936,0;282,9;2 218,9;1 082,0;3 300,9;420,3;67,2;12,7;58,7
;II.;1 973,4;266,8;2 240,2;1 059,4;3 299,6;393,5;67,9;11,9;59,8
;III.;2 003,1;248,7;2 251,8;1 046,5;3 298,3;373,0;68,3;11,0;60,7
;IV.;1 993,1;247,9;2 241,0;1 056,0;3 296,9;378,1;68,0;11,1;60,5
2011.;I.;1 951,2;274,8;2 226,1;1 069,5;3 295,6;425,2;67,5;12,3;59,2
;II.;2 004,7;245,1;2 249,8;1 044,4;3 294,3;389,3;68,3;10,9;60,9
;III.;2 032,1;243,2;2 275,3;1 017,7;3 292,9;388,1;69,1;10,7;61,7
;IV.;2 021,9;242,5;2 264,4;1 030,3;3 294,7;389,4;68,7;10,7;61,4
2012.;I.;1 978,9;280,1;2 258,9;1 039,6;3 298,5;428,4;68,5;12,4;60,0
;II.;2 021,9;265,9;2 287,7;1 006,3;3 294,0;410,7;69,4;11,6;61,4
;III.;2 058,9;250,3;2 309,2;980,8;3 290,0;396,3;70,2;10,8;62,6
;IV.;2 057,6;251,0;2 308,6;977,7;3 286,3;403,2;70,3;10,9;62,6
2013.;I.;1 996,3;282,1;2 278,3;1 003,0;3 281,4;465,0;69,4;12,4;60,8
;II.;2 087,9;235,6;2 323,5;951,5;3 275,0;388,6;70,9;10,1;63,8
;III.;2 125,3;228,3;2 353,7;915,4;3 269,0;368,0;72,0;9,7;65,0
;IV.;2 132,0;210,1;2 342,1;921,1;3 263,1;345,0;71,8;9,0;65,3
2014.;I.;2 167,3;192,0;2 359,2;897,4;3 256,7;350,4;72,4;8,1;66,5
;II.;2 189,3;190,8;2 380,1;869,6;3 249,8;325,4;73,2;8,0;67,4
;III.;2 234,8;172,1;2 406,9;836,5;3 243,4;295,7;74,2;7,2;68,9
;IV.;2 221,2;170,5;2 391,7;845,1;3 236,8;286,9;73,9;7,1;68,6
2015.;I.;2 204,8;185,8;2 390,6;839,2;3 229,8;305,5;74,0;7,8;68,3
;II.;2 261,1;162,7;2 423,8;800,9;3 224,6;272,0;75,2;6,7;70,1
;III.;2 298,1;151,0;2 449,1;772,4;3 221,6;253,6;76,0;6,2;71,3
;IV.;2 295,6;145,6;2 441,2;774,4;3 215,6;246,6;75,9;6,0;71,4
2016.;I.;2 292,7;146,7;2 439,4;769,0;3 208,4;251,2;76,0;6,0;71,5
;II.;2 336,1;131,1;2 467,2;736,6;3 203,8;213,2;77,0;5,3;72,9
;III.;2 356,4;121,6;2 478,0;724,5;3 202,5;203,0;77,4;4,9;73,6
;IV.;2 364,9;109,9;2 474,8;722,8;3 197,6;183,8;77,4;4,4;74,0
2017.;I.;2 352,9;108,7;2 461,6;727,4;3 189,0;193,8;77,2;4,4;73,8
;II.;2 389,3;100,1;2 489,4;690,2;3 179,7;175,8;78,3;4,0;75,1
;III.;2 408,6;90,8;2 499,5;673,3;3 172,7;161,1;78,8;3,6;75,9
;IV.;2 408,5;83,0;2 491,5;674,9;3 166,4;147,2;78,7;3,3;76,1
2018.;I.;2 398,8;88,3;2 487,1;677,8;3 164,9;152,9;78,6;3,6;75,8
;II.;2 409,7;88,1;2 497,9;666,5;3 164,4;146,5;78,9;3,5;76,2
;III.;2 422,2;85,6;2 507,8;652,6;3 160,4;147,7;79,3;3,4;76,6
;IV.;2 415,5;90,0;2 505,5;649,5;3 155,0;156,7;79,4;3,6;76,6
2019.;I.;2 434,2;89,6;2 523,8;628,0;3 151,8;153,3;80,1;3,5;77,2
;II.;2 429,0;87,3;2 516,3;635,6;3 152,0;152,1;79,8;3,5;77,1
;III.;2 440,2;83,4;2 523,6;626,1;3 149,7;143,9;80,1;3,3;77,5
;IV.;2 440,1;81,1;2 521,1;624,3;3 145,5;141,0;80,2;3,2;77,6
2020.;I.;2 414,8;91,4;2 506,2;634,5;3 140,6;167,2;79,8;3,6;76,9
;II.;2 385,2;111,8;2 497,0;639,7;3 136,7;205,1;79,6;4,5;76,0
;III.;2 431,3;108,7;2 540,0;593,0;3 133,0;183,3;81,1;4,3;77,6
;IV.;2 432,6;102,0;2 534,7;594,5;3 129,1;175,8;81,0;4,0;77,7
2021.;I.;2 407,0;104,0;2 510,9;604,9;3 115,8;193,2;80,6;4,1;77,2
;II.;2 409,8;103,7;2 513,4;590,2;3 103,7;181,3;81,0;4,1;77,6
;III.;2 422,3;97,1;2 519,4;575,9;3 095,3;158,8;81,4;3,9;78,3
;IV.;2 429,4;89,1;2 518,5;570,7;3 089,2;145,8;81,5;3,5;78,6
2022.;I.;2 424,0;98,3;2 522,3;564,7;3 087,1;151,2;81,7;3,9;78,5
;II.;2 432,5;85,8;2 518,3;567,7;3 086,0;133,4;81,6;3,4;78,8
;III.;2 439,2;96,2;2 535,4;547,6;3 083,1;141,5;82,2;3,8;79,1
;IV.;;;;;;;;;
nõ;;;;;;;;;;
2009.;I.;1 850,8;178,2;2 029,0;1 425,3;3 454,2;300,6;58,7;8,8;53,6
;II.;1 857,2;176,2;2 033,3;1 417,8;3 451,1;301,0;58,9;8,7;53,8
;III.;1 859,2;191,5;2 050,8;1 397,2;3 448,0;324,4;59,5;9,3;53,9
;IV.;1 859,1;195,3;2 054,3;1 390,5;3 444,9;329,4;59,6;9,5;54,0
2010.;I.;1 854,9;210,9;2 065,8;1 375,9;3 441,8;345,5;60,0;10,2;53,9
;II.;1 866,7;203,6;2 070,3;1 368,3;3 438,6;338,1;60,2;9,8;54,3
;III.;1 872,9;209,0;2 081,9;1 353,7;3 435,5;345,1;60,6;10,0;54,5
;IV.;1 870,8;205,8;2 076,6;1 355,8;3 432,4;346,9;60,5;9,9;54,5
2011.;I.;1 848,7;217,1;2 065,8;1 363,5;3 429,3;364,1;60,2;10,5;53,9
;II.;1 862,6;213,1;2 075,7;1 350,4;3 426,2;355,4;60,6;10,3;54,4
;III.;1 873,2;212,9;2 086,2;1 336,9;3 423,0;363,8;60,9;10,2;54,7
;IV.;1 878,3;212,0;2 090,3;1 327,7;3 418,0;363,8;61,2;10,1;55,0
2012.;I.;1 856,7;225,0;2 081,7;1 328,9;3 410,6;378,4;61,0;10,8;54,4
;II.;1 893,0;204,7;2 097,7;1 307,0;3 404,7;366,5;61,6;9,8;55,6
;III.;1 927,0;202,4;2 129,4;1 269,6;3 399,0;372,5;62,6;9,5;56,7
;IV.;1 903,2;207,7;2 110,9;1 282,6;3 393,4;384,6;62,2;9,8;56,1
2013.;I.;1 879,8;211,5;2 091,3;1 295,5;3 386,8;387,8;61,7;10,1;55,5
;II.;1 907,3;203,2;2 110,5;1 268,1;3 378,7;373,6;62,5;9,6;56,5
;III.;1 923,6;199,9;2 123,5;1 247,1;3 370,6;359,0;63,0;9,4;57,1
;IV.;1 933,9;186,9;2 120,8;1 241,8;3 362,6;342,7;63,1;8,8;57,5
2014.;I.;1 967,9;170,8;2 138,7;1 215,4;3 354,1;326,2;63,8;8,0;58,7
;II.;1 976,2;167,2;2 143,4;1 202,0;3 345,3;306,2;64,1;7,8;59,1
;III.;2 004,1;158,5;2 162,5;1 174,3;3 336,8;290,5;64,8;7,3;60,1
;IV.;2 006,2;146,9;2 153,1;1 175,0;3 328,1;279,5;64,7;6,8;60,3
2015.;I.;2 000,3;161,0;2 161,3;1 157,3;3 318,6;292,9;65,1;7,4;60,3
;II.;2 029,4;146,4;2 175,9;1 134,7;3 310,5;256,7;65,7;6,7;61,3
;III.;2 055,6;140,6;2 196,2;1 108,5;3 304,7;243,0;66,5;6,4;62,2
;IV.;2 056,6;134,0;2 190,6;1 105,6;3 296,2;237,1;66,5;6,1;62,4
2016.;I.;2 060,2;125,3;2 185,5;1 100,1;3 285,6;232,7;66,5;5,7;62,7
;II.;2 102,1;102,2;2 204,3;1 073,0;3 277,3;198,3;67,3;4,6;64,1
;III.;2 119,7;103,7;2 223,4;1 048,8;3 272,2;190,2;67,9;4,7;64,8
;IV.;2 127,7;94,4;2 222,1;1 041,9;3 264,1;184,2;68,1;4,2;65,2
2017.;I.;2 099,8;97,5;2 197,2;1 056,3;3 253,5;196,0;67,5;4,4;64,5
;II.;2 103,0;96,1;2 199,0;1 043,3;3 242,3;184,2;67,8;4,4;64,9
;III.;2 118,3;97,1;2 215,4;1 017,6;3 233,0;180,0;68,5;4,4;65,5
;IV.;2 121,2;92,2;2 213,3;1 010,9;3 224,2;168,1;68,6;4,2;65,8
2018.;I.;2 118,9;89,2;2 208,1;1 010,4;3 218,5;164,7;68,6;4,0;65,8
;II.;2 140,9;76,7;2 217,5;995,7;3 213,3;158,9;69,0;3,5;66,6
;III.;2 144,1;92,1;2 236,1;969,0;3 205,2;159,8;69,8;4,1;66,9
;IV.;2 140,2;75,9;2 216,1;980,2;3 196,2;146,9;69,3;3,4;67,0
2019.;I.;2 129,8;74,6;2 204,3;984,3;3 188,6;143,3;69,1;3,4;66,8
;II.;2 137,1;67,2;2 204,3;977,8;3 182,1;138,6;69,3;3,0;67,2
;III.;2 135,7;77,1;2 212,7;961,2;3 174,0;151,5;69,7;3,5;67,3
;IV.;2 127,9;71,2;2 199,1;965,7;3 164,8;144,8;69,5;3,2;67,2
2020.;I.;2 112,6;79,6;2 192,3;964,5;3 156,8;163,6;69,4;3,6;66,9
;II.;2 079,0;102,0;2 181,1;968,3;3 149,4;223,6;69,3;4,7;66,0
;III.;2 113,5;97,3;2 210,7;930,9;3 141,6;185,2;70,4;4,4;67,3
;IV.;2 105,3;91,5;2 196,8;937,0;3 133,8;182,0;70,1;4,2;67,2
2021.;I.;2 069,4;106,4;2 175,8;943,6;3 119,4;227,9;69,7;4,9;66,3
;II.;2 114,6;91,4;2 206,0;902,1;3 108,2;175,6;71,0;4,1;68,0
;III.;2 138,5;90,1;2 228,6;873,0;3 101,6;156,3;71,9;4,0;68,9
;IV.;2 150,6;88,5;2 239,1;854,7;3 093,7;147,4;72,4;4,0;69,5
2022.;I.;2 144,6;80,6;2 225,3;864,4;3 089,7;140,1;72,0;3,6;69,4
;II.;2 153,9;68,1;2 222,0;864,7;3 086,8;121,7;72,0;3,1;69,8
;III.;2 162,0;79,6;2 241,6;840,6;3 082,3;132,6;72,7;3,6;70,1
;IV.;;;;;;;;;
