21.1.1.28. Nemzeti adólista – az adók és társadalombiztosítási hozzájárulások nemzeti osztályozásának teljes részletezése – Helyi önkormányzat [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Adónév a nemzeti besorolás szerint;Gazdasági funkció;Alkohol- és dohány-, valamint környezetvédelmi és ingatlanadók;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2122D;Importra kivetett általános forgalmi adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122E;Meghatározott szolgáltatásokra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122F;Importmonopóliumok nyeresége;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214;Termékadók a hozzáadottérték-adók és az importadók kivételével;;;48 572;80 682;109 233;143 252;193 955;213 172;258 123;288 103;321 911;367 251;391 239;440 900;477 917;527 500;523 844;477 083;487 041;481 751;500 868;523 125;584 380;608 982;638 731;711 276;788 308;729 000;754 982
D.214A;Jövedéki adók és fogyasztási adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214A_01;Fogyasztási és jövedéki adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214A_02;Környezetvédelmi termékdíj;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214A_03;Energiaadó;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214B;Bélyegilletékek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C;Pénzügyi és tõkemûveletekre kivetett adók;;;10 190;14 176;16 406;19 411;22 265;26 349;31 663;35 500;49 916;56 716;57 162;60 742;50 783;62 425;51 689;33 990;29 733;10 720;–;–;–;–;–;–;–;–;–
D.214C_01;Adásvételi illeték;KS ;O;10 190;14 176;16 406;19 411;22 265;26 349;31 663;35 500;49 916;56 716;57 162;60 742;50 783;62 425;51 689;33 990;29 733;10 720;–;–;–;–;–;–;–;–;–
D.214D;Gépjármûnyilvántartási adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214D_01;Gépjármû regisztrációs adó;C ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E;Szórakoztatóipari tevékenységekre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E_01;Nemzeti kulturális járulék;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E_02;Kulturális adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E_03;Reklámadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214F;Lottójátékra, szerencsejátékra és fogadásra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214F_01;Játékadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G;Biztosítási díjakra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G_01;Baleseti adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G_02;Biztosítási adó ;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G_03;Tûzvédelmi hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H;Egyéb, meghatározott szolgáltatásokra kivetett adók;;;192;376;470;537;618;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_01;Turisztikai hozzájárulás;C ;;192;376;470;537;618;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_02;Távközlési adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_03;Hulladéklerakási járulék;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_04;Turizmusfejlesztési hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_05;Pénzügyi tranzakciós adó ;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I;Általános forgalmi adók;;;38 190;66 130;92 357;123 304;171 072;186 823;226 460;252 603;271 995;310 535;334 077;380 158;427 134;465 075;472 155;443 093;457 308;471 031;500 868;523 125;584 380;608 982;638 731;711 276;788 308;729 000;754 982
D.214I_01;Helyi iparûzési adó;KIC ;;38 190;66 130;92 357;123 304;171 072;186 823;226 460;252 603;271 995;310 535;334 077;380 158;427 134;465 075;472 155;443 093;457 308;471 031;500 868;523 125;584 380;608 982;638 731;711 276;788 308;729 000;754 982
D.214I_02;Egyszerûsített vállalkozási adó (EVA);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_03;Innovációs járulék;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_04;Közfinanszírozott gyógyszerek forgalma után fizetett adó;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_05;Ágazati különadók;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_06;Pénzügyi szervezetek különadója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_07;Népegészségügyi termékadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_08;Szénhidrogén készletezési díj;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_09;Forgalmazók és befektetési alapok különadója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_10;Dohányipari vállalkozások egészségügyi hozzájárulása;C ;AT;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_11;Kiskereskedelmi adó;KS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214J;Fiskális monopóliumok nyeresége;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214K;Exportvámok és az exportra kivetett monetáris kompenzációs összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L;Egyéb, máshová nem sorolt termékadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_01;Bérfõzetési szeszadó;C ;AT;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_02;Erdõfenntartási járulék;C ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_03;Tenyésztési hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_04;Halászatfejlesztési hozzájárulás;C ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_05;Vadvédelmi hozzájárulás;C ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_06;Cukorilleték;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_07;Energiaipari befizetések (MAVIR);C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29;Egyéb termelési adók;;;7 334;15 271;18 922;22 314;28 254;35 523;40 863;44 702;60 175;75 372;84 698;90 242;106 977;115 684;120 538;130 161;139 473;161 016;138 744;139 775;148 143;156 333;164 572;167 871;171 195;157 090;166 442
D.29A;Földekre, épületekre vagy egyéb építményekre kivetett adók;;;5 320;10 070;12 993;15 504;19 715;22 090;30 671;34 212;39 821;44 774;50 881;54 878;62 868;71 735;77 247;82 401;91 355;113 871;122 135;123 158;131 091;139 641;147 156;149 442;151 689;156 697;166 090
D.29A_01;Építményadó;KS ;RP;4 144;8 313;10 752;13 056;16 629;19 215;26 259;29 178;34 098;38 240;44 440;47 895;54 556;61 916;66 683;71 025;80 987;96 318;102 719;105 022;111 963;117 521;123 130;126 277;127 594;130 529;137 766
D.29A_02;Telekadó;KS ;RP;813;1 296;1 717;1 811;2 262;1 983;3 242;3 943;4 476;5 346;5 184;5 705;6 900;8 328;9 114;9 861;10 310;17 523;19 395;17 938;19 102;22 112;24 018;23 165;24 095;26 168;28 324
D.29A_03;Épületek utáni idegenforgalmi adó;KS ;RP;363;461;524;637;824;892;1 170;1 091;1 247;1 188;1 257;1 278;1 412;1 491;1 450;1 515;58;30;21;198;26;8;8;–;–;–;–
D.29A_04;Közmûvezetékek utáni adó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B;Állóeszközök használatára kivetett adók;;;1 497;4 445;5 034;5 716;7 185;12 241;9 000;9 334;19 206;29 403;31 636;32 934;41 657;42 251;40 468;45 118;46 576;46 488;16 004;16 173;16 660;16 620;17 401;18 192;19 224;125;–
D.29B_01;Gépjármûadó (központi);KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_02;Gépjármûadó (helyi);KS ;T;1 497;4 445;5 034;5 716;7 185;12 241;9 000;9 334;19 206;29 403;31 636;32 934;41 657;42 251;40 468;45 118;46 576;46 488;16 004;16 173;16 660;16 620;17 401;18 192;19 224;125;–
D.29B_03;Cégautóadó;KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_04;Cukortermelés szerkezeti átalakítása miatti illeték;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_05;Gépjármûadó (túlsúlydíj);KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C;Az összbértömeg után kivetett adók és létszámadók;;;517;756;895;1 094;1 354;1 192;1 192;1 156;1 148;1 164;1 153;1 268;1 261;1 325;1 291;1 170;102;16;2;–;–;–;–;–;–;–;–
D.29C_01;Rehabilitációs hozzájárulás;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_02;Szakképzési hozzájárulás;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_03;Kommunális adó;LEYRS;;517;756;895;1 094;1 354;1 192;1 192;1 156;1 148;1 164;1 153;1 268;1 261;1 325;1 291;1 170;102;16;2;–;–;–;–;–;–;–;–
D.29C_04;Gyógyszerismertetõk után fizetett adó;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_05;Kisadózók tételes adója (KATA);KISE;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_06;Kisvállalati adó (KIVA);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29D;Nemzetközi tranzakciókra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E;Üzleti vagy szakmai engedélyekért fizetett összegek;;;–;–;–;–;–;–;–;–;–;–;965;1 027;907;–;1 162;1 107;1 095;293;–;–;–;–;–;–;–;–;–
D.29E_01;Koncessziós díj;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_02;Eljárási illeték;KS ;;–;–;–;–;–;–;–;–;–;–;965;1 027;907;–;1 162;1 107;1 095;293;–;–;–;–;–;–;–;–;–
D.29E_03;Rendkívüli tõkeadók;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_04;Tagdíjbevétel (BEVA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_05;Tagdíjbevétel (OBA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_06;Tagdíjbevétel (Szanálási Alap);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_07;Tagdíjbevétel (SZHTKA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_08;Tagdíjbevétel (Kárrendezési Alap);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_09;Koncessziós díj (dohányboltok);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_10;Tagdíjbevétel (Pénztárak Garancia Alapja);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_11;Hitelintézetek járványügyi különadója;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29F;Környezetszennyezésre kivetett adók;;;–;–;–;–;–;–;–;–;–;31;63;135;284;373;370;365;345;348;603;444;392;72;15;237;282;268;352
D.29F_01;Környezetterhelési díj;C ;P ;–;–;–;–;–;–;–;–;–;31;63;135;284;373;370;365;345;348;603;444;392;72;15;237;282;268;352
D.29F_02;Széndioxid kvóta értékesítés bevétele;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29G;Héa-alulkompenzáció (átalányrendszer);;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H;Egyéb, máshová nem sorolt termelési adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H_01;Gyógyszertári szolidaritási díj;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H_02;Nukleáris hozzájárulás;KS ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.5;Folyó jövedelem-, vagyon-, stb. adók;;;96 774;107 377;142 998;187 728;202 989;256 510;302 237;349 609;427 332;483 352;470 810;492 645;528 755;39 541;41 170;44 182;45 582;46 188;34 857;35 221;37 634;39 862;42 399;44 236;46 339;19 808;23 040
D.51;Jövedelemadók;;;93 629;101 274;135 652;179 090;193 118;244 456;288 801;335 545;406 894;456 025;440 105;460 117;492 303;114;94;93;82;68;68;42;59;51;41;33;27;36;38
D.51M;Egyének vagy háztartások jövedelmére kivetett adók, beleértve az eszköztartási nyereséget;;;93 629;101 274;135 652;179 090;193 118;244 456;288 801;335 545;406 894;456 025;440 105;460 117;492 303;114;94;93;82;68;68;42;45;46;35;33;27;36;35
D.51M_01;Személyi jövedelemadó (szja);SPLIT1 ;;93 629;101 274;135 652;179 090;193 118;244 456;288 801;335 545;406 894;456 025;440 105;460 117;492 303;114;94;93;82;68;68;42;45;46;35;33;27;36;35
D.51A;Egyének vagy háztartások jövedelmére kivetett adók, kivéve az eszköztartási nyereséget;;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C1;Az egyéneknél vagy háztartásokban jelentkezõ eszköztartási nyereségre kivetett adók;;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51O;Vállalatok jövedelmére vagy nyereségére kivetett adók, beleértve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_01;Társasági nyereségadó;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_02;Különadó;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_03;Pénzintézetek különadója;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_04;Hitelintézeti járadék;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51B;Vállalatok jövedelmére vagy nyereségére kivetett adók, kivéve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C2;Vállalatok eszköztartási nyereségére kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C3;Egyéb, eszköztartási nyereségre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C;Eszköztartási nyereségre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51D;Lottójáték vagy szerencsejáték nyereményeire kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E;Egyéb, máshová nem sorolt jövedelemadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;14;5;6;0;0;0;3
D.51E_01;Sávos kockázatviselés tb alap;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E_02;Energiaellátók különadója;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E_03;Települési adó (jövedelmi típusú);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;14;5;6;0;0;0;3
D.59;Egyéb folyó adók;;;3 145;6 103;7 346;8 638;9 871;12 054;13 436;14 064;20 438;27 327;30 705;32 528;36 452;39 427;41 076;44 089;45 500;46 120;34 789;35 179;37 575;39 811;42 358;44 203;46 312;19 772;23 002
D.59A;Tõkére kivetett folyó adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;227;743;816;534;453;443;474
D.59A_01;Települési adó (egyéb típusú);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;227;743;816;534;453;443;474
D.59B;Fejadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59C;Költségadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D;Háztartások által engedélyekért fizetett adók;;;981;2 622;2 899;3 251;4 267;4 554;5 072;5 262;10 814;16 567;18 791;19 661;21 965;23 500;24 804;27 453;26 954;24 608;12 099;12 231;12 693;12 668;13 148;13 744;14 520;109;12
D.59D_01;Gépjármûadó;C ;T;975;2 612;2 876;3 126;4 259;4 544;5 062;5 250;10 803;16 538;17 541;18 332;20 775;23 462;23 286;25 994;25 497;24 172;12 014;12 202;12 669;12 642;13 127;13 724;14 502;94;–
D.59D_02;Eljárási illeték;KS ;;–;–;–;–;–;–;–;–;–;–;1 229;1 307;1 154;..;1 480;1 408;1 393;373;0;5;1;–;–;–;–;–;–
D.59D_03;Egyéb átengedett központi adók;C ;;6;10;23;125;8;10;10;12;11;29;21;22;36;38;38;51;64;63;85;24;23;26;21;20;18;15;12
D.59E;Nemzetközi tranzakciókra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F;Egyéb, máshová nem sorolt folyó adók;;;2 164;3 481;4 447;5 387;5 604;7 500;8 364;8 802;9 624;10 760;11 914;12 867;14 487;15 927;16 272;16 636;18 546;21 512;22 690;22 948;24 655;26 400;28 394;29 925;31 339;19 220;22 516
D.59F_01;Háztartások kommunális adója;KS ;;1 305;1 910;2 262;2 765;3 422;4 557;5 087;5 578;6 308;7 161;7 954;8 275;9 069;9 739;10 077;10 124;11 099;13 161;13 175;13 002;13 451;14 589;14 765;14 621;14 566;14 770;15 047
D.59F_02;Idegenforgalmi adó;C ;;859;1 571;2 185;2 622;2 182;2 943;3 277;3 224;3 316;3 549;3 858;4 357;4 935;5 468;5 481;5 798;6 761;7 682;8 411;9 126;10 475;11 676;13 602;14 863;16 249;3 953;6 815
D.59F_03;Környezetterhelési díj;KS ;P ;–;–;–;–;–;–;–;–;–;50;102;235;483;720;714;714;686;669;1 104;820;729;135;27;441;524;497;654
D.91;Tõkeadók;;;1 273;1 333;1 826;2 116;2 392;2 730;3 318;4 272;4 340;6 453;7 932;8 124;5 830;5 060;4 042;2 743;2 805;759;–;10;217;269;273;281;224;178;218
D.91A;Tõketranszferekre kivetett adók;;;1 273;1 333;1 826;2 116;2 392;2 730;3 318;4 272;4 340;6 453;7 932;8 124;5 830;5 060;4 042;2 743;2 805;759;–;–;–;–;–;–;–;–;–
D.91A_01;Örökösödési és ajándékozási illeték;KS ;O;1 273;1 333;1 826;2 116;2 392;2 730;3 318;4 272;4 340;6 453;7 932;8 020;5 696;4 889;4 039;2 743;2 805;759;–;–;–;–;–;–;–;–;–
D.91A_02;Luxusadó;KS ;O;–;–;–;–;–;–;–;–;–;–;–;104;134;171;3;–;–;–;–;–;–;–;–;–;–;–;–
D.91B;Tõkeilleték;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;10;217;269;273;281;224;178;218
D.91B_01;Földvédelmi járulék;KS ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;10;–;–;–;–;–;–;–
D.91B_02;Települési adó (vagyoni típusú);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;217;269;273;281;224;178;218
D.91C;Egyéb, máshová nem sorolt tõkeadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODA;Összes adóbevétel;;;153 953;204 663;272 979;355 410;427 590;507 935;604 541;686 686;813 758;932 428;954 679;1 031 911;1 119 479;687 785;689 594;654 169;674 901;689 714;674 469;698 131;770 374;805 446;845 975;923 664;1 006 066;906 076;944 682
D.61;Nettó társadalombiztosítási hozzájárulások;;;2 068;2 541;3 170;3 326;3 720;3 851;4 007;4 587;6 080;6 024;6 509;6 072;5 668;5 952;5 695;4 719;4 357;2 936;1 630;1 842;2 217;3 326;3 874;4 665;4 640;6 649;7 387
D.611;Munkaadók tényleges társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C;Munkaadók tényleges kötelezõ társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
