21.1.1.32. A háztartási szektor jövedelem- és tõkeszámlái [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Gazdasági mûveletek és egyenlegezõ tételek;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
B.3 n;Vegyes jövedelem, nettó;851 113;1 028 432;1 129 381;1 223 104;1 380 321;1 487 867;1 757 634;1 865 353;1 896 282;2 025 157;2 168 319;2 129 883;2 164 769;2 349 992;2 093 327;2 076 360;2 242 625;2 142 870;2 249 987;2 462 410;2 578 722;2 773 251;2 961 638;3 378 135;3 822 101;3 692 779;4 417 891
 Elsõdleges jövedelmek elosztása;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.1;Munkavállalói jövedelem;2 606 453;3 141 365;3 883 736;4 578 238;5 012 981;5 913 219;6 914 294;7 692 548;8 692 929;9 597 833;10 431 210;11 110 955;11 745 372;12 377 399;12 020 486;12 141 368;12 684 331;13 371 757;13 934 950;14 713 292;15 449 611;16 383 214;17 674 099;19 077 393;20 583 923;20 708 690;22 359 757
D.11;Bérek és keresetek;1 902 176;2 325 562;2 844 728;3 359 568;3 737 471;4 425 595;5 270 874;5 859 508;6 739 278;7 504 551;8 144 796;8 701 141;9 148 818;9 591 649;9 449 940;9 872 315;10 299 836;10 792 426;11 318 870;11 886 066;12 428 951;13 139 623;14 668 525;16 092 671;17 499 449;17 926 215;19 528 142
D.12;Munkaadók társadalombiztosítási hozzájárulásai;704 277;815 803;1 039 008;1 218 670;1 275 510;1 487 624;1 643 420;1 833 040;1 953 651;2 093 282;2 286 414;2 409 814;2 596 554;2 785 750;2 570 546;2 269 053;2 384 495;2 579 331;2 616 080;2 827 226;3 020 660;3 243 591;3 005 574;2 984 722;3 084 474;2 782 475;2 831 615
;Ebbõl: ;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.121;tényleges;678 984;789 668;1 005 305;1 182 359;1 234 287;1 442 863;1 598 063;1 785 339;1 912 898;2 038 533;2 233 768;2 357 615;2 544 576;2 712 645;2 509 447;2 203 961;2 323 127;2 519 715;2 568 370;2 778 181;2 963 273;3 191 667;2 948 239;2 917 007;3 010 988;2 693 629;2 742 431
D.122;imputált;25 293;26 135;33 703;36 311;41 223;44 761;45 357;47 701;40 753;54 749;52 646;52 199;51 978;73 105;61 099;65 092;61 368;59 616;47 710;49 045;57 387;51 924;57 335;67 715;73 486;88 846;89 184
D.4;Tulajdonból származó jövedelem;331 685;425 984;517 954;614 257;693 943;691 165;666 259;759 793;713 697;888 962;880 023;949 050;1 005 195;903 902;1 004 049;819 533;841 192;1 068 786;1 058 787;1 072 548;1 234 120;1 185 761;1 434 325;2 021 377;2 324 139;2 153 661;2 817 253
D.41;Kamat, nettó;255 279;319 948;363 535;417 664;410 960;370 122;360 769;308 118;278 258;351 989;258 553;253 573;209 901;151 419;219 649;91 973;89 467;285 590;271 567;198 968;222 461;222 293;248 752;283 368;366 099;471 976;549 507
;Ebbõl: ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott kamat;352 883;397 306;427 621;481 881;474 368;442 485;460 355;437 509;481 167;653 924;534 349;515 957;633 087;704 487;750 656;525 495;572 327;737 715;592 524;419 895;371 499;345 176;352 740;382 810;477 633;626 100;704 631
;fizetett kamat;97 604;77 358;64 086;64 217;63 408;72 363;99 586;129 391;202 909;301 935;275 796;262 384;423 186;553 068;531 007;433 522;482 860;452 125;320 957;220 927;149 038;122 883;103 988;99 442;111 534;154 124;155 124
D.421;Osztalék, nettó;31 195;35 677;57 170;93 401;143 273;173 589;144 469;233 283;236 514;277 959;308 261;278 465;351 115;319 068;329 055;263 473;334 680;445 519;466 680;555 374;758 543;712 805;918 934;1 462 532;1 661 868;1 337 012;1 937 946
;Ebbõl: ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott osztalék, részesedés;31 195;35 677;57 170;93 401;143 273;173 589;144 469;233 283;236 514;277 959;308 261;278 465;351 115;319 068;329 055;263 473;334 680;445 519;466 680;555 374;758 543;712 805;918 934;1 462 532;1 661 868;1 337 012;1 937 946
;fizetett osztalék, részesedés;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.43;Külföldi közvetlen tõkebefektetés újrabefektetett jövedelme, nettó;0;0;0;0;4 022;1 989;3 114;8 596;9 101;10 667;11 103;23 236;27 454;-6 536;-7 114;6 276;1 943;4 539;15 613;28 681;33 367;36 387;34 082;53 440;45 287;85 540;70 895
D.44;Egyéb befektetésbõl származó jövedelem, nettó;37 839;59 120;80 573;87 894;118 851;127 183;139 439;190 450;168 114;223 456;268 296;357 705;380 529;405 844;429 231;416 398;364 805;280 100;250 853;233 381;158 353;151 957;163 836;150 061;172 804;177 689;172 336
;Ebbõl: ;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.441;A biztosítás szerzõdõjének befektetési jövedelme;25 116;32 404;37 888;34 443;43 576;46 051;49 252;65 258;57 930;86 757;83 877;91 402;80 694;82 167;108 399;100 469;89 768;90 008;85 459;99 563;58 909;70 376;87 773;74 605;95 641;84 303;72 908
D.442;Nyugdíjjogosultság után fizetendõ befektetési jövedelem;1 738;9 576;9 484;10 405;25 025;28 655;36 652;69 470;47 819;79 030;99 737;158 545;160 621;164 194;201 281;229 284;168 242;75 184;60 371;51 045;44 366;45 490;43 318;43 502;40 432;52 658;58 071
D.443;"Kollektív befektetési alapok rész-
tulajdonosainak járó befektetési jövedelem";10 985;17 140;33 201;43 046;50 250;52 477;53 535;55 722;62 365;57 669;84 682;107 758;139 214;159 483;119 551;86 645;106 795;114 908;105 023;82 773;55 078;36 091;32 745;31 954;36 731;40 728;41 357
D.45;Bérleti díj;7 372;11 239;16 676;15 298;16 837;18 282;18 468;19 346;21 710;24 891;33 810;36 071;36 196;34 107;33 228;41 413;50 297;53 038;54 074;56 144;61 396;62 319;68 721;71 976;78 081;81 444;86 569
B.5 n;Elsõdleges jövedelmek egyenlege, nettó;3 961 643;4 819 656;5 808 685;6 728 327;7 456 347;8 513 266;9 804 921;10 814 673;11 836 567;13 082 545;14 086 781;14 853 288;15 631 213;16 399 497;15 917 542;16 017 714;16 735 263;17 509 431;18 135 092;19 171 459;20 305 233;21 533 924;23 428 726;26 082 565;28 693 268;28 647 968;32 053 665
Jövedelmek másodlagos elosztása ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.5;Folyó jövedelem-  és vagyonadók;385 565;514 213;605 640;691 322;814 212;997 716;1 182 332;1 336 070;1 376 786;1 428 224;1 524 991;1 678 699;1 899 820;2 130 177;2 001 078;1 853 047;1 504 071;1 691 584;1 723 962;1 828 183;1 962 514;1 992 548;2 214 560;2 473 544;2 749 916;2 784 373;2 481 870
D.61;Nettó társadalombiztosítási hozzájárulások;877 045;1 015 816;1 285 434;1 530 443;1 687 118;1 955 847;2 209 314;2 496 931;2 704 864;2 984 593;3 281 536;3 605 838;4 097 086;4 450 918;4 171 009;3 981 038;4 120 102;4 361 418;4 480 722;4 770 111;5 094 684;5 470 257;5 513 214;5 768 726;6 132 221;5 944 384;6 342 773
D.62;Pénzbeni társadalmi juttatások;890 977;967 135;1 128 663;1 382 724;1 558 121;1 731 212;1 978 871;2 352 255;2 681 652;2 984 107;3 334 319;3 696 493;4 045 031;4 426 076;4 439 083;4 430 839;4 554 569;4 573 529;4 630 400;4 669 459;4 667 419;4 738 105;4 876 315;5 133 524;5 379 426;5 639 786;6 245 144
D.7;Egyéb folyó transzferek, nettó;-2 186;2 471;521;918;12 043;18 924;41 829;61 685;31 066;49 104;56 290;39 537;7 824;-63 938;-59 318;-53 740;-74 396;-125 019;-91 173;-88 469;-75 840;-69 532;-40 245;-7 008;-3 643;39 605;-51 900
D.7;Egyéb folyó transzferek, kapott;97 176;124 044;140 923;158 864;180 307;204 165;268 172;327 927;329 881;409 717;476 779;505 135;505 440;349 914;341 144;367 907;327 190;335 076;366 305;408 810;445 635;480 685;550 457;614 025;675 442;714 982;685 162
D.7;Egyéb folyó transzferek, fizetett;99 362;121 573;140 402;157 946;168 264;185 241;226 343;266 242;298 815;360 613;420 489;465 598;497 616;413 852;400 462;421 647;401 586;460 095;457 478;497 279;521 475;550 217;590 702;621 033;679 085;675 377;737 062
B.6 n;Rendelkezésre álló jövedelem, nettó;3 587 824;4 259 233;5 046 795;5 890 204;6 525 181;7 309 839;8 433 975;9 395 612;10 467 635;11 702 939;12 670 863;13 304 781;13 687 162;14 180 540;14 125 220;14 560 728;15 591 263;15 904 939;16 469 635;17 154 155;17 839 614;18 739 692;20 537 022;22 966 811;25 186 914;25 598 602;29 422 266
Természetbeni jövedelmek újraelosztása ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.63;Természetbeni társadalmi juttatások;763 224;892 429;1 073 414;1 279 804;1 430 318;1 642 483;1 876 988;2 245 461;2 618 504;2 821 457;3 069 060;3 254 721;3 146 644;3 274 186;3 267 949;3 273 540;3 294 831;3 283 075;3 327 332;3 605 946;3 918 049;4 119 734;4 553 382;4 900 897;5 216 764;5 732 954;6 405 040
B.7 n;Korrigált rendelkezésre álló jövedelem, nettó;4 351 048;5 151 662;6 120 209;7 170 008;7 955 499;8 952 322;10 310 963;11 641 073;13 086 139;14 524 396;15 739 923;16 559 502;16 833 806;17 454 726;17 393 169;17 834 268;18 886 094;19 188 014;19 796 967;20 760 101;21 757 663;22 859 426;25 090 404;27 867 708;30 403 678;31 331 556;35 827 306
Rendelkezésre álló jövedelem felhasználása;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.6 n;Rendelkezésre álló jövedelem, nettó;3 587 824;4 259 233;5 046 795;5 890 204;6 525 181;7 309 839;8 433 975;9 395 612;10 467 635;11 702 939;12 670 863;13 304 781;13 687 162;14 180 540;14 125 220;14 560 728;15 591 263;15 904 939;16 469 635;17 154 155;17 839 614;18 739 692;20 537 022;22 966 811;25 186 914;25 598 602;29 422 266
D.8;"Nyugdíjjogosultságok változása
miatti korrekció";7 620;23 216;33 722;72 469;131 609;153 810;177 885;215 482;256 997;325 193;367 677;463 954;472 233;570 433;529 781;497 650;148 177;66 712;84 382;90 992;84 292;95 044;109 756;113 288;67 003;127 071;123 235
P.3;Végsõ fogyasztási kiadás;3 088 522;3 700 917;4 455 105;5 292 661;6 169 482;7 060 821;8 093 652;9 265 671;10 489 757;11 269 151;11 997 761;12 598 861;13 582 527;14 194 509;13 776 950;14 063 074;14 651 656;15 118 223;15 326 614;15 901 828;16 556 131;17 510 661;18 938 936;20 506 521;22 547 232;22 946 641;25 555 449
B.8 n;Megtakarítás, nettó;506 922;581 532;625 412;670 012;487 308;402 828;518 208;345 423;234 875;758 981;1 040 779;1 169 874;576 868;556 464;878 051;995 304;1 087 784;853 428;1 227 403;1 343 319;1 367 775;1 324 075;1 707 842;2 573 578;2 706 685;2 779 032;3 990 052
Korrigált rendelkezésre álló jövedelem felhasználása ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.7 n;Korrigált rendelkezésre álló jövedelem;4 351 048;5 151 662;6 120 209;7 170 008;7 955 499;8 952 322;10 310 963;11 641 073;13 086 139;14 524 396;15 739 923;16 559 502;16 833 806;17 454 726;17 393 169;17 834 268;18 886 094;19 188 014;19 796 967;20 760 101;21 757 663;22 859 426;25 090 404;27 867 708;30 403 678;31 331 556;35 827 306
D.8;Nyugdíjjogosultságok változása miatti korrekció;7 620;23 216;33 722;72 469;131 609;153 810;177 885;215 482;256 997;325 193;367 677;463 954;472 233;570 433;529 781;497 650;148 177;66 712;84 382;90 992;84 292;95 044;109 756;113 288;67 003;127 071;123 235
P.4;Tényleges végsõ fogyasztás;3 851 746;4 593 346;5 528 519;6 572 465;7 599 800;8 703 304;9 970 640;11 511 132;13 108 261;14 090 608;15 066 821;15 853 582;16 729 171;17 468 695;17 044 899;17 336 614;17 946 487;18 401 298;18 653 946;19 507 774;20 474 180;21 630 395;23 492 318;25 407 418;27 763 996;28 679 595;31 960 489
B.8 n;Megtakarítás, nettó ;506 922;581 532;625 412;670 012;487 308;402 828;518 208;345 423;234 875;758 981;1 040 779;1 169 874;576 868;556 464;878 051;995 304;1 087 784;853 428;1 227 403;1 343 319;1 367 775;1 324 075;1 707 842;2 573 578;2 706 685;2 779 032;3 990 052
Megtakaritás és tõketranszferek miatti nettóvagyon-változás;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.9;Tõketranszferek egyenlege ;153 384;89 264;66 424;48 338;41 383;75 924;100 650;121 468;112 531;79 852;96 121;100 143;104 086;86 311;73 811;47 529;232 214;279 754;72 350;182 186;774 324;119 100;130 009;198 350;286 287;383 707;475 883
D 9;Tõketranszferek, kapott;163 306;98 240;76 489;60 446;54 372;89 834;117 984;140 250;131 894;105 557;124 832;132 476;132 108;124 703;108 910;82 364;254 666;301 447;89 233;202 164;796 984;143 893;155 168;228 677;317 828;416 967;500 731
D.92;Beruházási támogatások;159 267;97 935;71 242;56 833;49 648;84 601;111 413;128 978;121 626;93 008;101 553;100 171;101 369;99 078;79 945;53 009;87 173;91 982;51 780;84 456;76 196;71 466;93 545;156 916;158 234;239 319;348 750
D 99;Egyéb tõketranszferek;4 039;305;5 247;3 613;4 724;5 233;6 571;11 272;10 268;12 549;23 279;32 305;30 739;25 625;28 965;29 355;167 493;209 465;37 453;117 708;720 788;72 427;61 623;71 761;159 594;177 648;151 981
D 9;Tõketranszferek, fizetett;9 922;8 976;10 065;12 108;12 989;13 910;17 334;18 782;19 363;25 705;28 711;32 333;28 022;38 392;35 099;34 835;22 452;21 693;16 883;19 978;22 660;24 793;25 159;30 327;31 541;33 260;24 848
D.91;Tõkeadók;2 546;2 733;3 652;4 324;4 892;5 460;6 652;8 700;8 613;12 667;15 610;15 801;13 310;11 325;9 259;6 264;6 500;5 654;5 307;6 179;7 590;8 547;9 666;8 593;11 455;9 431;8 992
D.99;Egyéb tõketranszferek;7 376;6 243;6 413;7 784;8 097;8 450;10 682;10 082;10 750;13 038;13 101;16 532;14 712;27 067;25 840;28 571;15 952;16 039;11 576;13 799;15 070;16 246;15 493;21 734;20 086;23 829;15 856
B.10.1;"A nettó vagyon változása megtakarítás
és tõketranszferek miatt ";660 306;670 796;691 836;718 350;528 691;478 752;618 858;466 891;347 406;838 833;1 136 900;1 270 017;680 954;642 775;951 862;1 042 833;1 319 998;1 133 182;1 299 753;1 525 505;2 142 099;1 443 175;1 837 851;2 771 928;2 992 972;3 162 739;4 465 935
Nem pénzügyi eszközök beszerzése;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.51g;Bruttó állóeszköz-felhalmozás ;441 033;477 452;520 123;484 814;519 052;685 438;887 569;1 030 681;1 159 672;1 310 172;1 189 501;1 080 582;1 247 228;1 359 250;1 296 029;1 052 914;821 402;778 926;820 644;880 719;998 419;1 110 641;1 352 951;1 624 746;1 863 672;2 330 445;2 485 129
P.52;Készletváltozás;-867;-1 740;756;27 160;19 473;11 603;16 807;11 774;16 991;13 214;3 380;14 618;8 879;-2 614;2 602;7 211;10 122;8 264;7 479;11 711;-1 043;9 249;7 281;12 021;8 825;15 439;23 122
P.53 ;Értéktárgyak beszerzésének és eladásának egyenlege;2 304;3 221;3 656;3 128;4 051;4 594;6 083;5 687;6 718;6 251;9 377;10 434;10 526;13 306;13 613;14 334;14 932;16 341;18 642;20 186;24 689;30 784;35 778;31 378;37 255;28 523;28 939
P.51c;Állóeszköz-felhasználás;181 943;232 080;283 986;327 842;382 342;437 348;490 651;529 206;568 154;610 035;649 969;710 276;760 409;812 174;847 225;865 438;883 663;901 258;911 746;930 173;950 083;970 931;1 025 093;1 119 794;1 223 355;1 321 584;1 514 970
NP;"Nem termelt eszközök
beszerzésének és eladásának egyenlege";6 000;7 000;11 478;9 942;10 915;18 231;16 191;16 047;35 349;17 901;24 692;27 438;-7 037;4 357;-1 538;202;487;-4 797;-10 656;-21 181;-8 133;105 496;128 522;-6 123;-17 728;-4 707;3 872
B.9;Nettó hitelnyújtás (+) / Nettó hitelfelvétel (–);393 779;416 943;439 809;521 148;357 542;196 234;182 859;-68 092;-303 170;101 330;559 919;847 221;181 767;80 650;488 381;833 610;1 356 718;1 235 706;1 375 390;1 564 243;2 078 250;1 157 936;1 338 412;2 229 700;2 324 303;2 114 623;3 439 843
