20.2.1.35. A gazdaságilag aktívak száma legmagasabb iskolai végzettség szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
;IV.;26,6;598,7;1 279,2;583,4;1 029,7;739,7;488,6;4 745,9
2017.;I.;25,0;579,0;1 273,3;565,4;1 035,5;730,0;496,4;4 704,6
;II.;26,2;577,5;1 292,9;574,7;1 029,2;734,5;502,1;4 737,2
;III.;27,7;575,0;1 315,4;595,8;1 042,2;718,4;489,0;4 763,4
;IV.;28,1;560,7;1 330,8;580,0;1 031,1;723,5;500,4;4 754,5
2018.;I.;29,0;549,1;1 320,4;566,2;1 005,6;728,9;549,1;4 748,3
;II.;27,1;564,4;1 329,5;582,4;1 008,9;698,6;561,0;4 772,0
;III.;20,7;547,9;1 311,5;599,7;1 045,4;689,2;591,3;4 805,6
;IV.;22,8;559,3;1 313,9;570,3;1 021,1;676,2;623,4;4 786,9
2019.;I.;23,3;547,5;1 302,5;579,8;1 016,2;695,1;631,5;4 796,0
;II.;23,0;557,1;1 297,6;584,3;1 012,4;724,2;599,6;4 798,3
;III.;26,7;533,0;1 294,5;622,7;1 015,0;740,6;584,0;4 816,6
;IV.;23,8;525,1;1 315,4;624,4;1 002,6;713,3;598,6;4 803,1
2020.;I.;24,3;534,3;1 285,7;621,7;996,2;719,0;598,6;4 779,8
;II.;18,9;475,3;1 243,2;604,4;1 040,4;739,7;648,7;4 770,5
;III.;25,5;533,6;1 270,1;635,1;991,6;713,9;665,3;4 835,0
;IV.;25,7;522,0;1 252,6;619,2;960,7;713,4;724,4;4 817,9
2021.;I.;23,2;499,4;1 233,4;591,9;969,9;726,4;738,3;4 782,4
;II.;20,6;518,2;1 226,7;611,7;977,3;737,5;725,3;4 817,2
;III.;21,5;533,4;1 222,3;599,6;991,8;752,2;732,3;4 853,1
;IV.;21,5;500,6;1 201,5;597,3;1 034,8;769,4;743,2;4 868,2
2022.;I.;21,2;498,7;1 171,5;605,4;1 045,0;781,4;732,2;4 855,4
;II.;22,5;485,1;1 176,3;591,1;1 047,6;784,5;743,2;4 850,2
;III.;26,7;492,1;1 201,2;618,6;1 060,0;764,9;726,9;4 890,4
;IV.;;;;;;;;
Ebbõl:;;;;;;;;;
férfi;;;;;;;;;
2009.;I.;8,9;276,8;861,6;136,1;522,6;230,3;203,7;2 239,8
;II.;11,5;280,2;875,8;144,1;525,7;221,4;205,6;2 264,3
;III.;10,1;293,4;881,3;143,4;514,2;220,9;204,5;2 267,8
;IV.;9,8;283,9;887,3;145,5;511,4;219,0;202,5;2 259,4
2010.;I.;9,9;277,6;863,5;142,2;518,6;218,9;206,0;2 236,7
;II.;11,9;277,8;882,8;138,7;523,0;214,4;209,0;2 257,6
;III.;11,9;282,4;875,7;138,2;530,8;217,7;212,8;2 269,5
;IV.;11,7;281,7;854,5;135,2;532,5;227,6;215,7;2 258,8
2011.;I.;10,0;270,2;844,4;138,3;526,0;235,6;220,7;2 245,0
;II.;11,4;278,5;859,0;138,6;521,8;236,7;223,0;2 269,0
;III.;11,8;288,6;864,5;146,5;520,7;236,9;227,5;2 296,6
;IV.;10,0;281,4;849,9;150,5;524,7;246,6;222,9;2 286,0
2012.;I.;10,0;274,8;848,3;147,3;520,0;248,5;231,3;2 280,1
;II.;13,2;282,4;854,3;150,3;528,7;260,3;220,0;2 309,3
;III.;12,6;283,3;861,2;155,5;538,1;261,4;216,6;2 328,7
;IV.;12,3;279,4;866,2;156,5;529,0;264,2;220,3;2 327,9
2013.;I.;10,9;259,8;858,4;153,9;520,1;264,6;228,5;2 296,2
;II.;13,0;271,8;880,3;168,0;521,7;257,9;230,1;2 342,8
;III.;11,8;282,3;886,4;170,4;529,8;259,3;233,2;2 373,2
;IV.;11,6;279,8;875,5;171,8;527,7;254,1;242,8;2 363,3
2014.;I.;9,3;281,2;866,3;173,5;540,4;264,8;241,7;2 377,1
;II.;11,6;289,7;870,4;181,6;536,0;261,6;248,3;2 399,3
;III.;13,8;293,6;864,4;189,8;545,8;265,1;252,5;2 425,1
;IV.;14,1;298,0;851,7;188,1;537,1;269,2;250,9;2 409,0
2015.;I.;17,7;294,1;843,7;183,1;539,6;275,7;253,3;2 407,2
;II.;16,7;303,6;837,4;203,3;541,0;279,1;260,4;2 441,5
;III.;14,6;313,4;846,8;211,9;553,1;277,3;254,1;2 471,1
;IV.;16,3;314,6;846,4;217,7;541,1;276,7;251,3;2 464,1
2016.;I.;14,0;303,7;839,2;234,3;536,2;287,0;246,8;2 461,2
;II.;14,2;317,0;858,6;237,7;540,7;278,0;244,3;2 490,5
;III.;14,2;314,1;869,4;249,4;542,8;271,2;244,7;2 505,9
;IV.;13,3;313,3;870,9;240,4;528,7;281,4;254,9;2 503,0
2017.;I.;11,4;301,8;858,5;240,2;532,5;281,5;261,0;2 486,9
;II.;12,2;301,7;882,7;239,9;529,2;286,3;265,8;2 517,7
;III.;13,5;298,5;903,9;247,6;529,9;278,8;256,0;2 528,1
;IV.;14,3;293,7;909,6;244,8;516,6;287,1;253,9;2 520,0
2018.;I.;13,9;291,8;906,4;237,4;498,3;284,4;283,3;2 515,5
;II.;13,0;308,0;907,0;243,8;508,0;268,1;283,3;2 531,3
;III.;9,7;291,9;889,3;253,3;538,5;260,9;300,2;2 543,8
;IV.;9,9;305,8;892,7;243,2;534,5;249,9;310,8;2 546,8
2019.;I.;10,2;297,6;889,5;249,8;541,7;259,1;314,7;2 562,6
;II.;10,4;299,5;883,2;245,0;543,8;275,5;302,9;2 560,3
;III.;12,6;300,3;883,4;269,2;544,0;277,8;285,2;2 572,5
;IV.;10,8;294,0;902,2;261,9;538,2;264,3;297,8;2 569,2
2020.;I.;11,4;287,7;890,7;261,5;525,8;270,1;302,3;2 549,6
;II.;8,9;256,6;861,7;257,6;555,6;284,2;320,2;2 544,9
;III.;14,7;294,3;867,8;269,9;537,7;274,1;329,4;2 587,9
;IV.;13,5;288,8;854,3;269,9;520,3;265,4;370,4;2 582,7
2021.;I. ;10,7;276,9;855,6;264,0;507,4;271,6;376,1;2 562,3
;II.;9,9;287,5;834,0;268,6;521,7;276,8;369,7;2 568,2
;III.;9,6;296,5;832,7;261,0;534,0;274,1;369,6;2 577,6
;IV.;9,9;280,1;816,2;262,5;548,1;286,7;375,1;2 578,5
2022.;I. ;10,8;277,5;805,9;257,0;563,3;300,7;366,0;2 581,1
;II.;11,1;270,0;811,3;248,6;567,7;306,7;363,4;2 578,9
;III.;12,2;273,1;828,5;261,3;575,2;291,8;358,3;2 600,5
;IV.;;;;;;;;
nõ;;;;;;;;;
2009.;I.;6,7;278,0;419,2;252,4;538,3;374,8;171,5;2 040,8
;II.;8,3;278,6;421,2;254,3;528,8;383,8;171,4;2 046,4
;III.;7,6;278,1;416,2;257,0;534,6;388,6;180,7;2 062,8
;IV.;9,0;281,2;421,1;256,7;535,1;387,1;176,2;2 066,4
2010.;I.;10,1;276,7;420,9;257,5;555,3;375,1;183,3;2 078,8
;II.;11,6;279,1;427,0;252,2;548,3;375,2;190,5;2 083,9
;III.;14,4;276,2;431,4;254,4;550,0;383,3;186,5;2 096,2
;IV.;13,4;276,4;429,5;249,8;544,5;389,5;186,8;2 090,0
2011.;I.;11,4;268,4;420,7;250,6;539,1;397,2;191,7;2 079,1
;II.;10,9;277,3;428,5;255,4;528,2;389,6;200,3;2 090,2
;III.;11,1;274,1;423,9;258,4;524,3;405,9;204,3;2 101,9
;IV.;9,8;264,7;423,7;256,3;537,1;407,7;206,7;2 105,9
2012.;I.;9,4;252,1;416,3;254,1;543,2;415,1;206,0;2 096,2
;II.;9,3;259,1;418,4;256,2;542,1;415,1;212,7;2 112,9
;III.;8,5;267,7;414,6;259,8;542,0;430,7;221,2;2 144,6
;IV.;9,3;247,9;414,8;254,2;539,2;436,8;224,0;2 126,2
2013.;I.;10,5;238,9;413,8;257,0;529,4;437,1;218,2;2 105,1
;II.;10,9;248,2;414,1;262,7;528,0;438,6;222,8;2 125,3
;III.;8,5;254,4;427,0;272,4;527,8;426,5;220,9;2 137,4
;IV.;9,3;256,8;431,8;265,0;526,8;424,4;220,5;2 134,6
2014.;I.;10,9;257,0;430,9;270,5;526,6;429,6;225,5;2 151,0
;II.;10,8;260,7;424,7;276,4;523,3;439,9;220,1;2 155,8
;III.;11,4;259,2;408,7;285,3;535,2;445,6;231,0;2 176,5
;IV.;8,5;258,2;414,2;293,6;509,5;442,9;241,2;2 168,0
2015.;I.;10,2;262,5;420,3;302,0;502,2;444,8;234,1;2 175,9
;II.;12,0;264,7;421,0;306,4;498,4;445,6;244,7;2 192,8
;III.;10,3;267,8;419,6;328,4;487,0;445,1;253,6;2 211,7
;IV.;11,6;263,3;427,0;332,9;486,4;438,8;246,7;2 206,6
2016.;I.;10,0;262,4;420,9;330,5;490,4;439,3;248,4;2 201,8
;II.;13,3;260,5;418,4;341,6;502,4;451,4;232,4;2 219,9
;III.;13,8;271,4;409,1;357,1;499,3;454,7;235,9;2 241,4
;IV.;13,3;285,4;408,3;342,9;501,0;458,3;233,7;2 242,8
2017.;I.;13,6;277,2;414,8;325,2;503,1;448,5;235,5;2 217,7
;II.;14,0;275,8;410,2;334,8;500,1;448,3;236,4;2 219,6
;III.;14,2;276,5;411,5;348,2;512,3;439,6;233,0;2 235,3
;IV.;13,7;267,0;421,2;335,2;514,5;436,4;246,5;2 234,6
2018.;I.;15,1;257,3;414,0;328,8;507,3;444,4;265,9;2 232,8
;II.;14,1;256,4;422,5;338,6;500,9;430,5;277,7;2 240,7
;III.;11,0;255,9;422,2;346,4;506,9;428,3;291,0;2 261,8
;IV.;12,8;253,6;421,2;327,1;486,5;426,3;312,6;2 240,1
2019.;I.;13,0;249,9;413,0;330,1;474,6;435,9;316,8;2 233,3
;II.;12,6;257,6;414,4;339,3;468,6;448,8;296,7;2 238,0
;III.;14,1;232,7;411,1;353,5;471,0;462,9;298,8;2 244,0
;IV.;13,0;231,1;413,2;362,5;464,4;449,0;300,8;2 233,9
2020.;I.;13,0;246,5;395,0;360,2;470,4;448,9;296,2;2 230,1
;II.;10,0;218,7;381,5;346,8;484,7;455,4;328,6;2 225,7
;III.;10,8;239,3;402,3;365,1;453,9;439,8;335,9;2 247,2
;IV.;12,2;233,2;398,3;349,3;440,4;447,9;353,9;2 235,2
2021.;I. ;12,5;222,5;377,7;327,9;462,4;454,8;362,2;2 220,0
;II.;10,7;230,6;392,7;343,0;455,5;460,7;355,7;2 249,0
;III.;11,9;236,9;389,6;338,5;457,8;478,0;362,8;2 275,6
;IV.;11,6;220,5;385,3;334,8;486,7;482,7;368,1;2 289,7
2022.;I. ;10,5;221,2;365,6;348,4;481,8;480,7;366,2;2 274,3
;II.;11,4;215,1;365,0;342,5;479,9;477,7;379,7;2 271,2
;III.;14,4;219,0;372,7;357,3;484,8;473,1;368,6;2 289,9
;IV.;;;;;;;;
