14.1.1.23. A háztartások száma, a háztartásban élõ személyek jellemzõi jövedelemszerzõ tevékenységük, jövedelmi tizedek (decilisek) szerint;;;;;;;;;;;
Megnevezés;Összesen;1. jövedelmi tized;2. jövedelmi tized;3. jövedelmi tized;4. jövedelmi tized;5. jövedelmi tized;6. jövedelmi tized;7. jövedelmi tized;8. jövedelmi tized;9. jövedelmi tized;10. jövedelmi tized
Tanuló felnõttek;44 124;2 121;3 010;6 586;4 329;3 260;3 476;5 485;5 128;5 670;5 059
Egyéb Inaktív felnõttek;406 817;110 192;77 790;52 876;32 608;34 491;26 976;29 559;18 671;13 771;9 883
Nem tanuló gyermekek;672 364;144 196;107 920;78 662;65 752;64 198;42 235;63 878;39 935;38 605;26 983
Tanulók, hallgatók;1 443 572;260 810;240 294;215 807;176 641;139 103;105 763;104 239;89 108;67 082;44 725
Összesen;9 667 827;965 965;969 064;965 743;966 636;966 182;963 524;970 537;967 613;966 624;965 939
2016;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;
Háztartások felszorzott száma;4 134 920;305 812;282 599;311 079;367 817;398 157;436 674;462 354;480 872;500 433;589 123
Adatszolgáltató háztartások száma;7 485;486;510;575;746;794;915;898;905;839;817
Háztartások átlagos taglétszáma;2,3;3,1;3,4;3,1;2,6;2,4;2,2;2,1;2,0;1,9;1,6
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;
Alkalmazásban állók;3 868 764;273 794;275 302;343 841;358 399;391 333;399 342;399 178;432 804;456 696;538 075
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;464 621;58 082;44 018;32 037;40 102;36 389;27 922;34 821;43 443;60 816;86 991
Aktív keresõk összesen;4 333 385;331 876;319 320;375 878;398 501;427 722;427 264;433 999;476 247;517 512;625 066
Ebbõl:;;;;;;;;;;;
férfiak;2 324 099;177 742;178 680;196 005;221 820;229 815;237 108;215 133;252 073;283 526;332 197
nõk;2 009 286;154 134;140 640;179 873;176 681;197 907;190 156;218 866;224 174;233 986;292 869
Nyugdíjasok összesen;2 167 088;75 577;62 097;116 498;187 438;236 330;304 446;315 067;314 624;301 947;253 064
Ebbõl: ;;;;;;;;;;;
férfiak;807 396;34 477;22 153;43 874;67 782;86 466;107 865;102 994;110 315;117 498;113 972
nõk;1 359 692;41 100;39 944;72 624;119 656;149 864;196 581;212 073;204 309;184 449;139 092
Munkanélküliek összesen;367 847;84 311;96 320;62 609;37 759;24 965;19 827;15 735;8 762;10 569;6 990
Ebbõl:  ;;;;;;;;;;;
férfiak;217 266;51 842;58 279;41 546;17 890;15 106;7 384;12 046;5 552;3 799;3 822
nõk;150 581;32 469;38 041;21 063;19 869;9 859;12 443;3 689;3 210;6 770;3 168
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;250 102;18 568;33 169;33 832;52 156;25 935;28 790;22 411;16 791;8 097;10 353
Tanuló felnõttek;26 487;1 318;1 155;5 242;1 330;4 859;953;1 841;2 099;5 100;2 590
Egyéb Inaktív felnõttek;403 390;82 358;84 078;64 925;45 938;32 351;23 114;18 746;22 010;22 696;7 174
Nem tanuló gyermekek;650 033;134 688;116 398;98 566;64 761;63 629;48 622;33 257;40 307;33 449;16 356
Tanulók, hallgatók;1 439 167;233 969;253 012;206 758;175 865;145 997;111 694;122 785;82 684;64 366;42 037
Összesen;9 637 499;962 665;965 549;964 308;963 748;961 788;964 710;963 841;963 524;963 736;963 630
2017;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;
Háztartások felszorzott száma;4 136 841;291 810;314 007;352 710;359 022;411 493;446 148;435 426;473 296;512 799;540 130
Adatszolgáltató háztartások száma;6 960;481;533;639;657;753;856;773;800;810;658
Háztartások átlagos taglétszáma;2,3;3,3;3,1;2,7;2,7;2,3;2,2;2,2;2,0;1,9;1,8
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;
Alkalmazásban állók;3 952 113;257 738;320 743;338 597;369 122;392 833;402 567;434 930;467 468;454 437;513 678
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;457 436;27 455;26 384;31 753;35 320;43 976;36 963;47 949;46 905;56 507;104 224
Aktív keresõk összesen;4 409 549;285 193;347 127;370 350;404 442;436 809;439 530;482 879;514 373;510 944;617 902
Ebbõl:;;;;;;;;;;;
férfiak;2 356 969;156 465;185 494;209 329;215 400;238 647;238 980;256 618;261 964;273 965;320 107
nõk;2 052 580;128 728;161 633;161 021;189 042;198 162;200 550;226 261;252 409;236 979;297 795
Nyugdíjasok összesen;2 169 828;50 828;98 626;184 143;199 631;245 906;291 342;265 854;290 342;307 790;235 366
Ebbõl: ;;;;;;;;;;;
férfiak;817 190;23 081;34 407;66 968;65 004;91 690;105 268;93 754;105 504;128 924;102 590
nõk;1 352 638;27 747;64 219;117 175;134 627;154 216;186 074;172 100;184 838;178 866;132 776
Munkanélküliek összesen;317 108;107 123;73 429;26 790;26 889;19 489;18 579;17 988;11 731;8 765;6 325
Ebbõl:  ;;;;;;;;;;;
férfiak;168 563;60 533;44 890;13 503;13 648;5 960;10 325;6 610;7 905;1 895;3 294
nõk;148 545;46 590;28 539;13 287;13 241;13 529;8 254;11 378;3 826;6 870;3 031
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;248 383;27 464;37 537;39 325;34 547;29 928;23 279;22 688;11 947;13 370;8 298
Tanuló felnõttek;39 604;1 794;1 848;2 965;3 556;5 550;3 988;9 358;3 721;3 812;3 012
Egyéb Inaktív felnõttek;395 195;104 956;76 060;65 139;44 719;25 258;26 098;17 075;14 693;10 829;10 368
Nem tanuló gyermekek;646 138;144 369;115 188;100 536;77 478;58 800;42 611;32 095;25 204;28 610;21 247
Tanulók, hallgatók;1 383 980;239 930;210 608;172 043;169 020;139 160;117 303;111 098;89 863;76 158;58 797
Összesen;9 609 785;961 657;960 423;961 291;960 282;960 900;962 730;959 035;961 874;960 278;961 315
2018;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;
Háztartások felszorzott száma;4 119 621;317 495;311 238;338 267;380 991;423 679;443 005;459 501;452 368;467 221;525 856
Adatszolgáltató háztartások száma;6 293;429;475;563;657;795;800;763;621;616;574
Háztartások átlagos taglétszáma;2,3;3,0;3,1;2,8;2,5;2,3;2,2;2,1;2,1;2,1;1,8
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;
Alkalmazásban állók;3 989 826;311 294;310 322;330 735;317 156;343 811;380 790;425 271;480 800;525 349;564 298
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;464 248;42 040;29 454;46 272;38 162;32 466;30 134;28 848;51 638;67 909;97 325
Aktív keresõk összesen;4 454 074;353 334;339 776;377 007;355 318;376 277;410 924;454 119;532 438;593 258;661 623
Ebbõl:;;;;;;;;;;;
férfiak;2 425 588;193 844;185 630;215 868;192 401;209 079;218 170;233 834;283 182;332 180;361 400
nõk;2 028 486;159 490;154 146;161 139;162 917;167 198;192 754;220 285;249 256;261 078;300 223
Nyugdíjasok összesen;2 127 384;40 962;89 596;166 644;255 243;312 465;327 259;295 353;242 732;217 787;179 343
Ebbõl: ;;;;;;;;;;;
férfiak;781 200;13 366;31 840;59 340;92 098;114 014;117 761;109 235;89 228;79 851;74 467
nõk;1 346 184;27 596;57 756;107 304;163 145;198 451;209 498;186 118;153 504;137 936;104 876
Munkanélküliek összesen;286 277;81 167;66 084;27 836;28 018;23 415;13 301;14 453;9 574;11 852;10 577
Ebbõl:  ;;;;;;;;;;;
férfiak;143 519;48 345;30 336;12 113;10 287;11 168;7 565;7 403;7 114;6 653;2 535
nõk;142 758;32 822;35 748;15 723;17 731;12 247;5 736;7 050;2 460;5 199;8 042
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;246 086;29 198;46 872;43 088;31 819;27 967;25 881;17 222;10 626;6 980;6 433
Tanuló felnõttek;28 952;698;1 802;3 461;2 986;2 196;5 607;4 158;1 932;3 120;2 992
Egyéb Inaktív felnõttek;410 115;108 885;77 230;57 075;41 504;31 110;16 215;21 728;23 325;24 796;8 247
Nem tanuló gyermekek;614 358;129 362;108 710;85 412;76 109;44 378;27 319;48 222;49 446;22 783;22 617
Tanulók, hallgatók;1 422 670;214 153;227 990;201 634;167 415;140 785;132 806;102 221;90 235;78 248;67 183
Összesen;9 589 916;957 759;958 060;962 157;958 412;958 593;959 312;957 476;960 308;958 824;959 015
2019;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;
Háztartások felszorzott száma;4 111 240;387 088;290 668;307 113;348 026;476 905;436 349;417 665;438 982;463 741;544 703
Adatszolgáltató háztartások száma;5 854;712;400;397;508;812;687;583;587;572;596
Háztartások átlagos taglétszáma;2,3;2,5;3,3;3,1;2,7;2,0;2,2;2,3;2,2;2,1;1,8
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;
Alkalmazásban állók;4 004 300;159 263;365 759;385 067;352 677;321 726;359 990;493 967;471 565;547 556;546 730
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;485 833;24 568;46 479;37 693;44 342;43 652;42 854;31 842;55 190;75 270;83 943
Aktív keresõk összesen;4 490 133;183 831;412 238;422 760;397 019;365 378;402 844;525 809;526 755;622 826;630 673
Ebbõl:;;;;;;;;;;;
férfiak;2 430 915;112 845;227 982;231 589;214 207;177 771;228 396;270 713;294 375;324 901;348 136
nõk;2 059 218;70 986;184 256;191 171;182 812;187 607;174 448;255 096;232 380;297 925;282 537
Nyugdíjasok összesen;2 097 952;269 953;30 945;60 846;212 670;334 702;320 986;205 985;261 752;172 916;227 197
Ebbõl: ;;;;;;;;;;;
férfiak;768 730;103 627;13 227;21 945;90 590;99 012;117 567;78 043;90 959;57 762;95 998
nõk;1 329 222;166 326;17 718;38 901;122 080;235 690;203 419;127 942;170 793;115 154;131 199
Munkanélküliek összesen;288 862;61 328;69 501;53 920;30 306;20 908;9 543;13 335;11 119;12 230;6 672
Ebbõl:  ;;;;;;;;;;;
férfiak;151 190;36 994;35 058;28 664;7 908;12 596;3 790;7 943;5 981;7 377;4 879
nõk;137 672;24 334;34 443;25 256;22 398;8 312;5 753;5 392;5 138;4 853;1 793
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;242 538;51 488;39 325;26 456;36 928;21 763;25 471;15 450;9 412;11 306;4 939
Tanuló felnõttek;48 308;2 899;5 375;5 779;2 320;8 522;–;6 569;8 687;3 976;4 181
Egyéb Inaktív felnõttek;389 494;102 185;67 314;64 673;44 303;23 122;21 408;15 764;21 528;18 357;10 840
Nem tanuló gyermekek;613 790;123 545;105 387;100 941;70 569;44 428;35 318;47 519;29 315;43 177;13 591
Tanulók, hallgatók;1 409 455;162 482;228 491;222 278;161 962;141 630;142 392;127 452;90 543;71 571;60 654
Összesen;9 580 532;957 711;958 576;957 653;956 077;960 453;957 962;957 883;959 111;956 359;958 747
2020;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;
Háztartások felszorzott száma;4 121 936;317 569;323 482;325 271;370 128;360 739;426 629;478 317;461 926;482 847;575 028
Adatszolgáltató háztartások száma;5 450;389;439;428;583;544;605;679;612;597;574
Háztartások átlagos taglétszáma;2,3;3,0;3,0;2,9;2,6;2,4;2,4;2,1;2,1;2,0;1,7
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;
Alkalmazásban állók;3 955 754;268 036;324 161;339 710;307 976;322 927;420 726;410 967;424 517;533 649;603 085
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;542 969;24 879;22 577;43 018;44 046;39 193;44 755;36 581;63 434;73 657;150 829
Aktív keresõk összesen;4 498 723;292 915;346 738;382 728;352 022;362 120;465 481;447 548;487 951;607 306;753 914
Ebbõl:;;;;;;;;;;;
férfiak;2 446 833;173 492;198 855;208 956;189 752;183 473;256 429;242 182;250 382;325 860;417 452
nõk;2 051 890;119 423;147 883;173 772;162 270;178 647;209 052;205 366;237 569;281 446;336 462
Nyugdíjasok összesen;2 078 190;50 297;111 373;138 376;266 864;228 634;257 364;356 611;292 306;233 415;142 950
Ebbõl: ;;;;;;;;;;;
férfiak;763 142;17 776;45 990;55 041;92 334;81 527;90 618;126 008;100 082;95 436;58 330
nõk;1 315 048;32 521;65 383;83 335;174 530;147 107;166 746;230 603;192 224;137 979;84 620
Munkanélküliek összesen;345 038;109 453;73 599;45 358;26 990;18 031;14 038;17 624;12 082;21 798;6 065
Ebbõl:  ;;;;;;;;;;;
férfiak;178 227;59 643;33 910;25 727;14 890;7 485;8 681;11 253;5 720;7 384;3 534
nõk;166 811;49 810;39 689;19 631;12 100;10 546;5 357;6 371;6 362;14 414;2 531
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;232 842;50 959;46 474;37 022;34 045;21 632;14 068;7 670;11 847;5 773;3 352
Tanuló felnõttek;35 339;5 388;3 396;3 137;4 285;2 035;2 310;3 670;2 456;2 184;6 478
Egyéb Inaktív felnõttek;358 067;92 491;65 429;48 693;35 353;29 513;33 817;12 718;19 086;15 943;5 024
Nem tanuló gyermekek;667 751;149 975;113 728;101 877;68 115;52 032;69 618;29 801;38 741;29 767;14 097
Tanulók, hallgatók;1 384 092;193 483;211 490;193 382;158 914;148 629;151 626;106 775;95 111;63 090;61 592
Összesen;9 600 042;944 961;972 227;950 573;946 588;862 626;1 008 322;982 417;959 580;979 276;993 472
