13.2.2.4. A megyei székhelyû ipar összes értékesítésének értéke és volumenindexe negyedévente;;;;;;;;;
Területi egység neve;Területi egység szintje;2021. I.;2021. I–II.;2021. I–III.;2021. I–IV.;2022. I.;2022. I–II.;2022. I–III.;2022. I–IV.
Somogy;megye;109,0;107,0;102,2;92,9;67,8;71,2;76,8;
Tolna;megye;102,3;110,0;106,7;102,0;87,0;87,6;87,5;
Dél-Dunántúl;régió;104,9;107,7;104,2;97,9;80,6;83,5;87,8;
Dunántúl;nagyrégió;100,8;116,8;107,8;102,7;94,6;98,2;103,3;
Borsod-Abaúj-Zemplén;megye;114,5;125,3;118,6;111,1;102,2;102,1;104,1;
Heves;megye;113,0;135,1;117,7;109,1;100,2;103,3;108,8;
Nógrád;megye;116,2;143,7;128,3;117,0;102,7;106,3;111,3;
Észak-Magyarország;régió;114,1;128,9;118,7;110,7;101,6;102,6;105,8;
Hajdú-Bihar;megye;101,0;104,6;105,2;105,4;107,8;107,3;108,9;
Jász-Nagykun-Szolnok;megye;117,0;120,5;108,7;112,0;119,5;109,9;105,5;
Szabolcs-Szatmár-Bereg;megye;108,1;116,1;113,9;113,0;111,8;108,5;107,0;
Észak-Alföld;régió;110,5;115,0;108,9;110,6;114,8;108,9;106,7;
Bács-Kiskun;megye;87,4;110,1;100,1;97,5;112,7;103,5;109,5;
Békés;megye;100,5;118,8;117,3;115,8;109,6;106,0;103,8;
Csongrád-Csanád;megye;98,6;103,2;101,8;101,6;101,5;105,2;104,2;
Dél-Alföld;régió;90,8;109,6;102,3;100,2;110,1;104,1;107,7;
Alföld és Észak;nagyrégió;106,1;119,2;111,0;107,7;107,5;104,8;106,5;
Ország összesen;ország;104,1;116,8;111,7;108,9;108,0;108,3;111,6;
