21.1.1.19. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek – Kormányzat + Európai Unió Intézményei [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.214 Termékadók a hozzáadottérték-adók és az importadók kivételével;13=14+..+25;277 495;362 825;449 254;603 200;729 515;792 519;877 372;968 630;1 118 289;1 343 466;1 443 307;1 646 728;1 807 372;1 925 388;1 871 905;1 964 079;2 053 158;2 214 291;2 308 791;2 372 343;2 482 021;2 536 847;2 615 490;2 859 423;3 022 190;2 957 022;3 107 419
D.214A Jövedéki adók és fogyasztási adók;14;201 141;243 436;291 129;402 463;458 432;484 673;512 070;565 370;616 865;673 690;708 080;790 494;847 832;890 817;911 598;880 054;908 812;994 776;963 301;995 543;1 077 465;1 111 633;1 113 593;1 223 997;1 258 616;1 279 737;1 319 630
D.214B Bélyegilletékek;15;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C Pénzügyi és tõkemûveletekre kivetett adók;16;20 252;28 680;33 695;40 024;45 714;52 754;63 902;71 415;98 526;111 328;112 491;118 881;117 466;140 555;118 481;77 618;68 905;79 869;64 708;81 879;93 389;113 564;129 831;147 562;168 708;165 192;185 271
D.214D Gépjármû-nyilvántartási adók;17;–;–;–;–;–;–;–;–;–;57 010;68 279;88 412;98 874;86 775;33 552;30 039;34 479;13 671;15 608;18 810;21 410;23 647;25 021;25 353;25 088;19 523;16 970
D.214E Szórakoztatóipari tevékenységekre kivetett adók;18;786;1 584;2 345;3 795;4 168;4 606;5 299;6 667;7 741;7 823;7 342;7 824;8 432;8 676;7 433;1 096;136;207;105;4 228;5 802;13 182;4 823;14 055;6 451;0;0
D.214F Lottójátékra, szerencsejátékra és fogadásra kivetett adók;19;6 761;9 248;12 202;14 627;17 789;29 089;34 573;39 892;49 140;61 298;67 426;71 449;71 811;73 294;65 050;62 718;64 088;61 452;41 316;45 830;44 972;33 126;38 065;39 265;39 656;48 956;39 237
D.214G Biztosítási díjakra kivetett adók;20;–;–;–;–;–;1 640;2 017;2 426;2 970;2 821;3 227;3 403;4 596;5 018;4 841;4 018;3 416;25 927;51 401;52 649;57 802;65 746;73 633;83 811;92 909;97 210;105 121
D.214H Egyéb, meghatározott szolgáltatásokra kivetett adók;21;1 684;2 410;2 096;3 625;4 493;4 571;5 083;1 668;24;–;–;–;–;–;–;–;–;18 322;346 136;340 172;271 255;263 504;281 982;323 832;342 448;295 606;309 456
D.214I Általános forgalmi adók;22;42 777;72 105;101 258;132 205;190 805;206 556;246 220;271 983;331 975;419 120;467 897;553 398;648 196;709 369;721 942;904 581;945 302;967 448;772 315;780 558;840 425;854 813;886 156;965 438;1 055 558;1 020 107;1 095 915
D.214J Fiskális monopóliumok nyeresége;23;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214K Exportvámok és az exportra kivetett monetáris kompenzációs összegek;24;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L Egyéb, máshová nem sorolt termékadók;25;4 094;5 362;6 529;6 461;8 114;8 630;8 208;9 209;11 048;10 376;8 565;12 867;10 165;10 884;9 008;3 955;28 020;52 619;53 901;52 674;69 501;57 632;62 386;36 110;32 756;30 691;35 819
D.29 Egyéb termelési adók;26=27+..+34;18 350;31 451;42 897;53 506;65 034;76 219;88 257;102 278;111 383;141 583;157 172;173 919;223 308;238 638;255 099;434 675;469 696;525 040;627 788;665 344;716 415;690 676;768 085;838 415;977 871;1 049 752;1 124 082
D.29A Földekre, épületekre vagy egyéb építményekre kivetett adók;27;5 320;10 070;12 993;15 504;19 715;22 090;30 671;34 212;39 821;44 774;50 881;54 878;62 868;71 735;77 247;82 401;91 355;113 871;177 074;178 179;186 997;194 673;202 198;203 696;206 198;209 199;220 217
D.29B Állóeszközök használatára kivetett adók;28;3 494;8 798;9 750;11 005;14 519;19 581;15 849;16 272;20 091;30 261;32 489;33 780;58 604;60 127;71 221;71 064;71 852;80 781;72 490;71 889;73 264;73 710;76 865;81 168;87 810;88 341;97 166
D.29C Az összbértömeg után kivetett adók és létszámadók;29;3 264;4 451;10 666;9 739;14 434;16 721;19 594;22 544;24 206;32 325;40 612;44 912;61 641;63 403;67 977;113 688;128 408;156 381;206 403;221 277;241 721;270 323;340 146;410 183;494 882;501 272;598 580
D.29D Nemzetközi tranzakciókra kivetett adók;30;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E Üzleti vagy szakmai engedélyekért fizetett összegek;31;6 272;8 132;9 488;13 698;12 969;16 870;16 068;18 016;20 705;21 650;25 732;25 579;25 093;24 801;24 346;157 935;163 843;164 290;154 392;171 961;181 845;113 681;115 638;103 654;102 727;170 903;123 007
D.29F Környezetszennyezésre kivetett adók;32;–;–;–;–;–;–;–;–;–;6 513;3 218;5 708;8 302;10 691;11 073;6 939;6 606;7 603;17 318;20 477;23 432;30 895;24 912;32 273;78 111;80 037;85 112
D.29G Héa-alulkompenzáció (átalányrendszer);33;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H Egyéb, máshová nem sorolt termelési adók;34;–;–;–;3 560;3 397;957;6 075;11 234;6 560;6 060;4 240;9 062;6 800;7 881;3 235;2 648;7 632;2 114;111;1 561;9 156;7 394;8 326;7 441;8 143;0;0
D.5 Folyó jövedelem-, vagyon-, stb. adók;35=36+47;491 533;639 873;767 415;904 213;1 070 581;1 282 079;1 524 088;1 722 545;1 780 328;1 850 618;1 973 356;2 210 875;2 577 587;2 792 991;2 539 015;2 127 905;1 769 071;1 946 962;1 978 897;2 191 687;2 376 176;2 616 913;2 804 826;2 856 929;3 121 146;3 239 287;3 095 779
D.51 Jövedelemadók;36=38+41+44+..+46;482 584;627 011;750 681;885 028;1 049 136;1 254 204;1 494 748;1 690 969;1 738 935;1 801 321;1 915 350;2 153 953;2 517 042;2 728 474;2 476 360;2 064 319;1 706 179;1 880 924;1 905 475;2 120 234;2 299 758;2 538 148;2 725 628;2 773 471;3 033 907;3 165 590;3 011 689
D.51M Egyének vagy háztartások jövedelmére kivetett adók, beleértve az eszköztartási nyereséget;37=38+39;376 308;500 097;586 525;667 734;786 681;961 482;1 142 892;1 294 413;1 325 273;1 363 283;1 449 725;1 599 001;1 816 574;2 033 568;1 897 169;1 734 663;1 367 832;1 513 186;1 501 244;1 598 030;1 698 455;1 720 725;1 951 872;2 201 574;2 445 576;2 543 302;2 254 828
D.51A Egyének vagy háztartások jövedelmére kivetett adók, kivéve az eszköztartási nyereséget;38;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C1 Az egyéneknél vagy háztartásokban jelentkezõ eszköztartási nyereségre kivetett adók;39;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51O Vállalatok jövedelmére vagy nyereségére kivetett adók, beleértve az eszköztartási nyereséget;40=41+42;106 276;126 914;164 156;217 294;262 455;292 722;351 856;396 556;413 662;438 038;465 625;554 952;700 268;694 865;555 021;312 598;321 441;362 088;350 153;487 241;559 679;771 188;720 626;512 240;542 771;558 664;679 582
D.51B Vállalatok jövedelmére vagy nyereségére kivetett adók, kivéve az eszköztartási nyereséget;41;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C2 Vállalatok eszköztartási nyereségére kivetett adók;42;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C3 Egyéb, eszköztartási nyereségre kivetett adók;43;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C Eszköztartási nyereségre kivetett adók;44=39+42+43;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51D Lottójáték vagy szerencsejáték nyereményeire kivetett adók;45;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E Egyéb, máshová nem sorolt jövedelemadók;46;–;–;–;–;–;–;–;–;–;–;–;–;200;41;24 170;17 058;16 906;5 650;54 078;34 963;41 624;46 235;53 130;59 657;45 560;63 624;77 279
D.59 Egyéb folyó adók;47=48+..+53;8 949;12 862;16 734;19 185;21 445;27 875;29 340;31 576;41 393;49 297;58 006;56 922;60 545;64 517;62 655;63 586;62 892;66 038;73 422;71 453;76 418;78 765;79 198;83 458;87 239;73 697;84 090
D.59A Tõkére kivetett folyó adók;48;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;227;743;816;534;453;443;474
D.59B Fejadók;49;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59C Költségadók;50;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D. Háztartások által engedélyekért fizetett adók;51;6 785;9 381;12 287;13 798;15 841;20 375;20 976;22 774;31 769;38 537;46 092;44 055;46 058;48 590;46 383;46 950;44 346;44 526;50 732;48 505;51 536;51 622;49 988;52 999;55 447;54 034;61 100
D.59E Nemzetközi tranzakciókra kivetett adók;52;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F Egyéb, máshová nem sorolt folyó adók;53;2 164;3 481;4 447;5 387;5 604;7 500;8 364;8 802;9 624;10 760;11 914;12 867;14 487;15 927;16 272;16 636;18 546;21 512;22 690;22 948;24 655;26 400;28 394;29 925;31 339;19 220;22 516
D.91 Tõkeadók;54=55+..+57;3 120;3 518;4 738;5 942;6 338;7 110;8 846;10 743;12 573;18 585;20 894;21 411;17 087;16 526;13 669;8 752;7 462;7 510;7 188;9 546;11 199;13 997;18 436;16 355;19 984;15 446;16 717
D.91A Tõketranszferekre kivetett adók;55;2 546;2 733;3 652;4 324;4 892;5 460;6 652;8 700;8 613;12 667;15 610;15 801;13 310;11 447;9 261;6 264;6 500;5 654;5 307;6 179;7 373;8 278;9 393;8 519;11 429;9 492;9 131
D.91B Tõkeilleték;56;574;785;1 086;1 618;1 446;1 650;2 194;2 043;3 960;5 918;5 284;5 610;3 777;5 079;4 408;2 488;962;1 856;1 881;3 367;3 826;5 719;9 043;7 836;8 555;5 954;7 586
D.91C Egyéb, máshová nem sorolt tõkeadók;57;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODA Összes adóbevétel;58=1+35+54;1 506 103;1 836 816;2 122 469;2 523 886;2 964 827;3 489 653;3 899 810;4 329 151;4 766 327;5 250 186;5 488 429;5 891 108;6 676 076;7 081 488;6 908 711;6 896 478;6 717 655;7 357 614;7 651 526;8 292 995;8 947 703;9 212 815;9 893 954;10 778 923;11 748 454;12 059 346;12 903 155
D.61 Nettó társadalombiztosítási hozzájárulások;59=60–63+66+69+77;851 026;973 704;1 224 563;1 426 532;1 519 358;1 748 993;1 971 090;2 213 403;2 383 200;2 559 260;2 781 064;2 996 916;3 465 398;3 667 952;3 411 895;3 247 065;3 686 046;3 961 432;4 061 836;4 339 852;4 629 838;4 973 683;5 018 260;5 251 372;5 584 524;5 394 876;5 813 876
D.611 Munkaadók tényleges társadalombiztosítási hozzájárulásai;60=61+62=64+65;679 992;784 424;990 998;1 159 049;1 200 524;1 397 529;1 548 544;1 727 993;1 845 055;1 952 792;2 139 313;2 248 530;2 443 270;2 595 232;2 375 333;2 073 190;2 186 120;2 350 362;2 383 945;2 590 549;2 763 007;2 987 424;2 764 442;2 729 014;2 822 519;2 521 619;2 586 209
D.611C Munkaadók tényleges kötelezõ társadalombiztosítási hozzájárulásai;61;679 992;784 424;990 998;1 159 049;1 200 524;1 397 529;1 548 544;1 727 993;1 845 055;1 952 792;2 139 313;2 248 530;2 443 270;2 595 232;2 375 333;2 073 190;2 186 120;2 350 362;2 383 945;2 590 549;2 763 007;2 987 424;2 764 442;2 729 014;2 822 519;2 521 619;2 586 209
D.611V Munkaadók tényleges önkéntes társadalombiztosítási hozzájárulásai;62;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.61SC Társadalombiztosítási rendszerek szolgáltatási díjai;63;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6111 Munkaadók tényleges nyugdíjjárulékai;64;348 590;407 606;466 438;588 509;619 232;747 370;809 104;865 546;949 606;1 008 653;1 111 416;1 210 016;1 515 796;1 843 856;1 777 818;1 800 864;1 899 770;2 023 388;2 263 105;2 339 635;2 221 912;2 152 455;1 893 809;2 016 679;1 961 439;1 781 017;1 825 198
D.6112 Munkaadók tényleges nem nyugdíjcélú járulékai;65;331 402;376 818;524 560;570 540;581 292;650 159;739 440;862 447;895 449;944 139;1 027 897;1 038 514;927 474;751 376;597 515;272 326;286 350;326 974;120 840;250 914;541 095;834 969;870 633;712 335;861 079;740 602;761 011
D.612 Munkaadók imputált társadalombiztosítási hozzájárulásai;66=67+68;3 622;4 431;5 803;6 451;9 644;10 064;9 773;10 953;14 604;20 577;21 018;22 042;21 113;23 150;23 835;24 841;23 039;20 664;21 669;24 486;28 783;14 824;18 678;22 727;22 688;29 149;30 949
D.6121 Munkaadók imputált nyugdíjjárulékai;67;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6122 Munkaadók imputált nem nyugdíjcélú járulékai;68;3 622;4 431;5 803;6 451;9 644;10 064;9 773;10 953;14 604;20 577;21 018;22 042;21 113;23 150;23 835;24 841;23 039;20 664;21 669;24 486;28 783;14 824;18 678;22 727;22 688;29 149;30 949
D.613 Háztartások tényleges társadalombiztosítási hozzájárulásai;69=70+71=72+76;167 412;184 849;227 762;261 032;309 190;341 400;412 773;474 457;523 541;585 891;620 733;726 344;1 001 015;1 049 570;1 012 727;1 149 034;1 476 887;1 590 406;1 656 222;1 724 817;1 838 048;1 971 435;2 235 140;2 499 631;2 739 317;2 844 108;3 196 718
D.6131 Háztartások tényleges nyugdíjjárulékai;70;87 796;98 307;121 216;151 566;175 801;189 532;220 261;251 019;296 656;299 485;306 727;328 309;372 093;455 717;449 301;538 912;869 865;853 410;876 580;909 892;970 219;1 042 993;1 190 567;1 336 665;1 482 560;1 540 205;1 732 380
D.6132 Háztartások tényleges nem nyugdíjcélú járulékai;71;79 616;86 542;106 546;109 466;133 389;151 868;192 512;223 438;226 885;286 406;314 006;398 035;628 922;593 853;563 426;610 122;607 022;736 996;779 642;814 925;867 829;928 442;1 044 573;1 162 966;1 256 757;1 303 903;1 464 338
D.613C Háztartások tényleges kötelezõ társadalombiztosítási hozzájárulásai;72=73+74+75;167 412;184 849;227 762;260 239;308 103;340 127;411 012;472 374;521 329;583 645;618 402;724 302;999 253;1 047 778;1 011 101;1 147 449;1 475 211;1 588 816;1 654 719;1 723 433;1 836 867;1 970 200;2 233 977;2 498 541;2 738 334;2 843 155;3 195 755
D.613CE Munkavállalók tényleges kötelezõ társadalombiztosítási hozzájárulásai;73;130 433;144 159;185 755;216 956;259 213;283 591;334 828;395 202;436 624;495 194;522 320;600 352;869 583;906 250;869 328;1 025 375;1 346 432;1 459 104;1 583 675;1 659 428;1 767 267;1 899 267;2 163 857;2 427 420;2 672 318;2 775 264;3 122 406
D.613CS Önálló vállalkozók tényleges kötelezõ társadalombiztosítási hozzájárulásai;74;19 773;23 651;26 959;28 096;29 547;39 138;60 244;57 876;64 331;65 923;68 253;100 680;96 924;97 006;87 319;62 391;66 089;63 670;37 027;36 429;40 501;41 353;39 818;39 611;33 050;33 326;37 120
D.613CN Alkalmazásban nem állók tényleges kötelezõ társadalombiztosítási hozzájárulásai;75;17 206;17 039;15 048;15 187;19 343;17 398;15 940;19 296;20 374;22 528;27 829;23 270;32 746;44 522;54 454;59 683;62 690;66 042;34 017;27 576;29 099;29 580;30 302;31 510;32 966;34 565;36 229
D.613V Háztartások tényleges önkéntes társadalombiztosítási hozzájárulásai;76;–;–;–;793;1 087;1 273;1 761;2 083;2 212;2 246;2 331;2 042;1 762;1 792;1 626;1 585;1 676;1 590;1 503;1 384;1 181;1 235;1 163;1 090;983;953;963
D.614 Háztartások kiegészítõ társadalombiztosítási hozzájárulásai;77=78+79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6141 Háztartások kiegészítõ nyugdíjjárulékai;78;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6142 Háztartások kiegészítõ nem nyugdíjcélú járulékai;79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995 Államháztartási tõketranszferek a megfelelõ szektorok részére;80=81+..+86+90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995A Megállapított, de valószínûleg be nem hajtható termékadók;81;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995B Megállapított, de valószínûleg be nem hajtható egyéb termelési adók;82;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995C Megállapított, de valószínûleg be nem hajtható jövedelemadók;83;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995D Megállapított, de valószínûleg be nem hajtható egyéb folyó adók;84;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995E Munkaadók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;85;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995F Háztartások megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;86=87+..+89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FE Munkavállalók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;87;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FS Önálló vállalkozók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;88;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FN Alkalmazásban nem állók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995G Megállapított, de valószínûleg be nem hajtható tõkeadók;90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODB adókból és társadalombiztosítási hozzájárulásokból származó összes bevétel;"91=1+35+54+59–
66–77–80";2 353 507;2 806 089;3 341 229;3 943 967;4 474 541;5 228 582;5 861 127;6 531 601;7 134 923;7 788 869;8 248 475;8 865 982;10 120 361;10 726 290;10 296 771;10 118 702;10 380 662;11 298 382;11 691 693;12 608 361;13 548 758;14 171 674;14 893 536;16 007 568;17 310 290;17 425 073;18 686 082
ODC adókból és a nettó társadalombiztosítási hozzájárulásokból származó összes bevétel (az imputált TB hozzájárulásokat is beleértve);92=1+35+54+59–80;2 357 129;2 810 520;3 347 032;3 950 418;4 484 185;5 238 646;5 870 900;6 542 554;7 149 527;7 809 446;8 269 493;8 888 024;10 141 474;10 749 440;10 320 606;10 143 543;10 403 701;11 319 046;11 713 362;12 632 847;13 577 541;14 186 498;14 912 214;16 030 295;17 332 978;17 454 222;18 717 031
ODD adóteher – az adókból és a kötelezõ társadalombiztosítási hozzájárulásokból származó összes bevétel;"93=1+35+54+59–
66–77–62–76–80";2 353 507;2 806 089;3 341 229;3 943 174;4 473 454;5 227 309;5 859 366;6 529 518;7 132 711;7 786 623;8 246 144;8 863 940;10 118 599;10 724 498;10 295 145;10 117 117;10 378 986;11 296 792;11 690 190;12 606 977;13 547 577;14 170 439;14 892 373;16 006 478;17 309 307;17 424 120;18 685 119
