20.1.1.16. A 15–74 éves foglalkoztatottak távmunkavégzése munkaerõpiaci jellemzõik szerint;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;2011 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2011 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2011 Együtt, fõ;2011 Összes foglalkoztatott, fõ;2012 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2012 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2012 Együtt, fõ;2012 Összes foglalkoztatott, fõ;2013 Az elmúlt 4 hétben távmunkát végzett rendszeresen, fõ;2013 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2013 Együtt, fõ;2013 Összes foglalkoztatott, fõ;2014 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2014 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2014 Együtt, fõ;2014 Összes foglalkoztatott, fõ;2015 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2015 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2015 Együtt, fõ;2015 Összes foglalkoztatott, fõ;2016 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2016 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2016 Együtt, fõ;2016 Összes foglalkoztatott, fõ;2017 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2017 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2017 Együtt, fõ;2017 Összes foglalkoztatott, fõ;2018 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2018 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2018 Együtt, fõ;2018 Összes foglalkoztatott, fõ;2019 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2019 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2019 Együtt, fõ;2019 Összes foglalkoztatott, fõ;2020 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2020 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2020 Együtt, fõ;2020 Összes foglalkoztatott, fõ;2021 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2021 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2021 Együtt, fõ;2021 Összes foglalkoztatott, fõ
részmunkaidõs;8 452 ;247 303 ;255 755 ;255 755 ;12 259 ;258 412 ;270 671 ;270 671 ;9 993 ;252 941 ;262 934 ;262 934 ;9 377 ;252 270 ;261 647 ;261 647 ;7 641 ;246 673 ;254 314 ;254 314 ;7 164 ;220 973 ;228 136 ;228 136 ;6 898 ;205 619 ;212 517 ;212 517 ;8 013 ;208 376 ;216 389 ;216 389 ;7 284 ;226 131 ;233 415 ;233 415 ;24 128 ;227 946 ;252 075 ;252 075 ;26 233 ;223 978 ;250 211 ;252 229 
teljes munkaidõs;90 893 ;3 412 370 ;3 503 264 ;3 503 264 ;120 458 ;3 436 085 ;3 556 543 ;3 556 543 ;144 409 ;3 485 418 ;3 629 827 ;3 629 827 ;126 571 ;3 696 968 ;3 823 539 ;3 823 539 ;117 227 ;3 832 193 ;3 949 420 ;3 949 420 ;94 604 ;4 025 465 ;4 120 069 ;4 120 069 ;105 495 ;4 103 371 ;4 208 866 ;4 208 866 ;127 827 ;4 125 252 ;4 253 079 ;4 253 079 ;83 079 ;4 195 627 ;4 278 706 ;4 278 706 ;360 939 ;3 847 446 ;4 208 385 ;4 208 385 ;392 772 ;3 850 576 ;4 243 348 ;4 382 321 
nem besorolt;–;–;–;143 964 ;–;–;–;131 510 ;–;–;–;136 508 ;–;–;–;137 413 ;–;–;–;131 359 ;–;–;–;134 004 ;–;–;–;126 990 ;–;–;–;136 911 ;–;–;–;132 446 ;–;–;–;142 770 ;–;–;–;–
A munkáltató fõtevékenysége szektorok szerint;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A – Mezõgazdaság, erdõgazdálkodás, halászat;2 287 ;182 297 ;184 584 ;186 472 ;3 418 ;189 251 ;192 669 ;194 729 ;2 870 ;181 761 ;184 630 ;186 419 ;2 627 ;186 987 ;189 614 ;191 118 ;2 051 ;201 165 ;203 216 ;205 340 ;1 428 ;215 568 ;216 996 ;219564,98;2 152 ;217 859 ;220 011 ;222 393 ;776 ;214 079 ;214 855 ;217 395 ;813 ;209 928 ;210 742 ;212 693 ;2 668 ;208 603 ;211 270 ;213 896 ;1 537 ;196 964 ;198 500 ;201 435 
B–F – Ipar;14 833 ;1 146 360 ;1 161 193 ;1 193 889 ;23 442 ;1 117 331 ;1 140 773 ;1 168 158 ;26 304 ;1 138 772 ;1 165 076 ;1 191 326 ;25 559 ;1 223 767 ;1 249 326 ;1 271 709 ;18 711 ;1 254 534 ;1 273 244 ;1 296 462 ;16 049 ;1 302 961 ;1 319 010 ;1 341 637 ;18 820 ;1 371 025 ;1 389 844 ;1 418 188 ;22 009 ;1 423 871 ;1 445 880 ;1 479 137 ;12 096 ;1 431 964 ;1 444 060 ;1 470 564 ;52 725 ;1 366 838 ;1 419 564 ;1 449 845 ;58 301 ;1 362 454 ;1 420 755 ;1 451 822 
ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C – Feldolgozóipar;8 556 ;791 437 ;799 994 ;828 704 ;14 805 ;774 420 ;789 225 ;811 144 ;17 891 ;801 398 ;819 289 ;841 755 ;18 035 ;870 622 ;888 657 ;908 835 ;14 794 ;886 888 ;901 682 ;921 574 ;10 842 ;928 104 ;938 946 ;958 600 ;12 400 ;975 513 ;987 913 ;1 012 860 ;13 944 ;989 176 ;1 003 120 ;1 033 022 ;9 222 ;987 336 ;996 558 ;1 020 787 ;34 978 ;925 597 ;960 576 ;989 653 ;38 087 ;913 588 ;951 675 ;980 835 
F – Építõipar;4 815 ;255 846 ;260 661 ;263 510 ;6 885 ;236 336 ;243 221 ;246 613 ;7 172 ;238 341 ;245 513 ;247 523 ;5 213 ;253 162 ;258 375 ;259 408 ;2 602 ;269 279 ;271 881 ;273 827 ;2 915 ;274 878 ;277 793 ;279 472 ;4 632 ;298 219 ;302 851 ;304 428 ;5 700 ;326 868 ;332 568 ;333 762 ;1 477 ;341 822 ;343 299 ;344 490 ;10 034 ;350 851 ;360 886 ;361 571 ;10 408 ;362 231 ;372 639 ;373 840 
G–U – Szolgáltatások;82 225 ;2 331 017 ;2 413 241 ;2 517 315 ;105 857 ;2 387 914 ;2 493 771 ;2 591 284 ;125 229 ;2 417 826 ;2 543 054 ;2 647 075 ;107 763 ;2 538 483 ;2 646 246 ;2 741 389 ;104 105 ;2 623 168 ;2 727 274 ;2 823 340 ;84 291 ;2 727 909 ;2 812 200 ;2 914 049 ;91 421 ;2 720 106 ;2 811 527 ;2 905 479 ;113 055 ;2 695 678 ;2 808 733 ;2 906 516 ;77 454 ;2 779 865 ;2 857 319 ;2 956 133 ;329 674 ;2 499 951 ;2 829 625 ;2 935 528 ;359 167 ;2 515 136 ;2 874 304 ;2 981 293 
ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G–N – Piaci szolgáltatások;54 074 ;1 340 145 ;1 394 219 ;1 456 730 ;67 840 ;1 370 778 ;1 438 617 ;1 498 980 ;86 977 ;1 372 582 ;1 459 558 ;1 518 916 ;80 396 ;1 410 706 ;1 491 102 ;1 546 572 ;74 747 ;1 435 785 ;1 510 532 ;1 566 216 ;61 228 ;1 501 115 ;1 562 344 ;1 622 099 ;66 591 ;1 506 799 ;1 573 390 ;1 621 649 ;86 758 ;1 466 341 ;1 553 099 ;1 606 114 ;60 117 ;1 541 820 ;1 601 937 ;1 654 769 ;206 795 ;1 393 327 ;1 600 122 ;1 657 655 ;251 402 ;1 375 886 ;1 627 288 ;1 684 828 
O–U – Közszolgáltatás;28 150 ;990 872 ;1 019 023 ;1 060 584 ;38 017 ;1 017 137 ;1 055 154 ;1 092 304 ;38 252 ;1 045 244 ;1 083 496 ;1 128 159 ;27 367 ;1 127 777 ;1 155 144 ;1 194 817 ;29 358 ;1 187 383 ;1 216 741 ;1 257 125 ;23 062 ;1 226 794 ;1 249 856 ;1 291 950 ;24 830 ;1 213 307 ;1 238 137 ;1 283 831 ;26 297 ;1 229 337 ;1 255 634 ;1 300 402 ;17 336 ;1 238 045 ;1 255 382 ;1 301 364 ;122 879 ;1 106 624 ;1 229 503 ;1 277 873 ;107 765 ;1 139 250 ;1 247 016 ;1 296 466 
nem besorolt;–;–;–;5 307 ;–;–;–;4 552 ;–;–;–;4 449 ;–;–;–;18 384 ;–;–;–;9 951 ;–;–;–;6 959 ;–;–;–;2 312 ;–;–;–;3 331 ;–;–;–;5 177 ;–;–;–;3 960 ;–;–;–;–
