21.1.1.29. Nemzeti adólista – az adók és társadalombiztosítási hozzájárulások nemzeti osztályozásának teljes részletezése – Társadalombiztosítási alapok [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Adónév a nemzeti besorolás szerint;Gazdasági funkció;Alkohol- és dohány-, valamint környezetvédelmi és ingatlanadók;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2122C_01;Import termékekre kivetett fogyasztási adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C_02;Import termékek környezetvédelmi termékdíja;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122D;Importra kivetett általános forgalmi adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122E;Meghatározott szolgáltatásokra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122F;Importmonopóliumok nyeresége;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214;Termékadók a hozzáadottérték-adók és az importadók kivételével;;;–;–;–;–;–;–;–;–;–;–;–;–;20 258;30 322;31 663;28 104;40 055;86 576;82 899;86 555;103 645;105 440;118 015;133 204;111 355;110 739;119 793
D.214A;Jövedéki adók és fogyasztási adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214A_01;Fogyasztási és jövedéki adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214A_02;Környezetvédelmi termékdíj;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214A_03;Energiaadó;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214B;Bélyegilletékek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C;Pénzügyi és tõkemûveletekre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C_01;Adásvételi illeték;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214D;Gépjármûnyilvántartási adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214D_01;Gépjármû regisztrációs adó;C ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E;Szórakoztatóipari tevékenységekre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E_01;Nemzeti kulturális járulék;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E_02;Kulturális adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E_03;Reklámadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214F;Lottójátékra, szerencsejátékra és fogadásra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214F_01;Játékadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G;Biztosítási díjakra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;25 927;23 313;23 902;27 694;32 876;37 904;43 801;5 125;-10;–
D.214G_01;Baleseti adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;25 927;23 313;23 902;27 694;32 876;37 904;43 801;5 125;-10;–
D.214G_02;Biztosítási adó ;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G_03;Tûzvédelmi hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H;Egyéb, meghatározott szolgáltatásokra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_01;Turisztikai hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_02;Távközlési adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_03;Hulladéklerakási járulék;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_04;Turizmusfejlesztési hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_05;Pénzügyi tranzakciós adó ;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I;Általános forgalmi adók;;;–;–;–;–;–;–;–;–;–;–;–;–;20 258;30 322;31 663;28 104;40 055;60 649;59 586;62 653;75 951;72 564;80 111;89 403;106 230;110 749;119 793
D.214I_01;Helyi iparûzési adó;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_02;Egyszerûsített vállalkozási adó (EVA);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_03;Innovációs járulék;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_04;Közfinanszírozott gyógyszerek forgalma után fizetett adó;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;20 258;30 322;31 663;28 104;40 055;41 441;40 496;42 263;45 529;43 581;45 940;48 676;51 318;53 064;53 447
D.214I_05;Ágazati különadók;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_06;Pénzügyi szervezetek különadója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_07;Népegészségügyi termékadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;19 208;19 090;20 390;29 882;28 983;34 171;40 727;54 912;57 685;66 346
D.214I_08;Szénhidrogén készletezési díj;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_09;Forgalmazók és befektetési alapok különadója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_10;Dohányipari vállalkozások egészségügyi hozzájárulása;C ;AT;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;540;–;–;–;–;–;–
D.214I_11;Kiskereskedelmi adó;KS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214J;Fiskális monopóliumok nyeresége;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214K;Exportvámok és az exportra kivetett monetáris kompenzációs összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L;Egyéb, máshová nem sorolt termékadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_01;Bérfõzetési szeszadó;C ;AT;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_02;Erdõfenntartási járulék;C ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_03;Tenyésztési hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_04;Halászatfejlesztési hozzájárulás;C ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_05;Vadvédelmi hozzájárulás;C ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_06;Cukorilleték;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L_07;Energiaipari befizetések (MAVIR);C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29;Egyéb termelési adók;;;–;–;–;–;–;–;–;–;–;–;–;–;10 209;4 540;8 219;9 431;12 232;12 799;9 547;9 749;10 283;8 631;12 757;11 113;10 179;9 543;8 574
D.29A;Földekre, épületekre vagy egyéb építményekre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29A_01;Építményadó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29A_02;Telekadó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29A_03;Épületek utáni idegenforgalmi adó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29A_04;Közmûvezetékek utáni adó;KS ;RP;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B;Állóeszközök használatára kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_01;Gépjármûadó (központi);KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_02;Gépjármûadó (helyi);KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_03;Cégautóadó;KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_04;Cukortermelés szerkezeti átalakítása miatti illeték;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29B_05;Gépjármûadó (túlsúlydíj);KS ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C;Az összbértömeg után kivetett adók és létszámadók;;;–;–;–;–;–;–;–;–;–;–;–;–;10 209;4 540;8 219;9 431;12 232;12 799;9 547;9 749;10 283;8 631;12 757;11 113;10 179;9 543;8 574
D.29C_01;Rehabilitációs hozzájárulás;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_02;Szakképzési hozzájárulás;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_03;Kommunális adó;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_04;Gyógyszerismertetõk után fizetett adó;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;10 209;4 540;8 219;9 431;12 232;12 799;9 547;9 749;10 283;8 631;12 757;11 113;10 179;9 543;8 574
D.29C_05;Kisadózók tételes adója (KATA);KISE;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29C_06;Kisvállalati adó (KIVA);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29D;Nemzetközi tranzakciókra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E;Üzleti vagy szakmai engedélyekért fizetett összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_01;Koncessziós díj;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_02;Eljárási illeték;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_03;Rendkívüli tõkeadók;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_04;Tagdíjbevétel (BEVA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_05;Tagdíjbevétel (OBA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_06;Tagdíjbevétel (Szanálási Alap);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_07;Tagdíjbevétel (SZHTKA);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_08;Tagdíjbevétel (Kárrendezési Alap);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_09;Koncessziós díj (dohányboltok);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_10;Tagdíjbevétel (Pénztárak Garancia Alapja);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E_11;Hitelintézetek járványügyi különadója;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29F;Környezetszennyezésre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29F_01;Környezetterhelési díj;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29F_02;Széndioxid kvóta értékesítés bevétele;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29G;Héa-alulkompenzáció (átalányrendszer);;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H;Egyéb, máshová nem sorolt termelési adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H_01;Gyógyszertári szolidaritási díj;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H_02;Nukleáris hozzájárulás;KS ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.5;Folyó jövedelem-, vagyon-, stb. adók;;;–;–;–;–;–;–;–;–;–;–;–;–;200;41;0;71;20;40;18;4;2;12;0;0;5;1;0
D.51;Jövedelemadók;;;–;–;–;–;–;–;–;–;–;–;–;–;200;41;0;71;20;40;18;4;2;12;0;0;5;1;0
D.51M;Egyének vagy háztartások jövedelmére kivetett adók, beleértve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51M_01;Személyi jövedelemadó (szja);SPLIT1 ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51A;Egyének vagy háztartások jövedelmére kivetett adók, kivéve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C1;Az egyéneknél vagy háztartásokban jelentkezõ eszköztartási nyereségre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O;Vállalatok jövedelmére vagy nyereségére kivetett adók, beleértve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_01;Társasági nyereségadó;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_02;Különadó;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_03;Pénzintézetek különadója;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51O_04;Hitelintézeti járadék;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51B;Vállalatok jövedelmére vagy nyereségére kivetett adók, kivéve az eszköztartási nyereséget;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C2;Vállalatok eszköztartási nyereségére kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C3;Egyéb, eszköztartási nyereségre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C;Eszköztartási nyereségre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51D;Lottójáték vagy szerencsejáték nyereményeire kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E;Egyéb, máshová nem sorolt jövedelemadók;;;–;–;–;–;–;–;–;–;–;–;–;–;200;41;0;71;20;40;18;4;2;12;0;0;5;1;0
D.51E_01;Sávos kockázatviselés tb alap;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;200;41;0;71;20;40;18;4;2;12;0;0;5;1;0
D.51E_02;Energiaellátók különadója;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E_03;Települési adó (jövedelmi típusú);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59;Egyéb folyó adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59A;Tõkére kivetett folyó adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59A_01;Települési adó (egyéb típusú);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59B;Fejadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59C;Költségadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D;Háztartások által engedélyekért fizetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D_01;Gépjármûadó;C ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D_02;Eljárási illeték;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D_03;Egyéb átengedett központi adók;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59E;Nemzetközi tranzakciókra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F;Egyéb, máshová nem sorolt folyó adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F_01;Háztartások kommunális adója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F_02;Idegenforgalmi adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F_03;Környezetterhelési díj;KS ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91;Tõkeadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91A;Tõketranszferekre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91A_01;Örökösödési és ajándékozási illeték;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91A_02;Luxusadó;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91B;Tõkeilleték;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91B_01;Földvédelmi járulék;KS ;RS;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91B_02;Települési adó (vagyoni típusú);KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.91C;Egyéb, máshová nem sorolt tõkeadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODA;Összes adóbevétel;;;–;–;–;–;–;–;–;–;–;–;–;–;30 667;34 903;39 882;37 606;52 307;99 415;92 464;96 308;113 930;114 083;130 772;144 317;121 539;120 283;128 367
D.61;Nettó társadalombiztosítási hozzájárulások;;;774 655;880 773;1 098 204;1 288 861;1 388 553;1 600 093;1 797 317;2 007 340;2 175 806;2 333 384;2 525 791;2 707 983;3 137 295;3 320 032;3 117 313;3 040 351;3 475 312;3 752 104;3 913 807;4 159 802;4 453 088;4 714 491;4 646 455;5 029 003;5 274 443;5 137 116;5 529 322
D.611;Munkaadók tényleges társadalombiztosítási hozzájárulásai;;;625 625;716 477;899 252;1 060 180;1 116 522;1 302 174;1 435 949;1 593 673;1 697 639;1 794 878;1 964 996;2 059 999;2 242 524;2 381 961;2 211 486;1 999 485;2 111 020;2 289 791;2 383 945;2 570 561;2 759 831;2 898 306;2 588 221;2 727 662;2 756 522;2 520 227;2 584 713
D.611C;Munkaadók tényleges kötelezõ társadalombiztosítási hozzájárulásai;;;625 625;716 477;899 252;1 060 180;1 116 522;1 302 174;1 435 949;1 593 673;1 697 639;1 794 878;1 964 996;2 059 999;2 242 524;2 381 961;2 211 486;1 999 485;2 111 020;2 289 791;2 383 945;2 570 561;2 759 831;2 898 306;2 588 221;2 727 662;2 756 522;2 520 227;2 584 713
D.611C_01;Szociális hozzájárulási adó;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2 154 498;2 238 460;2 420 340;2 594 723;2 709 229;2 403 017;2 533 614;2 683 415;2 454 047;2 516 301
D.611C_02;Egészségügyi hozzájárulás (munkaadók);LEYRS;;126;113;50 002;91 931;150 155;167 225;181 162;199 879;160 500;159 882;160 281;98 734;107 620;114 421;106 005;30 341;39 991;81 160;103 091;114 433;127 279;146 154;136 928;138 708;11 991;291;150
D.611C_03;Egészségügyi szolgáltatási járulék (munkaadók);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3 815;3 934;4 071;4 122;4 252;4 252;4 252;4 252
D.611C_04;Felszolgálási díj utáni nyugdíjjárulék;LEYRS;;–;–;–;–;–;–;–;–;–;–;8;239;39;46;..;..;..;..;..;499;705;889;1 169;1 696;1 881;1 954;2 198
D.611C_05;Egyszerûsített foglalkoztatás utáni közterhek;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;5 953;7 234;9 508;12 770;13 424;14 494;16 527;18 210;19 511;18 958;20 806
D.611C_06;Munkáltatói táppénz hozzájárulás;LEYRS;;–;3 530;7 659;9 499;12 348;14 115;14 721;18 119;21 450;22 433;23 310;23 043;23 368;24 894;24 808;18 833;15 802;13 901;14 629;18 704;19 766;23 469;26 458;31 182;35 472;40 725;41 006
