21.1.1.22. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek – Helyi önkormányzat [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.29 Egyéb termelési adók;26=27+..+34;7 334;15 271;18 922;22 314;28 254;35 523;40 863;44 702;60 175;75 372;84 698;90 242;106 977;115 684;120 538;130 161;139 473;161 016;138 744;139 775;148 143;156 333;164 572;167 871;171 195;157 090;166 442
D.29A Földekre, épületekre vagy egyéb építményekre kivetett adók;27;5 320;10 070;12 993;15 504;19 715;22 090;30 671;34 212;39 821;44 774;50 881;54 878;62 868;71 735;77 247;82 401;91 355;113 871;122 135;123 158;131 091;139 641;147 156;149 442;151 689;156 697;166 090
D.29B Állóeszközök használatára kivetett adók;28;1 497;4 445;5 034;5 716;7 185;12 241;9 000;9 334;19 206;29 403;31 636;32 934;41 657;42 251;40 468;45 118;46 576;46 488;16 004;16 173;16 660;16 620;17 401;18 192;19 224;125;–
D.29C Az összbértömeg után kivetett adók és létszámadók;29;517;756;895;1 094;1 354;1 192;1 192;1 156;1 148;1 164;1 153;1 268;1 261;1 325;1 291;1 170;102;16;2;–;–;–;–;–;–;–;–
D.29D Nemzetközi tranzakciókra kivetett adók;30;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E Üzleti vagy szakmai engedélyekért fizetett összegek;31;–;–;–;–;–;–;–;–;–;–;965;1 027;907;–;1 162;1 107;1 095;293;–;–;–;–;–;–;–;–;–
D.29F Környezetszennyezésre kivetett adók;32;–;–;–;–;–;–;–;–;–;31;63;135;284;373;370;365;345;348;603;444;392;72;15;237;282;268;352
D.29G Héa-alulkompenzáció (átalányrendszer);33;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H Egyéb, máshová nem sorolt termelési adók;34;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.5 Folyó jövedelem-, vagyon-, stb. adók;35=36+47;96 774;107 377;142 998;187 728;202 989;256 510;302 237;349 609;427 332;483 352;470 810;492 645;528 755;39 541;41 170;44 182;45 582;46 188;34 857;35 221;37 634;39 862;42 399;44 236;46 339;19 808;23 040
D.51 Jövedelemadók;36=38+41+44+..+46;93 629;101 274;135 652;179 090;193 118;244 456;288 801;335 545;406 894;456 025;440 105;460 117;492 303;114;94;93;82;68;68;42;59;51;41;33;27;36;38
D.51M Egyének vagy háztartások jövedelmére kivetett adók, beleértve az eszköztartási nyereséget;37=38+39;93 629;101 274;135 652;179 090;193 118;244 456;288 801;335 545;406 894;456 025;440 105;460 117;492 303;114;94;93;82;68;68;42;45;46;35;33;27;36;35
D.51A Egyének vagy háztartások jövedelmére kivetett adók, kivéve az eszköztartási nyereséget;38;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51C1 Az egyéneknél vagy háztartásokban jelentkezõ eszköztartási nyereségre kivetett adók;39;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
D.51O Vállalatok jövedelmére vagy nyereségére kivetett adók, beleértve az eszköztartási nyereséget;40=41+42;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51B Vállalatok jövedelmére vagy nyereségére kivetett adók, kivéve az eszköztartási nyereséget;41;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C2 Vállalatok eszköztartási nyereségére kivetett adók;42;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C3 Egyéb, eszköztartási nyereségre kivetett adók;43;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51C Eszköztartási nyereségre kivetett adók;44=39+42+43;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51D Lottójáték vagy szerencsejáték nyereményeire kivetett adók;45;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.51E Egyéb, máshová nem sorolt jövedelemadók;46;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;14;5;6;0;0;0;3
D.59 Egyéb folyó adók;47=48+..+53;3 145;6 103;7 346;8 638;9 871;12 054;13 436;14 064;20 438;27 327;30 705;32 528;36 452;39 427;41 076;44 089;45 500;46 120;34 789;35 179;37 575;39 811;42 358;44 203;46 312;19 772;23 002
D.59A Tõkére kivetett folyó adók;48;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;227;743;816;534;453;443;474
D.59B Fejadók;49;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59C Költségadók;50;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59D. Háztartások által engedélyekért fizetett adók;51;981;2 622;2 899;3 251;4 267;4 554;5 072;5 262;10 814;16 567;18 791;19 661;21 965;23 500;24 804;27 453;26 954;24 608;12 099;12 231;12 693;12 668;13 148;13 744;14 520;109;12
D.59E Nemzetközi tranzakciókra kivetett adók;52;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.59F Egyéb, máshová nem sorolt folyó adók;53;2 164;3 481;4 447;5 387;5 604;7 500;8 364;8 802;9 624;10 760;11 914;12 867;14 487;15 927;16 272;16 636;18 546;21 512;22 690;22 948;24 655;26 400;28 394;29 925;31 339;19 220;22 516
D.91 Tõkeadók;54=55+..+57;1 273;1 333;1 826;2 116;2 392;2 730;3 318;4 272;4 340;6 453;7 932;8 124;5 830;5 060;4 042;2 743;2 805;759;–;10;217;269;273;281;224;178;218
D.91A Tõketranszferekre kivetett adók;55;1 273;1 333;1 826;2 116;2 392;2 730;3 318;4 272;4 340;6 453;7 932;8 124;5 830;5 060;4 042;2 743;2 805;759;–;–;–;–;–;–;–;–;–
D.91B Tõkeilleték;56;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;10;217;269;273;281;224;178;218
D.91C Egyéb, máshová nem sorolt tõkeadók;57;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODA Összes adóbevétel;58=1+35+54;153 953;204 663;272 979;355 410;427 590;507 935;604 541;686 686;813 758;932 428;954 679;1 031 911;1 119 479;687 785;689 594;654 169;674 901;689 714;674 469;698 131;770 374;805 446;845 975;923 664;1 006 066;906 076;944 682
D.61 Nettó társadalombiztosítási hozzájárulások;59=60–63+66+69+77;2 068;2 541;3 170;3 326;3 720;3 851;4 007;4 587;6 080;6 024;6 509;6 072;5 668;5 952;5 695;4 719;4 357;2 936;1 630;1 842;2 217;3 326;3 874;4 665;4 640;6 649;7 387
D.611 Munkaadók tényleges társadalombiztosítási hozzájárulásai;60=61+62=64+65;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611C Munkaadók tényleges kötelezõ társadalombiztosítási hozzájárulásai;61;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.611V Munkaadók tényleges önkéntes társadalombiztosítási hozzájárulásai;62;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.61SC Társadalombiztosítási rendszerek szolgáltatási díjai;63;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6111 Munkaadók tényleges nyugdíjjárulékai;64;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6112 Munkaadók tényleges nem nyugdíjcélú járulékai;65;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.612 Munkaadók imputált társadalombiztosítási hozzájárulásai;66=67+68;2 068;2 541;3 170;3 326;3 720;3 851;4 007;4 587;6 080;6 024;6 509;6 072;5 668;5 952;5 695;4 719;4 357;2 936;1 630;1 842;2 217;3 326;3 874;4 665;4 640;6 649;7 387
D.6121 Munkaadók imputált nyugdíjjárulékai;67;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6122 Munkaadók imputált nem nyugdíjcélú járulékai;68;2 068;2 541;3 170;3 326;3 720;3 851;4 007;4 587;6 080;6 024;6 509;6 072;5 668;5 952;5 695;4 719;4 357;2 936;1 630;1 842;2 217;3 326;3 874;4 665;4 640;6 649;7 387
D.613 Háztartások tényleges társadalombiztosítási hozzájárulásai;69=70+71=72+76;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6131 Háztartások tényleges nyugdíjjárulékai;70;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6132 Háztartások tényleges nem nyugdíjcélú járulékai;71;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613C Háztartások tényleges kötelezõ társadalombiztosítási hozzájárulásai;72=73+74+75;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613CE Munkavállalók tényleges kötelezõ társadalombiztosítási hozzájárulásai;73;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613CS Önálló vállalkozók tényleges kötelezõ társadalombiztosítási hozzájárulásai;74;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613CN Alkalmazásban nem állók tényleges kötelezõ társadalombiztosítási hozzájárulásai;75;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.613V Háztartások tényleges önkéntes társadalombiztosítási hozzájárulásai;76;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.614 Háztartások kiegészítõ társadalombiztosítási hozzájárulásai;77=78+79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6141 Háztartások kiegészítõ nyugdíjjárulékai;78;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6142 Háztartások kiegészítõ nem nyugdíjcélú járulékai;79;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995 Államháztartási tõketranszferek a megfelelõ szektorok részére;80=81+..+86+90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995A Megállapított, de valószínûleg be nem hajtható termékadók;81;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995B Megállapított, de valószínûleg be nem hajtható egyéb termelési adók;82;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995C Megállapított, de valószínûleg be nem hajtható jövedelemadók;83;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995D Megállapított, de valószínûleg be nem hajtható egyéb folyó adók;84;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995E Munkaadók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;85;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995F Háztartások megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;86=87+..+89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FE Munkavállalók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;87;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FS Önálló vállalkozók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;88;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FN Alkalmazásban nem állók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995G Megállapított, de valószínûleg be nem hajtható tõkeadók;90;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODB adókból és társadalombiztosítási hozzájárulásokból származó összes bevétel;"91=1+35+54+59–
66–77–80";153 953;204 663;272 979;355 410;427 590;507 935;604 541;686 686;813 758;932 428;954 679;1 031 911;1 119 479;687 785;689 594;654 169;674 901;689 714;674 469;698 131;770 374;805 446;845 975;923 664;1 006 066;906 076;944 682
ODC adókból és a nettó társadalombiztosítási hozzájárulásokból származó összes bevétel (az imputált TB hozzájárulásokat is beleértve);92=1+35+54+59–80;156 021;207 204;276 149;358 736;431 310;511 786;608 548;691 273;819 838;938 452;961 188;1 037 983;1 125 147;693 737;695 289;658 888;679 258;692 650;676 099;699 973;772 591;808 772;849 849;928 329;1 010 706;912 725;952 069
ODD adóteher – az adókból és a kötelezõ társadalombiztosítási hozzájárulásokból származó összes bevétel;"93=1+35+54+59–
66–77–62–76–80";153 953;204 663;272 979;355 410;427 590;507 935;604 541;686 686;813 758;932 428;954 679;1 031 911;1 119 479;687 785;689 594;654 169;674 901;689 714;674 469;698 131;770 374;805 446;845 975;923 664;1 006 066;906 076;944 682
