20.1.1.7. A foglalkoztatottak száma korcsoportok szerint, nemenként [ezer fõ];;;;;;;;;;;;;;;
Év;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl: 
 15–24 éves";"Ebbõl: 
 20–64 éves"
2012;6,2;112,2;228,6;311,9;351,4;293,5;237,6;220,0;218,5;49,5;15,9;4,3;2 049,4;118,4;2 023,1
2013;7,8;127,6;233,1;293,4;367,3;299,7;251,4;216,1;226,6;62,3;14,4;4,8;2 104,6;135,4;2 077,5
2014;10,1;141,6;252,5;290,2;377,9;321,7;273,1;219,3;234,1;82,5;12,8;5,0;2 220,9;151,7;2 193,0
2015;15,1;142,9;256,9;278,0;368,7;345,1;288,7;227,6;229,8;112,2;13,5;5,7;2 284,1;157,9;2 249,8
2016;15,4;157,1;262,1;279,6;351,4;365,5;303,0;234,6;223,9;144,9;17,0;8,1;2 362,7;172,5;2 322,1
2017;15,7;160,4;270,9;278,8;337,6;382,6;315,0;250,2;217,8;160,8;20,3;7,3;2 417,4;176,2;2 374,1
2018;17,0;158,7;272,5;281,8;320,7;390,5;321,9;262,7;219,6;166,1;25,8;8,9;2 446,2;175,7;2 394,6
2019;20,0;150,0;270,4;288,9;309,9;393,0;328,8;282,2;216,4;176,3;32,8;11,4;2 480,1;170,0;2 415,9
2020;14,9;144,0;266,1;289,2;292,2;379,7;343,2;292,6;214,7;179,4;33,9;12,2;2 462,1;158,9;2 401,0
2021;15,5;140,3;259,8;286,9;289,1;362,3;364,0;303,3;221,8;174,2;41,1;13,6;2 471,8;155,8;2 401,6
Nõ;;;;;;;;;;;;;;;
2009;4,3;99,0;238,9;285,0;289,5;264,9;250,0;233,0;159,3;32,7;9,5;2,5;1 868,5;103,3;1 852,3
2010;5,5;97,7;220,5;282,8;292,4;269,2;241,9;236,3;187,0;33,1;10,7;2,8;1 879,9;103,1;1 860,9
2011;4,2;95,4;208,3;284,8;295,0;271,0;229,3;233,6;205,1;39,1;11,0;3,6;1 880,3;99,7;1 861,5
2012;4,0;97,5;207,8;276,2;309,7;280,6;236,0;238,4;204,2;40,5;11,4;2,9;1 909,3;101,5;1 891,0
2013;4,8;96,1;207,6;267,0;327,3;280,1;248,0;233,6;206,0;40,6;11,6;1,9;1 924,7;100,9;1 906,4
2014;7,8;109,6;212,5;256,4;333,2;293,7;269,7;238,8;216,3;50,5;10,3;2,9;2 001,7;117,3;1 980,8
2015;7,0;121,5;215,5;249,0;323,7;314,0;282,1;241,3;213,9;67,6;12,1;3,4;2 051,0;128,6;2 028,5
2016;9,4;125,1;225,0;248,0;318,1;335,9;294,3;242,9;216,9;86,9;13,5;3,6;2 119,5;134,5;2 093,0
2017;10,3;123,2;227,8;244,1;301,0;349,6;307,0;245,0;210,6;92,0;14,3;6,1;2 130,9;133,5;2 100,3
2018;11,2;120,3;229,0;243,3;289,7;360,4;308,3;263,1;208,9;101,8;15,8;8,4;2 160,2;131,5;2 124,8
2019;10,0;113,5;236,3;245,9;275,7;358,1;318,1;268,4;205,3;101,4;23,6;8,3;2 164,5;123,5;2 122,6
2020;8,9;110,4;230,0;234,6;260,1;337,4;324,8;283,5;206,8;106,3;29,6;9,0;2 141,2;119,3;2 093,7
2021;8,4;106,1;223,5;237,4;252,5;329,9;341,7;294,2;216,7;107,9;35,2;9,3;2 162,8;114,5;2 109,8
